AuthorID,Author,Date,Content,Attachments,Reactions
"425585007906783232","gksubrata","2025-05-04T17:44:00.4350000+00:00","","https://cdn.discordapp.com/attachments/1368466610150576148/1368644346567725169/IMG_0419.jpg?ex=6996a320&is=699551a0&hm=85cad3331d368d0d96cda70db63e0e42c40f241ae1fb86b6d3e198ccf93a370c&","⭐ (7),🩷 (2)"
"425585007906783232","gksubrata","2025-05-04T17:44:02.4940000+00:00","Sup","",""
"867421149126197300","chel705","2025-05-06T05:51:55.7040000+00:00","Masterpiece","",""
"711118531369893911","stroberikentang","2025-05-06T06:45:38.6300000+00:00","An art piece indeed","",""
"867743747563454464","eskrim","2025-09-30T06:27:48.9650000+00:00","","https://cdn.discordapp.com/attachments/1368466610150576148/1422469969345511496/Tak_berjudul250.png?ex=6996ad64&is=69955be4&hm=ee01e9cf2b7a74dd107f19827c488b5069dd332f6e970a39df77572e1a1f9084&","👍 (5)"
"867421149126197300","chel705","2025-09-30T13:32:13.6110000+00:00","Some of my art","",""
"867421149126197300","chel705","2025-09-30T13:32:43.4890000+00:00","","https://cdn.discordapp.com/attachments/1368466610150576148/1422576897472073738/IMG_5701.png?ex=6996683a&is=699516ba&hm=ae45490cc884db3e12d1ab2948907a2990acda0eaab3d4ee7d547010ba5cf7db&,https://cdn.discordapp.com/attachments/1368466610150576148/1422576898617245776/IMG_5622.png?ex=6996683a&is=699516ba&hm=e5e8f43c75f0f27d338c630800df2780080963a082aed57033cfee81600b4c2e&,https://cdn.discordapp.com/attachments/1368466610150576148/1422576899837657208/IMG_5590.png?ex=6996683b&is=699516bb&hm=38da82f39028845a6ff7d3e1b323331fd92965f5d6734eb8779e17cbcd6da078&,https://cdn.discordapp.com/attachments/1368466610150576148/1422576900907208827/IMG_5587.png?ex=6996683b&is=699516bb&hm=2529b0c23f89f35d16f20b586cd8a71ff8419c8839a3c0430163a1574282b154&","❤️ (7)"
"867743747563454464","eskrim","2025-10-05T13:47:15.6340000+00:00","Usagi keselek ganja anj","https://cdn.discordapp.com/attachments/1368466610150576148/1424392498486186055/IMG_20251005_204639.jpg?ex=69966ba3&is=69951a23&hm=1e6cce9654ae2e3cb00cf3821ce7d5cae67ce4047dd3822a1d943d4319d27d9c&","😂 (4)"
"712671680324960316","pompompuringdom","2025-10-05T13:50:20.6420000+00:00","anyone go to art jakarta?","",""
"867743747563454464","eskrim","2025-10-09T08:36:24.5170000+00:00","Rawr XD","https://cdn.discordapp.com/attachments/1368466610150576148/1425763821477171271/IMG_20251009_153144.jpg?ex=6996cb88&is=69957a08&hm=9ff4344dbe6f9d21194b0ce658cba856ae57fde96721648df45c800099dd9c19&","💪 (1),❤️ (1)"
"867421149126197300","chel705","2025-10-13T09:59:03.4740000+00:00","","https://cdn.discordapp.com/attachments/1368466610150576148/1427234172069609533/IMG_5795.png?ex=69963627&is=6994e4a7&hm=c279ef4b216b53f5cae63f7c8aed295f995fcedc4c887f0263225951983874e7&","❤️ (2)"
"447418002896584704","jazz3774","2025-10-14T07:14:21.2180000+00:00","Vent edit 🥀","https://cdn.discordapp.com/attachments/1368466610150576148/1427555110883692544/-8wb6l2.jpg?ex=6996b84d&is=699566cd&hm=b9e4a8545f12775e780f4bdb27eb41505e0515d9f5fc25a947d466b8fc7955bb&","😂 (1)"
"473443490722873353","mochingchong","2025-10-14T18:04:26.6750000+00:00","","https://cdn.discordapp.com/attachments/1368466610150576148/1427718712118743143/Snapchat-807069949.jpg?ex=6996a7ea&is=6995566a&hm=f6cca8bf91f678669400699d1333006c5585cec85b7678fd1d9b6582ccfff4c1&","❤️ (2)"
"473443490722873353","mochingchong","2025-10-17T02:02:14.8330000+00:00","I wish graphite pencils blended as effortlessly as charcoal ones..","https://cdn.discordapp.com/attachments/1368466610150576148/1428563730559533066/Snapchat-1829537006.png?ex=69966f26&is=69951da6&hm=89b49f2836071b1d0745334a41fab5b50acc34d5f1006662a31464ca64be9f21&","💪 (3)"
"867421149126197300","chel705","2025-10-17T09:19:31.9360000+00:00","","https://cdn.discordapp.com/attachments/1368466610150576148/1428673776899330140/IMG_5807.png?ex=69962ce3&is=6994db63&hm=f05ef3a1110671418e24c8c3101a32537ea9110590ec81340ee7a0db25bac0e3&","🔥 (3)"
"867421149126197300","chel705","2025-10-23T06:35:14.7810000+00:00","","https://cdn.discordapp.com/attachments/1368466610150576148/1430806759965982790/IMG_5826.png?ex=6996af22&is=69955da2&hm=e98985f65d287c590e00d7dd3aa87ffca94a2e9bf54734890304c339013df453&","🔥 (2)"
"436220883808419841","edennottheproject","2025-11-19T19:05:24.5850000+00:00","WIP","https://cdn.discordapp.com/attachments/1368466610150576148/1440780017121362101/Screen_Recording_2025-11-19_010453_1_1.mp4?ex=6996b634&is=699564b4&hm=fbe3c6b56e0e4988e22083a340a11c6487a04c16ee889613d361b01b40608b70&","❤️ (2),🔥 (2)"
"509698618723401738","meyokoe","2025-11-20T05:26:48.9080000+00:00","Unfinished WIP from a few months ago (i wanna remake this i hate the artstyle)","https://cdn.discordapp.com/attachments/1368466610150576148/1440936398852198562/image.png?ex=69969f18&is=69954d98&hm=6d8ccf348bd76022dd858143af603ed2c4301c9cdae3ba41e129e77c18924d24&","❤️ (6)"
"717582545944051772","arcadius5190","2025-11-20T06:08:10.9010000+00:00","SO CUTEEEE","",""
"717582545944051772","arcadius5190","2025-11-20T06:08:20.6950000+00:00","ARE THEY MOTHS???","",""
"717582545944051772","arcadius5190","2025-11-20T06:08:40.3250000+00:00","Or is tgat umamusume....","",""
"330008563915423746","michelleenrica","2025-11-21T05:51:36.9420000+00:00","Satono Diamond?","",""
"509698618723401738","meyokoe","2025-11-21T06:22:30.7100000+00:00","Yea","",""
"509698618723401738","meyokoe","2025-11-21T06:22:33.1530000+00:00","Mhmm","",""
"509698618723401738","meyokoe","2025-11-21T06:22:53.0770000+00:00","I want to cosplay as her but im broke rn 😭","",""
"717582545944051772","arcadius5190","2025-11-21T09:16:54.8240000+00:00","https://tenor.com/view/uma-musume-clapping-%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%82%B7%E3%83%83%E3%83%97-gold-ship-%E3%82%A6%E3%83%9E%E5%A8%98-gif-4383783875449894257","",""
