AuthorID,Author,Date,Content,Attachments,Reactions
"456226577798135808","Deleted User","2025-11-24T10:41:46.2660000+00:00","@kimmy dah nih","",""
"456226577798135808","Deleted User","2025-11-24T10:41:52.5190000+00:00","mudaenya udh di add","",""
"432610292342587392","Mudae#0807","2025-11-24T10:43:01.6170000+00:00","","",""
"365917907861110796","floatingtales","2025-11-24T10:43:19.6800000+00:00","KOK DAPET SANTA KLOS SIH WKWKWWK","",""
"432610292342587392","Mudae#0807","2025-11-24T10:43:35.6310000+00:00","","",""
"1211781489931452447","Wordle#2092","2025-11-24T10:47:31.1530000+00:00","angeryshibe was playing","https://cdn.discordapp.com/attachments/1442465156104851467/1442467199200657418/preview.png?ex=69964204&is=6994f084&hm=8d14dbabb7d5c8a6bbd3e6521448d033dfacb06322f49dbf201bb6933fd1628b&",""
"1327306698838245499","k1mcchii","2025-11-24T10:47:41.7620000+00:00","$tu","",""
"432610292342587392","Mudae#0807","2025-11-24T10:47:41.9780000+00:00","**kikimcchii**, you __can__ claim right now! The next claim reset is in **12** min.
You have **10** rolls left. Next rolls reset in **12** min.


You __can__ react to kakera right now!
Power: **100%**
Each kakera button consumes 100% of your reaction power.
Your characters with 10+ keys consume half the power (50%)
Stock: **0**:kakera:

$dk is ready!
You may vote right now!


**=>** $tuarrange","",""
"1327306698838245499","k1mcchii","2025-11-24T10:47:47.2170000+00:00","$dk","",""
"432610292342587392","Mudae#0807","2025-11-24T10:47:47.3480000+00:00","Oh, this one is truly amazing! **+817**:kakera:added to your kakera collection! (**817** total).","",""
"1327306698838245499","k1mcchii","2025-11-24T10:48:00.6890000+00:00","@Deleted User stonk tolong dibikin max rolls nya jadi 12-13","",""
"1327306698838245499","k1mcchii","2025-11-24T10:48:08.0270000+00:00","klo ndak salah sabi","",""
"1327306698838245499","k1mcchii","2025-11-24T10:48:11.7740000+00:00","$tu","",""
"432610292342587392","Mudae#0807","2025-11-24T10:48:11.9960000+00:00","**kikimcchii**, you __can__ claim right now! The next claim reset is in **11** min.
You have **10** rolls left. Next rolls reset in **11** min.


You __can__ react to kakera right now!
Power: **100%**
Each kakera button consumes 100% of your reaction power.
Your characters with 10+ keys consume half the power (50%)
Stock: **817**:kakera:

Next $dk in **19h 59** min.
You may vote right now!


**=>** $tuarrange","",""
"1327306698838245499","k1mcchii","2025-11-24T10:48:19.4170000+00:00","&wa","",""
"1327306698838245499","k1mcchii","2025-11-24T10:48:20.3050000+00:00","$wa","",""
"432610292342587392","Mudae#0807","2025-11-24T10:48:20.4550000+00:00","","",""
"1327306698838245499","k1mcchii","2025-11-24T10:48:20.9490000+00:00","$wa","",""
"432610292342587392","Mudae#0807","2025-11-24T10:48:21.0710000+00:00","","",""
"1327306698838245499","k1mcchii","2025-11-24T10:48:21.7320000+00:00","&wa","",""
"1327306698838245499","k1mcchii","2025-11-24T10:48:25.4240000+00:00","$wa","",""
"432610292342587392","Mudae#0807","2025-11-24T10:48:25.5520000+00:00","","",""
"1327306698838245499","k1mcchii","2025-11-24T10:48:26.1390000+00:00","$wa","",""
"432610292342587392","Mudae#0807","2025-11-24T10:48:26.2670000+00:00","","",""
"1327306698838245499","k1mcchii","2025-11-24T10:48:26.9900000+00:00","$wa","",""
"432610292342587392","Mudae#0807","2025-11-24T10:48:27.0620000+00:00","","",""
"1327306698838245499","k1mcchii","2025-11-24T10:48:31.5140000+00:00","$blacklsit","",""
"1327306698838245499","k1mcchii","2025-11-24T10:48:36.6080000+00:00","$help","",""
"432610292342587392","Mudae#0807","2025-11-24T10:48:36.9200000+00:00","DM sent! :Nagato:
Looking for a specific command? Try **$search** (400 different commands to search)","",""
"1327306698838245499","k1mcchii","2025-11-24T10:49:25.6360000+00:00","$top western","",""
"432610292342587392","Mudae#0807","2025-11-24T10:49:25.9050000+00:00","","",""
"1327306698838245499","k1mcchii","2025-11-24T10:49:39.3990000+00:00","$search disable","",""
"432610292342587392","Mudae#0807","2025-11-24T10:49:39.5130000+00:00","**$disable**: ($d) Disable series for your rolls. *$disable Re:Zero*
**$disablelist**: ($dl) Your list of disabled characters. See `$disable`
**$serverdisable**: (MOD, $sd) Disable up to 1,000 characters for the whole server.
**$serverdisablelist**: ($sdl) Server list of disabled characters. See `$serverdisable`
**$togglewestern**: Completely disable western animanga characters for your rolls.
**$toggleirl**: Completely disable characters from the bundle `Real Life People` for your rolls.
**$disabletag**: ($dt) Disable characters having specific tags for your rolls. Wishes still enable them.
**$togglensfw**: (MOD) Completely disable NSFW series for the whole server.
**$toggledisturbing**: (MOD) Completely disable disturbing imagery series for the whole server.
**$togglechildtag**: (MOD) Completely disable characters having the `Child` and `Baby` tags ($tag child, $tag baby) for the whole server.
**$limroul**: (GAMEMODE 2) Define the number of different characters you can roll in __each roulette__ (by disabling the less popular characters). *$limroul 7000 7000 5000 5000*
**$servlimroul**: (MOD, GAMEMODE 2) Define the number of different characters you can roll in __each roulette__ (by disabling the less popular characters) for your whole server. *$servlimroul 7000 7000 5000 5000*
**$disabledm**: Make your $disablelist and your $antidisablelist private or public again.
**$hideinfodisable**: Disable the 🚫 emoji indicating the character is disabled for __YOUR__ rolls ($im or $mmi)
**option x**: Only display characters you disabled. *$mmx*
**option x+**: Display characters you disabled along with characters you didn't disable. *$mmx+*
**option x-**: Only display characters you didn't disable. *$mmx-*
**$toggleplayerpremium**: (Player Premium) Disable/enable your Player Premium on this server instance.
**$qs**: Save your current wishlist, disablelist or antidisablelist. *$qs wl*
**$ql**: Load your saved wishlist, disablelist or antidisablelist. *$ql wl*","",""
"432610292342587392","Mudae#0807","2025-11-24T10:49:39.7640000+00:00","**$qd**: Display your saved disablelist #1. For the #2, use $qd2","",""
"1327306698838245499","k1mcchii","2025-11-24T10:49:53.1880000+00:00","$search limroul","",""
"432610292342587392","Mudae#0807","2025-11-24T10:49:53.3140000+00:00","**$limroul**: (GAMEMODE 2) Define the number of different characters you can roll in __each roulette__ (by disabling the less popular characters). *$limroul 7000 7000 5000 5000*","",""
"365917907861110796","floatingtales","2025-11-24T10:50:03.0790000+00:00","$tu","",""
"432610292342587392","Mudae#0807","2025-11-24T10:50:03.1660000+00:00","**floatingtales**, you __can__ claim right now! The next claim reset is in **9** min.
You have **8** rolls left. Next rolls reset in **9** min.


You __can__ react to kakera right now!
Power: **100%**
Each kakera button consumes 100% of your reaction power.
Your characters with 10+ keys consume half the power (50%)
Stock: **0**:kakera:

$dk is ready!
You may vote right now!


**=>** $tuarrange","",""
"1327306698838245499","k1mcchii","2025-11-24T10:50:08.5370000+00:00","$wa","",""
"432610292342587392","Mudae#0807","2025-11-24T10:50:08.6920000+00:00","","",""
"365917907861110796","floatingtales","2025-11-24T10:50:09.4500000+00:00","$ka","",""
"1327306698838245499","k1mcchii","2025-11-24T10:50:09.7100000+00:00","$wa","",""
"1327306698838245499","k1mcchii","2025-11-24T10:50:12.3110000+00:00","$wa","",""
"432610292342587392","Mudae#0807","2025-11-24T10:50:12.5710000+00:00","","",""
"1327306698838245499","k1mcchii","2025-11-24T10:50:13.2430000+00:00","$wa","",""
"432610292342587392","Mudae#0807","2025-11-24T10:50:13.3410000+00:00","","",""
"1327306698838245499","k1mcchii","2025-11-24T10:50:14.0750000+00:00","$wa","",""
"432610292342587392","Mudae#0807","2025-11-24T10:50:14.1780000+00:00","","",""
"1327306698838245499","k1mcchii","2025-11-24T10:50:14.7700000+00:00","$wa","",""
"432610292342587392","Mudae#0807","2025-11-24T10:50:14.9340000+00:00","","",""
"1327306698838245499","k1mcchii","2025-11-24T10:50:15.9640000+00:00","$wa","",""
"432610292342587392","Mudae#0807","2025-11-24T10:50:16.0600000+00:00","**kikimcchii**, the roulette is limited to 10 uses per hour. **9** min left.
Upvote Mudae to reset the timer: **$vote**. Twitter: **@Mudaebot**
Get a bonus when rolling with slash commands: type **$search slash**","",""
"1327306698838245499","k1mcchii","2025-11-24T10:50:20.0190000+00:00","$rolls","",""
"432610292342587392","Mudae#0807","2025-11-24T10:50:20.0710000+00:00","Upvote Mudae and **use this command again** to reset your rolls timer for ONE server (one vote per 12h) <https://top.gg/bot/432610292342587392/vote>","",""
"1327306698838245499","k1mcchii","2025-11-24T10:50:24.9210000+00:00","$d","",""
