AuthorID,Author,Date,Content,Attachments,Reactions
"712671680324960316","pompompuringdom","2026-02-06T07:18:16.9650000+00:00","@everyone new channel: CULINARY, share great F&B spots in your area, and anything else food related! 😋  ***yummm***","","😋 (2)"
"712671680324960316","pompompuringdom","2026-02-06T07:18:52.2740000+00:00","@EsperoJello please share your list here once more","",""
"790860761291423754","beethozheng","2026-02-06T07:20:44.3760000+00:00","Oh hi","",""
"575141979873083393","sukadeltoro","2026-02-06T07:21:23.1400000+00:00","Non-exhaustive Indonesian restaurants in Jakarta:

1. Mara Karanjang
2. Lapo Porsea
3. Kaum
4. Kunstkring
5. RM Medan Baru
6. Natrabu
7. RM Garuda
8. Seribu Rasa
9. Tesate
10. Surya
11. Beautika
12. Bopet
13. Babi Immanuel
14. RM Sepakat
15. Kembang Goela
16. Harum Manis
17. Lara Djonggrang 
18. Bungarampai
19. Semaja
20. Dua Nyonya
21. 2tak
22. Warung MJS
23. Daun Muda (i have a strong reservation about this, but you do you)
24. Pondok Laguna
25. Tansu (RECOMMENDED)
26. Boeba (i like their ikan asin dishes)
27. Aroem Manis (hmmm okay ish)
28. Plataran restaurants (okay for the vibe, that’s all)
29. Remboelan (i love their juice and udang gandum)
30. Nasi Uduk Zainal (MANTAAPPPPP)
31. TONDANO JAYA (MANTAPPPP)
32. Ayam Tangkap Benhil (MANTAAAPPP)
33. Marco (good for expats’ palate)
34. Lapo Senayan
35. Sate dan Tongseng Wong Jogja (depends your stomach)
36. Tongseng Tanah Abang III
37. SIANG MALAM RAWAMANGUN
38. Puja Bumi Kenduri
39. Lumpang Emas
40. Tesate
41. Noesaka","","👍 (1)"
"790860761291423754","beethozheng","2026-02-06T07:21:35.5660000+00:00","Xiao Meng Niu (Goated AYCE Hotpot with no Time Limit on Mangga Besar, taste a bit better than HaiDiLao, only 240k)","",""
"889038362093174805","bfnlma","2026-02-06T07:21:47.2050000+00:00","I'll drop later cause I have sumn recs","","👍🏻 (2)"
"712671680324960316","pompompuringdom","2026-02-06T07:21:59.6760000+00:00","love the profile picture diva","",""
"575141979873083393","sukadeltoro","2026-02-06T07:22:39.5960000+00:00","I’ll share some cheap street food recs later with 60k max cap","",""
"575141979873083393","sukadeltoro","2026-02-06T07:24:16.1690000+00:00","","https://cdn.discordapp.com/attachments/1469230494414540880/1469232211524980848/IMG_0229.jpg?ex=6996baa0&is=69956920&hm=8c0425159e14e246e41b7b05299fc30ad0b463f8f4e225b48d9dbc3281d8e497&,https://cdn.discordapp.com/attachments/1469230494414540880/1469232212082950227/IMG_0230.jpg?ex=6996baa0&is=69956920&hm=fef8eaf23530f676f6be6e0714c821f8dc3db5bd99b19ba86db657648499ea38&",""
"591677089862778913","plem1nika","2026-02-06T07:24:28.5030000+00:00","Please do","",""
