AuthorID,Author,Date,Content,Attachments,Reactions
"712671680324960316","pompompuringdom","2025-07-11T16:43:29.8140000+00:00","@Marialesgo @Yummy Omnom here you go! @Dimas @roflpaladin i feel like you’d enjoy this too!","",""
"889038362093174805","bfnlma","2025-07-11T16:43:58.3350000+00:00","What games we're gonna play","",""
"712671680324960316","pompompuringdom","2025-07-11T16:44:28.6850000+00:00","anyone play hello kitty island adventure?","",""
"889038362093174805","bfnlma","2025-07-11T16:45:08.2280000+00:00","nope..","",""
"712671680324960316","pompompuringdom","2025-07-11T16:45:38.5170000+00:00","i used to play animal crossing","",""
"712671680324960316","pompompuringdom","2025-07-11T16:45:51.9180000+00:00","still love the universe till this day even though i no longer have the time and energy to play","",""
"1173821133284442143","yummyomnom","2025-07-11T16:48:21.0520000+00:00","Have you seen that sad animal crossing comic about a mom","",""
"712671680324960316","pompompuringdom","2025-07-11T16:48:28.6800000+00:00","stop","",""
"712671680324960316","pompompuringdom","2025-07-11T16:48:31.9270000+00:00","stop right there","",""
"712671680324960316","pompompuringdom","2025-07-11T16:48:33.1070000+00:00","no more","",""
"712671680324960316","pompompuringdom","2025-07-11T16:48:36.9900000+00:00","don’t hurt me","",""
"712671680324960316","pompompuringdom","2025-07-11T16:48:49.6030000+00:00","i want sweet dreams before bed","",""
"1073308819293216870","marialesgo","2025-07-11T17:46:21.1010000+00:00","Hmmm.. codm anyone? 😆 hahaha","",""
"1073308819293216870","marialesgo","2025-07-11T17:47:08.0110000+00:00","Nope... never heard and tried but I'll take a look","",""
"265052179478347777","quetietrep7537","2025-07-11T23:28:41.8560000+00:00","https://tenor.com/view/engineer-gaming-gif-21851683","",""
"1173821133284442143","yummyomnom","2025-07-12T03:46:42.7970000+00:00","Now that it's a new day, soft hearts beware! 
|| https://mediachomp.com/animal-crossing-feels-comic/ ||","",""
"794937532869509141","solololo12345","2025-07-12T04:31:15.6530000+00:00","Overcooked","",""
"265052179478347777","quetietrep7537","2025-07-17T13:29:36.1450000+00:00","https://sbox.game/give-me-that","",""
"365917907861110796","floatingtales","2025-10-27T09:03:49.0370000+00:00","Y'all heard about CS2 and how they basically devalue their collectibles on a random wednesday from $6 billion to $1.4 billion?","",""
"365917907861110796","floatingtales","2025-10-27T09:04:00.5990000+00:00","https://knowyourmeme.com/memes/events/counter-strike-2-knife-market-crash","",""
"365917907861110796","floatingtales","2025-10-27T09:05:04.2180000+00:00","what's stupid is that people took out loans for buying a cosmetic item and when the market crashed, they have no way of repaying their loans","",""
"790860761291423754","beethozheng","2025-10-27T09:51:06.6500000+00:00","People spend millions for a single skin","",""
"790860761291423754","beethozheng","2025-10-27T09:51:20.8390000+00:00","The chinese offered 3 mil USD and the collector said no","",""
"712671680324960316","pompompuringdom","2025-11-03T09:18:03.2470000+00:00","# anyone wanna play Animal Crossing with me and @Deleted User ?","",""
"790860761291423754","beethozheng","2025-11-03T12:13:25.4950000+00:00","hey CS2 Skins are basically a NFT no?","",""
"365917907861110796","floatingtales","2025-11-03T13:55:50.5110000+00:00","yes and no, but yes","",""
"365917907861110796","floatingtales","2025-11-03T13:56:06.3140000+00:00","yes in teh sense of yeah they are kinda similar","",""
"365917907861110796","floatingtales","2025-11-03T13:56:15.4530000+00:00","no in the sense of it's not in a blockchain","",""
"889038362093174805","bfnlma","2025-11-03T15:49:56.4690000+00:00","Is it a phone game","",""
"889038362093174805","bfnlma","2025-11-03T15:49:59.6790000+00:00","Or","",""
"365917907861110796","floatingtales","2025-11-03T15:50:28.4190000+00:00","its a nintendo switch game","",""
"365917907861110796","floatingtales","2025-11-03T15:50:41.8180000+00:00","I do have a switch but... no online 🥲","",""
"889038362093174805","bfnlma","2025-11-03T15:53:35.2190000+00:00","Oh... I dont have a switch 🙁","",""
