AuthorID,Author,Date,Content,Attachments,Reactions
"425585007906783232","gksubrata","2025-05-07T00:22:08.5840000+00:00","@Deleted User said my music taste is immaculate. So here’s a playlist.

https://open.spotify.com/playlist/25xAw4FgYix9B2VTZeXDGC?si=vJB7ocxIQgCWyQF3ZK5Jjw&pi=mFQ2b249S4ynY

lmk what u guys think","",""
"456226577798135808","Deleted User","2025-05-07T00:41:32.2460000+00:00","SMOOTH MOVER, DEADLY WITH MANEUVERS","",""
"425585007906783232","gksubrata","2025-05-07T03:55:44.1700000+00:00","So @Marialesgo green day","",""
"1073308819293216870","marialesgo","2025-05-07T03:59:53.4280000+00:00","Yeahhhh","",""
"1073308819293216870","marialesgo","2025-05-07T04:00:23.6060000+00:00","I grew up with their music. Not a big fan of them. But they're legend","",""
"425585007906783232","gksubrata","2025-05-07T04:01:38.0190000+00:00","I grew up with them too. Alongside blink 182, MCR, Sum 41 and all that. Who do you listen to the most?","",""
"1073308819293216870","marialesgo","2025-05-07T04:02:05.4530000+00:00","Damnn damnn damnnn MCR, sum 41","",""
"1073308819293216870","marialesgo","2025-05-07T04:02:11.0440000+00:00","Aaaaaaahhhggggrrrr","",""
"1073308819293216870","marialesgo","2025-05-07T04:02:31.5120000+00:00","Guess who's already over 28y.o","",""
"1073308819293216870","marialesgo","2025-05-07T04:02:37.3600000+00:00","Obviously me!","",""
"425585007906783232","gksubrata","2025-05-07T04:03:42.5360000+00:00","Dawg same. 97 kid","",""
"1073308819293216870","marialesgo","2025-05-07T04:05:13.7100000+00:00","Well.. I'm going 31 dude HAHA","",""
"425585007906783232","gksubrata","2025-05-07T04:05:29.5320000+00:00","Oh dang, WKWKWK my b","",""
"425585007906783232","gksubrata","2025-05-07T04:05:47.8680000+00:00","But yeah i still listen to them from time to time","",""
"1073308819293216870","marialesgo","2025-05-07T04:06:52.1520000+00:00","But I ain't ashamed about my age. Bcos I vibe w good music in 90 and 2000s","",""
"1073308819293216870","marialesgo","2025-05-07T04:07:15.2680000+00:00","Ahh lately I've been listening to One OK rock","",""
"425585007906783232","gksubrata","2025-05-07T04:08:36.2980000+00:00","Oooooh they’re great! J-rock is underrated","",""
"425585007906783232","gksubrata","2025-05-07T04:08:47.1520000+00:00","Hell yeah! Young at heart","",""
"1073308819293216870","marialesgo","2025-05-07T04:10:14.2360000+00:00","Yeahh J-rock alsooo","",""
"1073308819293216870","marialesgo","2025-05-07T04:20:05.9960000+00:00","Ohh it's kinda old.. but Nickelback also gooddd","",""
"1073308819293216870","marialesgo","2025-05-07T04:20:44.6660000+00:00","I love music when the drum is in my 👂","",""
"867421149126197300","chel705","2025-05-07T04:34:14.2900000+00:00","https://music.youtube.com/playlist?list=PLCHtzKGrchLzuFLah5hP0Bxnl0LN7dLdk&si=dm55lYgmWp714vvv","",""
"425585007906783232","gksubrata","2025-05-07T06:15:18.5600000+00:00","Oooh for me that would be something along the lines of avenged sevenfold","",""
"712671680324960316","pompompuringdom","2025-05-13T15:39:32.1340000+00:00","","",""
"712671680324960316","pompompuringdom","2025-05-13T15:39:57.5320000+00:00","@everyone let’s share our playlists together but first I’m curious what platforms y’all use","",""
"456226577798135808","Deleted User","2025-05-13T15:43:51.8730000+00:00","https://open.spotify.com/playlist/4ShgvYFZvsir6KHxoGmPud?si=-wy6unm2R0WNtiYi-_hgkw&pi=tlUzBgl9RXCC3","",""
"456226577798135808","Deleted User","2025-05-13T15:44:01.1710000+00:00","Metal","",""
"654212129343275010","lalutako3625","2025-05-13T15:44:02.9720000+00:00","https://open.spotify.com/playlist/0fJ09VCHozRCW9iXbzE34K?si=JM0R4LD0Tlmn9xtlsAbEKg
DIVAS","","🏳️‍🌈 (1)"
"456226577798135808","Deleted User","2025-05-13T15:44:03.9310000+00:00","And Grunge","",""
"456226577798135808","Deleted User","2025-05-13T15:44:36.2010000+00:00","https://open.spotify.com/playlist/4aQQO2zaqvSN2AdaWi6T6E?si=T9UtBggsRsSneH0qQUfJmA","",""
"456226577798135808","Deleted User","2025-05-13T15:44:43.2820000+00:00","The playlist that helped me go through my break up","",""
"456226577798135808","Deleted User","2025-05-13T15:45:22.6530000+00:00","This playlist will help you cry","",""
"456226577798135808","Deleted User","2025-05-13T15:45:36.7370000+00:00","(dw I have a bf now I'm vv happy lmao)","",""
"1084732988983607406","daisyelure","2025-05-13T15:53:08.6800000+00:00","use spotify atm, but my fav is apple music","",""
"712671680324960316","pompompuringdom","2025-05-13T15:57:13.0400000+00:00","UGH WHY ARE YOU NOT AN APPLE MUSIC USER","",""
"712671680324960316","pompompuringdom","2025-05-13T15:57:16.2900000+00:00","I’M APPLE MUSIC","",""
"654212129343275010","lalutako3625","2025-05-13T15:57:38.8820000+00:00","LMAO, I DON'T USE THE APPLE ECOSYSTEM","",""
"872889211412435054","leontino.","2025-05-13T15:58:05.1060000+00:00","https://open.spotify.com/playlist/39BxqoWw6V9VOT7cW89z9a?si=8ihBmJmmSFqlUMxoGScRcA&pi=TKXtdAyXSBGUF

this playlist i made when i was a teen scares the shit out of me, sinister and up to no good when i made it","",""
"654212129343275010","lalutako3625","2025-05-13T15:58:46.2230000+00:00","this was me in my emo phase, no offense 🥀","",""
"872889211412435054","leontino.","2025-05-13T15:59:29.7690000+00:00","none taken, i see you","",""
"654212129343275010","lalutako3625","2025-05-13T15:59:35.9410000+00:00","🤩🤩","",""
"872889211412435054","leontino.","2025-05-13T15:59:44.4750000+00:00","https://open.spotify.com/playlist/4jNy2VOsrVrjrgHfsQF21w?si=3Z250VQ0RwuPCunkwwhDNA&pi=hcQ5EPUVRgOEN

here's one i made to heal thyself","",""
"654212129343275010","lalutako3625","2025-05-13T16:00:29.0590000+00:00","LUNCHH","",""
"872889211412435054","leontino.","2025-05-13T16:01:48.9420000+00:00","lunch 🤝","",""
"872889211412435054","leontino.","2025-05-13T16:02:25.0320000+00:00","PURRRR","",""
"654212129343275010","lalutako3625","2025-05-13T16:02:33.7450000+00:00","SLAY","",""
"872889211412435054","leontino.","2025-05-13T16:03:23.1800000+00:00","i really love the playlist cover","",""
"654212129343275010","lalutako3625","2025-05-13T16:04:35.3030000+00:00","It's very cottagecore","",""
"1205583169428922401","f4rtl0rd","2025-05-13T16:07:02.5950000+00:00","You guys should make a spotify blend and make server's playlist","",""
"872889211412435054","leontino.","2025-05-13T16:50:44.9920000+00:00","thank you!","","💜 (1)"
"872889211412435054","leontino.","2025-05-13T16:51:06.3680000+00:00","good shout!","",""
"1102844791852638218","izyy_6969","2025-05-14T04:51:18.1250000+00:00","https://open.spotify.com/album/6gDtROOIYa6OQxwhDNkDRM?si=FJHbiQYfRNeWv1FSL5lE_Q","",""
"1102844791852638218","izyy_6969","2025-05-14T04:52:30.8520000+00:00","i dont do playlist but i would like to rec some of my fav album","",""
"867421149126197300","chel705","2025-05-14T07:36:38.7960000+00:00","https://music.youtube.com/playlist?list=PLCHtzKGrchLzuFLah5hP0Bxnl0LN7dLdk&si=vD_96NALYPdlAqmh","",""
"867421149126197300","chel705","2025-05-14T07:36:40.9070000+00:00","https://music.youtube.com/playlist?list=PLCHtzKGrchLyDWMqngjT5EGmoNZIkYq1p&si=bQliNgJbZ6Z0ro1V","",""
"794937532869509141","solololo12345","2025-05-14T09:43:51.0790000+00:00","Oldies songs is for raining and night time","","‼️ (1)"
"867421149126197300","chel705","2025-05-14T09:44:18.0190000+00:00","I like cruising with them","",""
"808537767650132018","pxrple_hearts","2025-05-14T13:46:45.4840000+00:00","the abundancy of kpop has me levitating (superm omg)","",""
"872889211412435054","leontino.","2025-05-14T13:48:12.3830000+00:00","hahahhaa im glad!","","🤍 (1)"
"712671680324960316","pompompuringdom","2025-05-14T15:39:36.2340000+00:00","","",""
"1185973568849317901","clazzye","2025-05-15T01:44:09.0860000+00:00","is there anyone who listen to dangdut?","",""
"265052179478347777","quetietrep7537","2025-07-03T11:50:30.2250000+00:00","","https://cdn.discordapp.com/attachments/1368565505836716085/1390298656086954014/-_.mp4?ex=69965046&is=6994fec6&hm=100c1364e8591cafae58d199de563dbc7adf1a89f5e317c5ec4caf64da798413&",""
"265052179478347777","quetietrep7537","2025-07-03T11:50:47.2460000+00:00","i like koplo but only some scratches the itch","",""
"711118531369893911","stroberikentang","2025-07-04T02:11:32.2570000+00:00","Btw there's this Javanese Jazz genre, and the songs are soooo good","",""
"711118531369893911","stroberikentang","2025-07-04T02:11:43.0200000+00:00","Javanese lofi >>>>>>>","",""
"712671680324960316","pompompuringdom","2025-07-04T02:13:07.9310000+00:00","I recently discovered that from @Buzzer when we went to Yogya and Solo","",""
"712671680324960316","pompompuringdom","2025-07-04T02:13:15.8310000+00:00","It’s so goated","",""
"712671680324960316","pompompuringdom","2025-07-04T02:13:42.7010000+00:00","I’m an Apple Music user but I think most of you are Spotify, so https://open.spotify.com/playlist/0m1zY3HYq2UzFW7b4kgDCO?si=rtHkgBNaTXS57j0harpkQA","",""
"711118531369893911","stroberikentang","2025-07-04T02:28:37.6210000+00:00","BOSSANOVA JAWA MENTIONED RRAAAHHH","",""
"930135709526933545","car3830","2025-07-04T03:56:57.0490000+00:00","Also this
https://youtu.be/Bhzz1xHl4Yg?si=OOaKe_GDjMstsNot","","💃 (1)"
"712671680324960316","pompompuringdom","2025-07-10T14:12:38.5060000+00:00","guys the new f1 movie ost is so good","",""
"456226577798135808","Deleted User","2025-07-16T06:11:05.0520000+00:00","Isn't this AI","",""
"456226577798135808","Deleted User","2025-07-16T06:11:26.8540000+00:00","Oh wait wrong tag","",""
"456226577798135808","Deleted User","2025-07-16T06:11:32.4050000+00:00","Isn't this AI","",""
"930135709526933545","car3830","2025-07-16T06:31:16.3260000+00:00","Ow... i don't know about it.
(Gak ngeh)","",""
"835344347981414441","lui9094","2025-07-17T14:21:13.9840000+00:00","What’s y’all fav music genress","",""
"712671680324960316","pompompuringdom","2025-07-17T14:30:40.0270000+00:00","Currently been into LANY","",""
"717582545944051772","arcadius5190","2025-07-17T15:56:09.1350000+00:00","Differs, sometimes its very coffee n brown sweaters like hozier, lord huron, and lumineers or old whimsy ladies like vashti bunyan","",""
"717582545944051772","arcadius5190","2025-07-17T15:57:50.4770000+00:00","Singers whose songs remind me of grief  is sufjan stevens and  mac demarco","",""
"717582545944051772","arcadius5190","2025-07-17T15:57:53.9840000+00:00","https://tenor.com/view/grey-cat-running-towards-camera-grey-cat-cat-cat-running-running-towards-camera-gif-12235778773946638331","",""
"265052179478347777","quetietrep7537","2025-07-29T03:26:14.8230000+00:00","https://www.youtube.com/watch?v=Z92nAlKw3vk","",""
"365917907861110796","floatingtales","2025-07-29T10:26:20.5700000+00:00","We need more Florence + The Machine in our airwaves:

https://youtu.be/L62LtChAwww?feature=shared","",""
"712671680324960316","pompompuringdom","2025-07-29T12:59:05.8160000+00:00","the only song i like from them is the cruella de ville song lol","",""
"365917907861110796","floatingtales","2025-07-30T06:50:39.1900000+00:00","Unironically call me cruella is the least Florence sounding song they've done lol","",""
"835344347981414441","lui9094","2025-10-06T06:12:31.6240000+00:00","https://www.instagram.com/reel/DErTu5oMDym/?igsh=c3FjcnI4d3h6cGZh","",""
"835344347981414441","lui9094","2025-10-09T04:40:15.3860000+00:00","Does Anybody like songs other than English languages?","",""
"835344347981414441","lui9094","2025-10-09T04:40:44.6480000+00:00","Me personally I’ve really been into C-pop and Latin","",""
"835344347981414441","lui9094","2025-10-09T04:44:18.9550000+00:00","Anyway I love house music too","https://cdn.discordapp.com/attachments/1368565505836716085/1425705413336367114/v24044gl0000d3j844vog65qjs114po0.mov?ex=69969522&is=699543a2&hm=aefb21489fd634ea312d9ffc5a2113de590e35b6462c9718cc6b8150a3cd250d&",""
"365917907861110796","floatingtales","2025-10-09T04:57:30.3980000+00:00","honestly, I used to hear a lot of eurovision and they have some bangers. I follow one or two guys from there and it's great.

Mahmood from italy is awesome.
https://youtu.be/M-aoyPa41Ic?si=4zKFlmvoyVgBN5RD","",""
"365917907861110796","floatingtales","2025-10-09T04:57:45.5180000+00:00","honestly, a lot of eurovision entries from italy are solid","",""
"365917907861110796","floatingtales","2025-10-09T04:58:22.7150000+00:00","These boys are also awesome.
https://youtu.be/1TOMqZV2jA8?si=8qySqWAFhXD3OYoD","",""
"365917907861110796","floatingtales","2025-10-09T04:59:47.9910000+00:00","I'm just spamming italian eurovision entries now
https://youtu.be/RVH5dn1cxAQ?si=aR56Ur2h4ypRkJ43","",""
"712671680324960316","pompompuringdom","2025-10-09T05:01:06.6210000+00:00","so sometimes i get overstimulated when there’s music so my daily playlist is mainly music like lo-fi, jazz, and specifically i have a thing for movie OSTs","","👍 (2)"
"712671680324960316","pompompuringdom","2025-10-09T05:01:52.7520000+00:00","that being said of course i also listen to “regular” music — whatever i like, don’t matter the genre, right now my most played song is tabola bale LMAOOOOO","","😂 (2)"
"712671680324960316","pompompuringdom","2025-10-09T05:02:18.9590000+00:00","https://music.apple.com/id/playlist/carousel/pl.u-zPyLmg9F8albvb","",""
"712671680324960316","pompompuringdom","2025-10-09T05:02:50.4910000+00:00","Idk how many of you are Apple Music but this is my daily playlist, especially in the mornings, I kinda need this to “set my brain”","","🌻 (2)"
"790860761291423754","beethozheng","2025-10-24T05:44:40.1190000+00:00","I listen to C-Pop, Rock, and sometimes Classical","",""
"835344347981414441","lui9094","2025-10-24T05:50:24.8710000+00:00","Ohh you mean classic rock?","",""
"835344347981414441","lui9094","2025-10-24T05:50:42.2830000+00:00","Who’s ur favorite bands? Queen?","",""
"790860761291423754","beethozheng","2025-10-24T05:53:31.9380000+00:00","Silent Riot and DragonForce","",""
"970252225727303751","anqiel.","2025-10-24T06:25:48.9840000+00:00","Nice! I’m on Apple music but then I mostly use it to listen to nature sounds and jazz to kinda relax my mind. Thank you for sharing this playlist Indah! I’ll add this to my playlist 🤎","","🩷 (2)"
"835344347981414441","lui9094","2025-11-13T02:53:30.9740000+00:00","Do you guys hear a lot of spanish songs which is Latin music?","",""
"835344347981414441","lui9094","2025-11-13T02:53:41.7940000+00:00","Who’s a big fan of latin music?","",""
"970252225727303751","anqiel.","2025-11-13T02:54:00.1020000+00:00","Oh Latin’s nice!","",""
"970252225727303751","anqiel.","2025-11-13T02:54:05.5390000+00:00","Apart from Shakira","",""
"970252225727303751","anqiel.","2025-11-13T02:54:14.6970000+00:00","Lelepons song Celoso is good","",""
"970252225727303751","anqiel.","2025-11-13T02:54:25.5450000+00:00","Not hearing much of a spanish song but yeah","",""
"970252225727303751","anqiel.","2025-11-13T02:54:35.5220000+00:00","I know Latin songs are dope 👍","",""
"970252225727303751","anqiel.","2025-11-13T02:54:46.1940000+00:00","Also don’t forget to mention Figurinha","",""
"835344347981414441","lui9094","2025-11-13T02:54:52.9840000+00:00","I’m a big fan of Enrique iglesias, i tend to listen millenial latin pop songs and artists which are thalia and Enrique iglesias","","👍 (1)"
"835344347981414441","lui9094","2025-11-13T02:55:04.5330000+00:00","Shakira and Jlo are nah","",""
"970252225727303751","anqiel.","2025-11-13T02:55:23.3250000+00:00","Too basic isn’t it? 😂","",""
"835344347981414441","lui9094","2025-11-13T02:55:30.7420000+00:00","Pre 2018 Latin songs are dope","","👍 (1)"
"365917907861110796","floatingtales","2025-11-13T02:55:34.1330000+00:00","you can't get more latin than Bad Bunny tho right now","",""
"835344347981414441","lui9094","2025-11-13T02:55:40.4520000+00:00","Latin pop nowadays are nah","",""
"835344347981414441","lui9094","2025-11-13T02:55:47.4970000+00:00","I prefer daddy yankee","",""
"835344347981414441","lui9094","2025-11-13T02:55:52.3390000+00:00","Bad Bunny sucks","",""
"835344347981414441","lui9094","2025-11-13T02:56:34.6960000+00:00","Even tho he’s not singer anymore because","",""
"835344347981414441","lui9094","2025-11-13T02:56:57.4060000+00:00","1990-2018 Latin songs ✊🏼✊🏼","",""
"365917907861110796","floatingtales","2025-11-13T02:57:13.6650000+00:00","I remember my brother used to listen to a lot of pitbull","",""
"484676733359095809","viosky","2025-11-13T02:57:16.6110000+00:00","woah","",""
"835344347981414441","lui9094","2025-11-13T02:57:18.4720000+00:00","I prefer more millenial latin singers","",""
"835344347981414441","lui9094","2025-11-13T02:57:24.2340000+00:00","Ohh","",""
"835344347981414441","lui9094","2025-11-13T02:57:35.8050000+00:00","Gen Z are nah","",""
"365917907861110796","floatingtales","2025-11-13T02:57:35.8090000+00:00","HOTEL MOTEL HOLIDAY INN","","👍 (1)"
"365917907861110796","floatingtales","2025-11-13T02:57:38.3990000+00:00","or something","",""
"835344347981414441","lui9094","2025-11-13T02:58:15.1770000+00:00","I only heard sebastian yatra of latin pop nowadays from gen z singers","",""
"835344347981414441","lui9094","2025-11-13T02:59:08.0950000+00:00","I love italian songs too but they’re kinda like pop opera songs","",""
"835344347981414441","lui9094","2025-11-13T02:59:35.2570000+00:00","Like Andrea bocelli , and that one song called ‘Sara Perche Ti Amo’","",""
"835344347981414441","lui9094","2025-11-13T02:59:47.9970000+00:00","My dad heard pavarotti a lot","",""
"365917907861110796","floatingtales","2025-11-13T02:59:54.7100000+00:00","oh Italian songs are awesome tho","","👍 (1)"
"365917907861110796","floatingtales","2025-11-13T02:59:58.0170000+00:00","Nina Zilli","",""
"365917907861110796","floatingtales","2025-11-13T03:00:00.5550000+00:00","great artist","",""
"835344347981414441","lui9094","2025-11-13T03:00:17.6400000+00:00","Laura Pausini also my favorite and she’s also Latin Music singers i guess","",""
"835344347981414441","lui9094","2025-11-13T03:00:27.0250000+00:00","Eros Ramazotti is the same","",""
"365917907861110796","floatingtales","2025-11-13T03:00:34.7810000+00:00","https://www.youtube.com/watch?v=EkjoCMvc-lI","",""
"365917907861110796","floatingtales","2025-11-13T03:03:03.4330000+00:00","Y'all watch eurovision?","",""
"835344347981414441","lui9094","2025-11-13T03:03:18.6180000+00:00","The only time i heard french songs , when i just wanna hear afropop","",""
"835344347981414441","lui9094","2025-11-13T03:03:22.4200000+00:00","Nahh","",""
"835344347981414441","lui9094","2025-11-13T03:03:43.4150000+00:00","French Afropop >>>> English Afropop","",""
"365917907861110796","floatingtales","2025-11-13T03:04:23.4820000+00:00","https://youtu.be/9o9o2hAMzeo?si=vMOlJwKJSb1I0S_Y","",""
"365917907861110796","floatingtales","2025-11-13T03:04:29.5740000+00:00","french afropop","",""
