AuthorID,Author,Date,Content,Attachments,Reactions
"627016661894955018","josephine021552","2025-05-06T05:39:40.9250000+00:00","hi folks! my friend is holding a shut up and write session every tuesday at 8 PM (GMT+7) over zoom. if you would like to have some body doubling experience that boosts your productivity, send me a dm and I’ll get you the link to the zoom!","","💯 (2)"
"243443816814608385","dzmiguel","2025-05-06T07:13:38.1100000+00:00","Hey folks! Lemme introduce my self. I'm El, a 30-year-old single dude this year.

Right now, I'm freelancing and also driver to Grab/GoCar. 

I also kinda know my way around Jakarta, you know? Cool hangout spots, good eats, chill places, hidden gems, etc.

So yeah, I could totally be your Jakarta tour guide, especially if you're curious about riding public transport and hitting up those roadside ""warteg"" spots where you can eat for less than 15K. 'Cause I'm always hopping on public transport, I know the KRL, Busway, and MRT routes like the back of my hand.

Need a ride to the airport or a pickup from the airport? I can help you out with that too. Your personal chauffeur, right here! Or if you wanna explore Jakarta for the whole day, I'm down. Can even help lug your stuff around. 

Why roll with me instead of just using a ride-hailing app? Well, with me, you're guaranteed to get picked up on time. Clean car (it's a Toyota Rush, not a fancy ride but it's my personal car). No hassle, and you won't end up with some weirdo driver who'll just piss you off. You know how it is if you read the news – lots of strange online drivers out there, all sorts of cases and stuff. It's 'cause the app takes a huge cut, stresses the drivers out, and makes it hard for them to make a living.

Plus, I can speak English, so I can be your chat buddy too!

Just hit me up if you're keen or wanna ask anything first.","","🩷 (14)"
"456226577798135808","Deleted User","2025-05-06T07:23:33.3560000+00:00","NICE, going to Jakarta next year
I might need ya","","👍 (1)"
"425585007906783232","gksubrata","2025-05-06T07:24:51.4250000+00:00","Hi. I’m konco. I make videos on the side. Check my IG:

https://www.instagram.com/rawpinions?igsh=N3YzZXJuaHQxYnR1

it’s pretty great. Should follow. I make laughter.","","🩷 (1),👍 (2)"
"1102844791852638218","izyy_6969","2025-05-06T09:09:08.5590000+00:00","WASSSUPPP, im izyy 👦 🔫  and i make this serious, smart, intelectual sundanese ONLY podcast, hit me up

https://www.instagram.com/tamkotpodcast/","","🩷 (2)"
"448935208478179338","transactionshq","2025-05-06T15:06:10.0210000+00:00","Hello everyone,

I have a Discord server for language learners

If you like to learn foreign languages, you are welcome to join.

Thx for letting me post here 🙏","",""
"448935208478179338","transactionshq","2025-05-06T15:06:29.9000000+00:00","https://discord.gg/KqZE3RJF","",""
"448935208478179338","transactionshq","2025-05-06T15:31:09.9960000+00:00","mantuuuul","","🫰 (1)"
"765121356521930752","m.i8622","2025-05-06T16:28:18.6190000+00:00","Just messaged you!","","👍 (1)"
"1205583169428922401","f4rtl0rd","2025-05-06T18:31:06.1860000+00:00","Oh please i might need you sometimes in the future","","👍 (1)"
"448935208478179338","transactionshq","2025-05-06T20:43:57.4040000+00:00","yeah i'm coming to indonesia next year so i sent you a friend request","",""
"243443816814608385","dzmiguel","2025-05-07T05:54:55.1270000+00:00","Just let me know when u come, thanks","",""
"192984186997571584","axeru","2025-05-08T12:31:05.6990000+00:00","hello friends i am a graphic designer and if you ever need any quick freelancing or editing work feel free to dm me and i'll send you my portfolio hihi","","🫰 (8)"
"627016661894955018","josephine021552","2025-07-04T07:13:18.6790000+00:00","hi friends, my friend and I just launched our digital media here: https://www.instagram.com/tangerinetwork?igsh=MXJ3ZW1vbG1yNWo3YQ==

we are aiming to be an informative and calm media amidst the chaotic world. look at our pinned post for our letter to our audience.

follows, likes, and shares are so so so appreciated ❤️","","👍 (2)"
