AuthorID,Author,Date,Content,Attachments,Reactions
"1205583169428922401","f4rtl0rd","2025-05-07T13:22:09.7680000+00:00","@G CAT (Indah G) Do you have a plan to make a TIGS eps with Kak Didit, son of the president?","","preacheraj (3),😂 (1)"
"712671680324960316","pompompuringdom","2025-05-08T10:40:24.5620000+00:00","LMFAO omg that is 100% never ever happening","","😿 (1)"
"712671680324960316","pompompuringdom","2025-05-08T10:41:06.5720000+00:00","family members of the executive branch (president & vice president) are definitely not free to get on public forums and platforms and talk about things","",""
"712671680324960316","pompompuringdom","2025-05-08T10:41:27.3000000+00:00","but i’m waiting to hear back from other prominent names in Indonesian politics, fingers crossed","",""
"794937532869509141","solololo12345","2025-05-08T17:05:49.1790000+00:00","When are u updating a new episode ? I’m curious did u do a video with Bobby Saputra ?","",""
"794937532869509141","solololo12345","2025-05-08T17:06:11.5120000+00:00","Btw u are so hilarious in flimty episode 🤣","",""
"712671680324960316","pompompuringdom","2025-05-10T05:17:36.8030000+00:00","This week! I’ve been taking a break from TIGS but also Titto has been away, so I used the opportunity to focus on other ventures & projects. 

Bobby’s episode is on expedite, you will all get it soon, I promise!","",""
"712671680324960316","pompompuringdom","2025-05-10T05:18:24.1160000+00:00","LOL now we all know that if I were on RuPaul’s drag race, I’d absolutely be a comedy queen 💅🏻✨","",""
"922741513501442068","ivoryemma1119","2025-05-10T05:21:47.4780000+00:00","You will be trinity the tuck 🤣","",""
"922741513501442068","ivoryemma1119","2025-05-10T05:22:37.1350000+00:00","Pleasee i want a tell all episode of cash queenn ❤️❤️❤️❤️❤️❤️❤️","",""
"712671680324960316","pompompuringdom","2025-05-10T05:23:13.7400000+00:00","We’re going to have an episode with all 9 of us, minus Livy

Any topics or questions you’d like to pass?","","⚠️ (4),🤙 (1)"
"1205583169428922401","f4rtl0rd","2025-05-10T08:36:42.9850000+00:00","How were the cashqueens 1st impressions and then experience befriending this controversial Chindo barbie","","😂 (2)"
"922741513501442068","ivoryemma1119","2025-05-10T10:27:41.2920000+00:00","What you wish yall have done in the show?","","👍 (1)"
"456226577798135808","Deleted User","2025-05-10T10:42:48.5850000+00:00","During the show, you werent allowed to order food outside and were given only limited ingridients by the team to make do with. what food did you wish you couldve eaten?","","👍 (1)"
"794937532869509141","solololo12345","2025-05-13T15:15:45.0930000+00:00","okie gurl whatever u do we support u always just don’t too long we misses u already","",""
"654212129343275010","lalutako3625","2025-05-13T16:12:48.4080000+00:00","guys, I'm literally so desperate to watch the RAYE concert in JIEXPO","",""
"654212129343275010","lalutako3625","2025-05-13T16:30:18.3810000+00:00","Oh wait wrong channel","",""
"1205583169428922401","f4rtl0rd","2025-05-15T11:41:42.4700000+00:00","Lol the new episode with Bobby Saputra makes me laugh & enraged me at the same time","",""
"1205583169428922401","f4rtl0rd","2025-05-15T11:42:17.3150000+00:00","Cause i do be thinking in real life, somewhere some rich people in tall luxurious buildings be talking like that","",""
"536877976621416448","drettyier","2025-05-15T12:39:12.5490000+00:00","NEW THE INDAH G SHOW EPISODE FT. BOBBY SAPUTRA OUT NOW:

YouTube: https://youtu.be/KIJ6YU1-ZGM

Spotify: https://creators.spotify.com/pod/show/theindahgshow/episodes/BOBBY-SAPUTRA-IS-IT-CALLED-INDONESIA-GELAP-BECAUSE-PEOPLE-FORGOT-TO-PAY-FOR-ELECTRICITY-e32r0r8

NOICE: https://open.noice.id/content/849b913f-1a16-481f-9bcd-d95aa03e2192?utm_source=app_sharing&referrer_id=0f7b18be-64dd-4bd3-b017-9cafb729e65e&utm_medium=content","","💯 (1)"
"712671680324960316","pompompuringdom","2025-05-19T11:12:12.3880000+00:00","@everyone all of you are ACTUALLY going to laugh 😂 

https://vm.tiktok.com/ZP86nYbTr/

Read the comments ☠️ So many of these people don’t realize it’s sarcasm, like they’re GENUINELY pissed","",""
"712671680324960316","pompompuringdom","2025-05-19T11:12:25.5720000+00:00","","https://cdn.discordapp.com/attachments/1368567772363227267/1373981619517653063/IMG_0724.png?ex=69964759&is=6994f5d9&hm=334d1b0a672518ce9044968fcfa57e6f6268bc88ae2476e2ceaba67a026346d1&,https://cdn.discordapp.com/attachments/1368567772363227267/1373981619828035677/IMG_0726.png?ex=69964759&is=6994f5d9&hm=9a17b4b0156c2db8d52618a03a9277b1ce54b8cc89c681d22ede9ea720036a58&",""
"712671680324960316","pompompuringdom","2025-05-19T11:12:30.7620000+00:00","LMFAOOOOOOOO","",""
"712671680324960316","pompompuringdom","2025-05-19T11:12:40.5030000+00:00","Highlight of my fucking day 👌🏼","",""
"712671680324960316","pompompuringdom","2025-05-19T11:12:55.6620000+00:00","Me and my intern @drettyier were legit howling","",""
