AuthorID,Author,Date,Content,Attachments,Reactions
"712671680324960316","pompompuringdom","2025-07-15T03:01:01.9580000+00:00","# @everyone meet & greet details (open for discussion)

📆 Saturday July 26 + Monday July 28
📍 Colette Lola, Permata Hijau, Belleza Shopping Arcade  
** Jl. Arteri Permata Hijau No.34, Grogol Utara, Kec. Kby. Lama, Jakarta, Daerah Khusus Ibukota Jakarta 12210 
⏰ 1 PM - 6 PM, both dates 
💰 IDR 99.000, *you get 1 drink + 1 treat/pastry from Colette Lola* 

‼️ Maximum 40 pax total per day at this location 

>> You’d have to register on an online form and make the payment there to secure your attendance 

**Activities I have in mind so far:** 
- yap & mingle 
- play SANRIO UNO in groups of 3-4, and then the winners from each 3-4 groups come together to form one final round group, winner gets a special prize (i still need to figure out what) 
- SANRIO trivia quiz, winner gets special prize 
- actually Colette Lola has a cupcake decorating activity but if you guys want to do that one, that’s an ADDITIONAL 200k if you want to do this after all the other activities, i’m not sure how down people are for this.","","🔥 (4)"
"712671680324960316","pompompuringdom","2025-07-15T03:01:15.4070000+00:00","what do you guys think?","",""
"794937532869509141","solololo12345","2025-07-15T03:55:24.8630000+00:00","Nooo i can’t join 🥺🥺","",""
"889038362093174805","bfnlma","2025-07-15T04:52:27.5930000+00:00","Maybe if you hold another one next month, I'll try to join!! Have a sched alr on 26 and 28 is working day so can't attend on both days 😦","",""
"1109797233693565008","serellune","2025-07-15T07:18:14.2250000+00:00","me too..i'm facing sidang skripsi🥺","",""
"794937532869509141","solololo12345","2025-07-15T08:45:01.7310000+00:00","Beda negara 😭
But hwatting u !","",""
"712671680324960316","pompompuringdom","2025-07-15T10:37:52.8470000+00:00","Oh my God NOOOOOO","",""
"712671680324960316","pompompuringdom","2025-07-15T10:38:04.7780000+00:00","pretzel, 26 is a SATURDAY","",""
"889038362093174805","bfnlma","2025-07-15T10:38:23.0060000+00:00","I SAID.. HAVE A SCHED ON 26...","",""
"712671680324960316","pompompuringdom","2025-07-15T10:38:28.4560000+00:00","OH","",""
"712671680324960316","pompompuringdom","2025-07-15T10:38:32.3210000+00:00","hbjwqo","",""
"889038362093174805","bfnlma","2025-07-15T10:38:32.9000000+00:00","😔😔😔","",""
"712671680324960316","pompompuringdom","2025-07-15T10:38:43.7040000+00:00","noooooooo","",""
"712671680324960316","pompompuringdom","2025-07-15T10:38:46.9290000+00:00","@everyone how are we feeling about those dates?","",""
"889038362093174805","bfnlma","2025-07-15T10:39:33.1430000+00:00","Personally I prefer weekends but sadly I have been booked","","😭 (1)"
"712671680324960316","pompompuringdom","2025-07-15T10:40:53.1060000+00:00","","",""
"243443816814608385","dzmiguel","2025-07-15T11:06:44.4610000+00:00","I can't on July 26, have schedule Hiking Mt Sindoro.  3 August i have trail Run. 

I can on 28 Jul , 28 looks nice for me.","",""
"712671680324960316","pompompuringdom","2025-07-15T11:17:47.4790000+00:00","Okay what if we did like Fri August 1 + Saturday August 2","","⚠️ (1),👀 (1)"
"835344347981414441","lui9094","2025-07-15T11:55:20.1650000+00:00","I agree","",""
"243443816814608385","dzmiguel","2025-07-16T01:01:47.2430000+00:00","i can on 1 August, 
2 Aug still tentative, because i need to rest for Trail run on 3 Aug. Hahahaha.","",""
"722288128332660846","shibalsupremacy","2025-07-16T07:53:31.3590000+00:00","im in","",""
"722288128332660846","shibalsupremacy","2025-07-16T07:54:50.6900000+00:00","im okay with anyday","",""
"712671680324960316","pompompuringdom","2025-07-16T10:40:55.3670000+00:00","","",""
"835344347981414441","lui9094","2025-07-17T03:27:44.9770000+00:00","Admin, Would you mind to give us the registration link","",""
"712671680324960316","pompompuringdom","2025-07-21T10:44:59.3650000+00:00","# @everyone update about the meet & greet

i just had a meeting with the Colette Lola team, and also considered some requests regarding the dates

The Meet & Greet is officially going to be on: 
**Saturday August 2** & **Saturday August 9**
**1 PM - 5 PM** 
Colette Lola, Jl. Wolter Monginsidi No. 43","","❤️ (2)"
"712671680324960316","pompompuringdom","2025-07-21T10:45:17.8160000+00:00","We’ll be releasing the sign up form this Wednesday!","",""
"354951918012989440","lovelyn.","2025-07-22T14:54:46.3560000+00:00","When’s the meet & greet in Bali?","",""
"712671680324960316","pompompuringdom","2025-07-22T17:30:10.3730000+00:00","actually i’m going to bali in october so LOL maaaaaybe?","",""
"835344347981414441","lui9094","2025-07-23T02:18:42.8210000+00:00","@G CAT (Indah G) admin, where’s the gform ?","",""
"712671680324960316","pompompuringdom","2025-07-23T08:10:39.4470000+00:00","Hey @everyone, I’m releasing the meet & greet sign up form tonight 6 PM WIB to the general public, 

but I’ll release it by 5 PM WIB here on Discord because you guys are special 💜","","❤️ (3)"
"712671680324960316","pompompuringdom","2025-07-23T10:00:26.1610000+00:00","# @everyone HERE IS THE LINK TO SIGN UP FOR THE MEET & GREET, LIMITED SLOTS (40 PAX)

https://forms.gle/663rCmDvrf4NGLXC7","",""
"712671680324960316","pompompuringdom","2025-07-23T10:02:45.5350000+00:00","Mention me if you have any questions or concerns!","",""
"712671680324960316","pompompuringdom","2025-07-23T10:20:24.7440000+00:00","Dates changed to **Saturday August 2 and Sunday August 3** by the way","",""
"712671680324960316","pompompuringdom","2025-07-24T12:10:20.9010000+00:00","also @everyone I’ll be announcing all the prizes you can all compete for at the meet & greet, by end of the month (spoiler = They’re all SANRIO THEMED) 🤭🤭🤭","",""
"717582545944051772","arcadius5190","2025-07-24T12:10:50.3250000+00:00","https://tenor.com/view/lol-gif-7861706154504118014","",""
"889038362093174805","bfnlma","2025-07-24T14:06:18.5130000+00:00","Let me see if I can make it","",""
