AuthorID,Author,Date,Content,Attachments,Reactions
"712671680324960316","pompompuringdom","2025-05-06T04:59:48.4590000+00:00","anjay","",""
"711118531369893911","stroberikentang","2025-05-06T05:00:44.3940000+00:00","Stecu stecu","",""
"456226577798135808","Deleted User","2025-05-06T05:02:49.1430000+00:00","berak","","😂 (1)"
"712671680324960316","pompompuringdom","2025-05-06T06:53:29.9390000+00:00","berak = poop","",""
"425585007906783232","gksubrata","2025-05-06T07:21:34.3370000+00:00","Kalau memang cocok bisa datang kerumah","","😚 (1)"
"474936118786129940","perantau98","2025-05-07T01:02:29.5370000+00:00","Sini boleh cakap bahasa Malaysia tak?","",""
"712671680324960316","pompompuringdom","2025-05-07T01:02:40.9690000+00:00","Boleh sekali!","",""
"712671680324960316","pompompuringdom","2025-05-07T01:03:21.1150000+00:00","Perasaan kau belum perkenalkan diri di #・🤝・introduce-yourself deh @perantau98 🤣","",""
"474936118786129940","perantau98","2025-05-07T01:04:03.7490000+00:00","Okay2, akan perkenalkan diri jap lagi","",""
"474936118786129940","perantau98","2025-05-07T01:11:48.1780000+00:00","Sudah","",""
"474936118786129940","perantau98","2025-05-07T01:22:50.6880000+00:00","Ni sampai Malaysia semua nyanyi. Stecu stecu stelan cuek baru malu. Takleh keluar daripada kepala.","","😂 (1)"
"456226577798135808","Deleted User","2025-05-07T01:23:01.3550000+00:00","WEEEEE MELAYU","",""
"456226577798135808","Deleted User","2025-05-07T01:23:10.1710000+00:00","aku pun bise gak ni cakap melayu","",""
"456226577798135808","Deleted User","2025-05-07T01:23:12.2980000+00:00","ape kabar wak","",""
"456226577798135808","Deleted User","2025-05-07T01:23:15.2000000+00:00","😋😋😋","",""
"474936118786129940","perantau98","2025-05-07T01:23:40.1630000+00:00","Baik, cuma harini panas.","",""
"474936118786129940","perantau98","2025-05-07T01:23:55.0720000+00:00","Bak kata orang Kedah, panah bak hang lit lit","",""
"456226577798135808","Deleted User","2025-05-07T01:24:01.5450000+00:00","Eh benar la?? Sini ndk gk panas benar","",""
"456226577798135808","Deleted User","2025-05-07T01:24:05.7950000+00:00","maseh pagi soal e","",""
"456226577798135808","Deleted User","2025-05-07T01:24:10.2460000+00:00","💀","",""
"474936118786129940","perantau98","2025-05-07T01:24:18.6640000+00:00","Sini pagi dah panas","",""
"456226577798135808","Deleted User","2025-05-07T01:24:30.4770000+00:00","biase e kalau panas panas gitu tu tande e nak ujan cui","",""
"474936118786129940","perantau98","2025-05-07T01:24:56.8620000+00:00","Haaa betul tu. Tu petanda nak hujan, petang je hujan.","",""
"456226577798135808","Deleted User","2025-05-07T01:25:12.3520000+00:00","Alamakkkkk mang tak biadab laaa cuace sanak tu","",""
"474936118786129940","perantau98","2025-05-07T01:25:13.7530000+00:00","Jom buat penukaran kata-kata kesat","",""
"456226577798135808","Deleted User","2025-05-07T01:25:18.4700000+00:00","Pagi pon dah panas? Damn","",""
"456226577798135808","Deleted User","2025-05-07T01:25:33.2360000+00:00","ape hal kesat","",""
"456226577798135808","Deleted User","2025-05-07T01:25:45.7740000+00:00","aku melayu Kalbar la bukan melayu Malaysia aowkwkw","",""
"456226577798135808","Deleted User","2025-05-07T01:25:51.6650000+00:00","Tak ngerti aku bang","",""
"474936118786129940","perantau98","2025-05-07T01:26:08.4270000+00:00","Kata-kata tak baik maksudnya. Hshshshs","",""
"456226577798135808","Deleted User","2025-05-07T01:26:18.6300000+00:00","Ohhhh","",""
"456226577798135808","Deleted User","2025-05-07T01:26:30.9950000+00:00","Tak tau la boleh ke tadak ni","",""
"456226577798135808","Deleted User","2025-05-07T01:26:33.6050000+00:00","😭","",""
"474936118786129940","perantau98","2025-05-07T01:26:39.0510000+00:00","Kat kalbar punggung maksudnya apa?","",""
"456226577798135808","Deleted User","2025-05-07T01:26:52.2480000+00:00","ah itu your back la","",""
"474936118786129940","perantau98","2025-05-07T01:27:05.3860000+00:00","Kalbar masih pakai bahasa indo eh","",""
"474936118786129940","perantau98","2025-05-07T01:27:20.4960000+00:00","Sini punggung tu buntut","",""
"456226577798135808","Deleted User","2025-05-07T01:27:24.9490000+00:00","campor campor gitu laaa e, kalau nak supreme melayu ke Malaysia dulu 😂😂","",""
"474936118786129940","perantau98","2025-05-07T01:27:52.3270000+00:00","Kau Kalbar mana? Singkawang ke Pontianak?","",""
"456226577798135808","Deleted User","2025-05-07T01:27:54.0950000+00:00","Tapi bede bede juga la di setiap kota","",""
"456226577798135808","Deleted User","2025-05-07T01:28:09.5010000+00:00","alah aku tak nyaman la bagi aku kat mane","",""
"456226577798135808","Deleted User","2025-05-07T01:28:17.0550000+00:00","sorry sorry :p","",""
"474936118786129940","perantau98","2025-05-07T01:28:28.1780000+00:00","Bang, eja kota cukup. Kote tu maksud kont*l di Malaysia hahahahaha","",""
"474936118786129940","perantau98","2025-05-07T01:28:41.3270000+00:00","Kk takpe","",""
"456226577798135808","Deleted User","2025-05-07T01:28:41.7410000+00:00","Alamak, jadi kalau your back ape kalau melayu malay?","",""
"474936118786129940","perantau98","2025-05-07T01:28:49.6540000+00:00","Belakang","",""
"456226577798135808","Deleted User","2025-05-07T01:28:56.0330000+00:00","ANJ AOWKWKWKWK","",""
"456226577798135808","Deleted User","2025-05-07T01:29:37.7600000+00:00","okay aowkwkw aku tk pakai lagi la kalau cakap dgn u","",""
"474936118786129940","perantau98","2025-05-07T01:30:38.1950000+00:00","Santai, bahasa melayu kayak bahasa indo kalo ngetik, gausah belakangnya e. Aman aja kok.","",""
"474936118786129940","perantau98","2025-05-07T01:30:51.8420000+00:00","Tapi yaaa kan itu cara Melayu Indonesia ngetik","",""
"456226577798135808","Deleted User","2025-05-07T01:31:05.7140000+00:00","Oh iyeee kalau disini kamek pun bilang belakang gak, tapi lebih formal e ""punggung""","",""
"474936118786129940","perantau98","2025-05-07T01:31:08.0990000+00:00","Melayu Malaysia ngetik caranya cara baku, cuman waktu ngomang a jadi e","",""
"456226577798135808","Deleted User","2025-05-07T01:31:22.5130000+00:00","Aaaa gitu ya","",""
"474936118786129940","perantau98","2025-05-07T01:31:25.2060000+00:00","Sini punggung memang buntut.","",""
"456226577798135808","Deleted User","2025-05-07T01:31:31.1120000+00:00","That's very fun I like this conversation","",""
"456226577798135808","Deleted User","2025-05-07T01:31:55.0560000+00:00","Dahlah aku off dl ya, lagi di kelas soalnya 😋","",""
"474936118786129940","perantau98","2025-05-07T01:32:10.5970000+00:00","Ohhh kuliah","",""
"711118531369893911","stroberikentang","2025-05-07T03:15:31.1710000+00:00","lagunya seru soalnya 😔 👍","",""
"627016661894955018","josephine021552","2025-05-07T03:59:47.9160000+00:00","hi, dropping my poem related to the chindo debates in the channel next door","https://cdn.discordapp.com/attachments/1368504496808001556/1369524091173998603/IMG_1273.png?ex=69968ab3&is=69953933&hm=32702bfea08dd48ed60175b8b4a2b313694277429bcb542e3a053fc861b98ec3&","❤️ (3)"
"1231603696534818887","lavenderbell.","2025-05-07T06:27:33.5670000+00:00","Btw, orang yg tadi bilang bahasa Indonesia rasis udah keluar dr server ya?","",""
"1231603696534818887","lavenderbell.","2025-05-07T06:28:34.1850000+00:00","Tadi penasaran & blm baca semua argumennya, tapi kyknya ada beberapa message yg di-delete ya","",""
"243443816814608385","dzmiguel","2025-05-07T06:29:39.3530000+00:00","Sepertinya uda keluar atau di Kick, ntahlah. Td liat ada beberapa uda deleted message soalnya. Hahahaha","","👍 (1)"
"1173821133284442143","yummyomnom","2025-05-07T06:30:22.3730000+00:00","https://discord.com/channels/917865066794197062/1368468650142466088/1369520649261023312 Yup, udah di ban","","👍 (1)"
"1231603696534818887","lavenderbell.","2025-05-07T06:31:52.4620000+00:00","https://discord.com/channels/917865066794197062/1368565723085013072/1369411832196108423

Native english speaker ceunah 😩","",""
"1102844791852638218","izyy_6969","2025-05-07T06:36:29.9450000+00:00","itu dia yg promosi server dia ga sih","",""
"1231603696534818887","lavenderbell.","2025-05-07T06:36:50.0160000+00:00","Iyaaaa wkwkwkw","",""
"1102844791852638218","izyy_6969","2025-05-07T06:36:58.5530000+00:00","i look up his server","",""
"1102844791852638218","izyy_6969","2025-05-07T06:37:41.2720000+00:00","trus ada org yg bilang ke dia ""how come youre chaotic in other server but not on your own""","",""
"1102844791852638218","izyy_6969","2025-05-07T06:37:45.8900000+00:00","something like that, hahahaha","",""
"1231603696534818887","lavenderbell.","2025-05-07T06:41:41.6470000+00:00","Padahal dah dibilang di #⌈📜⌋・rules kagak boleh promosi server laen 😂","",""
"1231603696534818887","lavenderbell.","2025-05-07T06:43:18.2890000+00:00","EH boleh deng ya kalo di channel² tertentu","",""
"1102844791852638218","izyy_6969","2025-05-07T06:44:43.9750000+00:00","man i love dc drama","","🤣 (1)"
"1102844791852638218","izyy_6969","2025-05-07T06:44:52.1830000+00:00","hari yang cerahh","",""
"243443816814608385","dzmiguel","2025-05-07T07:14:54.5940000+00:00","Hati2 yg lagi di Jakarta, 
Lagi Hujan Badai ni d daerah Gambir , Monas","https://cdn.discordapp.com/attachments/1368504496808001556/1369573192506540124/20250507_141411.jpg?ex=6996b86e&is=699566ee&hm=5ef17dae5d2ade8b4fac572d489106f6225eb0bfe8ab11b5f833094e4a615000&",""
"474936118786129940","perantau98","2025-05-08T10:31:20.8440000+00:00","Aku baru ingat mamat Amerika ni. Ni yang nak Indonesia gabung secara paksa dengan Malaysia. Hampeh tul sah bega palo eh.","",""
"1231603696534818887","lavenderbell.","2025-05-08T11:56:06.4860000+00:00","Aku gak paham cakap Malay 😦","",""
"474936118786129940","perantau98","2025-05-08T16:46:30.8820000+00:00","Santai, nanti biasa","",""
"474936118786129940","perantau98","2025-05-12T09:51:30.8670000+00:00","Gw lagi baru bikin 3D model rumah joglo. Ini cuman prompt AI, malah AI bikin code OpenSCAD nya. AI emang keren banget. Gampang aja gw bikin ini.","https://cdn.discordapp.com/attachments/1368504496808001556/1371424542702178304/100cc5e8-91a2-4f52-9167-d19c54c2f1fb.mov?ex=69963462&is=6994e2e2&hm=60de3092a651c145ba105547e50060f0a0c7ddc7925a6fdc5c65a9740b33771b&","👍 (2)"
"474936118786129940","perantau98","2025-05-12T09:54:01.6590000+00:00","Ga sempurna tapi okaylah","",""
"474936118786129940","perantau98","2025-05-12T14:02:07.0720000+00:00","Borobudur","https://cdn.discordapp.com/attachments/1368504496808001556/1371487609003573248/ef41d45b-a1b0-4495-a45d-adc0f690c0d1.mov?ex=69966f1e&is=69951d9e&hm=c3e61b0b5037da53c5b780831eddb1e313a0006cbcc2862d6854d39aa2d3583c&","👍 (3)"
"712671680324960316","pompompuringdom","2025-07-10T12:34:33.3750000+00:00","@everyone question buat kalian2 yang sekolah negeri, pendidikan bahasa inggris kalian di sekolah tuh kayak apa sih?","",""
"712671680324960316","pompompuringdom","2025-07-10T12:34:54.0890000+00:00","ada wajib kelas bahasa inggris ga?","",""
"712671680324960316","pompompuringdom","2025-07-10T12:35:01.4380000+00:00","kalo iya, mulai kelas berapa?","",""
"712671680324960316","pompompuringdom","2025-07-10T12:35:22.8380000+00:00","terus kalo dibandingin sekolah negeri2 saat ini tuh kek gimana?","",""
"456226577798135808","Deleted User","2025-07-10T12:37:58.6700000+00:00","As a person that went to indonesia public school in english once , too academic focused which is lack of relatiablillty to daily life, too formal which lead to unflexibillity so the learning becomes boring cuz some students take english as robotic language , i guess","",""
"456226577798135808","Deleted User","2025-07-10T12:39:02.1770000+00:00","Yea , since grade 7","",""
"756858165647245373","revwuzhere","2025-07-10T12:39:06.9160000+00:00","formalitas, alias buat ajang gweh show off","",""
"712671680324960316","pompompuringdom","2025-07-10T12:39:13.9250000+00:00","so you were taught english in class? was it a mandatory course? soalnya kok ada yang ngomong semenjak kurikulum merdeka, bahasa inggris ga diwajibkan","",""
"712671680324960316","pompompuringdom","2025-07-10T12:39:28.6570000+00:00","sini ada yang kurikulum merdeka ga?","",""
"265052179478347777","quetietrep7537","2025-07-10T12:39:30.9610000+00:00","b ing kayaknya udh wajib dimana mana tapi tergantung kurikulum negaranyanya bisa juga wajib ambil kelas bahasa lain juga","",""
"756858165647245373","revwuzhere","2025-07-10T12:39:35.4460000+00:00","not because im good but because everyone other than me haven't tried any better","",""
"265052179478347777","quetietrep7537","2025-07-10T12:39:57.1060000+00:00","avg kids study spanish the cool kids study french and i just study turkish","",""
"456226577798135808","Deleted User","2025-07-10T12:40:13.0190000+00:00","Ummm im a KTSP student so yes it was still mandatory","",""
"712671680324960316","pompompuringdom","2025-07-10T12:40:22.9480000+00:00","sekolah negeri ada bahasa spanyol??????","",""
"712671680324960316","pompompuringdom","2025-07-10T12:40:28.6140000+00:00","ktsp itu apa?","",""
"265052179478347777","quetietrep7537","2025-07-10T12:40:32.3670000+00:00","negeri lain lah","",""
"456226577798135808","Deleted User","2025-07-10T12:40:32.4540000+00:00","Lol thats pathetic","",""
"456226577798135808","Deleted User","2025-07-10T12:41:39.9890000+00:00","Ummmm wait lemme search it first,  its kurikulum 6 but turns out i study with kurtilas (kurikulum 13 (launched in 2013))","",""
"712671680324960316","pompompuringdom","2025-07-10T12:41:52.7380000+00:00","ok that’s really confusing","",""
"456226577798135808","Deleted User","2025-07-10T12:42:14.8180000+00:00","Tbh idk , maybe i need to ask my cousin first","",""
"265052179478347777","quetietrep7537","2025-07-10T12:42:34.8080000+00:00","they get a new one every new minister","",""
"712671680324960316","pompompuringdom","2025-07-10T12:42:38.4290000+00:00","tapi yang pasti dan yang konsisten, kalian semua yang sekolah negeri tuh baru diintroduce ke bahasa inggris dari kelas 7?","",""
"456226577798135808","Deleted User","2025-07-10T12:43:25.3050000+00:00","I went to private school for elementary school , so idk ehehe. But my friend said they did that way","",""
"756858165647245373","revwuzhere","2025-07-10T12:43:31.0100000+00:00","oh im k13 too

aku dari sd kelas 5 baru dikenalin bahasa inggris","",""
"265052179478347777","quetietrep7537","2025-07-10T12:43:54.9020000+00:00","i feel like i learned english at like grade 3 but memory isnt that good so not sure","",""
"265052179478347777","quetietrep7537","2025-07-10T12:44:06.9720000+00:00","tapi pastinya sebelum smp","",""
"712671680324960316","pompompuringdom","2025-07-10T12:44:15.6000000+00:00","hmmmm ga konsisten ya","",""
"265052179478347777","quetietrep7537","2025-07-10T12:44:25.8630000+00:00","not at all","",""
"712671680324960316","pompompuringdom","2025-07-10T12:44:29.4420000+00:00","terus ga ada yang diintroduce bilingual sejak TK","",""
"756858165647245373","revwuzhere","2025-07-10T12:44:53.7930000+00:00","hmmmm","",""
"712671680324960316","pompompuringdom","2025-07-10T12:45:11.7410000+00:00","karena salah satu policy yang aku mau perjuangkan di indonesia, jujur, introducing english and indonesian starting at the kindergarten level.","",""
"265052179478347777","quetietrep7537","2025-07-10T12:45:19.9150000+00:00","aku sih iya","",""
"456226577798135808","Deleted User","2025-07-10T12:45:33.1170000+00:00","Ummmm idk","",""
"265052179478347777","quetietrep7537","2025-07-10T12:45:35.3700000+00:00","kemendikbud ada buku siswa b ing kls 2 but idk when they started","",""
"712671680324960316","pompompuringdom","2025-07-10T12:45:53.4350000+00:00","sejak kapan???","",""
"265052179478347777","quetietrep7537","2025-07-10T12:46:15.9250000+00:00","","https://cdn.discordapp.com/attachments/1368504496808001556/1392849404259467324/image.png?ex=69965d57&is=69950bd7&hm=5a9bb47ad97ba8f97d9a2843abba6b90a3b7a6ef06cb2e38b846b7ec2e0da81b&",""
"265052179478347777","quetietrep7537","2025-07-10T12:46:35.8050000+00:00","like 4 years ago i think","",""
"712671680324960316","pompompuringdom","2025-07-10T12:47:24.1380000+00:00","ah ok, super recent","",""
"712671680324960316","pompompuringdom","2025-07-10T12:48:03.9230000+00:00","kalo ga salah, di PH, mereka tingkat literasi inggrisnya itu tinggi, justru karena dari TK sudah terbiasa dalam lingkungan bilingual tagalog + english","",""
"265052179478347777","quetietrep7537","2025-07-10T12:49:00.9080000+00:00","the kids are bilingual with their parents since their parents are","",""
"712671680324960316","pompompuringdom","2025-07-10T12:49:15.4320000+00:00","iya tapi mayoritas anak2 indonesia kan nggak ya?","",""
"712671680324960316","pompompuringdom","2025-07-10T12:49:31.2030000+00:00","eh tergantung daerah","","👍 (1)"
"265052179478347777","quetietrep7537","2025-07-10T12:49:52.4540000+00:00","bilingual tapi g b ing","",""
"580702177006190595","ashiapmanman","2025-07-10T12:50:29.8590000+00:00","hello i was, my angkatan was the school's pilot for kurmer (2022). it was a mess, not just for english but for every subject.","",""
"712671680324960316","pompompuringdom","2025-07-10T12:50:39.5470000+00:00","omg","",""
"712671680324960316","pompompuringdom","2025-07-10T12:50:40.4070000+00:00","PLEASE","",""
"712671680324960316","pompompuringdom","2025-07-10T12:50:42.1220000+00:00","PLEASE","",""
"712671680324960316","pompompuringdom","2025-07-10T12:50:43.7600000+00:00","tell me more","",""
