AuthorID,Author,Date,Content,Attachments,Reactions
"712671680324960316","pompompuringdom","2025-12-12T05:41:55.8910000+00:00","@everyone I wanna share something very cute about Filipino society that my friend @muse incognita (Filipina) and I talked about recently. 

In the Philippines, Filipinos go crazy for 3 things (in no particular order):

1. Karaoke
2. Boxing 
3. Pageants 

Miss Universe = Filipino Super Bowl","","👍 (3),🤩 (2)"
"712671680324960316","pompompuringdom","2025-12-12T05:42:30.5430000+00:00","What about in Indonesian society? Or Singaporean, etc.?","",""
"794937532869509141","solololo12345","2025-12-12T05:42:34.0590000+00:00","Filipinas Mostly ate CDs for lunch","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:43:08.5540000+00:00","Indonesian Society:
1. Religion
2. Football
3. Music
4. Adult thingy","",""
"890070769089015808","tianhikari","2025-12-12T05:43:28.3320000+00:00","Im more into music","",""
"712671680324960316","pompompuringdom","2025-12-12T05:43:28.3870000+00:00","I’d say we Indonesians go crazy for badminton","",""
"1327306698838245499","k1mcchii","2025-12-12T05:43:39.4050000+00:00","we go crazy for football actually","",""
"835344347981414441","lui9094","2025-12-12T05:43:40.3690000+00:00","And  football","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:43:45.6120000+00:00","Football definitely","",""
"712671680324960316","pompompuringdom","2025-12-12T05:43:48.0520000+00:00","Okay but come on religion, music & adult entertainment are universal @Jax","",""
"1327306698838245499","k1mcchii","2025-12-12T05:43:59.6430000+00:00","football is def top 1 sport in Indo","",""
"835344347981414441","lui9094","2025-12-12T05:44:00.4690000+00:00","Indah would say soccer cuzz she’s using North American English","","😂 (1)"
"1327306698838245499","k1mcchii","2025-12-12T05:44:09.5390000+00:00","both local and international","",""
"712671680324960316","pompompuringdom","2025-12-12T05:44:12.8710000+00:00","Guilty as charged","","😂 (1)"
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:44:17.8680000+00:00","I mean, it is what unites us most of the time as humanity","",""
"1327306698838245499","k1mcchii","2025-12-12T05:44:28.6660000+00:00","do NOT call football soccer 🥀","","😭 (1)"
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:44:47.2230000+00:00","Plot twist: it is American Football (Rugby)","",""
"712671680324960316","pompompuringdom","2025-12-12T05:44:47.4200000+00:00","","https://cdn.discordapp.com/attachments/1368547381079183420/1448913455590674484/image0.gif?ex=6996a34f&is=699551cf&hm=c5bcd1e7d725e608fe66e8a7dc0baa4567081f0455d35ab0ab83c7988d9ca32c&",""
"867421149126197300","chel705","2025-12-12T05:44:53.2510000+00:00","the real football","",""
"867421149126197300","chel705","2025-12-12T05:45:05.5030000+00:00","we go ham for sports","",""
"717582545944051772","arcadius5190","2025-12-12T05:45:18.0210000+00:00","Hmm wht abt kondangan?","",""
"712671680324960316","pompompuringdom","2025-12-12T05:45:22.4680000+00:00","Okay but I think something specifically Indonesian, something niche, is that we go crazy for badminton","",""
"835344347981414441","lui9094","2025-12-12T05:45:28.5230000+00:00","American Football: Gridiron Football
Aussie Rules : Footy","",""
"867421149126197300","chel705","2025-12-12T05:45:33.3980000+00:00","depends on the culture sih","",""
"712671680324960316","pompompuringdom","2025-12-12T05:45:37.6960000+00:00","Though I wouldn’t say that’s our Miss Universe/Super Bowl","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:45:41.6210000+00:00","I will get you a better one the reason behind kondangan: makan gratis","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:45:45.9680000+00:00","We like free foods","",""
"717582545944051772","arcadius5190","2025-12-12T05:45:46.8120000+00:00","😭","",""
"835344347981414441","lui9094","2025-12-12T05:45:56.5810000+00:00","So particular several countries using soccer as translation to football","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:45:59.3280000+00:00","We want em cheap, we want em free","",""
"867421149126197300","chel705","2025-12-12T05:46:01.4020000+00:00","anime?","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:46:02.9360000+00:00","😂","",""
"717582545944051772","arcadius5190","2025-12-12T05:46:07.7450000+00:00","Those events on the side of the road tbh","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:46:38.3690000+00:00","Decently, and we also got a lot of K Pop lovers","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:46:48.3540000+00:00","To the point that South Korea is trying focus more to our audience","",""
"835344347981414441","lui9094","2025-12-12T05:47:00.4900000+00:00","Why there’s so many sports that came from rugby roots called football 🥺🥺","",""
"867421149126197300","chel705","2025-12-12T05:47:09.8860000+00:00","sport and art maybe","",""
"717582545944051772","arcadius5190","2025-12-12T05:47:15.3690000+00:00","Food...","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:47:18.6710000+00:00","Maybe because we kick the rugby with our foot?","","👍 (1)"
"717582545944051772","arcadius5190","2025-12-12T05:47:21.4050000+00:00","Good fud","",""
"717582545944051772","arcadius5190","2025-12-12T05:47:24.2570000+00:00",":Pepeok:","",""
"835344347981414441","lui9094","2025-12-12T05:47:32.2530000+00:00","American Football, Irish Gaelic Football, Aussie Rules","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:47:36.1560000+00:00","Good food is better than body - Uncle Roger","","👍 (1)"
"867421149126197300","chel705","2025-12-12T05:48:19.3930000+00:00","my take (indonesian)
1. Football
2. Food 
3. Music","",""
"1327306698838245499","k1mcchii","2025-12-12T05:48:35.3100000+00:00","indonesian go crazy for one thing and its crazy that we’re top 1 of it

Porn","","😭 (3)"
"867421149126197300","chel705","2025-12-12T05:48:40.3380000+00:00","ga salah","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:48:41.1890000+00:00","And for Indonesia and Philippines, something we both are crazy about (in negative ways) would be corruption except Philippines might have a worse case","",""
"717582545944051772","arcadius5190","2025-12-12T05:48:43.3080000+00:00","Insane","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:48:48.9200000+00:00","Tadi saya sudah bilang: adult thingy","",""
"794937532869509141","solololo12345","2025-12-12T05:48:53.2010000+00:00","Singapore culture :
all in general 

Childhood = 
1) Tuition (piano , ballet, other instruments private studies)
2) go to school 
3) comeback play game 
4) hang out 
5) tamagochi 
6) blind box

Teen / Uni :
1) arcade 
2) movies 
3) zouk (mostly 18 and above)
4) start smoking for some 
5) even tattoo 
6) tuition (classes) 
7) school
8) BGR
9) Netflix 
10) tamagochi 

 

corporate slaves:
1) work 
2) sleep 
3) Netflix 
4) earn side income 
5) club (for some )
6) weekend workout 
7) hyrox in trend 
8) gym 
9) HIIT 
10) dating apps 🤣
11) out JB or batam on weekends 
12) complain about work 
13) plans for traveling 
14) Majong 
15) eating supper at midnight
16) casino (for some)
17) spin class 
18) Pilates 
19) blind box

Old age :
1) majong 
2) eating supper 
3) at home 
4) gambling (horse race , casino) 
5) hangout with old friends old folks
6) tai chi
7) blind box
8) cruise","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:48:54.5050000+00:00","Just trying to soften it","",""
"1327306698838245499","k1mcchii","2025-12-12T05:49:16.6930000+00:00","aw hell nah yukes trynna drop some truthnvke","",""
"717582545944051772","arcadius5190","2025-12-12T05:49:26.2460000+00:00","Truth nook","",""
"712671680324960316","pompompuringdom","2025-12-12T05:49:27.3690000+00:00","MAJONG","","👍 (1),⭐ (1)"
"712671680324960316","pompompuringdom","2025-12-12T05:49:28.6410000+00:00","HAHAHAHAHAHA","",""
"712671680324960316","pompompuringdom","2025-12-12T05:49:33.2470000+00:00","AHHHHH","",""
"763369578143154260","omnomswag","2025-12-12T05:49:40.5930000+00:00","indonesian society:
accursed
wretched
an anachronism
sick court jester","",""
"717582545944051772","arcadius5190","2025-12-12T05:49:41.5590000+00:00","Ngl once im old i'd be doing tai chi probably","",""
"1327306698838245499","k1mcchii","2025-12-12T05:49:45.0500000+00:00","who here wanna do majong","",""
"1327306698838245499","k1mcchii","2025-12-12T05:49:49.7490000+00:00","i bet my love of my life for 20$","","😂 (1)"
"794937532869509141","solololo12345","2025-12-12T05:49:56.8020000+00:00","Idk how to play 😭","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:50:29.4300000+00:00","When I am old, I will install my son to the government office 😂 😂 😂 😂 😂 😂","","😂 (1)"
"867421149126197300","chel705","2025-12-12T05:50:38.5770000+00:00","when i'm old im gonna spend my days on horse racing (uma musume)","",""
"794937532869509141","solololo12345","2025-12-12T05:50:51.6900000+00:00","Blind  box for all ages","",""
"1327306698838245499","k1mcchii","2025-12-12T05:50:57.4360000+00:00","mf gets complicated just say u into gambling","",""
"712671680324960316","pompompuringdom","2025-12-12T05:51:10.7460000+00:00","Majong’s kinda hard to play I think?","",""
"712671680324960316","pompompuringdom","2025-12-12T05:51:15.4490000+00:00","It’s like chess but Chinese","",""
"717582545944051772","arcadius5190","2025-12-12T05:51:15.5750000+00:00","Ini universal ga si","",""
"794937532869509141","solololo12345","2025-12-12T05:51:17.5110000+00:00","Yeah that’s what they say","",""
"717582545944051772","arcadius5190","2025-12-12T05:51:20.4550000+00:00","Silly knick knacks","",""
"794937532869509141","solololo12345","2025-12-12T05:51:23.9850000+00:00","Yep and my mom still judge me","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:51:25.6650000+00:00","Berkuda di hari tua, bersunda di dalam barak KDM","",""
"867421149126197300","chel705","2025-12-12T05:51:30.2470000+00:00","the anime made it looks easy","",""
"1327306698838245499","k1mcchii","2025-12-12T05:51:30.9050000+00:00","its pretty fun when you know the rules (i don’t know actually)","","😭 (4)"
"717582545944051772","arcadius5190","2025-12-12T05:51:44.1480000+00:00","Girl emas jadi labubu ortu aja deh","",""
"794937532869509141","solololo12345","2025-12-12T05:51:44.9630000+00:00","Waste money 
Nnti masuk setan boneka nya 

Recently ingot myself","https://cdn.discordapp.com/attachments/1368547381079183420/1448915207077363815/IMG_0723.jpg?ex=6996a4f0&is=69955370&hm=f0462409e2b8419a087e2d99b9482d587ae2036bbfc8909101b022b521117add&",""
"712671680324960316","pompompuringdom","2025-12-12T05:51:47.6580000+00:00","no shit sherlock","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:51:50.8990000+00:00","I will just go for good old Uno or Cards Against Humanity for some games tbh","",""
"794937532869509141","solololo12345","2025-12-12T05:51:51.0760000+00:00","My dad  say ihhh kok kek anak kecil","",""
"717582545944051772","arcadius5190","2025-12-12T05:51:53.9000000+00:00","I have... sm","",""
"712671680324960316","pompompuringdom","2025-12-12T05:51:58.5640000+00:00","AHHHHH LIL JUUUDYYY","",""
"794937532869509141","solololo12345","2025-12-12T05:52:06.2050000+00:00","I love Judy","",""
"712671680324960316","pompompuringdom","2025-12-12T05:52:10.0610000+00:00","ME TOO","",""
"867421149126197300","chel705","2025-12-12T05:52:11.8670000+00:00","the manga scarred me","",""
"712671680324960316","pompompuringdom","2025-12-12T05:52:12.0890000+00:00","CUTIE PIE","",""
"794937532869509141","solololo12345","2025-12-12T05:52:23.7260000+00:00","Aq ngk takut suruh datang","",""
"712671680324960316","pompompuringdom","2025-12-12T05:52:25.7200000+00:00","I see so much of myself in Judy hahaha","","🤣 (1)"
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:52:33.0430000+00:00","Habis itu pas malam nanti terbang sendiri bonekanya","",""
"794937532869509141","solololo12345","2025-12-12T05:52:39.3500000+00:00","U r animated human being","",""
"717582545944051772","arcadius5190","2025-12-12T05:52:43.5290000+00:00","Specifically looking for the marauders","https://cdn.discordapp.com/attachments/1368547381079183420/1448915453052452904/20251212_125208.jpg?ex=6996a52b&is=699553ab&hm=fe6ec0fbd248b3d9e87c056c922601e5145e5043903a34c4cccbfef363def1ad&","❤️ (1)"
"717582545944051772","arcadius5190","2025-12-12T05:52:51.2940000+00:00","I only get popmarts of characters that im obsessed with","",""
"717582545944051772","arcadius5190","2025-12-12T05:52:54.5480000+00:00","😭😭","",""
"794937532869509141","solololo12345","2025-12-12T05:53:00.2580000+00:00","So less add more lah","",""
"717582545944051772","arcadius5190","2025-12-12T05:53:11.9570000+00:00","Hironos r cute but i have no attachments to them","",""
"717582545944051772","arcadius5190","2025-12-12T05:53:21.0480000+00:00","mai money","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:53:29.4850000+00:00","Ei, nice Harry Potter Collection:Pepeok: :Pepeok: :Pepeok:","",""
"712671680324960316","pompompuringdom","2025-12-12T05:53:37.1090000+00:00","@everyone what is your hogwarts house? also should we turn this into a role in #・📑・role-selection ?","","👍 (1)"
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:53:45.0210000+00:00","I got Ravenclaw","",""
"794937532869509141","solololo12345","2025-12-12T05:53:46.0290000+00:00","Nnti aq kasih liat collection ku 
At home Nnti","",""
"712671680324960316","pompompuringdom","2025-12-12T05:53:47.7130000+00:00","i’m a gryffindor","",""
"794937532869509141","solololo12345","2025-12-12T05:53:53.2670000+00:00","YASSSSSSS","",""
"717582545944051772","arcadius5190","2025-12-12T05:53:53.4480000+00:00","I do not associate myself to that terf ass bitch name JOANNE these characters are mine now","","😂 (1)"
"867421149126197300","chel705","2025-12-12T05:53:57.3110000+00:00","","","😂 (1)"
"717582545944051772","arcadius5190","2025-12-12T05:54:01.0240000+00:00","I STOLEEEE","",""
"794937532869509141","solololo12345","2025-12-12T05:54:06.5760000+00:00","I’m slytherin / gryfindor / huffle","",""
"794937532869509141","solololo12345","2025-12-12T05:54:15.5770000+00:00","Why I mix","",""
"1327306698838245499","k1mcchii","2025-12-12T05:54:16.2540000+00:00","i don’t watch harry potter, my mom does so i’ll follow her which is Gryffindor","",""
"458504213203255324",".magurotuna","2025-12-12T05:54:18.1320000+00:00","hufflepuff","",""
"794937532869509141","solololo12345","2025-12-12T05:54:25.6060000+00:00","Muggle","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:54:26.1050000+00:00","True","",""
"794937532869509141","solololo12345","2025-12-12T05:54:27.0770000+00:00","Canda","",""
"717582545944051772","arcadius5190","2025-12-12T05:54:32.5480000+00:00","Im a hufflepuff","",""
"717582545944051772","arcadius5190","2025-12-12T05:54:35.2290000+00:00","😋","",""
"794937532869509141","solololo12345","2025-12-12T05:54:36.7840000+00:00","MUGGLES","",""
"458504213203255324",".magurotuna","2025-12-12T05:54:38.9360000+00:00","i feel like you would either be gryffindor or slytherin kim","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:54:46.8590000+00:00","Damn, I am the only Ravenclaw then","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:54:53.0180000+00:00","💀","",""
"458504213203255324",".magurotuna","2025-12-12T05:54:53.9580000+00:00","jax cocok sih ravenclaw wkwkkw","",""
"1327306698838245499","k1mcchii","2025-12-12T05:55:09.8330000+00:00","i’ll make my own called El Jomok","","😭 (1),😂 (1)"
"794937532869509141","solololo12345","2025-12-12T05:55:15.5780000+00:00","slytherin sama gryfindor actually not much beda","",""
"717582545944051772","arcadius5190","2025-12-12T05:55:18.8230000+00:00","","https://cdn.discordapp.com/attachments/1368547381079183420/1448916103928746224/20251212_125505.jpg?ex=6996a5c6&is=69955446&hm=c346350158fea9f5b5c9b72c0f362aae365c542df2666a3847eae2b5b37d9251&",""
"717582545944051772","arcadius5190","2025-12-12T05:55:23.3230000+00:00","I have maternal instict over remus","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:55:26.3110000+00:00","Eljomokpace","",""
"794937532869509141","solololo12345","2025-12-12T05:55:32.7780000+00:00","Si bapak guru","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-12T05:55:43.2820000+00:00","Remus is cool","",""
"717582545944051772","arcadius5190","2025-12-12T05:55:45.2720000+00:00","Ini jax btw","","🤣 (1)"
"712671680324960316","pompompuringdom","2025-12-12T05:55:47.9670000+00:00","@archie @angeryshibe @Latte did you guys see that one clip of Jinx Monsoon READING J.K Rowling to fucking filth?!??????","","😂 (1)"
"794937532869509141","solololo12345","2025-12-12T05:55:58.8030000+00:00","When u added the houses of hogwarts","",""
"794937532869509141","solololo12345","2025-12-12T05:56:00.8810000+00:00","Tell us","",""
"717582545944051772","arcadius5190","2025-12-12T05:56:02.6730000+00:00","LMAOOOO WHAT","",""
"712671680324960316","pompompuringdom","2025-12-12T05:56:12.3080000+00:00","Oh my God","",""
"712671680324960316","pompompuringdom","2025-12-12T05:56:16.8250000+00:00","It’s beautiful","",""
