AuthorID,Author,Date,Content,Attachments,Reactions
"712671680324960316","pompompuringdom","2025-05-05T09:14:12.8390000+00:00","📝 **Note:** To support English literacy and education, please use proper grammar and spelling in this channel. Try to avoid overly colloquial language (such as slang or heavy contractions), so that conversations remain inclusive and accessible to beginner and intermediate English learners.","","❤️ (2),🥢 (1),💜 (1)"
"712671680324960316","pompompuringdom","2025-05-05T09:14:20.9200000+00:00","Pinned a message.","",""
"425585007906783232","gksubrata","2025-05-06T07:26:17.6400000+00:00","Understood, we will not speak the language of the *skibidi sigma* here as it does not count in part of the King’s English. ☕️🍪","","😂 (5),🤣 (1),🥢 (1)"
"1073308819293216870","marialesgo","2025-05-06T10:17:28.0770000+00:00","😆😆","",""
"425585007906783232","gksubrata","2025-05-06T10:58:33.3920000+00:00","https://tenor.com/view/british-gif-26077384","",""
"448935208478179338","transactionshq","2025-05-06T20:33:43.2370000+00:00","hello i am a native english speaker. let me know if y'all need help","",""
"448935208478179338","transactionshq","2025-05-06T20:35:37.3950000+00:00","i am still learning bahasa indonesia we can be friends","",""
"448935208478179338","transactionshq","2025-05-06T20:42:17.3370000+00:00","Quite frankly, I am disinclined to acquiesce such a request; one's demeanor in language should be as flexible as one's mistress.","","🤣 (1)"
"1073308819293216870","marialesgo","2025-05-08T15:29:09.8000000+00:00","Gaess, I think for practice the EL. You can try to practice by send audio message about pronunciation and reading some stories (any kind of story).. so it helps you to practice for the speaking also.","",""
"1102844791852638218","izyy_6969","2025-05-09T04:43:55.6010000+00:00","what about just straight up speak in the vc","","👍 (2)"
"1073308819293216870","marialesgo","2025-05-09T04:45:33.0350000+00:00","Not really tho w it.. bcos i gotta respect the privacy, introverted, and shy people thingy","","🩷 (1)"
"456226577798135808","Deleted User","2025-05-12T02:29:42.6780000+00:00","Like what @Marialesgo said, not everyone may be immediately comfortable with speaking English / a new language via Voice Call / Voice Chat. Hence, we just want to show grace, honor, respect, and understanding, towards both Beginner and Intermediate English Learners.","","🩷 (2),💡 (1)"
"1073308819293216870","marialesgo","2025-05-21T08:50:56.2870000+00:00","Guys.. I wanna share a vocabulary to use.
Convoluted = berbelit-belit

Especially of an argument, story or a sentence.","","👍 (5)"
"1205583169428922401","f4rtl0rd","2025-05-21T12:23:43.3090000+00:00","Thats good, i forgot abt that word","",""
"1205583169428922401","f4rtl0rd","2025-05-21T12:25:19.3830000+00:00","I usually use ""...speak/talk around in circles."" = Jadi kayak omongannya muter2, or ruwet/ribet somthin like that","",""
"1073308819293216870","marialesgo","2025-05-21T12:41:38.5970000+00:00","""convoluted"" = berbelit-belit, atau sulit dipahami.
contoh :
His explanation was so convoluted that I couldn't understand a thing.
(Penjelasannya begitu berbelit-belit sampai aku tidak mengerti apa-apa.)

kata persamaannya : _*complicated, confusing*_ .","",""
"1073308819293216870","marialesgo","2025-05-21T12:44:29.9540000+00:00","Actually there's a difference about use speak and talk...
Wait let me give the short differences.","",""
"1205583169428922401","f4rtl0rd","2025-05-21T13:22:05.2400000+00:00","I guess ""to talk"" means it needs 2 or more person, whereas ""to speak"" are like more formal & can be 1 way???","","👍 (1)"
"1073308819293216870","marialesgo","2025-05-21T13:23:53.9440000+00:00","speak : use for formal/ speech / language
talk : use for casual/ chatting / conversation

so, if you want to say "" *_how many language do you speak?_* ""
not "" *_how many language do you talk?_* ""","","👍 (1)"
"1205583169428922401","f4rtl0rd","2025-05-21T13:25:14.6480000+00:00","Make sense, thanks btw","","👍 (1)"
"1073308819293216870","marialesgo","2025-05-21T13:35:25.7680000+00:00","Generally both ""speak"" and ""talk"" involved 2 or more people. 
But in some context. Speak can be used if you only speaking to yourself. 
""He was speaking to himself "" (ini lebih makes sense)
""He talked to himself"" ( ini agak aneh kedengerannya)","",""
"712671680324960316","pompompuringdom","2025-06-23T10:59:48.1710000+00:00","How was your day today? Tell me things!","",""
"870692395874910230","dwarfigor","2025-06-23T11:44:21.1920000+00:00","i wanna kms fr ts day so down fr istg 💔","",""
"1205583169428922401","f4rtl0rd","2025-06-23T13:52:15.8930000+00:00","Its not good","",""
