AuthorID,Author,Date,Content,Attachments,Reactions
"867743747563454464","eskrim","2025-10-19T12:53:57.5600000+00:00","大家好","",""
"790860761291423754","beethozheng","2025-10-19T12:54:36.1160000+00:00","1","",""
"712671680324960316","pompompuringdom","2025-10-19T12:54:50.7880000+00:00","66666","",""
"872889211412435054","leontino.","2025-10-19T12:55:39.6570000+00:00","اهلا، بحكم انه مافي قناة للي يتكلموا عربي، ما راح اخلي الشي ذا بخاطري وما اتكلم هنا","",""
"447418002896584704","jazz3774","2025-10-19T12:56:40.3430000+00:00","早上好中国
现在我有冰淇淋
我很喜欢冰淇淋","","😂 (2)"
"447418002896584704","jazz3774","2025-10-19T12:56:54.9800000+00:00","https://tenor.com/view/bing-chi-ling-alex-mei-bing-chi-ling-alex-gif-21908053","",""
"835344347981414441","lui9094","2025-10-19T12:56:56.7690000+00:00","供殺小啦","",""
"790860761291423754","beethozheng","2025-10-19T12:57:15.2050000+00:00","666","",""
"790860761291423754","beethozheng","2025-10-19T12:57:21.0670000+00:00","牛啊姐","",""
"835344347981414441","lui9094","2025-10-19T12:57:22.3660000+00:00","六六六","",""
"835344347981414441","lui9094","2025-10-19T12:57:32.0170000+00:00","九九九","",""
"852388229884674118","shally26","2025-10-19T12:59:13.1460000+00:00","很台欸","",""
"835344347981414441","lui9094","2025-10-19T12:59:54.6100000+00:00","開玩笑😝","",""
"852388229884674118","shally26","2025-10-19T13:01:39.6740000+00:00","你是在台灣待過嗎🤣","",""
"835344347981414441","lui9094","2025-10-19T13:02:12.8220000+00:00","對啊我跟這個瓢子在台灣 @PurwoZheng | angerymanagement","",""
"712671680324960316","pompompuringdom","2025-10-19T13:02:51.6840000+00:00","see… this channel… is for me… so i can brush up on my 华文","",""
"835344347981414441","lui9094","2025-10-19T13:03:05.0100000+00:00","對啦 哥 @PurwoZheng | angerymanagement","",""
"852388229884674118","shally26","2025-10-19T13:03:05.4000000+00:00","喔喔喔喔喔唸書嗎","",""
"712671680324960316","pompompuringdom","2025-10-19T13:03:06.6380000+00:00","我chinese很shit咯","",""
"835344347981414441","lui9094","2025-10-19T13:03:21.3970000+00:00","對高中","",""
"852388229884674118","shally26","2025-10-19T13:03:30.8250000+00:00","幹好年輕","",""
"835344347981414441","lui9094","2025-10-19T13:03:48.6290000+00:00","沒有比你你還年輕","",""
"790860761291423754","beethozheng","2025-10-19T13:04:21.4340000+00:00","牛","",""
"835344347981414441","lui9094","2025-10-19T13:04:43.8550000+00:00","比 @PurwoZheng | angerymanagement 他還年輕","",""
"970252225727303751","anqiel.","2025-10-19T13:04:51.0880000+00:00","已经很好了啦🤭","",""
"790860761291423754","beethozheng","2025-10-19T13:04:53.1230000+00:00","你才是疯子","","😂 (1)"
"835344347981414441","lui9094","2025-10-19T13:05:16.7330000+00:00","🤣","",""
"790860761291423754","beethozheng","2025-10-19T13:05:19.7510000+00:00","Wozhongwenbuxing","",""
"790860761291423754","beethozheng","2025-10-19T13:05:22.7390000+00:00","What is zhongwen","",""
"835344347981414441","lui9094","2025-10-19T13:05:35.2250000+00:00","刮痧小啦幹","",""
"794937532869509141","solololo12345","2025-10-19T13:05:50.4520000+00:00","喂我们几点看电影","",""
"835344347981414441","lui9094","2025-10-19T13:05:53.9830000+00:00","不要騙我們","",""
"790860761291423754","beethozheng","2025-10-19T13:06:00.0380000+00:00","他妈疯子一直骂人","","😂 (1)"
"712671680324960316","pompompuringdom","2025-10-19T13:06:03.9760000+00:00","这里谁说话最流利？","",""
"835344347981414441","lui9094","2025-10-19T13:06:14.5010000+00:00","開玩笑啦哥","",""
"790860761291423754","beethozheng","2025-10-19T13:06:19.6560000+00:00","@angeryshibe","",""
"790860761291423754","beethozheng","2025-10-19T13:06:31.9220000+00:00","I'm only HSSK 8","",""
"852388229884674118","shally26","2025-10-19T13:06:51.1870000+00:00","幹","",""
"712671680324960316","pompompuringdom","2025-10-19T13:06:55.8930000+00:00","等一下，我的房间现在有 a buncha tukangs tryna hang a painting or some shit","",""
"852388229884674118","shally26","2025-10-19T13:07:01.5350000+00:00","HSK8不是最高等了嗎","",""
"790860761291423754","beethozheng","2025-10-19T13:07:09.1770000+00:00","HSSK9","",""
"852388229884674118","shally26","2025-10-19T13:07:13.3210000+00:00","random af","","😂 (1)"
"852388229884674118","shally26","2025-10-19T13:07:22.6760000+00:00","這個時間？？","",""
"794937532869509141","solololo12345","2025-10-19T13:07:28.1990000+00:00","我在照顾我婆婆","",""
"712671680324960316","pompompuringdom","2025-10-19T13:07:29.4360000+00:00","how’d you say “random af” in mandarin","",""
"794937532869509141","solololo12345","2025-10-19T13:07:33.0940000+00:00","她的腰不舒服","",""
"794937532869509141","solololo12345","2025-10-19T13:07:39.7540000+00:00","伤了腰","",""
"835344347981414441","lui9094","2025-10-19T13:08:11.0450000+00:00","我很非傷","",""
"852388229884674118","shally26","2025-10-19T13:08:14.5230000+00:00","供三小","",""
"790860761291423754","beethozheng","2025-10-19T13:08:16.6520000+00:00","太他妈奇葩了","",""
"852388229884674118","shally26","2025-10-19T13:08:17.3660000+00:00","🤣","",""
"835344347981414441","lui9094","2025-10-19T13:08:20.9880000+00:00","😭😭😭😭😭","",""
"794937532869509141","solololo12345","2025-10-19T13:08:27.6520000+00:00","我华文也不太好我要学学","","😂 (2)"
"835344347981414441","lui9094","2025-10-19T13:08:43.2240000+00:00","不是啦","",""
"852388229884674118","shally26","2025-10-19T13:09:05.2460000+00:00","lol jk thats hokkien/taiwanese","",""
"852388229884674118","shally26","2025-10-19T13:09:13.3310000+00:00","⛽️加油","",""
"712671680324960316","pompompuringdom","2025-10-19T13:09:22.7140000+00:00","ADD OIL!","",""
"712671680324960316","pompompuringdom","2025-10-19T13:09:26.4780000+00:00","MORE GREASE!","",""
"835344347981414441","lui9094","2025-10-19T13:10:11.2700000+00:00","你覺得一個禮拜裡面，我比較喜歡哪一天？」

：「星期天嗎？」

：「我喜歡有你的每一天。」","",""
"852388229884674118","shally26","2025-10-19T13:10:18.4160000+00:00","but like how do u say so random? the context is kinda different in mandarin i think","",""
"712671680324960316","pompompuringdom","2025-10-19T13:10:19.7420000+00:00","girl i cannot read 繁体中文","",""
"835344347981414441","lui9094","2025-10-19T13:10:25.7720000+00:00","@shally","",""
"852388229884674118","shally26","2025-10-19T13:10:27.3480000+00:00","會撩","","😂 (1)"
"852388229884674118","shally26","2025-10-19T13:10:39.7320000+00:00","oops","",""
"835344347981414441","lui9094","2025-10-19T13:10:51.2810000+00:00","他比我他很強 @PurwoZheng | angerymanagement","",""
"790860761291423754","beethozheng","2025-10-19T13:10:53.8630000+00:00","Typo shit","",""
"790860761291423754","beethozheng","2025-10-19T13:11:00.5900000+00:00","I don't say 加油 I say 加酒","","😂 (2)"
"790860761291423754","beethozheng","2025-10-19T13:11:01.3520000+00:00","Help","",""
"790860761291423754","beethozheng","2025-10-19T13:11:02.0230000+00:00","My network is shiet","",""
"852388229884674118","shally26","2025-10-19T13:11:09.6520000+00:00","wow 酒鬼","",""
"790860761291423754","beethozheng","2025-10-19T13:11:39.3150000+00:00","Chinese love drinking","",""
"852388229884674118","shally26","2025-10-19T13:11:45.8040000+00:00","true","",""
"790860761291423754","beethozheng","2025-10-19T13:11:46.0910000+00:00","So I say add alcohol","","👍 (1)"
"835344347981414441","lui9094","2025-10-19T13:12:02.5900000+00:00","我的寮語退步的","",""
"794937532869509141","solololo12345","2025-10-19T13:12:06.4070000+00:00","上个月我有去上海旅游
突然就了的要好好珍惜语文","","👍 (2)"
"794937532869509141","solololo12345","2025-10-19T13:12:21.9650000+00:00","还要去中国玩😭","",""
"835344347981414441","lui9094","2025-10-19T13:12:25.2030000+00:00","我喜歡中國","",""
"790860761291423754","beethozheng","2025-10-19T13:12:27.1320000+00:00","So jangan bingung if some chinese say 加酒","","👍 (1)"
"790860761291423754","beethozheng","2025-10-19T13:12:49.4920000+00:00","They're prolly my friends","",""
"790860761291423754","beethozheng","2025-10-19T13:12:54.6760000+00:00","Or friends of my friends","",""
"712671680324960316","pompompuringdom","2025-10-19T13:12:58.3950000+00:00","you know what i just realized, sometimes i can understand what the character means, but i can’t pronounce the character","",""
"794937532869509141","solololo12345","2025-10-19T13:13:08.2480000+00:00","lui的国语应该会好一点","",""
"852388229884674118","shally26","2025-10-19T13:13:12.1010000+00:00","很正常","",""
"794937532869509141","solololo12345","2025-10-19T13:13:22.5150000+00:00","师傅我来来向你学学","",""
"835344347981414441","lui9094","2025-10-19T13:13:27.3990000+00:00","我有點忘了真的","",""
"852388229884674118","shally26","2025-10-19T13:13:39.4920000+00:00","we all hv experienced that 🤣","",""
"790860761291423754","beethozheng","2025-10-19T13:13:47.6980000+00:00","Chinese is basically ancient art","",""
"365917907861110796","floatingtales","2025-10-19T13:13:51.7560000+00:00","啥意思呀，我覺得你比我流利惡","",""
"365917907861110796","floatingtales","2025-10-19T13:13:57.5140000+00:00","Lmao","",""
"835344347981414441","lui9094","2025-10-19T13:13:59.7570000+00:00","因為很久沒講","",""
"790860761291423754","beethozheng","2025-10-19T13:14:06.9500000+00:00","dih merendah","",""
"835344347981414441","lui9094","2025-10-19T13:14:07.5610000+00:00","應該我要多講","",""
"852388229884674118","shally26","2025-10-19T13:14:19.5270000+00:00","你不是在台灣嗎🤣","",""
"852388229884674118","shally26","2025-10-19T13:14:27.6670000+00:00","怎麼會很久沒講","",""
"790860761291423754","beethozheng","2025-10-19T13:14:38.5900000+00:00","我他妈死客户在请我喝酒","",""
"835344347981414441","lui9094","2025-10-19T13:14:57.9640000+00:00","我在台灣唸書 @shally","",""
"790860761291423754","beethozheng","2025-10-19T13:14:58.9240000+00:00","It looks like I'm dying young","",""
"835344347981414441","lui9094","2025-10-19T13:15:10.0390000+00:00","Broo you’re not","",""
"852388229884674118","shally26","2025-10-19T13:15:20.3900000+00:00","oh i thought u meant ur still in taiwan studying","",""
"835344347981414441","lui9094","2025-10-19T13:15:35.8480000+00:00","Can you do some chinglish @PurwoZheng | angerymanagement @shally @G CAT (Indah G)","",""
"835344347981414441","lui9094","2025-10-19T13:15:49.3270000+00:00","Like American born Chinese did","",""
"790860761291423754","beethozheng","2025-10-19T13:15:52.8810000+00:00","Ofc我会la","",""
"835344347981414441","lui9094","2025-10-19T13:16:43.4840000+00:00","我覺得新加坡做這樣常常的","",""
"852388229884674118","shally26","2025-10-19T13:17:12.2740000+00:00","i think when i talk with my friends who can speak both languages, the convo just defaulted to chinglish kwkwkwk","","👍 (1),😂 (1)"
"835344347981414441","lui9094","2025-10-19T13:17:15.4650000+00:00","好吧我使用簡體因為大家都用的","",""
"790860761291423754","beethozheng","2025-10-19T13:17:47.4780000+00:00","I speak chenglish everyday","",""
"790860761291423754","beethozheng","2025-10-19T13:17:51.4690000+00:00","More than I speak Indonesian","",""
"790860761291423754","beethozheng","2025-10-19T13:18:13.8450000+00:00","Sometimes even chindglish","","😂 (1)"
"852388229884674118","shally26","2025-10-19T13:18:29.8020000+00:00","true","",""
"852388229884674118","shally26","2025-10-19T13:18:34.8340000+00:00","just mix everything up","",""
"790860761291423754","beethozheng","2025-10-19T13:18:43.8520000+00:00","I should try chrench","",""
"835344347981414441","lui9094","2025-10-19T13:19:14.0360000+00:00","有的及怪的声音","",""
"365917907861110796","floatingtales","2025-10-19T13:19:16.1810000+00:00","","https://cdn.discordapp.com/attachments/1429452130632208485/1429458883973222551/IMG_20251019_211832.jpg?ex=69966514&is=69951394&hm=2632bc1bfcc49d2dd44e11c5a5074887d2189d584b082ca012bd233d85d90c79&",""
"852388229884674118","shally26","2025-10-19T13:19:29.7560000+00:00","OMFFF","",""
"835344347981414441","lui9094","2025-10-19T13:19:29.9740000+00:00","看起来很好吃","",""
"852388229884674118","shally26","2025-10-19T13:19:33.2840000+00:00","CHOUDOUFUYYUUUU","",""
"852388229884674118","shally26","2025-10-19T13:19:34.7850000+00:00","AAAAAA","",""
"852388229884674118","shally26","2025-10-19T13:19:47.2630000+00:00","I MISS CHOUDOUFU","",""
"790860761291423754","beethozheng","2025-10-19T13:19:47.6370000+00:00","Salut, ze m'apelle 黄正福，我是以为traducteur","",""
"365917907861110796","floatingtales","2025-10-19T13:19:53.7340000+00:00","魯肉飯，臭豆腐","",""
"790860761291423754","beethozheng","2025-10-19T13:20:01.5270000+00:00","Fuck you chibe for flexin","",""
"790860761291423754","beethozheng","2025-10-19T13:20:09.8080000+00:00","I'm going to taiwan this December","",""
"835344347981414441","lui9094","2025-10-19T13:20:28.3970000+00:00","Go to china instead bro","",""
"852388229884674118","shally26","2025-10-19T13:20:29.2740000+00:00","jealous","",""
