AuthorID,Author,Date,Content,Attachments,Reactions
"627016661894955018","josephine021552","2025-05-07T06:46:53.5480000+00:00","hiiii probably good to activate this channel just to check in with each other. probably like as everyone’s mood tracker to start with???","","🩷 (1)"
"1102844791852638218","izyy_6969","2025-05-07T06:47:29.5670000+00:00","oh man i was about to step in first by saying ""I STOP TAKING MY MEDS""","",""
"627016661894955018","josephine021552","2025-05-07T06:47:54.8730000+00:00","I JUST STARTED RETAKING IT LAST WEEK","",""
"1102844791852638218","izyy_6969","2025-05-07T06:48:18.2910000+00:00","WHAT ARE YOU TAKINGG?","",""
"627016661894955018","josephine021552","2025-05-07T06:48:42.8340000+00:00","just xanax and fluoxetine right now! hbu hbu hbu","",""
"1102844791852638218","izyy_6969","2025-05-07T06:50:03.4860000+00:00","oh man, same, xanax, fluexetine, acid valporate and sometimes other like light antidepressant (benzo)","",""
"627016661894955018","josephine021552","2025-05-07T06:50:25.3480000+00:00","I graduated from valproic acid last year 😭","",""
"1102844791852638218","izyy_6969","2025-05-07T06:50:43.1680000+00:00","what? HOW","",""
"627016661894955018","josephine021552","2025-05-07T06:50:45.8180000+00:00","good luck brooo!!! pls get back on track it gets better!!!!","",""
"1102844791852638218","izyy_6969","2025-05-07T06:51:11.9380000+00:00","my psychiatrist said that i shouldnt stop taking valporat acid","",""
"627016661894955018","josephine021552","2025-05-07T06:51:59.8360000+00:00","that is right, until he says otherwise. one day he was just “I think you don’t need this anymore” after saying that I SHOULDN’T stop taking it 2 years ago","",""
"1102844791852638218","izyy_6969","2025-05-07T06:52:50.3870000+00:00","but i do def should stop taking xanax, it ruining my life, i been taking xanax for yearsss and eventually had a withdrawal cause i force myself to stop","",""
"627016661894955018","josephine021552","2025-05-07T06:53:10.6950000+00:00","but I do work very hard with a psychologist. structuring my life and shit","",""
"1102844791852638218","izyy_6969","2025-05-07T06:53:16.5230000+00:00","the withdrawal is sucks, someone said that you could die from it, just hearing that makes me freak out","",""
"627016661894955018","josephine021552","2025-05-07T06:53:35.1900000+00:00","HAHA but without it I just can’t speak","",""
"627016661894955018","josephine021552","2025-05-07T06:53:45.6870000+00:00","literally","",""
"1102844791852638218","izyy_6969","2025-05-07T06:53:47.4220000+00:00","im seeing clown and shit everytime i close my eyes","",""
"1102844791852638218","izyy_6969","2025-05-07T06:53:59.3280000+00:00","maybe i should do talk therapy","",""
"1102844791852638218","izyy_6969","2025-05-07T06:54:09.4790000+00:00","thats worst","",""
"1102844791852638218","izyy_6969","2025-05-07T06:54:27.8850000+00:00","like you cant even socialize?","",""
"627016661894955018","josephine021552","2025-05-07T06:55:40.4330000+00:00","you should","",""
"627016661894955018","josephine021552","2025-05-07T06:56:04.4920000+00:00","can’t even speak in meetings at work. and I work from home. and I only have google meet meetings.","",""
"1102844791852638218","izyy_6969","2025-05-07T07:02:38.2990000+00:00","not taking meds is fine sometimes... until you get a full blown panic attack at 3 pm thinking that youll die cause of cardiac arrest or rabies","","💯 (1)"
"1205583169428922401","f4rtl0rd","2025-05-07T07:19:26.7810000+00:00","I wanna ask, do bpjs cover mental health stuff like talking therapy with psychologist or meds from psychiatrist?","",""
"1102844791852638218","izyy_6969","2025-05-07T07:20:36.6130000+00:00","yess broo","",""
"1102844791852638218","izyy_6969","2025-05-07T07:20:47.0370000+00:00","this is what im about to talk about","",""
"1102844791852638218","izyy_6969","2025-05-07T07:21:44.4780000+00:00","so im broke and i cant cover my meds so i use bpjs","",""
"1102844791852638218","izyy_6969","2025-05-07T07:23:29.4910000+00:00","whats funny is that sometimes i abused antidepressant just to get high and then i realize that i can get high free by government *dont try this at home","",""
"1102844791852638218","izyy_6969","2025-05-07T07:24:26.5870000+00:00","i dont know about talk therapy","",""
"1205583169428922401","f4rtl0rd","2025-05-07T07:25:31.4870000+00:00","But in this economy & government? Go get your tax money's worth kak wkwkw","",""
"1102844791852638218","izyy_6969","2025-05-07T07:29:56.0870000+00:00","i dont doit anymore, im now whats called a ""civilized"" person👦","",""
"274558587831975937","roflpaladin","2025-05-07T07:33:57.7400000+00:00","Yes. Just follow the steps outlined by BPJS and you’re good to go. I’ve not paid a single dime to buy meds.","",""
"274558587831975937","roflpaladin","2025-05-07T07:35:46.2780000+00:00","Hey I appreciate the self-deprecating joke, but be more sensitive to these people here since we’re all trying to get better 🙂

We’re all civilized and no one’s more or less based on their intent.","",""
"1102844791852638218","izyy_6969","2025-05-07T07:38:50.7330000+00:00","ayee yo wassuppp thanks for the feedback","",""
"1102844791852638218","izyy_6969","2025-05-07T07:38:58.5690000+00:00","ill keep it in mind","","👍 (2)"
"759664649297330187","kai_mitsuki","2025-05-07T11:48:41.4470000+00:00","Yes. Though with meds it depends on each hospital regulation. Certain meds can be covered by BPJS in some hospitals and not others.","",""
"759664649297330187","kai_mitsuki","2025-05-07T11:51:08.6020000+00:00","Talking therapy/counselling is covered though usually it's anyone that's available in the first health facility. Can't really choose the person.","",""
"759664649297330187","kai_mitsuki","2025-05-07T11:51:37.0040000+00:00","Omg lucky😭","",""
"712671680324960316","pompompuringdom","2025-05-07T12:22:45.1410000+00:00","guys you know what would be cute?!?!?!? 

okay so i use this self care app called 'Finch,' has anyone heard of it?????? 

it's basically like tamagotchi but self care! every time you accomplish self-care related goals, you raise your pet bird!","","😍 (1)"
"759664649297330187","kai_mitsuki","2025-05-07T12:25:10.8560000+00:00","AAAAAA I USE THAT APP EVERYDAY, it's great! it feels like playing games too with the reward after finishing the daily task and I can dress my pet : D","","😍 (1)"
"654212129343275010","lalutako3625","2025-05-13T16:06:04.0440000+00:00","Omg I love finch I play it for the cute birdie","",""
"712671680324960316","pompompuringdom","2025-05-19T11:23:58.4900000+00:00","Hey @everyone 

Since May is mental health month, I thought it’d be cute for some of us (or even all of us, if possible) to get on the Finch app so we can all be sort of online self-care accountability buddies together 🥰🥹 Here’s a sneak peek of my lil bird. I call her Baby G.

If you want to invite me as a friend, use this code **DY69CWQTYM** or this link https://app.befinch.com/share/BKknW","https://cdn.discordapp.com/attachments/1368469111667032176/1373984526635892827/ScreenRecording_05-19-2025_18-17-02_1.mov?ex=69964a0e&is=6994f88e&hm=4debf5048dc747cfab63f87c85421dfd5e2c3b295eaf5b038392b62270930232&","♥️ (1)"
"138845824707723264","sashperennial","2025-05-19T11:35:02.4760000+00:00","Hey no joke I got this when I was in a rough patch of life and it proved to be pretty useful. You can use it as a daily or weekly planner as well, and it can even remind you if you haven't done something. It helps you form good habits if you use it right, but otherwise it'll kind of just tell you stuff you already know you should be doing but maybe don't pay attention to actually doing enough.","",""
"779322678003630100","chuckennuggs","2025-05-19T15:31:16.3960000+00:00","Just downloaded the app, i hope im not treating it like im treating duolingo😭","",""
