AuthorID,Author,Date,Content,Attachments,Reactions
"1451106460791734414","name_yeahno","2025-12-20T11:55:02.6290000+00:00","Any discussions about aviation is welcomed","","✈️ (1)"
"835344347981414441","lui9094","2025-12-20T13:26:41.9930000+00:00","What’s the differences of BOEING and AIRBUS","",""
"1451106460791734414","name_yeahno","2025-12-20T13:40:32.9930000+00:00","Boeing = US
Airbus = Europe","",""
"835344347981414441","lui9094","2025-12-20T13:41:05.3490000+00:00","Is there any differences for components??","",""
"835344347981414441","lui9094","2025-12-20T13:41:38.4220000+00:00","Like for example boeing are more wide and stuff","",""
"1451106460791734414","name_yeahno","2025-12-20T13:41:59.8670000+00:00","in terms of fuselage width?","",""
"835344347981414441","lui9094","2025-12-20T13:42:45.0820000+00:00","Yess","",""
"1451106460791734414","name_yeahno","2025-12-20T13:43:33.2110000+00:00","A320 is 20 cm wider than 737","","👍 (1)"
"1451106460791734414","name_yeahno","2025-12-20T13:44:03.8840000+00:00","lengthwise B738 is longer","","👍 (1)"
"467734020629856256","latte5774","2025-12-20T14:21:26.8790000+00:00","Does having cell service in flight really interfere with plane signals","",""
"1451106460791734414","name_yeahno","2025-12-20T14:31:17.6710000+00:00","EU C-band plan is 3.4-3.8 GHz for plane signals
MEANWHILE US: 3.7-4.2 GHz 
the cell service will interfere with the radio altimeter signal due to this bullshit constraint thus increasing the risk of false radio altimeter readings","","❤️ (3)"
"1451106460791734414","name_yeahno","2025-12-20T14:31:43.5120000+00:00","https://www.bbc.com/news/technology-63786591","","❤️ (1)"
"365917907861110796","floatingtales","2025-12-21T03:47:58.0550000+00:00","Best plane for commercial flights of any era? I always love the Concorde. Failing plane, but looks sleek","",""
"1451106460791734414","name_yeahno","2025-12-21T05:41:33.6490000+00:00","the 707 was the start of commercial aviation in 1959. during the time after postwar Boeing switched their priority not js to defense but also to other shits like commercial aviation which at the time it was booming. DH64 failed due to 2 crashes in 1950s
so european aviation giants were heavily outrun by Boeing until the introduction of A300 in the 80s.
747 was in 1969","",""
"1451106460791734414","name_yeahno","2026-01-07T19:06:10.7970000+00:00","https://youtube.com/shorts/CTX--XEmnqc","",""
"1451106460791734414","name_yeahno","2026-02-05T06:54:20.5400000+00:00","guys, look at our minister's incompetence😂😂😂","https://cdn.discordapp.com/attachments/1451905736262287502/1468862292023316612/Picsart_26-02-05_06-47-20-048.jpg?ex=6996b39c&is=6995621c&hm=1b158da8038a3011087a0a891df9bd8e517abf073c44d81eaf8a57f59d050dc4&",""
