AuthorID,Author,Date,Content,Attachments,Reactions
"365917907861110796","floatingtales","2025-12-03T10:54:31.5220000+00:00","WIPs, and stuff, sharing here for both accountability and sharing cool stuffs","","shibe (1),🔥 (1)"
"365917907861110796","floatingtales","2025-12-04T01:51:54.1120000+00:00","4 Dec 2025,

This is mostly going to be devlogs for today.

Tried Google Antigravity. Pretty neat! very smart for helping me create frontend stuff as I am more adept in backend stuff. And I think it's still in beta that makes it good so I can use the features without any payment *as of now*. Did a couple of the office work things on this and man I'm impressed!

Alright so I wanna start cracking on with this one side project I do have here: the same thing I'm doing for the company I'm working at, *but for my own company this time* . An ERP software for purchases of *ze bird spit*, invoicing, inventory management, trends and the likes. I guess this will be the overarching project I want to make and mayhaps some smaller projects on the side to keep up the motivation.

As of the current state of events I've not got a lot. I think I've got a barebones monorepo set up with an env file package that we derive *all* environment variables from as we need to verify the types as well. Probably not going to do much today but design an ERD, with all the screwed up fundamentals of it first.

Imma give this as a planned architecture as of now:
```
// general apps
- apps:
  - ERP (Either Next.js or just plain React app)
  - Homepage (Astro)
  - Backend (Express on Node.js)

// things the apps interact with
- packages:
  - env package (shared env files)
  - db package (postgress/mySQL on drizzle)
  - lib package (shared functionalities between apps)
  - cache package (redis stuff mostly)
  - ui package (initially I thought of making Shadcn/UI reusable package here but... Shadcn's been at a downturn recently)

// tooling for linting/typesafety
- tools:
  - typescript
  - biome (debating whether I should put eslint/prettier here but Biome seems all encompassing)
```

Next.js has been a bloated ware recently, slow dev speeds, slow compile speeds etc. makes me want to shy away from Next projects. *but* it is probably one of the easiest to maintain if we're talking *pure* codebase tho.","","👍 (1)"
"365917907861110796","floatingtales","2025-12-04T01:58:41.1170000+00:00","The thing that made me shy away a little on Express/Node is type-safety, but I think that if we got any RPC set up, meaning it's not a standard Get/Set/Put/Post CRUD API, rather a (most likely) TRPC set up, it could work.

Leaning towards pure React as of now, but we'll see when I get stuff set up. We're gonna do db/Redis next before commiting to using whichever approach.

Generally it's a choice between: Next.js *or* React + React Router + TRPC + Tanstack Query.

idk but I'm doing typescript with minimally defined types (probably not good).","",""
"835344347981414441","lui9094","2025-12-04T03:14:13.9050000+00:00","https://www.instagram.com/p/DRsOtsrCTu7/?igsh=MW1oMHA4Y2Jjb2pqOQ==","",""
"835344347981414441","lui9094","2025-12-04T03:14:23.0240000+00:00","Thoughtsss @angeryshibe","",""
"548368514277310464","blackfritz","2025-12-04T06:41:12.7380000+00:00","cool stuff, try react router","",""
"548368514277310464","blackfritz","2025-12-04T06:41:26.9930000+00:00","or if feeling adventurous marko.js","",""
"548368514277310464","blackfritz","2025-12-04T06:41:49.1290000+00:00","backend try nest js","",""
"365917907861110796","floatingtales","2025-12-04T07:27:13.7140000+00:00","Typescript decorators intimidate me lmao. I did not have a fun time with them when I was doing angular.","",""
"365917907861110796","floatingtales","2025-12-04T07:29:14.6270000+00:00","but I've never seen any nest js stuff with any RPCs, would you recommend?","",""
"548368514277310464","blackfritz","2025-12-04T07:40:24.4750000+00:00","I see, it takes a while to understand, but I can't go back to express now.

With Nest it's easier to collab and communicate with team because there is standard architecture built in. So usually I just pinpoint the relevant doc to other dev , haha

Killer feature is there is Nest package automatically create swagger doc with all the parameter. Saving some time documenting API in postman for the QA and Front end","",""
"548368514277310464","blackfritz","2025-12-04T07:41:09.1290000+00:00","Haven't tried trpc, looks neat. I still use old boring Rest APIs","",""
"548368514277310464","blackfritz","2025-12-04T07:42:00.0140000+00:00","I'm afraid our QA can't test it without swagger or postman endpoint","",""
"365917907861110796","floatingtales","2025-12-04T07:43:13.6720000+00:00","*must be nice working with other devs*

*I'm a solo dev even in my company, I do everything on my own, that includes devops, deployment, etc*","","😭 (1)"
"365917907861110796","floatingtales","2025-12-04T07:46:19.1970000+00:00","honestly, as boring as Rest APIs are, *they work*, and it's mostly enough for about 99% of usecases","",""
"365917907861110796","floatingtales","2025-12-04T07:46:36.9480000+00:00","never got into the GraphQL stuff, last I heard it's dying","",""
"365917907861110796","floatingtales","2025-12-04T07:47:38.2590000+00:00","but trpc is p. neat! I've got a project with it during the Next.js pages router and it works very good!","",""
"548368514277310464","blackfritz","2025-12-04T07:51:38.9620000+00:00","Wahhh it make sense noww, then nest js is overkill😭 😭 

Yeah for full stack ,react router (I think it has it's own small backend already) should be enough, and combine it with trpc","",""
"548368514277310464","blackfritz","2025-12-04T07:51:58.0490000+00:00","Where do you usually deploy?","",""
"548368514277310464","blackfritz","2025-12-04T07:52:18.2680000+00:00","Agree lol","",""
"548368514277310464","blackfritz","2025-12-04T07:52:44.4400000+00:00","That makes me wanna try","",""
"365917907861110796","floatingtales","2025-12-04T07:53:45.8530000+00:00","I'm a vercel guy! I could do the whole EC2 deployment but man. I don't want to think CI/CD when I'm already thinking code.","",""
"365917907861110796","floatingtales","2025-12-04T07:53:58.9710000+00:00","vercel you just plop it on and zoom it goes online","",""
"548368514277310464","blackfritz","2025-12-04T07:54:58.7170000+00:00","Cool. I have been trying to test out cloudflare worker, sold to their features. But never got it right","",""
"365917907861110796","floatingtales","2025-12-04T07:55:39.3200000+00:00","***cloudflare***","",""
"365917907861110796","floatingtales","2025-12-04T07:56:09.3860000+00:00","***the cloudflare outage of November 18***","","😂 (1)"
"548368514277310464","blackfritz","2025-12-04T07:57:13.9620000+00:00","That shook the world","","😂 (1)"
"365917907861110796","floatingtales","2025-12-04T08:08:32.4650000+00:00","these are *concept* techs lui, I don't think we're going to get anything like these soon.","","👍 (1)"
"365917907861110796","floatingtales","2025-12-06T16:48:29.3140000+00:00","6 December 2025,

More devlogs

I made an ERD, there are a couple of quirks that I need to straighten out, would need refinement, probably 2-3 more tables but we've got this so far.

There are a couple of quirks that I want to put in, we've got duplicated data in the Order table (name address, etc.) this is stored in a snapshot manner, as people might move locations, change phone numbers etc. I've also merged both customers and receivers as technically it's just a book log of addresses and phone numbers.

Initially did separate a little bit more with the products, we've got the product *type* and product *flavor* but I guess I can't be bothered to. A lot of the things got an is_active thing to indicate whether or not the thing will be queried for choosing in the select boxes.

Couple things I kinda want to add tho: As of now we don't really have item inventories, I'll probably do the same thing as Transactions/Accounts to do that, products will act as an ""account"" of sorts, which would mean Order_Items_product will be tied to the newly created inventory table. Yeah that'll work, Imma go update that soon.

Next up would be thinking what DB would I want to store this with? I was thinking Mongodb, but man, SQL seems a better option at this point. Mongo/Mongoose is always an option tho, but I'm thinking maybe right now we're using Postgres/MySQL on Drizzle. I'm thinking maybe a free-tier db right now, I'm guessing Neon or the likes will work, don't want to provision a db in AWS in this scale.","https://cdn.discordapp.com/attachments/1445729912580476968/1446906153404596305/Taoyuan.png?ex=6996961d&is=6995449d&hm=dd429c2c690038a763e8df9fb40979c377c995e87380e4ca066d00eb92196001&","👍 (3)"
"548368514277310464","blackfritz","2025-12-07T06:47:37.6150000+00:00","for postgres, you can try supabase","","👍 (1)"
