AuthorID,Author,Date,Content,Attachments,Reactions
"835344347981414441","lui9094","2025-12-03T02:31:58.3110000+00:00","","https://cdn.discordapp.com/attachments/1445603440846704640/1445603441064935465/IMG_2323.png?ex=6996761e&is=6995249e&hm=b262976d0d2adaf864a58b066c426f7f953a77486a0a302120a79abe40c25a6f&","jax (1)"
"365917907861110796","floatingtales","2025-12-03T03:02:58.3790000+00:00","I am vehemently against the two party system. As it will devolve to *for* and *against* mentality, as it is basically affecting the voter-base.

Like say, *if* one party is for stuff like *raising the minimum wage*, the other party would be *very much against it* because there is no value or voter-base to be had if the party has the same stance, if anything you'd be marked as a copycat.","","👍 (2)"
"365917907861110796","floatingtales","2025-12-03T03:04:57.9350000+00:00","if we look at the US political landscape:

Democrats
- Pro LGBTQ+
- Pro Obamacare
- Pro Ukraine
- Anti Policing

Republicans
- Anti-LGBTQ+
- Anti Obamacare
- Anti Ukraine (initially)
- Pro Policing

They're all diametrically opposed to each other, because that's how you get voters","","👍 (2)"
"835344347981414441","lui9094","2025-12-03T03:19:50.2970000+00:00","I meann… I’m looking for what’s the best political system in Indonesia cause whether Indonesia has too many parties or not , the government not act towards it so it’s much better if there’s biased in between","",""
"575141979873083393","sukadeltoro","2025-12-03T04:58:32.3730000+00:00","Mendingan evaluasi desentralisasi wkwk

Tripartisan could work, bipartisan meh, considering ideological interest groups nya kegedean di Indo","","👍 (1)"
"575141979873083393","sukadeltoro","2025-12-03T04:59:00.5210000+00:00","Yang puluhan parpol aja masih nganu, apalagi bipartisan","","👍 (2)"
"365917907861110796","floatingtales","2025-12-03T05:24:35.2340000+00:00","Tri partisan meaning balik jadi jaman Soeharto lagi bro? Golkar PDI PPP","","😭 (1)"
"575141979873083393","sukadeltoro","2025-12-03T05:50:33.9960000+00:00","Betul wkwkw, eh jangan salah, on paper Golkar itu bukan partai wkwkw","","👍 (1)"
"575141979873083393","sukadeltoro","2025-12-03T05:51:05.4280000+00:00","Makanya dia bisa sampe akar rumput kampanye nya, diuntungin sama massa mengambang","",""
"712671680324960316","pompompuringdom","2025-12-03T15:33:03.6150000+00:00","being predominantly a 2PS might also further exacerbate political polarization since it's literally just 1v1","","👍 (1)"
