AuthorID,Author,Date,Content,Attachments,Reactions
"428399814238273556","the.og.green","2025-05-01T03:31:47.6920000+00:00","https://tenor.com/view/i-was-first-i-did-it-first-number1-first-place-trend-setter-gif-13668566","",""
"254261633252196353","chrysal","2025-05-01T04:32:04.1940000+00:00","Wow suggestion finally approved","",""
"890070769089015808","tianhikari","2025-05-01T09:33:18.9800000+00:00","Can a high school student ask here?","",""
"254261633252196353","chrysal","2025-05-01T10:12:55.7870000+00:00","Idk, but should be","",""
"1193335837916676269","dusman05","2025-05-01T21:59:57.1520000+00:00","sure","",""
"395810691006857219","ataman_erkin","2025-05-01T22:44:49.7600000+00:00","Bismillah, 

doakan saya jadi CEO dan Founder","",""
"395810691006857219","ataman_erkin","2025-05-01T22:45:14.7550000+00:00","nanti server ini bisa jadi tempat share kerjaan 

Amiin Ya Allah","",""
"766280136332410920","ekast237707","2025-05-02T00:22:57.9380000+00:00","Amin, amin, amin Ya Rabbal Alamin, semoga, saya do'ain ya Mas

Makasih ya","",""
"890070769089015808","tianhikari","2025-05-02T05:59:41.6390000+00:00","Ok uhm
What is the best job for a law student other than being a lawyer and HRD? (Might be really stupid question)","",""
"267957882635419649","notforheroes","2025-05-02T09:25:19.2970000+00:00","info loker ke Kamboja","","emoji_71 (6),no (8),www (7),MonkaGIGA (7)"
"891545423238537236","murzzbow","2025-05-02T10:06:40.6700000+00:00","let me give you a slight overview on career path as a law graduate here in Indonesia

- Notaris
- Jaksa
- Hakim
- Diplomat karier
- Legal Perusahaan (Swasta/BUMN)","",""
"891545423238537236","murzzbow","2025-05-02T10:07:30.8090000+00:00","aside from those I mentioned above, pretty much law graduate can work as a copywriter or do creative gigs as such","",""
"843005270200156160","kaviarormonroe","2025-05-02T10:15:56.2690000+00:00","Info loker","",""
"570608130610823218","hujanderas_","2025-05-02T10:20:19.7040000+00:00","info loker buat mahasigma dkv","",""
"395810691006857219","ataman_erkin","2025-05-02T20:09:33.7520000+00:00","terima kasih mas, mas juga sukses dunia akhirat","",""
"766280136332410920","ekast237707","2025-05-02T20:52:30.8020000+00:00","Semoga ya, Sama-sama. Mas, 🙏🙏😇","",""
"645277559935860736","petrachristalbert","2025-05-03T02:53:50.4920000+00:00","where is lawyer? Diplomat career?","",""
"645277559935860736","petrachristalbert","2025-05-03T02:55:12.3710000+00:00","bisa buat logo aplikasi?","",""
"254261633252196353","chrysal","2025-05-03T03:14:18.1940000+00:00","The initial poster mentioned beside lawyer & HRD","",""
"716718122861592606","unknownblue","2025-05-03T17:56:59.2800000+00:00","any company as orang dkv?","",""
"716718122861592606","unknownblue","2025-05-03T17:57:04.7670000+00:00","or govt","",""
"463376189147447296","aoin7891","2025-05-04T16:37:09.5180000+00:00","Any idea how to get into the film industry circle?","",""
"1043070203883434024","fosure","2025-05-04T16:40:06.8640000+00:00","Akhirnya ada sub ini","",""
"262856800385105920","pleb_star","2025-05-05T03:51:38.4370000+00:00","i skibidied to my this sub channel to slid into a career for massive w","",""
"262856800385105920","pleb_star","2025-05-05T03:54:35.9990000+00:00","for small time film industry thingi majig erm you kinda gotta know a guy and if you got into a lot of small time projects you kinda know em all, ish. Like when you said FIlm Industry in what way cus theres a couple like in :
- making the film aka directing, camera boi, light boi, sound boi, art boi, producer boi, just helper/runner boi, editor boi, dkk
- actor
mostly you kinda wanna get to know people in tanggerang univs that specialize in well film degrees cus for some reason theres a ton of film degrees in tangerang","",""
"1043070203883434024","fosure","2025-05-05T10:46:22.9150000+00:00","My client's company needs a legal intern, DM me your CV, regards.","",""
"1043070203883434024","fosure","2025-05-05T10:46:27.6800000+00:00","Udah pkpa lebih bagus","",""
"620300187356758019","zen_dolphin_77330","2025-05-05T10:52:56.1290000+00:00","izin pak saya udah kirim pm terimakasih banyak","",""
"862982841427820574","chewiezzz","2025-05-06T03:41:23.9140000+00:00","start from making your own indie film, try to submit your film to local competition and win the awards to have some exposure towards the jury (which usually already has a name in the industry)","",""
"862982841427820574","chewiezzz","2025-05-06T03:43:53.1110000+00:00","I was initially going to pursue a career in the film industry, but it was hard to break if you don't already have insider connection and/or competition-winning portfolio","",""
"352806719761547285","cryomancer2748","2025-05-07T11:52:19.2130000+00:00","What do you want to be in the circle? If it's around writer/director you should make your own film first. Other than that then maybe just go to festivals and screening and introduce yourself. That should be good enough. If you are interested in making propaganda movie hmu :pray:","",""
"812136452338745345","nick3512","2025-05-07T23:40:42.8910000+00:00","Any IR or Political Science grad here with US work authorization? https://ankura.wd5.myworkdayjobs.com/en-US/Ankura/job/USA-Washington-DC-900-17th-Street-McLarty/Associate--Southeast-Asia-Practice_R104050","",""
"620300187356758019","zen_dolphin_77330","2025-05-08T09:58:35.4750000+00:00","Thank you so much for the opportunity sir, i'll be starting next week","","💪 (1),💯 (1)"
"1043070203883434024","fosure","2025-05-08T10:53:29.1500000+00:00","Yoo santai, here's a hundred","",""
"1043070203883434024","fosure","2025-05-08T10:53:33.5100000+00:00","Anjir gw dipanggil pak gak tuh","",""
"1043070203883434024","fosure","2025-05-08T10:53:35.1860000+00:00","Wkkwkw","",""
"929685111300059156","glassesofwater","2025-05-08T12:45:17.0250000+00:00","Might sound harsh but leaving Indonesia is a great step, the creative scene in indonesia is big but the money is rare.","",""
"352806719761547285","cryomancer2748","2025-05-09T07:30:03.7360000+00:00","I'm in the Industry rn.. and what you said is true.. most of the people I know also succumb to Commercialized movie just so they can make some money. The pure creative side of Industry is a hard path to walk with no money in sight. Even a successful filmmaker I know who's film is already played in a lot of festivals outside the country they are not making a lot but just enough to get by.","",""
"352806719761547285","cryomancer2748","2025-05-09T07:37:14.4840000+00:00","But this is not the channel to talk about it. I might make a discussion on #⊱・📝・the-yap-forum If I feel like it","",""
"436220883808419841","edennottheproject","2025-05-09T10:28:56.8270000+00:00","You san say it here, its just as relevant","","crythumbsup (1)"
"929685111300059156","glassesofwater","2025-05-09T10:36:22.9280000+00:00","the money is there don’t get me wrong but you’d be producing relatively mediocre horror movies and action flicks","",""
"929685111300059156","glassesofwater","2025-05-09T10:36:31.6440000+00:00","nothing more and probably nothing less","",""
"929685111300059156","glassesofwater","2025-05-09T10:36:55.3140000+00:00","with the occasional art film being paid for by the government to showcase how modern the country is","",""
"929685111300059156","glassesofwater","2025-05-09T10:37:27.0680000+00:00","might sound elitist but the people of indonesia are not ready yet for an artistic movie expansion which limits creativity","",""
"929685111300059156","glassesofwater","2025-05-09T10:37:57.3560000+00:00","that’s why moving to london,  netherlands, etc is a much much wiser idea even as a gaffer on set you’d be making quadruple","",""
"352806719761547285","cryomancer2748","2025-05-09T11:39:36.4540000+00:00","Yes.. that's what I meant by saying people doing Commercial movies because that's where the money is in Indonesian Movie Industry. Making mediocre horror, action, or even romance drama.","",""
"352806719761547285","cryomancer2748","2025-05-09T11:41:20.7770000+00:00","Couldn't agree more. Creative Industry and Sports Industry is First World Country thing.","",""
