AuthorID,Author,Date,Content,Attachments,Reactions
"338232894126555137","trufflecreampasta","2024-07-05T05:19:29.4100000+00:00","Some good take some random
1. President: Buzzer
2. Vice President: Andovi da Lopez
3. Presidential Advisory Council: Wiranto, SBY, Megawati, Jokowi, Luhut , Prabowo
4. Coordinating Minister of Economy: Sri Mulyani
5. Coordinating Minister of Investment and Maritime: Sandiaga Uno
6. Coordinating Minister of Politics, Legal, Security: Hotman Paris
7. Coordinating Minister of Human Development and Culture: Joko Anwar
8. State Secretary Minister: Grace Natalie
9. Home Affairs Minister: Khofifah
10. Foreign Affairs Minister: Retno Marsudi
11. Defense Minister: Harry Maguire
12. Legal Minister: Hotma Sitompul
13. Finance Minister: Jahja Setiaatmadja
14. Energy Minister: Ignasius Jonan
15. Industry Minister: Ahmad RIza Patria
16. Trade Minister: Anthony Salim
17. Agriculture Minister: Ganjar Pranowo
18. Environment Minister: Nicholas Saputra
19. Transportation Minister: Adriansyah Yasin
20. Maritime Minister: Susi Pudjiastuti
21. Manpower Minister: Abigail Limuria
22. Village Minister: Dian Sastro
23. Public Works Minister: Alexander Tedja
24. Health Minister: dr Boyke
25. Education Minister: Anies Baswedan
26. Social Affairs Minister: Najwa Shihab
27. Religious Affairs Minister: Marcel Saerang
28. Tourism Minister: Raffi Ahmad
29. Informations Minister: Lebah Ganteng
30. Small Business Minister: Kaesang Pangarep
31. Women and Child Minister: Faye Simanjunyak
32. Bureaucrat Minister: Ahok
33. National Development Minister: Djarot Saiful Hidayat
34. Agrarian Minister: Aguan
35. BUMN Minister: Pahala Mansury
36. Youth and Sports Minister: Kevin Sanjaya
37. Investment Minister: Tom Lembong
38. Supreme Prosecutor of Indonesia: Mahfud MD
39. Supreme Commander of the Indonesian Armed Forces: Limbad
40. Chief of the Indonesian National Police Force: Deddy Corbuzier
41. Cabinet Secretary: Pramono Anung
42. Director of State Intelligence: Tito Karnavian
43. BRIN Head: Ilham Akbar
44. Chief of the Presidential Staff: Moeldoko
45. Supreme Authority of Nusantara: Erick Thohir","",""
"488699267574267906","oneandonlycharles","2024-07-05T08:05:00.7950000+00:00","AGUAN AS ATRBPN HAAHHAAHHAHAHAAH","",""
"488699267574267906","oneandonlycharles","2024-07-05T08:05:02.7810000+00:00","THAT WILD","",""
"488699267574267906","oneandonlycharles","2024-07-05T08:07:34.5860000+00:00","HARRY MAGUIRE AS DEFENSE MINISTER LMAO","",""
"680700007200194571","fancypantscat","2024-07-05T12:35:02.3130000+00:00","i showed this to my dad and he laughed","",""
"338232894126555137","trufflecreampasta","2024-07-05T13:03:33.1160000+00:00","you’re a bold one for showing discord chat to dad","",""
"488699267574267906","oneandonlycharles","2024-07-05T16:22:55.5950000+00:00","Should post yours","",""
"338232894126555137","trufflecreampasta","2024-07-05T16:34:30.0830000+00:00","yea ikr i can't be the only one posting this","",""
"680700007200194571","fancypantscat","2024-07-05T17:41:53.5570000+00:00","no i screenshotted it","",""
"680700007200194571","fancypantscat","2024-07-05T17:42:19.3630000+00:00","nah i'm not too big into government and politics","",""
"338232894126555137","trufflecreampasta","2024-07-05T17:43:14.5730000+00:00","just do random","",""
"338232894126555137","trufflecreampasta","2024-07-05T17:43:22.8590000+00:00","i randomise some of the ministry","",""
