AuthorID,Author,Date,Content,Attachments,Reactions
"605452468284817427","buzzer9229","2025-12-08T13:54:22.4320000+00:00","@everyone I've created this channel for the purpose of members mingling in real life. Seeing as many members of the community often meet up, I've made it easier for you guys to ping meetups. Whenever you're alone just hit up your position wherever to see if a member is near you. Anyways, you guys can ping this role @Offline Meeting whenever you want to meet somewhere.

For now, if you want the role, type in ""I would like the green stuff please"" on the chat I shall grant it to you.

Remember, **ARRANGE MEETUPS WITH PEOPLE YOU'RE COMFORTABLE OR FAMILIAR WITH, WE CANNOT MODERATE SAFETY OUTSIDE OF DISCORD**.","","🇮🇩 (20)"
"425585007906783232","gksubrata","2025-12-08T13:54:32.0820000+00:00","YEAHHHH","",""
"605452468284817427","buzzer9229","2025-12-08T13:54:35.6700000+00:00","Pinned a message.","",""
"779981857454293012","i.am.beemo","2025-12-08T13:54:37.0020000+00:00","fire","",""
"1194648542875222148","praetoriavex","2025-12-08T13:54:42.9650000+00:00","amazing","",""
"647741364825751574","anarchytex","2025-12-08T13:54:43.1110000+00:00","INGPO BANDUNG","",""
"647741364825751574","anarchytex","2025-12-08T13:54:48.3260000+00:00","INGPO BANDUNG","",""
"647741364825751574","anarchytex","2025-12-08T13:54:49.1910000+00:00","INGPO BANDUNG","",""
"185435194746994690","adi_onysus","2025-12-08T13:54:49.8410000+00:00","YEAHHHHH J-TEAM GANG","",""
"647741364825751574","anarchytex","2025-12-08T13:54:50.2750000+00:00","INGPO BANDUNG","",""
"260374536053063681","a19829","2025-12-08T13:54:59.1480000+00:00","Naon ieu?","",""
"647741364825751574","anarchytex","2025-12-08T13:55:00.1640000+00:00","MANA  BARUDAK BANDUNG EUY","",""
"788757996503040002","arnthebest","2025-12-08T13:55:00.3960000+00:00","i would like green stuff","",""
"185435194746994690","adi_onysus","2025-12-08T13:55:02.9850000+00:00","JTEAM JTEAM JTEAM","",""
"294615066534477824","everydayandy.","2025-12-08T13:55:12.2650000+00:00","HELL YEAH LETS TROLLING IN REAL LIFE","",""
"983629435850854441","ukrainumedved","2025-12-08T13:55:16.3800000+00:00","BKASI BREE","",""
"983629435850854441","ukrainumedved","2025-12-08T13:55:21.0600000+00:00","BE THERE","",""
"983629435850854441","ukrainumedved","2025-12-08T13:55:23.5580000+00:00","hehe","",""
"185435194746994690","adi_onysus","2025-12-08T13:55:27.3210000+00:00","Planet","",""
"788757996503040002","arnthebest","2025-12-08T13:55:27.6810000+00:00","tangerang nih bosch senggol dong","",""
"143747199677890561","yo_yoji","2025-12-08T13:55:34.6840000+00:00","alien","",""
"605452468284817427","buzzer9229","2025-12-08T13:55:36.8220000+00:00","Ask the prompt and you shall receive","",""
"983629435850854441","ukrainumedved","2025-12-08T13:55:37.3430000+00:00","hehe","",""
"529549424301703196","its_yuru","2025-12-08T13:55:37.6470000+00:00","26th , dont forget","",""
"788757996503040002","arnthebest","2025-12-08T13:55:39.1880000+00:00","aman? ngga panas?","",""
"185435194746994690","adi_onysus","2025-12-08T13:55:39.4500000+00:00","Susah nafas","",""
"891545423238537236","murzzbow","2025-12-08T13:55:40.0350000+00:00","*the green stuff*","",""
"891545423238537236","murzzbow","2025-12-08T13:55:46.1350000+00:00","@Ijo Khidr Midori von Chlorophyll I want him","",""
"983629435850854441","ukrainumedved","2025-12-08T13:55:50.5840000+00:00","halah surabaya juga","",""
"983629435850854441","ukrainumedved","2025-12-08T13:55:55.2920000+00:00","ya","",""
"983629435850854441","ukrainumedved","2025-12-08T13:55:59.9260000+00:00","jujur, sekarang ujan","",""
"983629435850854441","ukrainumedved","2025-12-08T13:56:06.9980000+00:00","TAPI TADI PANAS PARAH","",""
