AuthorID,Author,Date,Content,Attachments,Reactions
"882111176006328440","nerosalt","2025-03-22T11:39:52.0020000+00:00","at some point there will be a #delta-force-discussion channel","","❓ (3)"
"882111176006328440","nerosalt","2025-03-22T11:40:28.6590000+00:00","go play cyberpunkdreams","","❓ (2)"
"882111176006328440","nerosalt","2025-03-22T11:46:50.4730000+00:00","its like fallen london","",""
"882111176006328440","nerosalt","2025-03-22T11:47:08.4500000+00:00","if you LOVE reading but LOVE suffering and grinding too, go play it","",""
"882111176006328440","nerosalt","2025-03-22T11:47:16.3280000+00:00","its a text based game seriously its fun","",""
"882111176006328440","nerosalt","2025-03-22T11:47:28.8030000+00:00","do note its quite graphic, like really graphic","",""
"1064369916351889448","fellowmen","2025-03-22T12:03:39.8330000+00:00","Reading Corner!","",""
"1064369916351889448","fellowmen","2025-03-22T12:03:46.4030000+00:00","Sasuga Based Indonesia Show","",""
"330558916582703116","hackersensei","2025-03-23T01:49:45.7340000+00:00","","https://cdn.discordapp.com/attachments/1352968374262435900/1353183912511279177/IMG_20250322_214018.jpg?ex=69966c39&is=69951ab9&hm=8c263eac375eaf413554ab83a29b17febddcaf586bcbb0add16ee970be90de62&",""
"330558916582703116","hackersensei","2025-03-23T01:50:06.1930000+00:00","a good book by william yang","",""
"736550209068335135",".ayab","2025-03-23T02:42:31.1450000+00:00","Conversation starter, regrettably, it is so normalized now that you can't truly talk about the book in any serious manner within literary discussions.","https://cdn.discordapp.com/attachments/1352968374262435900/1353197189245173821/rn_image_picker_lib_temp_c3a5178c-c2e4-4281-8b60-ec7e8556fe92.jpg?ex=69967897&is=69952717&hm=c14381f4830c01232ffab48029f27f0880ad177bb628c609d882b0f567544f47&",""
"753466051869802556","island_doge","2025-03-23T07:18:33.7920000+00:00","ngeri nih, mainnya george orwell","",""
"1268231520724713594","felix_white_law_12319","2025-03-23T08:41:40.8060000+00:00","I have his book","",""
"749407504999383101","bestonearth1945","2025-03-23T14:12:56.9930000+00:00","Not that terrifying ngl","",""
"749407504999383101","bestonearth1945","2025-03-23T14:13:09.1010000+00:00","If you want the more terrifying book try it cant happen here","",""
"749407504999383101","bestonearth1945","2025-03-23T14:13:28.8480000+00:00","Written in 1920's the book depicted how USA can plunge into fascism very fast","",""
"749407504999383101","bestonearth1945","2025-03-23T14:14:00.4080000+00:00","Its Alternate History fiction,but very good on par with Orwell 1984","",""
"749407504999383101","bestonearth1945","2025-03-23T14:14:37.1590000+00:00","Orwell 1984 about control","",""
"753466051869802556","island_doge","2025-03-23T14:14:39.4550000+00:00","kalo madilog :shockedp:","",""
"749407504999383101","bestonearth1945","2025-03-23T14:14:50.0690000+00:00","But it cant happen here literally tell how fascism work","",""
"749407504999383101","bestonearth1945","2025-03-23T14:14:54.7700000+00:00","Waduh","",""
"749407504999383101","bestonearth1945","2025-03-23T14:14:58.8600000+00:00",":debating:","",""
"753466051869802556","island_doge","2025-03-23T14:15:59.9840000+00:00","What's the name of the book?","",""
"749407504999383101","bestonearth1945","2025-03-23T14:16:11.8200000+00:00","It cant happen here","",""
"753466051869802556","island_doge","2025-03-23T14:16:42.9760000+00:00","Oh i thought you were saying that you cannot say the name of the book here","",""
"753466051869802556","island_doge","2025-03-23T14:16:49.5540000+00:00","I'll check it out","",""
"749407504999383101","bestonearth1945","2025-03-23T14:18:26.3830000+00:00","Nah,its literally the name of the book lol","",""
"882111176006328440","nerosalt","2025-03-23T14:46:22.3170000+00:00","mid ahh book","",""
"882111176006328440","nerosalt","2025-03-23T14:46:25.7180000+00:00","good read","",""
"882111176006328440","nerosalt","2025-03-23T14:46:38.3410000+00:00","the story was weird","",""
"736550209068335135",".ayab","2025-03-23T14:46:49.9810000+00:00","Brave new world is the better dystopia","",""
