AuthorID,Author,Date,Content,Attachments,Reactions
"456226577798135808","Deleted User","2025-03-24T11:55:35.9090000+00:00","@deleted-role Hey artists! We have made a channel for you to send your fanarts of Buzzer! Whether it's his crew, his thumbnail, any scene from his videos, you are free to send them in this channel so Buzzer can find or perhaps use 👀 in the future! (With permission of course.) Enjoy!","",""
"456226577798135808","Deleted User","2025-03-24T11:55:50.7960000+00:00","Pinned a message.","",""
"941517785077522483","complicatia","2025-03-24T13:24:18.1160000+00:00","waifu buzzer progress guh","https://cdn.discordapp.com/attachments/1353698091160703076/1353721086960734309/Untitled212_20250324212332.png?ex=69966642&is=699514c2&hm=097b396948b36281cd85b8c376588e136bd536960084822bd9afb1bcc194a621&","💯 (18),emoji_28 (5)"
"425585007906783232","gksubrata","2025-03-24T13:26:37.7400000+00:00","@Buzzer beneran","",""
"736550209068335135",".ayab","2025-03-24T13:35:20.2520000+00:00","Rule 63","",""
"736550209068335135",".ayab","2025-03-24T13:35:30.9800000+00:00","She cute ngl","",""
"605452468284817427","buzzer9229","2025-03-24T17:44:35.9150000+00:00","NICE","",""
"776844764770861127","snuckel4","2025-03-24T22:15:29.2080000+00:00","@Buzzer beneranOOooh youre using my drawing","",""
"776844764770861127","snuckel4","2025-03-24T22:15:32.9080000+00:00",":shocked:","",""
"776844764770861127","snuckel4","2025-03-24T22:15:52.8690000+00:00","this aint in my bucket list","",""
"753112518658097183","p3d_pilot","2025-03-25T00:41:02.3460000+00:00","Reminds me of that one MC axis sub that has people like the H Man, J Stalin, and Tojo be turned into waifus","",""
"736550209068335135",".ayab","2025-03-25T01:11:16.5240000+00:00","Hettalia?","",""
"753112518658097183","p3d_pilot","2025-03-25T01:13:26.9280000+00:00","Nop, MC axis","",""
"753112518658097183","p3d_pilot","2025-03-25T01:13:28.5490000+00:00","different","",""
"279817279133319179","szenvedely","2025-03-25T01:54:16.4820000+00:00","ZAMN","",""
"1006438392298479657","riipurr","2025-03-25T03:28:42.7750000+00:00","I’ll make rule… uhm
Uhhhmmmm","",""
"1006438392298479657","riipurr","2025-03-25T03:28:47.1060000+00:00",":ugu:","",""
"736550209068335135",".ayab","2025-03-25T03:29:33.4280000+00:00","Don't do it man, don't do it","",""
"1006438392298479657","riipurr","2025-03-25T03:29:40.7250000+00:00",":debating:","",""
"688330999725293758","noxsiduss","2025-03-25T05:58:15.7930000+00:00",":shockedp:","",""
"781141435197161573","notanikiwastaken","2025-03-25T06:44:35.2690000+00:00","Bro :Susge:","",""
"1006438392298479657","riipurr","2025-03-25T06:44:52.1120000+00:00",":ugu:","",""
"1124244720558809169","zahhh_9630","2025-03-25T08:01:30.7280000+00:00","Waibuzz","",""
"941517785077522483","complicatia","2025-03-25T08:01:42.9440000+00:00","huzzer","",""
"1141188017072111679","wonderfulworldofmcd","2025-03-25T08:50:24.1810000+00:00","buzzer chan(⁠ ⁠ꈍ⁠ᴗ⁠ꈍ⁠)
haikkkk (⁠≧⁠▽⁠≦⁠)
nani ga suki?
choco minto, yori mo anata(⁠◠⁠‿⁠◕⁠)","",""
"213637135561916416","rumonpan","2025-03-25T11:07:49.0040000+00:00","Selamat berbuka @planet bekasi","",""
"213637135561916416","rumonpan","2025-03-25T11:08:05.8320000+00:00",":sad: :kitty:","",""
"732931546377486437","artoria_73","2025-03-25T16:00:25.3330000+00:00","W lagi bikin fanart variant buzzer (baru kebikin ver og). Tolong rekomendasi variant buzzer nya mas dan kaka e (otak w udh mundet masalah e)","https://cdn.discordapp.com/attachments/1353698091160703076/1354122763828461660/FB_IMG_1742911156852.jpg?ex=69968ad9&is=69953959&hm=c74324dc6be670433188addebbe8f06d7173a2a6d73c78c0909fbad56d92530f&",""
"425585007906783232","gksubrata","2025-03-25T16:05:03.7940000+00:00","1. SJW buzzer
2. Anarcho buzzer
3. Apolitical buzzer
4. Fascismo buzzer
5. Commie buzzer
6. 212 Buzzer
@Buzzer beneran","","👍 (2)"
"732931546377486437","artoria_73","2025-03-25T16:05:55.0250000+00:00","https://tenor.com/view/gunna-fire-writing-heat-gif-25524005","",""
