AuthorID,Author,Date,Content,Attachments,Reactions
"366150574753710082","sukokin","2025-03-24T16:21:08.5330000+00:00","hoho","",""
"736550209068335135",".ayab","2025-03-24T16:24:30.5030000+00:00","I'm gonna post such succulents foods that'll make yall jealous","",""
"1141188017072111679","wonderfulworldofmcd","2025-03-24T16:25:32.7540000+00:00","Someone gonna post most devious food in human history","",""
"570608130610823218","hujanderas_","2025-03-24T16:35:00.2310000+00:00","nasi Padang reveal when","",""
"595261388579143712","owenzedd","2025-03-24T16:35:20.8540000+00:00","Makan gratis","",""
"1193335837916676269","dusman05","2025-03-24T16:36:22.4630000+00:00","guys i just made rendang","",""
"570608130610823218","hujanderas_","2025-03-24T16:36:42.4260000+00:00","At this hour?","",""
"1193335837916676269","dusman05","2025-03-24T16:36:57.4060000+00:00","nah im in the states lol","",""
"1193335837916676269","dusman05","2025-03-24T16:36:59.4650000+00:00","it was yesterday","",""
"1193335837916676269","dusman05","2025-03-24T16:37:28.1970000+00:00","took me 5 long hours","https://cdn.discordapp.com/attachments/1353757070985265250/1353769699141488640/IMG_8079.jpg?ex=69969388&is=69954208&hm=289288f4e8a59fefb8124c60752f52ff807045c79f013360fae185a61a7caad5&","🔥 (4)"
"595261388579143712","owenzedd","2025-03-24T16:37:59.5470000+00:00","Have you ever get an American to try it","",""
"1193335837916676269","dusman05","2025-03-24T16:38:09.8560000+00:00","not yet haha","",""
"1193335837916676269","dusman05","2025-03-24T16:38:19.2970000+00:00","i made this for my friends who are coming over tonight","",""
"1193335837916676269","dusman05","2025-03-24T16:38:44.1760000+00:00","jarang masak masakan indo hehe sesekali masak deh","",""
"595261388579143712","owenzedd","2025-03-24T16:39:43.6670000+00:00","I suppose it's not easy to find the same ingredients like in Indo","",""
"1193335837916676269","dusman05","2025-03-24T16:40:17.3300000+00:00","toughhhh im telling you","",""
"1193335837916676269","dusman05","2025-03-24T16:40:29.7230000+00:00","making stuff from scratch is so fking jard","",""
"1193335837916676269","dusman05","2025-03-24T16:40:35.4650000+00:00","so i just bring bumbu from indo","",""
"687561528081383429","bonn12345","2025-03-24T17:18:13.5930000+00:00","","https://cdn.discordapp.com/attachments/1353757070985265250/1353779956202733738/image.jpg?ex=69969d15&is=69954b95&hm=85a24752b55220bc7513381c168ad9f262277abedc0c2217a73608435ca96c2a&",""
"1193335837916676269","dusman05","2025-03-24T17:19:13.7030000+00:00","yumm","",""
"687561528081383429","bonn12345","2025-03-24T17:23:09.5460000+00:00","","https://cdn.discordapp.com/attachments/1353757070985265250/1353781196856758397/image.jpg?ex=69969e3d&is=69954cbd&hm=a8ae13bbc02cd2aec150763b99de5e503cd3ddeb6326f08ec0521f4e211f3257&,https://cdn.discordapp.com/attachments/1353757070985265250/1353781197301350470/image.jpg?ex=69969e3d&is=69954cbd&hm=4a5ca6729544f8fbc25303461efcfa9f9193e8a6a17146a42d454d12cce1a7f5&",""
"1006438392298479657","riipurr","2025-03-24T21:17:31.6410000+00:00","I read this channel as “Share-Foot” and was very concerned","","🤣 (4)"
"1193335837916676269","dusman05","2025-03-24T21:17:45.7820000+00:00","dang mochi","",""
"1193335837916676269","dusman05","2025-03-24T22:24:35.6030000+00:00","","https://cdn.discordapp.com/attachments/1353757070985265250/1353857056070701137/IMG_8054.jpg?ex=69963c23&is=6994eaa3&hm=5d6c6a8b12729653a5e05dd8f0197f17b4b2f8453225633b7ddafe6a805846db&",""
"510613938556239874","eirosksatriaa","2025-03-25T05:08:17.4700000+00:00","Ew pasta so green","",""
"1193335837916676269","dusman05","2025-03-25T05:08:26.6140000+00:00","yummm","",""
"736550209068335135",".ayab","2025-03-25T05:27:17.0610000+00:00","Did you use pesto as the base or is it just oil and garlic for  the base for the sauce?","",""
"688330999725293758","noxsiduss","2025-03-25T06:20:59.9140000+00:00","omg so much greens","",""
