AuthorID,Author,Date,Content,Attachments,Reactions
"755827207812677713","Poker Night#5821","2024-11-30T20:05:13.0120000+00:00","","",""
"1187013846746005515","Farm Merge Valley#1040","2024-11-30T20:27:15.7740000+00:00","","",""
"755827207812677713","Poker Night#5821","2024-12-06T18:55:13.7580000+00:00","","",""
"441435275282087942","name.is.v","2024-12-06T19:28:17.8120000+00:00","","https://cdn.discordapp.com/attachments/1118157010056265779/1314674799787769957/gambar-forklift-1024x768.png?ex=6996bb91&is=69956a11&hm=6891589e8a765433c2df929471141a350d175b75d3956bfcb35e3bb287b53e20&",""
"441435275282087942","name.is.v","2024-12-06T19:28:39.5100000+00:00","","https://cdn.discordapp.com/attachments/1118157010056265779/1314674890736926720/jenis-bulldozer.png?ex=6996bba7&is=69956a27&hm=7b2b941637a323a2946ea329cfdebadfe1b68518f61ea913ff18d1680637bd8a&",""
"441435275282087942","name.is.v","2024-12-06T19:30:52.7860000+00:00","","https://cdn.discordapp.com/attachments/1118157010056265779/1314675449439322145/LG9060_2-1.png?ex=6996bc2c&is=69956aac&hm=f477ae0534d538c28be1ad3e7ce65321ba450b13d276db9a318ac1f5f763dee8&",""
"441435275282087942","name.is.v","2024-12-06T19:30:55.5950000+00:00","LGMA BALLS","",""
"853482291342737429","gampsz","2024-12-06T19:32:40.1500000+00:00","","https://cdn.discordapp.com/attachments/1118157010056265779/1314675900096188447/image.png?ex=6996bc98&is=69956b18&hm=18227d201896d4e782ed6bb27f14b50049eedbf2b6be637c757a7cd0a97e8052&",""
"853482291342737429","gampsz","2025-01-03T19:40:32.2290000+00:00","GASSSS","",""
"853482291342737429","gampsz","2025-01-03T19:40:35.7920000+00:00","SINYAL JELEK","",""
"300648526537555970","proteaa2","2025-01-03T22:33:06.2540000+00:00","","https://cdn.discordapp.com/attachments/1118157010056265779/1324868168447164426/image.png?ex=69963e22&is=6994eca2&hm=8995b18d11b50ba99f92bbcef633a534b96a8c5e1df541416a1a994e580a4234&",""
"645277559935860736","petrachristalbert","2025-02-25T16:18:52.2310000+00:00","bdodoh kali aku","",""
"143747199677890561","yo_yoji","2025-03-05T14:24:11.3490000+00:00","@Buzzer beneran YojiBear","",""
"425585007906783232","gksubrata","2025-03-05T14:27:35.2890000+00:00","Imma chill and stay muted for a bit ya","",""
"474936118786129940","perantau98","2025-03-05T14:29:16.9910000+00:00","Arsenal Gunners? More like assanal gooners","",""
"425585007906783232","gksubrata","2025-03-05T14:30:56.9150000+00:00","Gooners bro, i swear.","",""
"474936118786129940","perantau98","2025-03-05T14:31:17.9340000+00:00","Agreed","",""
"425585007906783232","gksubrata","2025-03-05T14:31:28.2760000+00:00","L team","",""
"1330390051351433288","shibol","2025-03-06T17:22:25.8280000+00:00","One sec","",""
"1330390051351433288","shibol","2025-03-06T17:22:36.0900000+00:00","u guys can go ahead first","",""
"1330390051351433288","shibol","2025-03-06T17:29:51.2410000+00:00","cant login to my steam account LOL","",""
"366081805108903960","xen_zou","2025-03-07T17:30:57.6380000+00:00","Never knew a gaming chat lobby existed on this server","",""
"1330390051351433288","shibol","2025-03-08T13:21:46.0140000+00:00","yes","",""
"1330390051351433288","shibol","2025-03-08T13:33:21.3490000+00:00","what","",""
"1330390051351433288","shibol","2025-03-08T13:33:25.1480000+00:00","he just cheesed u","",""
"645277559935860736","petrachristalbert","2025-03-08T14:28:35.6690000+00:00","cooked in the worst way","",""
"645277559935860736","petrachristalbert","2025-03-08T14:29:09.7450000+00:00","even the game effect are giving +5 traumatizing point","",""
"645277559935860736","petrachristalbert","2025-03-08T14:35:30.6860000+00:00","i still working","",""
"645277559935860736","petrachristalbert","2025-03-08T14:35:59.7580000+00:00","😈","",""
"313993817252691968","dreamolytee","2025-03-12T15:03:31.0930000+00:00","toilet w8","",""
"1064369916351889448","fellowmen","2025-03-20T13:50:13.2030000+00:00","Netrunner gameplay?","",""
"1016181076877652089","outrageous_hare_23811","2025-03-20T16:56:24.1210000+00:00","He's a psyop","",""
"1141188017072111679","wonderfulworldofmcd","2025-03-20T16:57:20.9520000+00:00","Or LARPing","",""
"1016181076877652089","outrageous_hare_23811","2025-03-20T16:59:59.1840000+00:00","Word","",""
"1016181076877652089","outrageous_hare_23811","2025-03-20T17:02:32.2870000+00:00","Whose Soundboard IS that 💀💀","",""
"456226577798135808","Deleted User","2025-03-20T17:20:19.4580000+00:00","ELP! mi soul get trap in a dis ya pole","",""
"1141188017072111679","wonderfulworldofmcd","2025-03-21T16:53:15.4620000+00:00","Don't mind me I'm a lurker","",""
"1141188017072111679","wonderfulworldofmcd","2025-03-21T17:47:02.1020000+00:00","Don't worry","",""
"1016181076877652089","outrageous_hare_23811","2025-03-23T17:59:17.6920000+00:00","Hi there fynesyt","",""
"267957882635419649","notforheroes","2025-03-24T06:00:31.7330000+00:00","does stonky forget reminding us to take a poo?","",""
"267957882635419649","notforheroes","2025-03-24T07:01:31.1270000+00:00","@Lord Adiddler, the 3rd Pig join general mas","",""
"185435194746994690","adi_onysus","2025-03-24T07:03:49.2770000+00:00","Wait I’m taking a shit","",""
"185435194746994690","adi_onysus","2025-03-25T05:36:41.0090000+00:00","@sal Adhyonysus","",""
"836886817437515807","rrraeven","2025-03-25T05:42:36.8720000+00:00","JAHAT BGT","",""
"836886817437515807","rrraeven","2025-03-25T05:42:46.8030000+00:00","sorry guys i cant on mic im at work","",""
"1016181076877652089","outrageous_hare_23811","2025-03-25T06:03:01.6210000+00:00","Bruh my connection IS shit","",""
"836886817437515807","rrraeven","2025-03-25T07:37:04.6950000+00:00","can u guys hear me","",""
"836886817437515807","rrraeven","2025-03-25T07:37:09.6530000+00:00","i think my mic isnt working","",""
"267957882635419649","notforheroes","2025-03-25T08:31:05.8660000+00:00","gua masih belum move on dari kelucuan nox di torture eden tadi subuh","",""
"267957882635419649","notforheroes","2025-03-25T08:31:40.9340000+00:00","https://discord.com/channels/1118146223497560187/1257697035377840208/1353815740586921994","",""
"267957882635419649","notforheroes","2025-03-25T08:31:44.7460000+00:00","because of this","",""
"736550209068335135",".ayab","2025-03-25T09:19:45.0920000+00:00","Play stairway to heaven


Ok bye","",""
"917645285109424152","calioseee","2025-03-25T09:25:01.9660000+00:00","anjay biru","",""
"1307145069517602870","yviragni","2025-03-25T09:38:48.6680000+00:00","your voice is good, are you Niki?","",""
"456226577798135808","Deleted User","2025-03-25T09:40:01.9940000+00:00","ehe","",""
"679099137647575050","dustoflifespammer","2025-03-25T09:42:31.3160000+00:00","I used to play this song at my school's band","",""
"1064369916351889448","fellowmen","2025-03-25T09:52:45.6520000+00:00","Great stream @Ustad anarchy bukan bang toyib","",""
"267957882635419649","notforheroes","2025-03-25T09:55:33.8090000+00:00","play high and dry by radiohead please","",""
