AuthorID,Author,Date,Content,Attachments,Reactions
"551691394763325450","sanisntsane","2023-06-13T12:38:00.3730000+00:00","Joined the server.","",""
"285311628289900555","steadyuwu","2023-06-13T13:04:32.3770000+00:00","Joined the server.","",""
"660414777776144426","936371923810","2023-06-13T13:27:46.7730000+00:00","Joined the server.","",""
"253547380266369024","0x_cookiemonster","2023-06-13T13:44:00.5630000+00:00","Joined the server.","",""
"680700007200194571","fancypantscat","2023-06-13T14:03:59.7140000+00:00","Joined the server.","",""
"778666446217674823","firmyy","2023-06-13T14:08:13.2720000+00:00","Joined the server.","",""
"752517982403559464","mankkepin","2023-06-13T14:48:08.1360000+00:00","Joined the server.","",""
"451678329116950529","kievara","2023-06-13T14:55:27.9040000+00:00","Joined the server.","",""
"252053071247572992","deda345","2023-06-13T16:18:19.8310000+00:00","Joined the server.","",""
"473812004382048267","hayden_036","2023-06-13T16:58:23.2490000+00:00","Joined the server.","",""
"1058698298518683658","hovischoch","2023-06-13T18:24:26.2690000+00:00","Joined the server.","",""
"488699267574267906","oneandonlycharles","2023-06-13T21:40:29.4770000+00:00","Joined the server.","",""
"192920987744993280","stop.","2023-06-14T00:46:44.6880000+00:00","Joined the server.","",""
"703155334365184005","reeguns","2023-06-14T00:52:24.9380000+00:00","Joined the server.","",""
"851655383004217394","nau2304","2023-06-14T01:09:40.7820000+00:00","Joined the server.","",""
"456226577798135808","Deleted User","2023-06-14T04:05:09.4640000+00:00","Joined the server.","",""
"928097791560007700","notsagana","2023-06-14T04:21:17.4660000+00:00","Joined the server.","",""
"391544695420878858","lusydrop","2023-06-14T04:36:49.7480000+00:00","Joined the server.","",""
"853482291342737429","gampsz","2023-06-14T06:03:52.0320000+00:00","Joined the server.","",""
"474466299225833482","easyy1840","2023-06-14T12:35:49.2950000+00:00","Joined the server.","",""
"562560662224502786","vitli_dro","2023-06-14T12:44:22.7630000+00:00","Joined the server.","",""
"1117468122211958894","vandykecoloredshoe","2023-06-14T15:29:10.7290000+00:00","Joined the server.","",""
"544909391204188160","thisisdats","2023-06-14T18:16:38.1660000+00:00","Joined the server.","",""
"947494417755947018","sjuneoo","2023-06-16T05:17:00.4200000+00:00","Joined the server.","",""
"883362757766938744","vinnyh","2023-06-17T07:41:09.7600000+00:00","Joined the server.","",""
"456226577798135808","Deleted User","2023-06-17T08:58:42.9070000+00:00","Joined the server.","",""
"292249898575855616","vescro","2023-06-17T10:07:48.5560000+00:00","Joined the server.","",""
"689390835745423382","bayam3301","2023-06-17T16:26:03.1710000+00:00","Joined the server.","",""
"984868254050840666","_zlda","2023-06-23T18:14:06.0840000+00:00","Joined the server.","",""
"679337131352522774","rftlyp","2023-06-24T08:06:40.2660000+00:00","Joined the server.","",""
"845458062281408572","ruijaa","2023-06-24T08:26:33.1130000+00:00","Joined the server.","",""
"883362757766938744","vinnyh","2023-06-24T14:58:48.7150000+00:00","","",""
"1071430332588503121","afra06782","2023-06-24T17:48:41.6440000+00:00","Joined the server.","",""
"259604826852163584","stalinpwner","2023-06-25T03:56:31.4930000+00:00","Joined the server.","",""
"699798395459731476","nancyyy5069","2023-06-26T15:50:26.0290000+00:00","Joined the server.","",""
"757364466743771206","derukoishere","2023-06-27T00:36:42.3580000+00:00","Joined the server.","",""
"1120552742851723355","neowy.","2023-06-27T04:59:18.5920000+00:00","Joined the server.","",""
"1048165714588074014","captianzerio023","2023-06-27T07:48:17.0250000+00:00","Joined the server.","",""
"791324774776307723","nimoow","2023-06-27T16:57:44.8610000+00:00","Joined the server.","",""
"921929184652177489","reinthechaotic","2023-06-28T11:32:38.4460000+00:00","Joined the server.","",""
"482011465448947713",".cluuuu","2023-06-30T06:58:59.6640000+00:00","Joined the server.","",""
"619758024105394188","usereement","2023-07-01T17:13:36.2040000+00:00","Joined the server.","",""
"839081661002022933",".mitxx","2023-07-02T03:03:26.0930000+00:00","Joined the server.","",""
"456226577798135808","Deleted User","2023-07-02T20:12:32.4280000+00:00","Joined the server.","",""
