AuthorID,Author,Date,Content,Attachments,Reactions
"456226577798135808","Deleted User","2025-06-15T03:24:41.2140000+00:00","AAEEEE","",""
"811070924328665098","sergiu087689","2025-06-15T03:25:26.3010000+00:00","uh","",""
"811070924328665098","sergiu087689","2025-06-15T03:25:30.9110000+00:00","Peremotka is cool","",""
"811070924328665098","sergiu087689","2025-06-15T03:25:35.6600000+00:00","my fav band","",""
"811070924328665098","sergiu087689","2025-06-15T03:26:41.7850000+00:00","https://open.spotify.com/track/5w0IdV9ZgBFkEOlT0FDfFS?si=3fcae9072bef4341","",""
"811070924328665098","sergiu087689","2025-06-15T03:26:44.7590000+00:00","very happy and stuff","",""
"811070924328665098","sergiu087689","2025-06-15T03:29:04.0300000+00:00","i think the appeal is just because i dont understand the lyrics","",""
"811070924328665098","sergiu087689","2025-06-15T03:29:26.0150000+00:00","it makes it kinda better imo but thats just me, idk why i think that way too","",""
"811070924328665098","sergiu087689","2025-06-15T03:29:32.1480000+00:00","just, the vibes feel better ig","",""
"811070924328665098","sergiu087689","2025-06-15T03:32:06.2180000+00:00","https://open.spotify.com/track/7ba2nkBq5RycoVkVQkpZ6Q?si=3c5eecaf0deb4353","",""
"811070924328665098","sergiu087689","2025-06-15T03:32:09.5280000+00:00","ts also beautiful","",""
"811070924328665098","sergiu087689","2025-06-15T03:32:20.6180000+00:00","actually all of their songs are beautiful","",""
"607912857849298949","genthefrog18","2025-06-15T03:36:13.8900000+00:00","LETSGOOOOOO","",""
"607912857849298949","genthefrog18","2025-06-15T03:38:12.1280000+00:00","yeah same with me, i enjoy songs that i dont know yhe lyrics of","",""
"998521205101428776","liz2liz","2025-06-15T03:45:35.6360000+00:00","Idk the lyrics as well","",""
"998521205101428776","liz2liz","2025-06-15T03:45:40.2750000+00:00","This in polish
https://open.spotify.com/track/49ZeX1Mfls6dP6dm4OyWQP?si=m9byhKejQ4CShffSREs2bg","",""
"607912857849298949","genthefrog18","2025-06-15T03:49:39.6950000+00:00","https://tenor.com/view/polish-cow-cow-dancing-dance-dancing-cow-gif-19109155
my mind when polish","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:49:40.4240000+00:00","@Deleted User https://open.spotify.com/track/7CZiDzGVjUssMSOXrDNYHL?si=EkxWEDrxSc6Y_cKWi0trPw listen to this, you might notice that Ringo's drumming are out of tempo in a good way and doesn't match any metronome","",""
"456226577798135808","Deleted User","2025-06-15T03:50:43.1360000+00:00","Isn't that what they call syncopation","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:50:54.7180000+00:00","correcto","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:51:08.5910000+00:00","you learnt a lot yeah","",""
"456226577798135808","Deleted User","2025-06-15T03:51:10.5180000+00:00","That's really weird, but it works
Wtf?","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:51:18.2970000+00:00","beatles magic","",""
"607912857849298949","genthefrog18","2025-06-15T03:51:26.6760000+00:00","@Niko loves carrots do yo like unconventional rythm structures?","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:51:36.9760000+00:00","well this band is such a big experimental","",""
"456226577798135808","Deleted User","2025-06-15T03:51:37.4620000+00:00","Yea I think she does","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:51:44.4680000+00:00","i do","",""
"456226577798135808","Deleted User","2025-06-15T03:51:53.4430000+00:00","The Beatles experiments on that quite a few","",""
"607912857849298949","genthefrog18","2025-06-15T03:52:02.9460000+00:00","so you know math rock right","",""
"607912857849298949","genthefrog18","2025-06-15T03:52:06.6930000+00:00","math and post rock","",""
"456226577798135808","Deleted User","2025-06-15T03:52:07.1950000+00:00","I like it too ngl but to learn","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:52:26.4580000+00:00","i know math rock, and i am not the fan of the word math so ill prefer other names","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:52:28.6830000+00:00","XD","",""
"456226577798135808","Deleted User","2025-06-15T03:53:10.0910000+00:00","If I remember correctly , John Lennon doesn't write down his lyrics. He sings it out loud and forces himself to remember it","",""
"607912857849298949","genthefrog18","2025-06-15T03:53:18.8660000+00:00","trying to dissect math rock music is fun","",""
"456226577798135808","Deleted User","2025-06-15T03:53:19.2720000+00:00","That's literally why their songs are so catchy","",""
"456226577798135808","Deleted User","2025-06-15T03:53:37.4810000+00:00","Ooh, I wanna try.
Recommend me dawg","",""
"607912857849298949","genthefrog18","2025-06-15T03:54:07.0330000+00:00","hol on","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:54:48.7370000+00:00","they dont really know their chord names, cant read music sheets and thats why they're amazing, but some people might say ""why do i need to learn theory? john lennon didnt!"" you're not john, dummy","",""
"456226577798135808","Deleted User","2025-06-15T03:55:26.1250000+00:00","See if they don't know their chord names, that means they've got really good ears","",""
"456226577798135808","Deleted User","2025-06-15T03:55:38.1850000+00:00","They managed to match what notes go together","",""
"456226577798135808","Deleted User","2025-06-15T03:55:44.3950000+00:00","That's amazing I do that too sometimes","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:56:48.1940000+00:00","@Deleted User https://open.spotify.com/track/3KfbEIOC7YIv90FIfNSZpo?si=VRthcSI5SG6aXYcipK6Y4Q in this song happened two things, ringo keep his tempo good and nice with (un)simple drum path, and the piano solo was not an harpsichord (i didnt get it as harpsichord but as acoustic piano) it was pitched and speed up played by their manager/crew (i forgot.) the song was hard, so they record it slow and making it faster","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:58:31.1260000+00:00","and Strawberry fields forever was two different tapes, they connect the other tape you could listen to the ""let me take you down and im going to"" the word ""to"" were where the transition begin, you could feel the slowness of the song begin but it was in the same tempo. @Deleted User","",""
"456226577798135808","Deleted User","2025-06-15T03:58:47.1480000+00:00","Wow you are Beatles autistic","",""
"456226577798135808","Deleted User","2025-06-15T03:58:57.0730000+00:00",":PepeLaughOld:","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:59:00.2150000+00:00","well i am thankfully","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:59:06.2660000+00:00","ask me anything","",""
"456226577798135808","Deleted User","2025-06-15T03:59:06.6420000+00:00","Thats impressive","",""
"1254800015663173694","nikochocomalteu","2025-06-15T03:59:32.9650000+00:00","yeah being a nerd of the most known band are insane","",""
"607912857849298949","genthefrog18","2025-06-15T03:59:38.1780000+00:00","this one has a nice song structure https://www.youtube.com/watch?v=aSy0vqP_wt0
this one introduced me to the genre https://www.youtube.com/watch?v=e1pZIfretEs
this one is autistic https://www.youtube.com/watch?v=RXTrdgeGDoU","",""
"607912857849298949","genthefrog18","2025-06-15T03:59:51.4790000+00:00","i dont use spotify :3","",""
"456226577798135808","Deleted User","2025-06-15T04:00:16.3700000+00:00","Another based YouTube user","",""
"456226577798135808","Deleted User","2025-06-15T04:00:27.6020000+00:00","Wat da hell Here comes the Sun is Stereo too","",""
"1254800015663173694","nikochocomalteu","2025-06-15T04:00:28.2690000+00:00","me too","",""
"456226577798135808","Deleted User","2025-06-15T04:00:31.3000000+00:00","So catchy","",""
"1254800015663173694","nikochocomalteu","2025-06-15T04:00:40.2920000+00:00","all of their songs are stereo, stonky","",""
"607912857849298949","genthefrog18","2025-06-15T04:00:41.5790000+00:00","most songs are mixed in stereo","",""
"811070924328665098","sergiu087689","2025-06-15T04:00:47.2720000+00:00","real","",""
"456226577798135808","Deleted User","2025-06-15T04:00:56.3790000+00:00","Don't be mean to me I just listened to them 💔","",""
