AuthorID,Author,Date,Content,Attachments,Reactions
"1006438392298479657","riipurr","2025-07-20T09:08:32.5990000+00:00","Joyful rush brought me memories
I had hoped for their sympathies
But when the door disclosed my bloodline’s company
The breeze they gave was a chaotic symphony

Dreadful screams rang into my ears
I could shame each for all had fears
Remind me the sins of the living and perished
Deny me the pride which our blood bred and nourished

Inside the car of red wine fuel
We showed the dark how we were cruel
Mugs shattered, lies scattered
No one was catered to, but all was favored too

For each sinner was a winner
In one’s own eyes but another
Same with I, a self-loathing champion
I prayed to God for red wine to crash, spill, and burn

As to Him, we should be returned
For a rest was all I had yearned

— Rii
— 20 July 2025","","❤️ (3)"
"412926738298044431","jaxxxxxxyyyy","2025-07-20T09:11:59.6620000+00:00",":pray: :pray: :pray: :pray: :pray: :pray:","",""
"412926738298044431","jaxxxxxxyyyy","2025-07-20T09:12:07.9370000+00:00","8.5/10 for me","",""
"1006438392298479657","riipurr","2025-07-20T09:13:38.7660000+00:00","E l a b o r a t e","",""
"1006438392298479657","riipurr","2025-07-20T09:13:47.6430000+00:00",":ugu:","",""
"1006438392298479657","riipurr","2025-07-20T09:13:51.0680000+00:00","Ty, tho","",""
"412926738298044431","jaxxxxxxyyyy","2025-07-20T09:36:51.4760000+00:00","Okok.

Words such as ""inside the car of red wine fuel"" and ""mugs shattered, lies scattered"" managed to draw some strong imageries. The messaging is clear for the emotions such as shame, fear, and self-loathing. The only possible weaknesses would be ambiguity that costed clarity, cliché in the final lines (nothing wrong with that), and some of the transition feels that abrupt.","",""
"1006438392298479657","riipurr","2025-07-20T09:38:07.8270000+00:00","Ahh
I see, I see! Thanks for ur input. Apologies that it may not as polished as it could be… I usually write poems in one sitting and I wrote this one while pooping!!! :necohappy: :necohappy: :necohappy:","",""
"1006438392298479657","riipurr","2025-07-20T09:38:51.6090000+00:00","Idk how to clarify that this poem is basically my experience after a furcon, tho :mow:","",""
"412926738298044431","jaxxxxxxyyyy","2025-07-20T09:38:53.0100000+00:00","Ei it's fine, it is quite incredible that you managed to write this in one sitting","",""
"1006438392298479657","riipurr","2025-07-20T09:39:00.9980000+00:00","WHILE POOPING!!!","",""
"412926738298044431","jaxxxxxxyyyy","2025-07-20T09:39:01.6840000+00:00","I sometimes took mine for like a few hours for writing one","",""
"1006438392298479657","riipurr","2025-07-20T09:39:21.1160000+00:00","Well
Yeah! A few hours of poopin","",""
"1006438392298479657","riipurr","2025-07-20T09:39:23.9960000+00:00",":Dbweep:","",""
"412926738298044431","jaxxxxxxyyyy","2025-07-20T09:40:31.3030000+00:00","No I mean I took hours to write a poem, not while pooping","",""
"412926738298044431","jaxxxxxxyyyy","2025-07-20T09:40:36.4060000+00:00","😂 😂 😂","",""
"412926738298044431","jaxxxxxxyyyy","2025-07-20T09:40:57.5570000+00:00","But in any case, it is a good poem","",""
"412926738298044431","jaxxxxxxyyyy","2025-07-20T09:41:01.1370000+00:00",":pray: :pray:","",""
"1006438392298479657","riipurr","2025-07-20T09:43:03.6750000+00:00","Thank!!","",""
"1006438392298479657","riipurr","2025-07-20T09:43:10.8000000+00:00","You wriite too?","",""
"412926738298044431","jaxxxxxxyyyy","2025-07-20T09:43:31.5110000+00:00","When I have nothing to do, sometimes I do write a few poems","",""
"412926738298044431","jaxxxxxxyyyy","2025-07-20T09:43:43.3810000+00:00","But not often, thus why it took a long time for me to write one","",""
"1006438392298479657","riipurr","2025-07-20T09:49:24.0590000+00:00","Ahh
Same, tbh!","",""
"1006438392298479657","riipurr","2025-07-20T09:49:27.5420000+00:00","I mostly draw","",""
"1006438392298479657","riipurr","2025-07-20T09:49:32.3320000+00:00",":Z_CatBoomExplode:","",""
"1006438392298479657","riipurr","2025-07-20T09:49:44.7360000+00:00","People standing… I draw mostly people standing!!!","",""
