AuthorID,Author,Date,Content,Attachments,Reactions
"983629435850854441","ukrainumedved","2025-07-16T13:59:05.6970000+00:00","","https://cdn.discordapp.com/attachments/1395042059852840960/1395042061014794300/2880px-Flag_of_the_United_Kingdom_281-229_1.png?ex=69966e69&is=69951ce9&hm=45dd44de55d07e3faff169e0684c040847d31d0d6b3492815d2e64608212a3da&","👍 (3)"
"983629435850854441","ukrainumedved","2025-07-16T13:59:19.6220000+00:00","**I will be writing**","",""
"983629435850854441","ukrainumedved","2025-07-16T14:02:05.0330000+00:00","It's essentially about what if Germany, Britain, and the USSR collapsed in WW2","",""
"983629435850854441","ukrainumedved","2025-07-17T14:28:08.3160000+00:00","# NOTE: THIS IS FICTION AND ANYTHING HERE IS NOT REALISTIC, PLEASE DO NOT TAKE THIS SERIOUSLY OR PERSONALLY, HOWEVER CRITIQUES ARE ALLOWED. (Because the creator is lazy)","",""
"983629435850854441","ukrainumedved","2025-07-17T14:47:33.5290000+00:00","# The Red Attempt
|| ||
**In 1921, following the Soviet victory of the Polish-Soviet war after Hans von Seeckt staged a conflict with Poland and partitioned it between the Soviets. The politics of the Weimar Republic went instable after Hans von Seeckt refused to recognise the Leauge of Nations mandate for Poland. Due to the political chaos, the Soviet Union invades Germany. However, due to the effectiveness of the Freikorps on eliminating German communists, the Soviet Union had a harder time on the operation. The British Empire began to secretly contact the Reichswer on plans of arming up against the Soviet Union.**

**The Soviets had reached Berlin, however the Reichswer countered back against the Soviet Union, until the Treaty of Stockholm was signed, forcing Germany to give east Prussia and Eastern Silesia, leaving the Soviet Union without reparations.**","",""
"983629435850854441","ukrainumedved","2025-07-17T15:06:26.1720000+00:00","","https://cdn.discordapp.com/attachments/1395042059852840960/1395421394036330676/image.png?ex=69967e32&is=69952cb2&hm=e3b077c8dd8bd7376569af4c8042145cb8dce5f950aa9e22198e7f45ae3527ae&",""
"1188825714871517267","grokker9","2025-07-20T11:51:49.0980000+00:00","Cisco, how did you make this map?","",""
"1188825714871517267","grokker9","2025-07-20T11:51:54.7470000+00:00","Ibispaint?","",""
"983629435850854441","ukrainumedved","2025-07-20T12:55:53.4600000+00:00","**The internal politics of the Soviet Union were chaotic. Trotsky's failure was catastrophic, however it oversaw a rising picture of Trotsky in the CPSU. Despite the tensions between the CPSU factions, Karl Radek as an appeasing and pragmatist rose.**

**After becoming General Secretary, picked by Lenin due to his appeasing nature, after Lenin's death, Radek succeeds Lenin.**

**In 1927, Radek begins his 5 year plans, however with lack of better planning and frequent military focus, the Soviet Union's industrial output boosted, however it was messy.**

**The Great Depression hits in 1929, affecting major economies. Unemployment skyrocketed, banks failed to pay back, and productivity crashes down. It hit China, and it hit Japan, though mildly, the Soviet Union prepares for the invasion of Manchuria as a first step of the world revolution by Karl Radek.**

**Following the invasion of Manchuria by the Japanese Empire, the Soviet Union takes advantage of their advance towards the South. After gathering 700K men, the Soviet Union marches towards Manchuria.**","",""
"983629435850854441","ukrainumedved","2025-07-20T12:56:01.1420000+00:00","I use ibispaint","","crythumbsup (2)"
"509244314455638017","rasyidishere","2025-08-25T00:13:47.2860000+00:00","that simple map but worthy","",""
"983629435850854441","ukrainumedved","2025-08-25T05:05:05.2690000+00:00","heck i hadnt continued it","",""
"509244314455638017","rasyidishere","2025-08-25T05:23:06.5380000+00:00","oh what....","",""
"509244314455638017","rasyidishere","2025-08-25T05:23:19.6110000+00:00","I still amazed for this historical fiction event","",""
"509244314455638017","rasyidishere","2025-08-25T05:23:40.1760000+00:00","when I felt bore to play a game in this server","",""
"509244314455638017","rasyidishere","2025-08-25T05:24:31.7430000+00:00","maybe you can send that map or full map to me","",""
"509244314455638017","rasyidishere","2025-08-25T05:24:52.8680000+00:00","I mean a map with sign-like Commies side and Democracies side","",""
"983629435850854441","ukrainumedved","2025-08-25T05:33:24.5690000+00:00","Hmm","",""
"983629435850854441","ukrainumedved","2025-08-25T05:33:36.0870000+00:00","Although this alt history is like until 1952","",""
"983629435850854441","ukrainumedved","2025-08-25T05:33:38.0620000+00:00","I mean no","",""
"983629435850854441","ukrainumedved","2025-08-25T05:33:44.3620000+00:00","This is before the TTT happen","",""
"983629435850854441","ukrainumedved","2025-08-25T05:33:58.6910000+00:00","Pfc this is prologue","",""
"983629435850854441","ukrainumedved","2025-12-10T05:21:31.3540000+00:00","im gonna put a new revision
|| ||","",""
"983629435850854441","ukrainumedved","2025-12-10T05:21:35.2700000+00:00","|| ||


|| ||
# REVISION

# =========================================================

# REVISION
|| ||


|| ||
# REVISION

# =========================================================

# REVISION
|| ||


|| ||
# REVISION

# =========================================================

# REVISION


|| ||","",""
"983629435850854441","ukrainumedved","2025-12-10T05:21:44.5600000+00:00","# ========================================================","",""
"983629435850854441","ukrainumedved","2025-12-10T05:21:54.9530000+00:00","# REVISION



|| ||","",""
"983629435850854441","ukrainumedved","2025-12-11T15:13:11.8240000+00:00","# THE RED ATTEMPT

> It is 1917. The Bolsheviks had taken over much of the soul of the Russian fatherland, with the white army resisting the Bolshevik expansion of their ideas of Communism. By the Russian Civil War, Vladimir Lenin had a goal, to spread the revolution to Europe. Now as of 1920, the Soviet-Polish War broke out after the nationalists of Poland, led by Josef Pilzsudski, advanced throughout the Belarus and the Ukrainian plains. Since 1919, the Red Army had been battling the Polish nationalists and finally, in 1920 the Red Army counterattacked after battles on Kyiv and West Belarus. However, problems start to occur as doubt circles the Red Army, and with that, the head of the Red Army, Leon Trotsky, contacted the Reichswer to stage a conflict with Poland, in return they could gain the former East Prussian territories. The conflict happens on the 21st of August 1920, as Hans von Seeckt steamrolls across the former German land.

> After the invasion of Poland, the Reichswer refuses to recognise the sovereignty of Poland under the mandate of Leuage of Nations, and thus revolts plunged since January of 1921, as theyve opposed against the Reichswer and the Freikorps. Due to the effectiveness of the Freikorps, they hadnt been abandoned in favour of securing the Weimar Republic from communist uprisings, especially in the Ruhr and Saxony. With the underestimation of the Red Army on Germany's political instability, the Soviet army advanced towards the northern plains of Germany with Operation October that was launched on **5th of May 1921**, swifting through East Prussia and the large industrial sectors of Silesia in just a few months.

> The progress of the Soviet advance towards the industrial heart of Europe was stunted after successful counteroffensives by the Reichswer in Berlin. Since communists were purged, the Soviet offensives failed as logistics were on thin ice, and the Reichswer counters the Red Army with the secret help from the allies by armaments.","https://cdn.discordapp.com/attachments/1395042059852840960/1448694111472189471/Screenshot_775.png?ex=69967fc7&is=69952e47&hm=70931db83efc533d09c786cb64d208d0cf6f2828e868140be3e11c8c44e30cbd&,https://cdn.discordapp.com/attachments/1395042059852840960/1448694112034492436/Screenshot_777.png?ex=69967fc7&is=69952e47&hm=40bb8ecd29ea77b57613da1aedb090fe2ccb03fba8dea4b436d17ba40cbe825f&",""
