AuthorID,Author,Date,Content,Attachments,Reactions
"436220883808419841","edennottheproject","2025-08-28T16:03:47.1120000+00:00","All twitter links di sini ya","",""
"395810691006857219","ataman_erkin","2025-08-28T16:03:58.8910000+00:00","https://vxtwitter.com/budibukanintel/status/1961091651624919196?s=46","",""
"891545423238537236","murzzbow","2025-08-28T16:04:04.0590000+00:00","https://nasional.kompas.com/read/2025/08/28/22330891/kapolri-minta-maaf-dan-telusuri-rantis-brimob-lindas-ojol","",""
"1327306698838245499","k1mcchii","2025-08-28T16:04:12.2330000+00:00","eden i think Jakarta riots will fits better for the threads’ name","",""
"1327306698838245499","k1mcchii","2025-08-28T16:04:15.7660000+00:00","its happening not only in Senayan","",""
"1327306698838245499","k1mcchii","2025-08-28T16:04:27.0110000+00:00","even in Kwitang, Palmerah and other regions","",""
"185435194746994690","adi_onysus","2025-08-28T16:04:40.4230000+00:00","https://www.inilah.com/istana-buka-suara-soal-video-mobil-rantis-brimob-diduga-lindas-pengemudi-ojol","",""
"891545423238537236","murzzbow","2025-08-28T16:05:38.2250000+00:00","Changed the channel name: Jakarta Riots 2025","",""
"891545423238537236","murzzbow","2025-08-28T16:06:58.6860000+00:00","https://web.facebook.com/groups/424084338862656/permalink/1475115663759513/?mibextid=rS40aB7S9Ucbxw6v&_rdc=1&_rdr#","",""
"891545423238537236","murzzbow","2025-08-28T16:07:05.9030000+00:00","halah anjir","",""
"891545423238537236","murzzbow","2025-08-28T16:07:21.4910000+00:00","","https://cdn.discordapp.com/attachments/1410656113564848319/1410657016267149373/image.png?ex=69968c79&is=69953af9&hm=6ba60bc9d89d79a22b09f34900c41dd76ae9ca567621ec21a66920c4cf4faa00&",""
"825755560661876766","_shinda_hito_00","2025-08-28T16:08:27.6590000+00:00","https://fixupx.com/synthreb3l/status/1961077688673911285?t=bKTs7LyVG3jcWZOroPW2DA&s=19","",""
"529549424301703196","its_yuru","2025-08-28T16:08:59.8830000+00:00","https://x.com/ezash/status/1961068893985800511?t=b35ZtlWCG5jYqOlqVKknwQ&s=19
Well well","",""
"891545423238537236","murzzbow","2025-08-28T16:10:16.1880000+00:00","","https://cdn.discordapp.com/attachments/1410656113564848319/1410657748932362362/image.png?ex=69968d28&is=69953ba8&hm=e2dd075aec701a6af806e6100cf2c5659190ac5b98ae177a3cf90304511d5cdb&",""
"891545423238537236","murzzbow","2025-08-28T16:11:17.8420000+00:00","","https://cdn.discordapp.com/attachments/1410656113564848319/1410658007603347617/image.png?ex=69968d65&is=69953be5&hm=d9bee17a60ad18e524a9e26d87c0af5ab913eeb0a5bea5d0961b0479ebdd03eb&",""
"891545423238537236","murzzbow","2025-08-28T16:11:29.0330000+00:00","# what do you mean they ran over 5 people?!","",""
"529549424301703196","its_yuru","2025-08-28T16:13:41.5480000+00:00","Huh","",""
"529549424301703196","its_yuru","2025-08-28T16:13:57.1510000+00:00","Okay wait","",""
