AuthorID,Author,Date,Content,Attachments,Reactions
"776844764770861127","snuckel4","2025-03-09T12:10:45.5360000+00:00","","",""
"776844764770861127","snuckel4","2025-03-09T12:10:46.5660000+00:00","👩‍❤️‍👨 👎","",""
"776844764770861127","snuckel4","2025-03-09T12:14:15.1310000+00:00","Changed the channel name: Why sex education in Indonesia are taboo and backward?","",""
"645277559935860736","petrachristalbert","2025-03-09T12:15:25.5690000+00:00","Explain backward in this context @斯納克爾 4","",""
"776844764770861127","snuckel4","2025-03-09T12:18:17.0560000+00:00","*Indonesia's challenges in advancing comprehensive sex education stem from a complex interplay of cultural, religious, political, and socio-economic factors. Culturally, the country is deeply rooted in conservative values, particularly influenced by Islam, which dominates societal norms. Discussions about sex are often considered taboo, and religious teachings emphasize abstinence until marriage, leading to resistance against comprehensive sex education (CSE) that includes topics like contraception or sexual diversity. 

And Politically, the government has been hesitant to implement CSE due to fear of backlash from powerful religious groups and conservative parties, resulting in fragmented and inconsistent policies. Misconceptions also play a significant role, as many Indonesians believe that sex education encourages promiscuity, while stigma around sexuality further limits open discussions. Additionally, socio-economic disparities, particularly in rural areas, hinder access to quality education and resources, exacerbating the gap in sexual health knowledge. These factors collectively contribute to Indonesia's lag in adopting progressive sex education practices compared to many first-world countries.*","https://cdn.discordapp.com/attachments/1348266569981231204/1348268655200178259/OIP.jpeg?ex=699656c9&is=69950549&hm=ef5387795c0c56925b147255e212cff0f00973f95dcbb05d3897e8f843b05204&",""
"776844764770861127","snuckel4","2025-03-09T12:19:51.6090000+00:00","ok hol on","",""
"776844764770861127","snuckel4","2025-03-09T12:25:16.5710000+00:00","Indonesia's backwardness in sex education is a result of a toxic combination of **religious dogmatism**, **political cowardice**, and **cultural repression**. The country is shackled by conservative Islamic values that dominate public discourse, making any discussion about sex a taboo subject. Religious leaders and conservative groups wield disproportionate power, pushing the narrative that sex education will corrupt youth and promote promiscuity, even though evidence from around the world proves the opposite. **The government, too afraid to challenge these groups, avoids implementing comprehensive sex education, leaving young people ignorant and vulnerable to teenage pregnancies, etc.** 💥 💥 💥","",""
"736550209068335135",".ayab","2025-03-09T12:25:39.6620000+00:00","Taboo? I don't know that it was, in my Islamic grade school that thing was drilled into us when we reached 6th grade","",""
"776844764770861127","snuckel4","2025-03-09T12:25:59.0830000+00:00","what","",""
"736550209068335135",".ayab","2025-03-09T12:26:31.5270000+00:00","Yeah we were shown videos and slides about it","",""
"736550209068335135",".ayab","2025-03-09T12:26:53.9330000+00:00","It was a very awkward and funny  experience thinking back","",""
