AuthorID,Author,Date,Content,Attachments,Reactions
"448935208478179338","transactionshq","2025-03-13T07:59:00.6150000+00:00","broooooooo","",""
"448935208478179338","transactionshq","2025-03-13T07:59:53.9390000+00:00","okay first of all ""bule"" did not come from ""the boulevard"" it came from old literature and it was used to refer only to animals before white PEOPLE showed up, so let's just get trash that ""boulevard"" myth, there is no evidence to support that, and one quick google won't change that.","",""
"488699267574267906","oneandonlycharles","2025-03-13T08:00:17.4080000+00:00","No Dalang Mas Thomas, what you need to understand a lot of urban Indonesians don’t even associate the word bule with discrimination, we just use it as a term to mean white people between Indonesians, there’s no racism attached to it atleast in the cities. So this is new to me the fact that the word bule is being used to discriminate.","","💯 (2)"
"488699267574267906","oneandonlycharles","2025-03-13T08:00:26.6040000+00:00","That’s why we want to hear it","",""
"595261388579143712","owenzedd","2025-03-13T08:02:18.7880000+00:00","Where did you hear this from","",""
"448935208478179338","transactionshq","2025-03-13T08:02:32.6040000+00:00","hours of intensive research","",""
"448935208478179338","transactionshq","2025-03-13T08:02:39.5380000+00:00","respectfully 🙏","",""
"595261388579143712","owenzedd","2025-03-13T08:02:57.8280000+00:00","No digital source?","",""
"448935208478179338","transactionshq","2025-03-13T08:04:08.3990000+00:00","It's not my job to cite my sources; rather it is your job to care about your education enough to take as much time on these topics as I already have.","",""
"448935208478179338","transactionshq","2025-03-13T08:05:08.6570000+00:00","i have already said multiple times that I am trying to avoid a disagreement here, so I implore you to do your own research on the true history and etymology of the word ""bule"", and its transformational period between 1840 and 1940","",""
"595261388579143712","owenzedd","2025-03-13T08:06:06.7130000+00:00","If it's not easily accessible then I'm not gonna dig further","",""
"595261388579143712","owenzedd","2025-03-13T08:06:17.3470000+00:00","I never use the word bule anyway","",""
"448935208478179338","transactionshq","2025-03-13T08:06:18.6180000+00:00","yeah try using English when you google it","",""
"310028859259224066","sarfanas","2025-03-13T08:06:19.6360000+00:00","its literally in the first page of a google search","",""
"448935208478179338","transactionshq","2025-03-13T08:06:24.4250000+00:00","that's good","",""
"310028859259224066","sarfanas","2025-03-13T08:06:26.1590000+00:00","on top search","",""
"595261388579143712","owenzedd","2025-03-13T08:06:58.4400000+00:00","I call people by their nationality","","🥢 (2)"
"448935208478179338","transactionshq","2025-03-13T08:07:00.2000000+00:00","i advise away from using bahasa indonesia on A.I.-aided searches, you're likely to get propaganda because A.I. has not yet been properly trained in some languages","",""
"310028859259224066","sarfanas","2025-03-13T08:07:12.1540000+00:00","https://javaprivatetour.com/the-origin-of-the-term-bule-for-foreigners-in-indonesia#:~:text=Linguistic%20research%20suggests%20that%20bule,extended%20to%20fair-skinned%20foreigners.","",""
"448935208478179338","transactionshq","2025-03-13T08:07:24.7640000+00:00","i respect that. 

I think we can start by not using it as a greeting, or around strangers --- the same way you would treat any bahasa kasar","",""
"310028859259224066","sarfanas","2025-03-13T08:08:11.9790000+00:00","I think this article is pretty accurate, only skimmed it a bit since I'm working rn","",""
"488699267574267906","oneandonlycharles","2025-03-13T08:08:22.5400000+00:00","People actually come up to you and say bule????","",""
"310028859259224066","sarfanas","2025-03-13T08:08:48.3630000+00:00","Thanks for the insight! Sorry that it happened to you.","",""
"595261388579143712","owenzedd","2025-03-13T08:08:51.2410000+00:00","People in province will follow foreigner around","",""
"448935208478179338","transactionshq","2025-03-13T08:09:00.6420000+00:00","i have not yet stepped foot in Indonesia but if I revealed all the receipts you'd be shocked","",""
"595261388579143712","owenzedd","2025-03-13T08:09:02.9540000+00:00","It's like a zoo exhibit","",""
"448935208478179338","transactionshq","2025-03-13T08:09:04.0590000+00:00","behaviors on the internet","",""
"488699267574267906","oneandonlycharles","2025-03-13T08:09:07.4080000+00:00","Yeah that makes all sense now","",""
"448935208478179338","transactionshq","2025-03-13T08:09:45.4990000+00:00","yeah and stories of this are enough of a deterrent without the experiences i've had in the voicerooms and other mediums. I really appreciate you guys I think you are the good indonesians 😄 this is the least toxic all-indonesian server i've ever been in","",""
"488699267574267906","oneandonlycharles","2025-03-13T08:10:30.6790000+00:00","Urbanites are pretty sensitive with the bule word and only use it between themselves when describing someone’s profile, they don’t follow around white people nor do they usually discriminate white people","",""
"595261388579143712","owenzedd","2025-03-13T08:10:33.1080000+00:00",":Indonesia:","",""
"488699267574267906","oneandonlycharles","2025-03-13T08:10:58.2140000+00:00","The rural areas maybe that makes a lot of sense","",""
"448935208478179338","transactionshq","2025-03-13T08:11:18.1390000+00:00","i'm sensitive about it because i actually came to your culture with the best of intentions and my reward for learning the language is having to have this conversation over and over again","",""
"447418002896584704","jazz3774","2025-03-13T08:11:36.1000000+00:00","I got a friend that once saw a white person in a pool and she just casually ada bule bule, and the bule got angry and say do you like to be called cina cina cina

Since that day i kinda get it","",""
"448935208478179338","transactionshq","2025-03-13T08:11:41.3360000+00:00","my reward is dipanggil ""bule jowo"" and that's why i refuse to speak ngoko, especially jawa timur ngoko","",""
"488699267574267906","oneandonlycharles","2025-03-13T08:12:11.6440000+00:00","That makes a lot more sense now","",""
"448935208478179338","transactionshq","2025-03-13T08:12:35.4180000+00:00","from my experience on the internet it depends on the rural area. I have had 5/5 experience with people from Banyumasan region, and their usage of the word ""bule"" tends to be less harmful on social media than, say, jakarta and surabaya","",""
"448935208478179338","transactionshq","2025-03-13T08:12:36.8280000+00:00","and bali","",""
"448935208478179338","transactionshq","2025-03-13T08:13:05.2660000+00:00","monggo dipun tingali mboten pantes disambut miturut warna kulitipun","",""
"448935208478179338","transactionshq","2025-03-13T08:13:33.1930000+00:00","nyong nyobi nglambangaken aspek-aspek ingkang paling sae sae sekang budaya dalem","",""
"488699267574267906","oneandonlycharles","2025-03-13T08:13:35.0160000+00:00","Do you know that the East Javanese people are the most egalitarian in Java? Their unwitting racism probably stems from ignorance rather than malice","",""
"448935208478179338","transactionshq","2025-03-13T08:13:42.3020000+00:00","nalika sesambetan kaliyan tiyang sanes","",""
"448935208478179338","transactionshq","2025-03-13T08:14:01.4560000+00:00","mbok menawi panjenengan padha kedah tumindak kados mekaten","",""
"595261388579143712","owenzedd","2025-03-13T08:14:07.9330000+00:00","I don't think there's malice","",""
"448935208478179338","transactionshq","2025-03-13T08:14:12.3070000+00:00","yeah i've seen thx","",""
"488699267574267906","oneandonlycharles","2025-03-13T08:14:15.3920000+00:00","They’re not malicious or xenophobic but they are incorrect","",""
"595261388579143712","owenzedd","2025-03-13T08:14:19.6070000+00:00","It's mostly ignorance","",""
"595261388579143712","owenzedd","2025-03-13T08:14:29.0120000+00:00","Or no concept of racism","",""
"448935208478179338","transactionshq","2025-03-13T08:14:34.9680000+00:00","but I'm no longer very comfortable with the idea of moving to indonesia","",""
"488699267574267906","oneandonlycharles","2025-03-13T08:14:36.9010000+00:00","If anything East Javans are xenophiles","",""
"488699267574267906","oneandonlycharles","2025-03-13T08:14:48.1530000+00:00","Move to Jakarta or Medan lmao","",""
"448935208478179338","transactionshq","2025-03-13T08:14:48.5330000+00:00","i don't fw most east javanese","",""
"448935208478179338","transactionshq","2025-03-13T08:14:55.9200000+00:00","I fw central dialects for a reason","",""
"448935208478179338","transactionshq","2025-03-13T08:15:10.2370000+00:00","Makassar or Purwokerto/Jogja area","",""
"448935208478179338","transactionshq","2025-03-13T08:15:28.4900000+00:00","Jakarta gets enough love","",""
"448935208478179338","transactionshq","2025-03-13T08:19:44.6260000+00:00","what i mean is, i don't make a habit of approaching surabaya dialect speakers on the internet lol but i have some friends in Malang","",""
"447418002896584704","jazz3774","2025-03-13T08:20:58.5120000+00:00","In from surabaya 😭 😭 😭  lol","",""
"448935208478179338","transactionshq","2025-03-13T08:22:12.6130000+00:00","lol we can still be ffriends! it's Dave's fault.","",""
"447418002896584704","jazz3774","2025-03-13T08:22:14.9320000+00:00","Cause theres probably a local influencer here in surabaya he call himself londo kampung cause he speaks javanese","",""
"447418002896584704","jazz3774","2025-03-13T08:22:27.9360000+00:00","People do call him bule jowoan lmao","",""
"448935208478179338","transactionshq","2025-03-13T08:22:53.6120000+00:00","Surabaya is the LAST fkkin place i'd go to if i wanted to immerse myself in Javanese culture but i would love it i had some friends who could show me around to some good warung over there","",""
"448935208478179338","transactionshq","2025-03-13T08:23:02.3600000+00:00","yeah that's Dave","",""
"448935208478179338","transactionshq","2025-03-13T08:23:07.5720000+00:00","i know him, we've had multiple conversations","",""
"447418002896584704","jazz3774","2025-03-13T08:23:16.8110000+00:00","Lol","",""
"447418002896584704","jazz3774","2025-03-13T08:23:20.3290000+00:00","I met him once","",""
"448935208478179338","transactionshq","2025-03-13T08:23:53.0890000+00:00","he's a really nice guy and he makes decent content but i hate him and everything he represents and I'm investigating his involvement in a gambling bot scheme","",""
"595261388579143712","owenzedd","2025-03-13T08:24:21.3140000+00:00",":sus:","",""
