AuthorID,Author,Date,Content,Attachments,Reactions
"436220883808419841","edennottheproject","2025-12-14T20:04:38.0400000+00:00","This will be locked on the 5th of january.","",""
"605452468284817427","buzzer9229","2025-12-14T20:13:33.8200000+00:00","Owls can sit criss cross","",""
"436220883808419841","edennottheproject","2025-12-14T20:14:23.1150000+00:00","# RULES

1. This is not for conversation. Replies will be deleted unless if its special / part of the intents of this box

2. This is NOT A VENT DUMP / CURHAT BOX. 

3. Keep it concise, keep it condensed","",""
"1194648542875222148","praetoriavex","2025-12-14T20:26:23.6140000+00:00","Selamat berjuang. Sukses. 🖐️","",""
"890070769089015808","tianhikari","2025-12-14T23:56:33.7510000+00:00","Ts year frying me gang😭✌️","",""
"867743747563454464","eskrim","2025-12-15T03:04:36.1780000+00:00","Semoga kita semua sukses","",""
"790860761291423754","beethozheng","2025-12-15T05:57:28.7550000+00:00","Success is a must, failure is not an option","",""
"365917907861110796","floatingtales","2025-12-16T10:34:41.3530000+00:00","You did good this year, you're gonna do better next year","",""
"605452468284817427","buzzer9229","2025-12-17T04:24:37.4930000+00:00","Alright I'll start first then.

I'll speak OOC.

2024 was a shit year for me. Many things that were built up from 2019 all crashed down in 2024 and let's just say I lost myself. At the same time I was working on the Based(less) Indonesian Show, I allowed myself to be fully consumed by my Buzzer persona as a way to hide myself from my life being essentially in shambles. Everyday was an adventure, a quest, but every night was lonely, and I find myself doing next to nothing in the weekends. I lost faith in myself, and other people. Politics was stressful and isolating, knowing vast amount of information and leverage but having no power to do anything. Some people even tried to connect with me but I pushed them away because I thought I didn't have much to offer. Many people would say 2024 was a payoff and where my career rise, but I'd say there's a side that they don't see is me struggling mentally.

But that was two years ago, and it is to provide context to 2025. This year was the year I was slowly reclaiming my life outside of being Buzzer, and rebuilding a sense of identity outside of being that one nameless political shitposter and working around the realm of politics. I began cultivating newer friendships with people, going into their world, trying to open up my heart again with no avail but it doesn't matter, cause in the end anyone can be the right person, you just don't want to settle with them. And I started discovering new interest and hobbies, I started horsebacking, golfing and other things. If you looked, 2025 might be a slow year on the outside for me, but it was because I was struggling to restore what sense of identity I had after losing so much of it last year. It doesn't help that during 2024-2025 I was fighting off depression and thoughts I didn't want to speak of.","",""
"605452468284817427","buzzer9229","2025-12-17T04:38:21.2000000+00:00","2025 was also the year my faith in people are restored. I begin to appreciate the friends around me who helped me in my times of need, even forgetting themselves when I need help. I begin to appreciate their perspective. I seek out newer friendships, opening up myself to others and newer experience. Sometimes I find myself disappointed at people, but ultimately it is because I expect things too much from people at times, and it isn't fair if I treat them different because my expectations are high. People are people.

In my need to focus on people, I begin to invest much of my attention on the shaping of the Mabased community, an ecosystem between different creators and creating new friendgroups. And now life seems to be a bit more enjoyable than the barren times I've spent in 2024.

Next year will be a lot more different though. I've set my eyes for bigger things in 2026. I promise myself that in 2026 I'll try to reclaim much control of my life by doing what I actually want to in life, pursuing my dreams of getting masters or getting accepted as a Diplomat, rediscovering love, and pushing myself out of my comfort zone.

I've spent too long hiding from love, hiding from challenges, and keeping myself shielded from the dynamics of life. I know sooner or later I must level up and improve my life. And I have no one to put me accountable but myself. I'm not going to write down specific resolutions of what I want to do, I don't think it matters that much to me but the bigger picture. But I'll know I'll fail if by the end of 2026, I still feel the same. It will be worse like that than feeling like I got into a worse place than I started, because atleast I know that I tried atleast.

Special thanks to: @Konco @eden is busy | do not ping! @Pace prohire @Leon @Kim @Tired af hubby @john wick soprano @G CAT @Callmenah @Lotso @Stonky","","❤️ (11),🙏 (5),💪 (5),⭐ (12)"
"605452468284817427","buzzer9229","2025-12-17T04:41:35.7860000+00:00","And finally to the people of Mabased, you do not know how much you've guys have helped me out through all these months. But I can assure you, whenever I didn't have anywhere to go, I always find myself in the company of you guys. You guys accompanied me through the thick of this year and it is because of you guys that I continue to make my videos and spread my ideas. Thank you for your support and your company @everyone","","❤️ (7)"
"425585007906783232","gksubrata","2025-12-17T05:02:39.9160000+00:00","Fuck… Buzz made an example. Alright then.

# Konco’s letter

*I’m not good with letters or writings. But I’ll try my best to address my thoughts and comments here.*

> I’ve only been active in this server ever since the mod team were more established, which was February this year, but holy shit, all of this felt so much longer. I also used to be active in content creation with Rawpinions, but as much as I try to do it forcefully, I wasn’t as happy as i thought it would be. So I decided to help out @Buzzer beneran with his channel and his community. I did make some videos there but i kinda stopped because i lack the discipline and thought for the content, plus I was pursuing other jobs as well, so ai focused on the community. 

> I’ll admit, there are times where I wanted to quit on this place and just be at peace given how chaotic this place could be. Tbh I don’t know why I’m still here or why buzz still trusts me to be here. But I guess there are some people here that made it so hard to leave. This community has become something that i’m proud to serve of. I get that I can get overly-strict or seem as if I’m a typical “discord mod” and shit. For that I’m sorry. 

> I wanna thank the team @Dewan Kepemimpinan @Dewan Pengurus that worked alongside me. We’ve gone through shit and yet here we are going for a second year for this server to grow. I’m sure there’ll be some interesting dynamics in the future for us. Be ready for 2026, because there might be some interesting shit later.

> To the @Kader (sorry for the tag). Buzzer’s loyal buzzers, the very thing that keeps MABASED alive. Sometimes y’all can be the most insufferable mofos, but most times, you can be the most reliable, trustworthy and even the most entertaining characters that discord could ever see. We’ve gone through shit together too. **the chat purges**, **the demonstration coordination**, we were also a part of **the night of the execution**. You were all there. Supporting Buzzer with his content and keeping this server alive. Thank you.

||I’ll thank those who were forced to leave here. If you can see this somehow… you made the year interesting.||

> In 2026, I hope to see more activity in the server and also maybe seeing more content of me in mabased hahah!

**Have a good year guys!**","","🔥 (6),❤️ (4),💪 (4),paham (3),10outof10 (2),⭐ (5)"
"1327306698838245499","k1mcchii","2025-12-17T05:21:42.2940000+00:00","Hi, this might be an extension of what i’ve said in G Lounge, but i will do this particularly for Mabased.

Honestly in my 8 years of working on, taking a part of, being simply a bystander nor a chatter in any discord community. 

I could say that this server gives more than every server and/or community i’ve been. Honestly its pretty funny that i started to getting close to this server and the people in it by literally in VC with @Konco (dude’s full of charisma and you can’t deny it) & @Lotso (with his shenanigans of jomok stuff and all that fun shit going + ELITE BALL KNOWLEDGE guy).

 I was about to treat it as some casual community that i oftentimes chatter in, but during the demonstration it really shows that this community matters, a lot.

Everyone took their part in, those who are on the field, in this community are all in for the  information and also tackling what could be misinformation for the better purposes, honestly its such a wild ride even that i took my part in out of belief that this is our time to act.

besides whatever happened with the outcome (tbh its sucks lmao) i really really appreciate and glad we are all in this part of space, conjoined by not just interests in politics but also bonds deeper more than what online spaces & communities could offer.

I really really never thought to put myself in atleast partaking nonetheless contributing for the betterments of this community, yet i somehow did? And it’s fucking great actually lmao.

I meet pretty much a lot of people that are really really supportive and also a really great friends to be considered, not just online “friends”, but actual friends. Depends on how u guys feel tho lol but i do feel we’re more than that.

Huge respect and all the thanks and love to the people of mabased community 

Konco, Lotso, Okin, Chrysal, Arsenz, Buzz, Adi, Ijo, john wick, Leon, Eden, pak ustad, Dolfy, Stonky, Ayab, Jax

Thank you, much love for you guys 💜","","❤️ (7)"
"1327306698838245499","k1mcchii","2025-12-17T05:22:30.1810000+00:00","for the ending

@Buzzer beneran your server is fucking 10/10 honestly. Wouldn’t mind spending another year and taking part in contributing in whatever i could. This server is truly enjoyable

hopefully we will all reach if not all but some that we personally expect to in 2026

**HAVE A GOOD YEAR FELLAS**","","⭐ (11)"
"691626449743904810","lotso125","2025-12-17T07:09:40.2610000+00:00","in 2025, i was depressed, tired, and sad for like the first 6 months. i was actually struggling to control my emotions and the fact that i need to finish my studies also making it worse. but the last 6 months was like a better chapter of my life. i met new people and friends that actually make my life more bearable ill say. i created good memories and its giving me another reason to keep going, even though i thought that 2025 is gonna be suck for me. so for everyone that makes me smile, cry, laugh, and angry a little bit better this year, thankyou. 

terimakasih sudah hadir di hidup saya tahun ini. saya tunggu kehadirannya tahun depan.","","❤️ (5),whug (7)"
"712671680324960316","pompompuringdom","2025-12-17T18:24:54.0690000+00:00","# From G Lounge to Mabased

I love you all @everyone 

And I love you most @Buzzer beneran 🥰🩷 

I hope both servers will continue to grow together side by side.","","❤️ (8)"
"712671680324960316","pompompuringdom","2025-12-17T18:25:45.4940000+00:00","GGG X BZZR, RISE UP ✊🏼","",""
