AuthorID,Author,Date,Content,Attachments,Reactions
"756858165647245373","revwuzhere","2025-03-22T02:53:46.3240000+00:00","i am currently constructing a research proposal for my Undergraduate Thesis on Psychology Major with the following title :

""AI Art sebagai Peluang atau Ancaman? Pengaruh Perception of AI Opportunity terhadap Existential Well-Being Digital Artist, ditinjau dari Subjective Job Insecurity""

although how skyrocket the usage of AI in last year, the research abt relationship between Perception of AI Opportunity and human behavior is still considered little in term of numbers and hence why i will try to contribute the digital artist point of view and hopefully encourage the ethical use of AI Art.

as Subjective Job Insecurity role for the mediator between the relationship, i'm curious on how Perception of AI Opportunity affect Existential Well-Being indirectly via Subjective Job Insecurity.

do you guys think this research is important to do? or is there any variable i could replace of? let me know your thought or curiousity","",""
"267957882635419649","notforheroes","2025-03-22T03:08:52.6790000+00:00","opportunity i guess, karna bisa membuat art yang human made menjadi exclusive","",""
"756858165647245373","revwuzhere","2025-03-22T03:14:53.2930000+00:00","yes! that also might require value awareness too from the human itself, and how people can interpret art as something as meaningful and valuable","",""
"691290530117713956","yisan","2025-03-22T04:04:14.3720000+00:00","sensitive topics here man.
some people here are artist and AI ""art"" doesnt represent their best interest.","",""
"691290530117713956","yisan","2025-03-22T04:05:12.6550000+00:00","as a person that is ""creatively inept"" i think its a boon. AI democratize art so even someone who can't draw jack shit can visualize their idea","",""
"691290530117713956","yisan","2025-03-22T04:05:37.9700000+00:00","the artist crowd? they feel threatened even by mention.","",""
"691290530117713956","yisan","2025-03-22T04:06:57.1430000+00:00","it is true that all AI engine scraps and train with images that the artist themselves dont give consent to. but on the other hand its on the internet and its considered public domain.
it has been problematic since AI become popular.","",""
"756858165647245373","revwuzhere","2025-03-22T07:22:07.6930000+00:00","me itself, believe that the usage of AI Art is commonly unethical. it is outside the scope of my re(se)arch in this topic i wanted to bring
( while i believe this research can be explored further in the future, and put an insight how ethical AI usage, proper data mining, and profesionalism AI Vendor can give digital artist a sigh of relief a.k.a affecting the well-being of the digital artist )","",""
"756858165647245373","revwuzhere","2025-03-22T07:35:05.0380000+00:00","think of it like this, X (Perception of AI Opportunity) -> Y (Existential Well-Being)
""does the digital artists that have a sceptism towards AI Opportunity, lead to a fearful, insecure digital artist?""

or

""does the digital artists that know how to view AI Art as a tool and able to utilize it, affect that the state of digital artist to feel more valueable? that their existence had a meaning?""

both statement is the hypothesis i had in this topic, and if the data i collected later are accurate, that means X affect Y. 
Which can be a research further on how can we increase the Perception of AI Opportunity among the digital artists. Maybe legitimitation of artist rights would help? or AI that have digital artists consent increase the Perception of AI Opportunity itself","",""
"756858165647245373","revwuzhere","2025-03-22T07:45:37.2480000+00:00","now that i thought in this research, i should divide the subject characterization by their working state ( full timer / commission based ) because i believe in corporate settings, full timer digital artist integrate the usage of AI to their artwork because of tuntutan pekerjaan","",""
"983629435850854441","ukrainumedved","2025-03-22T08:29:08.4030000+00:00","Idk man, kinda a disrespect to certain artists (Well, atleast looking at the title)","",""
"540119973851299850","nthnael.san","2025-03-22T08:36:43.5660000+00:00","Menurutku it's an opportunity, kenapa? Artist seringkali mengalami art block dan ""bingung mulai dari mana"". Sedangkan AI dapat mempermudah artist untuk memulai terlebih dahulu, melakukan prototyping dan memberikan gambaran awal dikepala mereka. Ingat, AI itu cuman glorified Data Science, tanpa adanya data, maka AI gabisa ngapa2in, tanpa adanya manusia, AI gabisa ngeprompt anything good out of it. My Controversial take is, ""Artist should learn how to use AI to Assist them""","",""
"540119973851299850","nthnael.san","2025-03-22T08:45:30.5500000+00:00","The problem that being discussed nowadays is about the ethics of how do the AI being trained. Are they ""stealing"" people art to train their AI? Have them got the permission from the artist? More of it, AI Artist are NOT a real artist, prompting shit into AI is NOT the same as producing art. Therefore, the main problem that needed to be discussed is actually about the Ethics of AI Art.","","💯 (4)"
"1268231520724713594","felix_white_law_12319","2025-03-22T14:10:29.1640000+00:00","3 words","",""
"1268231520724713594","felix_white_law_12319","2025-03-22T14:10:36.2800000+00:00","AI murders artists","",""
"756858165647245373","revwuzhere","2025-03-22T15:37:56.2430000+00:00","my brother in seperjuangan tanah air, that's three words","",""
"843005270200156160","kaviarormonroe","2025-03-22T16:23:26.2170000+00:00","AI Art will proletarianize petite-bourgeoise artists 👍","",""
"1268231520724713594","felix_white_law_12319","2025-03-22T18:42:57.6170000+00:00","Ah yesm apologies lmao","",""
"756858165647245373","revwuzhere","2025-03-22T21:11:52.4820000+00:00","quite what's gonna happen in the worst case, and similar case happened to fiver based gigg artist where they need to compete in a systemic platfom.

AI art through their corporation is possible to control the market, forcing digital artist to follow the rules set by them, and made digital artist lose their ability to work independently, to compete with the cheap art that AI made. This would be a problem if society and corporate really doesn't values art as worth as it is","",""
"756858165647245373","revwuzhere","2025-03-22T21:13:02.7400000+00:00","thankyou for the term i never heard btw, singkat padat luas","","👍 (1)"
"756858165647245373","revwuzhere","2025-03-28T11:37:17.9190000+00:00","Changed the channel name: AI Art, is it a threat or an opportunity? (as an artist)","",""
"882111176006328440","nerosalt","2025-03-30T03:53:03.7630000+00:00","its a infinite shitpost machine","",""
"882111176006328440","nerosalt","2025-03-30T03:53:24.4530000+00:00","its a arm of the new industrial torment nexus callled the algorithm","",""
"882111176006328440","nerosalt","2025-03-30T03:53:32.7220000+00:00","endless and infinite automated content","",""
"882111176006328440","nerosalt","2025-03-30T03:53:49.3340000+00:00","souless content spammed world without end","",""
"882111176006328440","nerosalt","2025-03-30T03:55:23.3280000+00:00","i call it the chaos engine","",""
"882111176006328440","nerosalt","2025-03-30T03:55:28.7150000+00:00","a black box","",""
"882111176006328440","nerosalt","2025-03-30T03:55:37.4570000+00:00","inside of the black boss is a black goo","",""
"882111176006328440","nerosalt","2025-03-30T03:55:56.8280000+00:00","it infinitely produces black sludge until everything is black sludge","",""
"756858165647245373","revwuzhere","2025-03-30T03:57:19.0270000+00:00","damn yeah, i dont want my games, movies and music remixed into corporate slop, drowning in algorithmically generated crap","",""
"882111176006328440","nerosalt","2025-03-30T03:58:39.5780000+00:00","devil machine","",""
