AuthorID,Author,Date,Content,Attachments,Reactions
"191651271789379586","istirahato","2025-03-21T11:13:18.2870000+00:00","Golput will not gonna win you anything except feeding your own ego","","👍 (1)"
"699593820156854282","althaf_oxc","2025-03-21T11:17:03.2160000+00:00","I fell asleep..... Missed the election not my fault my alarm went off 💀","",""
"595261388579143712","owenzedd","2025-03-21T11:19:52.4560000+00:00","I get what you mean but my attitude is > don't blame voters because of lackluster candidates","",""
"191651271789379586","istirahato","2025-03-21T11:23:12.6840000+00:00","I get it about not blaming thing, but

How we supposed to win on the system that works on quantifying things (aka total vote) and doesn't even consider about on how  virtue is your idealism?","",""
"395810691006857219","ataman_erkin","2025-03-21T11:41:21.8700000+00:00","First, in the past, we used to bear arms just to change leadership. Supporting a one side by going to war

Now, you just go to ballots and put your choice using a punch of a nail.","",""
"395810691006857219","ataman_erkin","2025-03-21T11:41:30.5720000+00:00","End, we stop here","",""
"595261388579143712","owenzedd","2025-03-21T11:42:23.2590000+00:00","I consider golput an alternative choice","",""
"265355459454566402","shiawase6946","2025-03-21T11:45:37.1420000+00:00","It is also easier to manipulate the vote when many are golputs. Like this:

Pemilu use absensi as their way to count how many votes are there. When many are absent, many surat suara are empty. Tampering empty surat suara is easier than already used surat suara. Just write anybody name who is absent on absensi , grab one paper coblos anywhere you want. Put it back in the box. 

Where they could do this? Could be kecamatan, could be kota, could be provinsi.","",""
"395810691006857219","ataman_erkin","2025-03-21T11:45:39.0820000+00:00","Golput is alternative, but taking that position is no different from being autistic Tarzan","",""
"395810691006857219","ataman_erkin","2025-03-21T11:46:07.7120000+00:00","Why? 

Simple, election is a substitute of civil war","",""
"395810691006857219","ataman_erkin","2025-03-21T11:46:37.8590000+00:00","The difference is that, in the past, our ancestors using keris and musket and now we choose numbers","",""
"395810691006857219","ataman_erkin","2025-03-21T11:47:24.3600000+00:00","Normal condition usually make transtitional of power often use an armed inserrection","",""
"395810691006857219","ataman_erkin","2025-03-21T11:48:46.5100000+00:00","Election is, civil war without guns. 

So use your right, and that's why you should care","","👍 (2)"
"267957882635419649","notforheroes","2025-03-21T11:52:11.5420000+00:00","couldn't agreed more","",""
"267957882635419649","notforheroes","2025-03-21T11:52:42.2680000+00:00","and silent majority is dumb af","",""
"595261388579143712","owenzedd","2025-03-21T11:55:40.0590000+00:00","I'm not advocating for golput but I understand if people don't care whomever lead this country because their material condition never get better","",""
"595261388579143712","owenzedd","2025-03-21T11:55:58.9710000+00:00","And they have the rights to not vote","",""
"1051458252786896987","pampam19495","2025-03-21T11:58:28.8230000+00:00","Yeap, as golpot person myself I admitted it 🙂","",""
"1051458252786896987","pampam19495","2025-03-21T12:00:16.2310000+00:00","I genuinely too lazy to go home for election. I'm not at home at election day, and vote from different place of your ktp adress is troublesome","",""
"395810691006857219","ataman_erkin","2025-03-21T12:00:28.2950000+00:00","This republic just facing a rimsvek. This past decade has been disaster, even it makes SBY looks good","",""
"595261388579143712","owenzedd","2025-03-21T15:51:54.2110000+00:00","More like a downward spiral rather than disaster","",""
"843005270200156160","kaviarormonroe","2025-03-22T16:21:05.0380000+00:00","Democracy always ends up for the minority anyways
That is the extent it has always been carried out to, so there is no use for me to have faith in it. 
Reject the presupposition that it has ever worked in the first place

#organiccentralism","",""
"595261388579143712","owenzedd","2025-03-22T16:27:00.0810000+00:00",":debating:","",""
