AuthorID,Author,Date,Content,Attachments,Reactions
"1268231520724713594","felix_white_law_12319","2025-04-03T13:23:13.5070000+00:00","Most Leftists today had disappointed amongst the Indonesian armed and police force due to corrupt cases, Being represive and doesn't had justice towards the people.


Do you think a people's collective militia from labours and Farmers like Angkatan 5 is a good and ideal solution for leftists?","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:36:16.5750000+00:00","I already supported the idea of forming militias to begin with, even being the first one to suggest people should form a militia to protect them in the server with Alexei.","",""
"1268231520724713594","felix_white_law_12319","2025-04-03T13:38:42.3370000+00:00","Alright","",""
"1268231520724713594","felix_white_law_12319","2025-04-03T13:38:53.3700000+00:00","How do you execute this idea?","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:41:55.7550000+00:00","I suggested Alexei to not only get the recruits from urban areas, but also rural areas for recruits. The main aim of the militia is at first to defend protesters when the polices are coming. Alexei himself run a security company thus it is a good thing that if he active and willing to do it, he can start training basic recruits with basic security standard. Arming them with basic security equipment. This is the first few steps that we should focusing on to begin with. We need 100 men to begin with at the very least.","",""
"1268231520724713594","felix_white_law_12319","2025-04-03T13:42:35.6860000+00:00","So just for defending rallies?","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:42:46.5370000+00:00","That is only for the first step","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:42:57.0950000+00:00","Since mainly these socialists or anarchists came to rallies or protests","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:43:03.5340000+00:00","In which they are defenseless against the polices","",""
"1268231520724713594","felix_white_law_12319","2025-04-03T13:43:22.2870000+00:00","Defense less?","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:43:23.8140000+00:00","Then finally, we need to establishes bases or HQ for meetings and conferences, sometimes using website or apps can be good too","",""
"1268231520724713594","felix_white_law_12319","2025-04-03T13:43:31.6950000+00:00","I saw some of them threw fireworks at police","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:44:03.5890000+00:00","In which they throw it at armored vehicle? Can you really believe they will defeat it?","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:44:38.0100000+00:00","I already criticized them for not only using fireworks at the wrong time, but with disorganization to begin with","","👍 (1)"
"1268231520724713594","felix_white_law_12319","2025-04-03T13:44:40.4370000+00:00","Not really just towards riot control","",""
"1268231520724713594","felix_white_law_12319","2025-04-03T13:45:22.0270000+00:00","Well the interesting questions is how to get access towards arms?","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:45:26.0590000+00:00","They literally shoot these fireworks at an armored vehicles with some polices just shrugged it off. The lack of unison from the protesters showed how much they can be easily defeated.","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:45:42.6210000+00:00","You will need to get arms from defense companies mainly, I suggested for private defense companies","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:46:16.3500000+00:00","But the arms that they will get shall not be lethal weapons like firearms","",""
"1268231520724713594","felix_white_law_12319","2025-04-03T13:46:21.4620000+00:00","Idk about Indonesia here...","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:46:36.0030000+00:00","Getting a baton or blunt weapons would already be pretty good for an Indonesian standard","",""
"1268231520724713594","felix_white_law_12319","2025-04-03T13:46:44.3060000+00:00","Since armed productions is state owned...","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:46:46.8240000+00:00","But mainly they need defensive gears too","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-03T13:46:58.3920000+00:00","Which can be accessed through some stores","",""
"1268231520724713594","felix_white_law_12319","2025-04-03T13:47:01.7350000+00:00","Just like riot controls?","",""
