AuthorID,Author,Date,Content,Attachments,Reactions
"825755560661876766","_shinda_hito_00","2025-05-02T13:43:30.9000000+00:00","And, is there any chance you could do Cbt (cognitive based Therapy) at home?

My family are being in arrears of BPJS...","",""
"736550209068335135",".ayab","2025-05-02T13:46:07.8550000+00:00","My go to answer is videogames","",""
"736550209068335135",".ayab","2025-05-02T13:46:17.1270000+00:00","But i know that aint gonna help everyone","",""
"736550209068335135",".ayab","2025-05-02T13:46:28.6880000+00:00","Channeling young anger with a hobby helps","",""
"736550209068335135",".ayab","2025-05-02T13:46:42.8610000+00:00","Mine is writting and it helps me with my anger","",""
"736550209068335135",".ayab","2025-05-02T13:47:02.0580000+00:00","But a proper emotional outlet id all you need","",""
"998521205101428776","liz2liz","2025-05-02T13:49:58.7260000+00:00","Breathe in breathe out","",""
"825755560661876766","_shinda_hito_00","2025-05-02T14:00:08.5890000+00:00","Informative and affordable. 
Thanks","",""
"825755560661876766","_shinda_hito_00","2025-05-02T14:00:15.4740000+00:00","Open for more  suggestions below","",""
"998521205101428776","liz2liz","2025-05-02T14:03:44.1770000+00:00","aku sih pendem pendem , terus nangis :debating:","",""
"825755560661876766","_shinda_hito_00","2025-05-02T14:08:27.4750000+00:00","Done that before","","sadcoffee (2)"
"825755560661876766","_shinda_hito_00","2025-05-02T14:08:28.7950000+00:00","Thx","",""
"736550209068335135",".ayab","2025-05-02T14:21:32.2500000+00:00","Ever tried crying under the blanket of stars and a clear sky moon","",""
"825755560661876766","_shinda_hito_00","2025-05-02T14:22:53.7610000+00:00","I lived on concrete jungle and factories district area. Light pollution covered the night sky and my family couldn't afford proper blanket. Best option is sarung","",""
"825755560661876766","_shinda_hito_00","2025-05-02T14:23:29.4410000+00:00","Thanks for the option, I found writing about myself is interesting","",""
"736550209068335135",".ayab","2025-05-02T14:32:11.0440000+00:00","Try posting simething im fiction","",""
"736550209068335135",".ayab","2025-05-02T14:32:13.3820000+00:00","We need more people there","",""
"731408010232070165","darkzet","2025-05-02T14:36:31.3050000+00:00","i crash out and punch people i see","",""
"679099137647575050","dustoflifespammer","2025-05-02T16:15:29.8100000+00:00","https://tenor.com/view/flex-acting-tough-angry-screaming-casey-frey-gif-14475398","",""
"731408010232070165","darkzet","2025-05-02T16:51:17.2220000+00:00","who wanna mess with a guy who punch metal for fun 😈","",""
"825755560661876766","_shinda_hito_00","2025-05-03T01:12:30.4140000+00:00","Often feeling might want to do this on KRL, like sometimes i just want to hit people, and don't care about the results. Might get myself beated up by the crowd or dying but...at least I'm relieved...

But that's not appropriate and I don't want to hurt people.","",""
"447418002896584704","jazz3774","2025-05-03T04:18:21.7240000+00:00","Thinking bout the aftermath of the anger actually helps alot","",""
"447418002896584704","jazz3774","2025-05-03T04:21:02.0070000+00:00","I know when u got angry u lose the critical thinkin part but it important too manage the anger","",""
"447418002896584704","jazz3774","2025-05-03T04:21:45.8950000+00:00","Just always remember usually people regret being angry","",""
"447418002896584704","jazz3774","2025-05-03T04:21:49.6700000+00:00","Do not hv regret","",""
"825755560661876766","_shinda_hito_00","2025-05-03T05:23:33.8310000+00:00","Thank you, might want to try it for real","",""
