AuthorID,Author,Date,Content,Attachments,Reactions
"492725336740724736","younggaruda1945","2025-07-13T06:59:00.0460000+00:00","As a Indonesian student studying overseas, you might be surprise that the majority of Indonesian student population are not just wealthy and affluent, but the majority of them are Chindo, mainly for undergraduate program, but for graduate it is kind off diverse, with more leaning toward Chindo student population. The majority of  ""Pribumi"" student are anak beaswisa and they in the graduate program, especially they are coming from wealthy and affluent background. Based on my experience, anak beaswisa are often are out-of-touch from the univeristy culture. As muslim ""pribumi"" studying overseas, there is dozen of myths that the average Indonesian do not know about studying overseas, ranging from program all to the the university culture. Btw, I am undergraduate students and anak sultan. Ask me guys!","",""
"436220883808419841","edennottheproject","2025-07-13T11:25:53.8650000+00:00","Oh man id love to join this convo","",""
"395810691006857219","ataman_erkin","2025-07-13T12:46:32.7680000+00:00","Sini ke Rusia","",""
"395810691006857219","ataman_erkin","2025-07-13T12:46:38.1740000+00:00","lain demografi","",""
"395810691006857219","ataman_erkin","2025-07-13T12:47:53.5820000+00:00","saya mau nanya juga, abis lulus jenis peralatan tempur apa yg diwariskan sama anak2 chindo ini ?","",""
"492725336740724736","younggaruda1945","2025-07-14T03:40:58.5210000+00:00","iya, benar, semua diwariskan sama anak chindo","",""
"492725336740724736","younggaruda1945","2025-07-14T03:41:08.4380000+00:00","let's join man","",""
"395810691006857219","ataman_erkin","2025-07-14T03:45:51.6400000+00:00","Hahahah, golden spoon dari lahir sih. 

Mereka mau kuliah dimana pun juga balik ngewarisin bisnis/aset ortunya","",""
"395810691006857219","ataman_erkin","2025-07-14T03:50:37.5340000+00:00","Koneksi udah ada, alkep dari lahir udah ada","",""
"492725336740724736","younggaruda1945","2025-07-14T04:07:04.7350000+00:00","even semua Indonesian Student Assoication is all chindo","",""
"492725336740724736","younggaruda1945","2025-07-14T04:07:05.0560000+00:00","but at least mereka kompak banget","",""
"492725336740724736","younggaruda1945","2025-07-14T04:07:05.4910000+00:00","sering menolong to each other","",""
"436220883808419841","edennottheproject","2025-07-14T04:08:48.1300000+00:00","Not really","",""
"492725336740724736","younggaruda1945","2025-07-14T04:19:51.1480000+00:00","how?","",""
"492725336740724736","younggaruda1945","2025-07-14T04:20:27.7930000+00:00","during my university networking event, i met chindo those students, it turned they both went to same SMA","",""
"436220883808419841","edennottheproject","2025-07-14T04:24:28.0700000+00:00","Rada jutek","",""
"436220883808419841","edennottheproject","2025-07-14T04:24:30.6430000+00:00","Elitist","",""
"436220883808419841","edennottheproject","2025-07-14T04:24:59.4830000+00:00","If you dont fit the typical chindo archetype youre not one of us gitu","",""
"436220883808419841","edennottheproject","2025-07-14T04:25:35.5130000+00:00","The three ppi groups ive interacted with are mostly business econ finance etc students","",""
"395810691006857219","ataman_erkin","2025-07-14T04:25:37.4120000+00:00","Makanya males mau sama mereka","",""
"436220883808419841","edennottheproject","2025-07-14T04:25:42.6610000+00:00","Rarely engineering","",""
"395810691006857219","ataman_erkin","2025-07-14T04:25:58.1940000+00:00","Enaknya ya, sama2 pribumi. Atau ndak sama2 orang ""bawah tanah""","",""
"436220883808419841","edennottheproject","2025-07-14T04:26:13.8090000+00:00","Always the lesgo party enjoy life travel instead of passion / books like engineering","",""
"395810691006857219","ataman_erkin","2025-07-14T04:26:26.6120000+00:00","Btul","",""
"395810691006857219","ataman_erkin","2025-07-14T04:26:44.2660000+00:00","Saking greget nya, chindo bisa masuk kuliah musik","",""
"436220883808419841","edennottheproject","2025-07-14T04:26:44.7500000+00:00","Gw chindo lebih relate sama murid pribumi krna gw ga setuju dgn mindset nyantainya mereka","",""
"436220883808419841","edennottheproject","2025-07-14T04:26:54.6200000+00:00","Musik ok lah","",""
"436220883808419841","edennottheproject","2025-07-14T04:26:59.9610000+00:00","They trained for it their whole life","",""
"395810691006857219","ataman_erkin","2025-07-14T04:27:06.9390000+00:00","Ah aneh, mau jadi apa?","",""
"436220883808419841","edennottheproject","2025-07-14T04:27:19.3260000+00:00","Main konser bang","",""
"436220883808419841","edennottheproject","2025-07-14T04:27:27.1730000+00:00","Orchestra, konser, composing","",""
"436220883808419841","edennottheproject","2025-07-14T04:27:43.4880000+00:00","Yang masuk musik masih mendingan bang","",""
