AuthorID,Author,Date,Content,Attachments,Reactions
"436220883808419841","edennottheproject","2025-11-28T10:30:07.2830000+00:00","This is meant to gauge if we need an actual life advice QA channel in the future","","🏫 (9)"
"620672544357220364","sad.potato.13","2025-12-01T15:20:38.1360000+00:00","Hypothetically speaking, HYPOTHETICALLY SPEAKING

when you are of legal age, how to refuse drinks at a “drinking event” and “sorry i dont drink” doesnt work without ruining the “mood”","",""
"254261633252196353","chrysal","2025-12-01T15:29:20.8560000+00:00","Sorry i got fatty liver:__:","",""
"620672544357220364","sad.potato.13","2025-12-01T15:29:59.5160000+00:00","Sorry to hear that but not applicable to my case tho 😭","",""
"436220883808419841","edennottheproject","2025-12-01T15:34:04.6140000+00:00","""oh im good with the soda thank you""","",""
"620672544357220364","sad.potato.13","2025-12-01T15:43:49.5870000+00:00","“Why? You are no fun” 😞","",""
"436220883808419841","edennottheproject","2025-12-01T15:45:06.1940000+00:00","""i have enough fun not drinking""","",""
"436220883808419841","edennottheproject","2025-12-01T15:45:28.3220000+00:00","really ariga if they say that theyre straight up assholes not minding their business cos everyone i see at bars doesnt care if i do non alcoholic drinks","","🔥 (3)"
"254261633252196353","chrysal","2025-12-01T15:45:56.5560000+00:00","“It make me acts like actual bulgogi” - just say this","","shockedp (2)"
"620672544357220364","sad.potato.13","2025-12-01T15:47:53.4330000+00:00","Yeah i even had to search up for reasons to decline a drink","","😭 (1)"
"620672544357220364","sad.potato.13","2025-12-01T15:49:07.4510000+00:00","","https://cdn.discordapp.com/attachments/1443911831788716144/1445079274796351664/IMG_1521.png?ex=69968833&is=699536b3&hm=d656f835b0b73f789156975bfe0237b5295297cb30fb8e28a7f8f8d5c43af92a&","😭 (3)"
"790860761291423754","beethozheng","2025-12-01T18:14:08.3010000+00:00","Just say no","",""
"790860761291423754","beethozheng","2025-12-01T18:14:11.8760000+00:00","Works","",""
"790860761291423754","beethozheng","2025-12-01T18:14:18.3670000+00:00","Unless temen temenmu iseng","",""
"987130182794117130","slickboizak","2025-12-02T13:34:03.0150000+00:00","just say “mom said no”","",""
"987130182794117130","slickboizak","2025-12-02T13:34:07.2840000+00:00","😭","",""
"987130182794117130","slickboizak","2025-12-02T13:34:13.8160000+00:00","mamah bilang tidak dawg","",""
"575141979873083393","sukadeltoro","2025-12-02T14:20:54.2540000+00:00","“I mencret kalo minum”","","🤣 (1)"
"620672544357220364","sad.potato.13","2025-12-02T14:39:08.0140000+00:00","was on antibiotics before, “my doctor said no” but still got pestered 😅","",""
"620672544357220364","sad.potato.13","2025-12-02T14:40:35.6240000+00:00","Hmm maybe let’s change topic","",""
"620672544357220364","sad.potato.13","2025-12-02T14:42:24.4980000+00:00","bu @eden is busy | do not ping! iirc you have “armour” ring right? When you bend your fingers is it supposed to feel “tight” so you can’t bend for long (lowkey hurt)?

But if I go 1 size bigger it’s kinda loose when my finger is straight. 🤔","",""
"436220883808419841","edennottheproject","2025-12-02T14:46:10.4570000+00:00","no its supposed to bend easily","",""
"436220883808419841","edennottheproject","2025-12-02T14:46:15.5090000+00:00","if it doesnt bend its a scam","","🤣 (1)"
"691626449743904810","lotso125","2025-12-02T15:23:14.7380000+00:00","either come and order nonalcoholic stuff, or simply say no and move on. in my experience, they'll have their fun with or without you any way.... so yeah

if they still say the no fun thingy, just say that ""i'm not drinking like that"" and keep going with ur life","","noted (2)"
"620672544357220364","sad.potato.13","2025-12-02T16:42:52.6180000+00:00","HAHAHA ok probably wrong size","",""
"436220883808419841","edennottheproject","2025-12-02T16:46:26.8930000+00:00","or its not built properly","",""
"620672544357220364","sad.potato.13","2025-12-02T17:08:27.7140000+00:00","When i tried bending it literally squished my finger joint 🤣","",""
"436220883808419841","edennottheproject","2025-12-02T19:43:23.3470000+00:00","kirim foto? emg kyk gmn","",""
"790860761291423754","beethozheng","2025-12-03T05:02:13.6620000+00:00","So back to school or lanjut kerja?
I feel dumb sometimes when talking, but at the same time banyak yang butuh translator","",""
"265355459454566402","shiawase6946","2025-12-03T14:29:34.6150000+00:00","Whoa Translator Bahasa apa?","",""
"736550209068335135",".ayab","2025-12-03T14:52:34.6100000+00:00","How do you write and talk more on uni level?","",""
"736550209068335135",".ayab","2025-12-03T14:53:23.1020000+00:00","Im struggling since im mostly used to fiction laden context, not to mention my Indonesian is hardly practiced.","",""
"790860761291423754","beethozheng","2025-12-03T14:55:11.9420000+00:00","Mandarin","","wpointing (1)"
"365917907861110796","floatingtales","2025-12-04T06:00:34.3460000+00:00","The way I usually avoid drinking is that I'm always asking them to buy me beer, always in bottle, no glass beers.

Thumb over the bottle opening and voila let them be drunk and not realize you're actually not drinking, periodically spill a couple of beers in the vicinity.

Works because they pay for the alcohol, you don't drink.","",""
"790860761291423754","beethozheng","2025-12-04T06:26:56.7500000+00:00","I mean fake drinking is already a known skill for us","",""
"790860761291423754","beethozheng","2025-12-04T06:27:02.5410000+00:00","I could even fake drink on glass","",""
"575141979873083393","sukadeltoro","2025-12-05T06:25:55.1430000+00:00","Baca","",""
"575141979873083393","sukadeltoro","2025-12-05T06:26:13.9530000+00:00","Oh what’s your first language","",""
"575141979873083393","sukadeltoro","2025-12-05T06:27:07.2700000+00:00","Fake drinking or drink water 1 liter afterwards","","🤣 (1)"
"575141979873083393","sukadeltoro","2025-12-05T06:27:42.3660000+00:00","But tbh, cunning way is fake drink, then pour your drink to other’s glass","",""
"736550209068335135",".ayab","2025-12-05T07:24:20.2950000+00:00","At this point I dont know I mainly use english Online and offline to the point my Indonesian suffers","",""
"575141979873083393","sukadeltoro","2025-12-05T07:24:46.2180000+00:00","How’s your conversational indo","",""
"736550209068335135",".ayab","2025-12-05T07:25:24.7420000+00:00","Bad, i stutter meanwhile in English I have the fluency of a native","",""
"575141979873083393","sukadeltoro","2025-12-05T07:25:56.1990000+00:00","How badly you need to speak formal and informal indo?","",""
"736550209068335135",".ayab","2025-12-05T07:26:45.6560000+00:00","I have a skripsi t9 defemd next year, and I have to write my skripsi as formal and as meticulous as possible in Indonesian","",""
"575141979873083393","sukadeltoro","2025-12-05T07:27:25.0460000+00:00","Ah so academic indo, what’s your major? If may i ask","",""
"736550209068335135",".ayab","2025-12-05T07:27:34.6600000+00:00","Law","",""
"736550209068335135",".ayab","2025-12-05T07:27:44.1020000+00:00","My skripsi will be about HAM","",""
"575141979873083393","sukadeltoro","2025-12-05T07:27:44.5590000+00:00","And your thesis topic?","",""
"575141979873083393","sukadeltoro","2025-12-05T07:27:53.2810000+00:00","Oh","",""
"575141979873083393","sukadeltoro","2025-12-05T07:28:05.9100000+00:00","IHL commitment?","",""
"575141979873083393","sukadeltoro","2025-12-05T07:28:14.6910000+00:00","Or UDHR?","",""
"575141979873083393","sukadeltoro","2025-12-05T07:28:30.5080000+00:00","State responsibility?","",""
"736550209068335135",".ayab","2025-12-05T07:28:50.8390000+00:00","Moreso national legal reinforcement to our own human rights organization.","",""
"736550209068335135",".ayab","2025-12-05T07:29:03.3120000+00:00","Komnas HAM diperkuat","",""
"736550209068335135",".ayab","2025-12-05T07:29:05.5620000+00:00","Etc","",""
"575141979873083393","sukadeltoro","2025-12-05T07:29:05.8170000+00:00","UU HAM eh?","",""
"575141979873083393","sukadeltoro","2025-12-05T07:29:09.4460000+00:00","Lol","",""
"736550209068335135",".ayab","2025-12-05T07:29:51.8060000+00:00","Yes, I want to argue that Komnas HAM should be a constitutional legal based organization","",""
"575141979873083393","sukadeltoro","2025-12-05T07:30:21.2530000+00:00","Read UU HAM and Komnas HAM reports sampe mabok and keywords","",""
"575141979873083393","sukadeltoro","2025-12-05T07:30:31.4790000+00:00","Wait uhh, under UUD NRI?","",""
"736550209068335135",".ayab","2025-12-05T07:30:39.7140000+00:00","Yeah","",""
"575141979873083393","sukadeltoro","2025-12-05T07:30:43.8040000+00:00","So Komnas HAM under UUD NRI?","",""
"736550209068335135",".ayab","2025-12-05T07:30:45.6520000+00:00","Not the current UU biasa","",""
"575141979873083393","sukadeltoro","2025-12-05T07:30:46.6130000+00:00","Ahh","",""
"575141979873083393","sukadeltoro","2025-12-05T07:30:49.5710000+00:00","Oke","",""
"736550209068335135",".ayab","2025-12-05T07:31:44.8380000+00:00","I wonder if it is a good topic","",""
"575141979873083393","sukadeltoro","2025-12-05T07:31:57.5540000+00:00","Lemme guess","",""
"575141979873083393","sukadeltoro","2025-12-05T07:32:24.4850000+00:00","You want Komnas HAM sebagai operasionalisasi dari UUD ayat tentang HAM?","",""
"575141979873083393","sukadeltoro","2025-12-05T07:32:55.4900000+00:00","Sorry, more like","",""
"575141979873083393","sukadeltoro","2025-12-05T07:33:08.8950000+00:00","Komnas HAM sebagai Lembaga Negara","",""
"575141979873083393","sukadeltoro","2025-12-05T07:33:11.9980000+00:00","Itu sih","",""
"736550209068335135",".ayab","2025-12-05T07:33:19.4100000+00:00","Yeah, like KPU","",""
"575141979873083393","sukadeltoro","2025-12-05T07:33:43.9460000+00:00","Komnas HAM sebagai Lembaga Negara which implements UUD ayat perihal HAM","",""
"575141979873083393","sukadeltoro","2025-12-05T07:34:25.8300000+00:00","Kalo KPU kan operasionalisasi dari ayat-ayat UUD pemilu yang jelasin proses nya","",""
"575141979873083393","sukadeltoro","2025-12-05T07:34:28.0940000+00:00","Means","",""
"575141979873083393","sukadeltoro","2025-12-05T07:35:04.0690000+00:00","Kalo ayat-ayat HAM udah nemu pasal mana yang ada proses nya?","",""
"736550209068335135",".ayab","2025-12-05T07:42:50.6960000+00:00","Wait let me summarize it:

The current UU that regulates Komnas HAM is moreso inefective and the suggestion made by Komnas HAM is often ignored and not really taken into consideration in public policy, not to mention the ad hoc manner in which Peradilan HAM is being conducted.

By transforming Komnas HAM as a constitutional level  organizational  instead being regulated via the current UU which only based upon UUD to be enacted, I want to respecify UUD that regulates HAM (29A-30) to include the organizational operability of  Komnas HAM, and it that process of strentgning Komnas HAM position.

Give it actuall powers and a lex fori ( or a place to hold court) and its judges, not just from an ad hoc basis, with the deliberate consequences to make Komnas HAM backed court order to have weights and a mechanism of effective prosecutors","",""
"736550209068335135",".ayab","2025-12-05T07:44:16.3800000+00:00","..........
That is the gist of it","",""
"736550209068335135",".ayab","2025-12-05T07:45:08.8750000+00:00","Its going to be normativ yuridicial om research with comparative arguments to back it up: Sourh Africa, Nepal, etc.","",""
"779981857454293012","i.am.beemo","2025-12-05T11:53:07.4540000+00:00","yo","",""
"779981857454293012","i.am.beemo","2025-12-05T11:53:14.0540000+00:00","idk man","",""
"779981857454293012","i.am.beemo","2025-12-05T11:54:07.6470000+00:00","ever since COVID i think my social skills reached a new low","",""
"779981857454293012","i.am.beemo","2025-12-05T11:54:37.8040000+00:00","i think i kinda have a bit of problems trying to engage ina conversation with new ppl","",""
"779981857454293012","i.am.beemo","2025-12-05T11:55:06.6130000+00:00","anyone got some advice to improve it","",""
"779981857454293012","i.am.beemo","2025-12-05T11:55:25.1940000+00:00","i js get nervous most of the times overthinking","",""
"790860761291423754","beethozheng","2025-12-05T11:55:56.4030000+00:00","Well giving no Fs helps me with confidence","","👍 (1)"
"779981857454293012","i.am.beemo","2025-12-05T11:57:13.4040000+00:00","i tried giving no Fs but some ppl js shot you down w a cold ass glare making it awkward","",""
"790860761291423754","beethozheng","2025-12-05T11:57:56.3340000+00:00","Shoot them down with a glare of ur own","",""
"790860761291423754","beethozheng","2025-12-05T11:58:07.2950000+00:00","High possibility you won't meet them twice","",""
"779981857454293012","i.am.beemo","2025-12-05T11:58:27.6230000+00:00","ic then","",""
"779981857454293012","i.am.beemo","2025-12-05T11:58:36.2130000+00:00","ok then brother appreciate it","",""
"620672544357220364","sad.potato.13","2025-12-05T13:09:19.0600000+00:00","HAHAHA the setting is “spirits” and/or hard liquor 😫

Usually “beer” people are chill","",""
"790860761291423754","beethozheng","2025-12-05T13:11:34.1170000+00:00","I'm a hard liquor guy","",""
"620672544357220364","sad.potato.13","2025-12-05T13:15:51.6880000+00:00","Do you force others to drink 🤨","",""
"790860761291423754","beethozheng","2025-12-05T13:16:02.5510000+00:00","Only friends","",""
"620672544357220364","sad.potato.13","2025-12-05T13:22:12.6100000+00:00","See it happens 😭","",""
"790860761291423754","beethozheng","2025-12-05T13:23:35.4640000+00:00","YOLO HAHAHA","",""
"790860761291423754","beethozheng","2025-12-05T13:23:45.6280000+00:00","I love isengin my friends","",""
"620672544357220364","sad.potato.13","2025-12-05T13:24:10.6620000+00:00","Guys liek these ^","",""
"620672544357220364","sad.potato.13","2025-12-05T13:24:17.0280000+00:00",":crying:","",""
"790860761291423754","beethozheng","2025-12-05T13:24:26.9870000+00:00","Hey at least I don't go cekokin everyone I see","",""
"790860761291423754","beethozheng","2025-12-05T13:24:32.4880000+00:00","*maybe if dared to*","",""
"790860761291423754","beethozheng","2025-12-05T13:25:39.5970000+00:00","If the one I cekokin tolak ofc I won't","",""
"790860761291423754","beethozheng","2025-12-05T13:25:50.3570000+00:00","Beda cerita tapi if you were my close friend","",""
"620672544357220364","sad.potato.13","2025-12-05T13:25:55.6500000+00:00","Yk what let me delete that bad digital footprint","",""
"790860761291423754","beethozheng","2025-12-05T13:27:17.7540000+00:00","Welp","",""
"790860761291423754","beethozheng","2025-12-05T13:27:28.1900000+00:00","I'd consider it more to iseng than bad","",""
"779981857454293012","i.am.beemo","2025-12-08T14:04:55.8390000+00:00","yo","",""
"779981857454293012","i.am.beemo","2025-12-08T14:05:00.9200000+00:00","what's university like","",""
"779981857454293012","i.am.beemo","2025-12-08T14:05:07.4660000+00:00","im graduating next year","",""
"779981857454293012","i.am.beemo","2025-12-08T14:05:28.7620000+00:00","i hope that i pass this SNBT","",""
"736550209068335135",".ayab","2025-12-08T20:19:15.5260000+00:00","Awal tahum enak","",""
"788757996503040002","arnthebest","2025-12-09T03:19:54.7850000+00:00","bidstu apa aja yg di IPS SMA","",""
"1193335837916676269","dusman05","2025-12-09T03:35:09.7470000+00:00","passes by so quick","",""
"715181776015720469","kikkou_t","2025-12-09T06:51:42.3240000+00:00","Depends on your major and kind of diploma you pick ngl

Klo teknik say hello to endless projects, kedokteran GWS, MIPA migrain 24/7

So pick your poison intinya, awal awal enak, use your time wisely :smile:
It's a very personalized experience because it's basically 'This is adult life' simulation before you remotely in the 'working' age","",""
"191651271789379586","istirahato","2025-12-09T07:03:58.1030000+00:00","*Buku, Pesta, Cinta* - Soe Hok Gie","",""
"779981857454293012","i.am.beemo","2025-12-09T07:23:33.7980000+00:00","my father once told me to use college as a place for finding uhhh network and contacts to have a better chance at finding jobs i personally wanna go for a job around docks of some sort so I'll probably take Sea major?? kelautan lah intinya","",""
"779981857454293012","i.am.beemo","2025-12-09T07:23:44.8510000+00:00","but yeah","",""
"779981857454293012","i.am.beemo","2025-12-09T07:23:52.4610000+00:00","ic ur point","",""
"715181776015720469","kikkou_t","2025-12-09T07:29:03.1700000+00:00","Sure, just be sure you have the tools to at least not hinder your progress
(as in if you are interested with Architect major or any bangunan thing, you have to be prepared for the CAD and AutoCADs)

And yes, college do give you many opportunities apalagi soal networking. One of my hustle is in a startup, I cofounded it and work as head of design and manage client Data. My friend (now boss and some sort) had founded it and I was invited to help which I did wkkwkw, klo misalnya ga ada dia too I probably won't have been having the jobs I have rn wkwkkw

But make sure your circle is great too, selective tapi jangan diskriminatif

I've seen some people prefer to slack because their friend group affected them","",""
"715181776015720469","kikkou_t","2025-12-09T07:30:16.9760000+00:00","Deketin Dosen is good too, kayak nyari tau soal penelitian mereka atau just be active on their activities, klo mereka ngajak event, ikut aja sih apalagi klo event penulisan atau seminar","",""
"779981857454293012","i.am.beemo","2025-12-09T07:30:43.3680000+00:00","jd ketua gt kty bagus","",""
"779981857454293012","i.am.beemo","2025-12-09T07:30:55.1360000+00:00","gw lupa ketua apa namanya","",""
"779981857454293012","i.am.beemo","2025-12-09T07:31:14.1780000+00:00","kyk ketua kelas gt modelnya seinget gw","",""
"715181776015720469","kikkou_t","2025-12-09T07:31:43.3440000+00:00","Ohh iya itu juga bagus
Jujur klo masalah BEM dsb itu tergantung kampus","",""
"779981857454293012","i.am.beemo","2025-12-09T07:32:29.1790000+00:00","bkn bem","",""
"779981857454293012","i.am.beemo","2025-12-09T07:32:33.1730000+00:00","gw lupa lg","",""
"715181776015720469","kikkou_t","2025-12-09T07:32:50.1200000+00:00","Ketua Angkatan? Perwakilan Mahasiswa Prodi?","",""
"779981857454293012","i.am.beemo","2025-12-09T07:33:07.5720000+00:00","bkn","",""
"779981857454293012","i.am.beemo","2025-12-09T07:33:09.9900000+00:00","hmm","",""
"779981857454293012","i.am.beemo","2025-12-09T07:33:12.2800000+00:00","sebentar","",""
"779981857454293012","i.am.beemo","2025-12-09T07:33:48.4470000+00:00","gw jg lupa","",""
"191651271789379586","istirahato","2025-12-09T07:35:20.7310000+00:00","Penanggung jawab kelas","",""
"715181776015720469","kikkou_t","2025-12-09T07:35:22.7190000+00:00","Intinya sih jangan overcommit, klo punya tanggungjawab yang semacam bikin kamu berasa 'jadi budak' (kasarnya) atau kerja buat sebuah cause gitu, usahain jadi latihan buat work life balance","",""
"779981857454293012","i.am.beemo","2025-12-09T07:35:33.2500000+00:00","komting","",""
"779981857454293012","i.am.beemo","2025-12-09T07:35:40.1790000+00:00","ya ketua angkatan","",""
"779981857454293012","i.am.beemo","2025-12-09T07:35:45.7090000+00:00","yg gw inget komting","",""
"191651271789379586","istirahato","2025-12-09T07:35:55.6080000+00:00","Otw jadi kambing hitam","",""
"191651271789379586","istirahato","2025-12-09T07:36:04.5410000+00:00","-# kalau skill issue","",""
"715181776015720469","kikkou_t","2025-12-09T07:36:13.4270000+00:00","Oh iya, dlu sih itu semacam apa ya, iya perantara aja antara mahasiswa sama lembaga","",""
"779981857454293012","i.am.beemo","2025-12-09T07:36:15.3710000+00:00","nah","",""
"779981857454293012","i.am.beemo","2025-12-09T07:36:24.3440000+00:00","ok brother","",""
"779981857454293012","i.am.beemo","2025-12-09T07:36:39.5270000+00:00","?","",""
"715181776015720469","kikkou_t","2025-12-09T07:37:59.4350000+00:00","Klo ketua angkatan biasanya tektokan sama Kaprodi, kayak klo kita ngomongin military rank ya dia itu setara Komandan/Officer dibawah Presiden tapi power nya kecil wkwkkwkw","",""
