AuthorID,Author,Date,Content,Attachments,Reactions
"605452468284817427","buzzer9229","2025-06-18T08:20:08.6030000+00:00","Feel free to ask me anything.","","🔥 (9)"
"998521205101428776","liz2liz","2025-06-18T08:21:15.9470000+00:00","Nama lengkap","",""
"736550209068335135",".ayab","2025-06-18T08:21:22.8420000+00:00","Buzzer y should have a qna video","",""
"736550209068335135",".ayab","2025-06-18T08:21:29.2220000+00:00","Domisili","",""
"998521205101428776","liz2liz","2025-06-18T08:21:35.8930000+00:00","Ttl","",""
"736550209068335135",".ayab","2025-06-18T08:21:46.2200000+00:00","No rekening","",""
"998521205101428776","liz2liz","2025-06-18T08:21:53.4750000+00:00","Fc ktp","",""
"736550209068335135",".ayab","2025-06-18T08:22:16.9820000+00:00","Sama ijazah pendidikan terakhir","",""
"998521205101428776","liz2liz","2025-06-18T08:22:20.8410000+00:00","/jk :)) klo nama lengkap bole","",""
"736550209068335135",".ayab","2025-06-18T08:22:34.2950000+00:00","Not jk*","",""
"605452468284817427","buzzer9229","2025-06-18T08:22:49.4650000+00:00","Christian Amir","","debating (9),👁‍🗨 (2)"
"983629435850854441","ukrainumedved","2025-06-18T08:22:52.2720000+00:00","oh... so youre not jokowi","",""
"605452468284817427","buzzer9229","2025-06-18T08:24:21.0850000+00:00","Cimahi","",""
"1205583169428922401","f4rtl0rd","2025-06-18T08:32:11.3790000+00:00","What are ur 3 favorites:
A. Foods
B. Drinks (beside coffee)
C. Coffee brand/place brand (if u like coffee)","",""
"605452468284817427","buzzer9229","2025-06-18T08:35:20.7660000+00:00","A. Food: Bolognese spaghetti, Korean bbq, Sushi, Kimchi, Tomahawk Steak medium rare
B. Banana smoothie, Vanilla milkshake, Ice Lemon Tea
C. Tuku, Poins Cafe, Kopi Kulo, Calf","",""
"998521205101428776","liz2liz","2025-06-18T08:36:04.9900000+00:00","Makanan indo","",""
"605452468284817427","buzzer9229","2025-06-18T08:38:08.9420000+00:00","Ayam goreng Ciganea ama sambel dadak Ciganea","","crythumbsup (2)"
"929685111300059156","glassesofwater","2025-06-18T09:01:26.5940000+00:00","do you like air fryers","",""
