AuthorID,Author,Date,Content,Attachments,Reactions
"699593820156854282","althaf_oxc","2025-03-21T09:40:13.8040000+00:00","At the dawn of 1930s the Austro fascism movement gain power in Austria, of course as an authoritarian entity it suppress opposition primarily communist and socialist. However democratic and others are not harshly impose and mostly join the side of Englebert Dolfuß reign.","https://cdn.discordapp.com/attachments/1352577534096834570/1352577534235119678/TribunaFrentePatrioticoAustriaco1936.jpg?ex=699631bd&is=6994e03d&hm=9c11bb6699556c6f64c133efa9de3595099a2e0f8ecd494b2e820734f51a27aa&,https://cdn.discordapp.com/attachments/1352577534096834570/1352577534952214568/250px-1clerofascismo1.jpg?ex=699631be&is=6994e03e&hm=c085fc96c45893bd5a722a20bb7e06d070cc07bc92109f71f8959da0e8bcb946&","emoji_28 (1),🇦🇹 (1)"
"983629435850854441","ukrainumedved","2025-03-21T09:45:57.3480000+00:00","Hmm...","",""
"983629435850854441","ukrainumedved","2025-03-21T09:46:02.2160000+00:00","so against right wingers?","",""
"983629435850854441","ukrainumedved","2025-03-21T09:46:12.4540000+00:00","I MEANT","",""
"699593820156854282","althaf_oxc","2025-03-21T09:46:16.3210000+00:00","The main idea of Austro fascism 
- one party rule
- no free election but rather a council in parliament where the chancellor can be  voted by the parliament members.
- Media are still controlled to ensure no leftist or any other subversive while others are still allowed and news are still open to public.
- Control over the economy but, ensure free private economy and allowed foreign investor to come and invest in the state.
- Clerical influence although limited be used a rally for all religions both christian, Islam, Buddhist, Hindu ,Confucius and more.
- Oppression against the people will not be conducted and no mass surveilance will be conducted for the civilians
- Less radical and more open to diversity as austrofascism isn't about one race 
- Workers and Owners are both protected under state and no unlawful work condition and harmful ethics will be dealt with. 
- Ormas and other group that threanthen the unity of the government will be stop and will be disbanded peacefully or otherwise","",""
"983629435850854441","ukrainumedved","2025-03-21T09:46:27.4050000+00:00","Against left wingers?","",""
"699593820156854282","althaf_oxc","2025-03-21T09:46:48.0940000+00:00","More less yes but.. if they are willing to join. The parliament system they are allowed","",""
"699593820156854282","althaf_oxc","2025-03-21T09:47:10.9720000+00:00","Austro-Fascism are me more liberal of fascism out there and they can join and make bill on socialist idea such as workers rights","",""
"983629435850854441","ukrainumedved","2025-03-21T09:47:22.9960000+00:00","I mean, elections by the council is a real system, or i may misunderstood/ hadnt watched enough things.

Like China","",""
"983629435850854441","ukrainumedved","2025-03-21T09:47:41.7820000+00:00","i heard that they vote through the parliament/council, not the people","",""
"699593820156854282","althaf_oxc","2025-03-21T09:47:53.2300000+00:00","Also Austro fascism is a federalist state so any r region in Indonesia are equally representated","",""
"699593820156854282","althaf_oxc","2025-03-21T09:49:18.6980000+00:00","Dollfuss and his poster","https://cdn.discordapp.com/attachments/1352577534096834570/1352579819019173990/images-173.jpg?ex=699633de&is=6994e25e&hm=26d5b810036290009960b1f582392d72575ecb734cc91ee8f454ec968d8956b8&,https://cdn.discordapp.com/attachments/1352577534096834570/1352579819287740438/images-172.jpg?ex=699633de&is=6994e25e&hm=5608b191fe5d44f35d156486fe3b5be41b34ad26478f3ed221c68887815596d7&",""
"699593820156854282","althaf_oxc","2025-03-21T09:50:45.0810000+00:00","Another factor is that Austrofascism isn't imperialist however we want ourself to be neutral and not meddling in foreign affairs as much as we can. 

Dolfuss also supported education reforms and reforms to eliminate corruption and many illicit activities that harm the nation.","",""
"699593820156854282","althaf_oxc","2025-03-21T09:51:16.0920000+00:00","No mass execution are allowed in Austro Fascism and all are treated equal both enemies and friends","",""
"595261388579143712","owenzedd","2025-03-21T09:51:50.5930000+00:00","Germany used to have some serious drip","",""
"699593820156854282","althaf_oxc","2025-03-21T09:51:52.6080000+00:00","THE ULTIMATE GOAL : THE UNITY AND HARMONY IN THE NATION AND STATE AS WELL AS SUSTAINABILITY OF THE ENTITY","",""
"699593820156854282","althaf_oxc","2025-03-21T09:51:59.4810000+00:00","Austria*","","👍 (1)"
"699593820156854282","althaf_oxc","2025-03-21T09:52:49.1830000+00:00","Also another factor is that Austrofascism hate Nazism to the core. Since it was unlawful to hate one race. Before the fall of austrofascism due to German aggression Jews live in harmony in Austria","",""
"699593820156854282","althaf_oxc","2025-03-21T09:53:33.4830000+00:00","(no discrimination since dolfuss himself is a mantlet and only 150cm tall and consider a joke by people, but he hate those type of hatred against people looks and what not)","",""
"983629435850854441","ukrainumedved","2025-03-21T09:53:57.1930000+00:00","based.","",""
"699593820156854282","althaf_oxc","2025-03-21T09:55:45.3040000+00:00","Austrian Parliament under Chancellor Kurt Schuschnigg (the successor of dolfuss)","https://cdn.discordapp.com/attachments/1352577534096834570/1352581440558338089/images-175.jpg?ex=69963561&is=6994e3e1&hm=852e6686fda9292ddd3c02014cbc21d69509742cd3f8a370b0e6b62473619d87&,https://cdn.discordapp.com/attachments/1352577534096834570/1352581440797282355/images-174.jpg?ex=69963561&is=6994e3e1&hm=e846dc6d06b5e4e63954b1fb9dfd0b5a807afd7d6c40c3b49446248998c7446b&",""
"983629435850854441","ukrainumedved","2025-03-21T09:56:19.2260000+00:00","The opposition's symbol

A strip, like minus in math.","",""
"699593820156854282","althaf_oxc","2025-03-21T09:56:45.3230000+00:00","Yeah since austrofascism is pro religion but still they are under control and it mostly used as a rally for the masses","",""
"983629435850854441","ukrainumedved","2025-03-21T09:57:11.0890000+00:00","Nah like, the fact that their symbol looks like plus, and so i joke it with th eminus sign","",""
"983629435850854441","ukrainumedved","2025-03-21T09:57:24.1060000+00:00","Yeah, the symbol is the cross, christianity,","",""
"983629435850854441","ukrainumedved","2025-03-21T09:57:25.6670000+00:00","i get it","",""
"699593820156854282","althaf_oxc","2025-03-21T09:58:01.8740000+00:00","Also another interesting note is that the judiciary is above the chancellor and all citizen are equal above the law both in power and not","",""
"699593820156854282","althaf_oxc","2025-03-21T09:58:18.4220000+00:00","It a separate entity not under government control","",""
"983629435850854441","ukrainumedved","2025-03-21T09:58:19.8550000+00:00","Ah.","",""
"699593820156854282","althaf_oxc","2025-03-21T09:59:03.8090000+00:00","It's authoritarian are only use to unite the body of the government not to impose harsh and cruel tyranny on the citizens of one nation.","",""
"699593820156854282","althaf_oxc","2025-03-21T10:02:30.6750000+00:00","If any of you wish to ask questions about the implementation in Indonesia feel free, since austrofascism doesn't hate people's opinions and view","",""
"983629435850854441","ukrainumedved","2025-03-21T10:07:03.3220000+00:00","||Authoritarian Anarchism||","",""
"983629435850854441","ukrainumedved","2025-03-21T10:07:23.4490000+00:00","But, being against them is a view/opinion, so?","",""
"983629435850854441","ukrainumedved","2025-03-21T10:07:31.2060000+00:00","Hmm....","",""
"699593820156854282","althaf_oxc","2025-03-21T10:17:15.1700000+00:00","More like opinion. Since not all ideology are perfect 100%","",""
"699593820156854282","althaf_oxc","2025-03-21T10:17:48.1390000+00:00","Opposition that are in Austro fascism 
1. Actively attacking the Austrian government both right or left 
2. Terrorist act
3. Criminal activities","",""
"699593820156854282","althaf_oxc","2025-03-21T16:24:31.8740000+00:00","https://youtu.be/sqYTTOHc7yM?si=R7jnPI8mgdRvFJ5D



Another fact","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-21T17:38:48.0120000+00:00","I can also add some more interesting things for this one. Austro-Fascism also has what we call or known to be ""Clerical fascism."" Austro-Fascism based their ideas by religious claim too through the basis of protecting Austria's Catholic religious identity from what they considered a Protestant-dominated German state. Both Chancellors such as Engelbert Dollfuss and Kurt Schuschnigg were Catholic Chancellors of Austria that were against the absorption through some religious basis too as much the ideology preached about tolerance in their rally.","",""
"699593820156854282","althaf_oxc","2025-03-21T17:58:21.4080000+00:00","Indeed they were","",""
"973225500073926666","raden_patah.","2025-03-22T12:25:34.7730000+00:00","Interesting","",""
