AuthorID,Author,Date,Content,Attachments,Reactions
"436220883808419841","edennottheproject","2025-11-28T10:25:09.9760000+00:00","no explanation necessary (JMK/YRN/SKN)","","verifyblack (23)"
"436220883808419841","edennottheproject","2025-11-28T10:25:45.8560000+00:00","Changed the channel name: Backroom Containment Cell","",""
"563984376585781268","rsnz09","2025-11-28T11:00:23.8520000+00:00","AHAHAHAHAHAHA","",""
"265355459454566402","shiawase6946","2025-11-28T11:54:56.0540000+00:00","Gelar tikar dulu gan :emoji_65:","",""
"1327306698838245499","k1mcchii","2025-11-28T15:26:59.7510000+00:00","buset","",""
"691626449743904810","lotso125","2025-12-01T08:16:55.2020000+00:00","i think i want her back","",""
"458504213203255324",".magurotuna","2025-12-01T08:35:44.0960000+00:00","skn(skena)?","",""
"691626449743904810","lotso125","2025-12-01T08:36:08.5730000+00:00","skin tuna","",""
"691626449743904810","lotso125","2025-12-01T08:36:14.7410000+00:00","kalo mau pamer kesehatan kulit","",""
"458504213203255324",".magurotuna","2025-12-01T08:38:42.9500000+00:00","ohhh saya kira","",""
"691626449743904810","lotso125","2025-12-01T08:42:06.6420000+00:00","NGGA LAH TUNA WKWKWKWK IYA SKN ITU SKENA","",""
"691626449743904810","lotso125","2025-12-01T08:42:09.7630000+00:00","DISINGKAT SM EDEN","",""
"691626449743904810","lotso125","2025-12-01T08:42:22.1260000+00:00","SORI2 MY BAD","",""
"458504213203255324",".magurotuna","2025-12-01T08:55:55.5200000+00:00","tega ya admin berbohong kepada member nya","",""
"458504213203255324",".magurotuna","2025-12-01T08:55:59.2080000+00:00","https://tenor.com/view/dog-crying-meme-doggo-crys-megan-soo-crying-dog-gif-5276199764143986284","",""
"691626449743904810","lotso125","2025-12-01T09:10:54.3410000+00:00","damn dibohongi atmint","",""
"691626449743904810","lotso125","2025-12-01T09:10:57.4290000+00:00","dibohongi jawa","",""
"563984376585781268","rsnz09","2025-12-01T09:37:05.5950000+00:00","jawa 💔","",""
"1327306698838245499","k1mcchii","2025-12-01T10:44:53.0510000+00:00","siapa hari ini keluar banyak 💦","",""
"458504213203255324",".magurotuna","2025-12-01T10:51:25.4300000+00:00","aku","",""
"458504213203255324",".magurotuna","2025-12-01T10:51:28.4780000+00:00","keluar banyak duit","",""
"458504213203255324",".magurotuna","2025-12-01T10:51:33.2380000+00:00",":grinning:","",""
"691626449743904810","lotso125","2025-12-01T11:01:37.8290000+00:00","aku","",""
"691626449743904810","lotso125","2025-12-01T11:01:40.8520000+00:00","keluar negeri","",""
"563984376585781268","rsnz09","2025-12-01T11:25:10.9930000+00:00","keluar uang 💔","",""
"425585007906783232","gksubrata","2025-12-01T13:24:02.4840000+00:00","Hm","",""
"790860761291423754","beethozheng","2025-12-01T13:24:06.2470000+00:00","Keluar waktu diPHP pesawat","",""
"891545423238537236","murzzbow","2025-12-01T15:00:36.7950000+00:00","Test","",""
"812158732515541012","rxsebud","2025-12-01T15:01:47.7290000+00:00","i miss my bf","",""
"812158732515541012","rxsebud","2025-12-01T15:02:09.2100000+00:00","i want him to fly back home but he cant because neither of us can afford it rn","",""
"620672544357220364","sad.potato.13","2025-12-01T15:02:12.1340000+00:00","SIALAANNNNNNNNNNNNNNNNN","",""
"691626449743904810","lotso125","2025-12-01T15:02:15.1010000+00:00","paham","",""
"891545423238537236","murzzbow","2025-12-01T15:02:16.6930000+00:00","nicee","",""
"891545423238537236","murzzbow","2025-12-01T15:02:23.1850000+00:00","Akhirnya ariga nyampe sini juga","",""
"620672544357220364","sad.potato.13","2025-12-01T15:02:25.1750000+00:00","https://tenor.com/view/nuke-it-olliesblog-olliesblog-nuke-it-olliesblog-nuke-nuke-it-all-gif-1658290845776537730","",""
"691626449743904810","lotso125","2025-12-01T15:02:25.5650000+00:00","t do be very expensive wkwkwkwk","",""
"691626449743904810","lotso125","2025-12-01T15:02:32.1310000+00:00","jeger mledug","",""
"620672544357220364","sad.potato.13","2025-12-01T15:02:47.8540000+00:00","https://tenor.com/view/lapiscel-crashout-crash-out-cry-tiktok-gif-10007966496574564059","",""
"620672544357220364","sad.potato.13","2025-12-01T15:03:04.0280000+00:00","I HATE BEING COMPARED TO SOMEONE I DONT LIKE","",""
"691626449743904810","lotso125","2025-12-01T15:03:06.5330000+00:00","- ariga crashout
- rose yearning","",""
"691626449743904810","lotso125","2025-12-01T15:03:10.4770000+00:00","good combo fr","",""
"812158732515541012","rxsebud","2025-12-01T15:03:14.9780000+00:00","whats the opposite of yearning cuz thats what eden just did","",""
"691626449743904810","lotso125","2025-12-01T15:03:27.5870000+00:00","eden being passionate asf","",""
"436220883808419841","edennottheproject","2025-12-01T15:03:57.5370000+00:00","frustrated","",""
"891545423238537236","murzzbow","2025-12-01T15:04:34.2020000+00:00","cair nih forum","",""
"891545423238537236","murzzbow","2025-12-01T15:04:48.3350000+00:00","kalo ni forum bisa diduitin i'll gladly do so","",""
"691626449743904810","lotso125","2025-12-01T15:05:03.9030000+00:00","all in to backroom containment cell","",""
"691626449743904810","lotso125","2025-12-01T15:05:14.8970000+00:00","lgsg cash in ur retirement money","",""
"620672544357220364","sad.potato.13","2025-12-01T15:11:16.6680000+00:00","Ini channel yg auto delete after specific time period kan","",""
"620672544357220364","sad.potato.13","2025-12-01T15:11:43.9660000+00:00","OH THIS IS A THREAD","",""
"691626449743904810","lotso125","2025-12-01T15:12:13.5410000+00:00","ini forum sih","",""
"691626449743904810","lotso125","2025-12-01T15:12:29.5720000+00:00","khusus dibuat untuk the yearn, the jomoks, and skena like @Kim","",""
"1327306698838245499","k1mcchii","2025-12-01T15:12:40.3530000+00:00","fitnah besar","",""
"1327306698838245499","k1mcchii","2025-12-01T15:12:45.8220000+00:00","kategori mugaladah","",""
"691626449743904810","lotso125","2025-12-01T15:13:08.8230000+00:00","hanya jujur kak","",""
"458504213203255324",".magurotuna","2025-12-01T17:42:55.4960000+00:00","ini forum crashout untuk semua member kah","",""
"458504213203255324",".magurotuna","2025-12-01T17:43:03.9600000+00:00","menarik..","",""
"436220883808419841","edennottheproject","2025-12-01T21:28:48.5440000+00:00","no damit","",""
"1327306698838245499","k1mcchii","2025-12-02T01:08:41.5250000+00:00","iya, kalo personal cuman khusus tian","",""
"891545423238537236","murzzbow","2025-12-02T04:13:43.2820000+00:00","https://tenor.com/view/jika-kau-bertemu-aku-begini-tiara-jika-roger-roger-sumatera-gif-27062867","",""
"891545423238537236","murzzbow","2025-12-02T04:14:03.6870000+00:00","the forum for jomok and yearning people be like:","",""
"691626449743904810","lotso125","2025-12-02T04:15:36.0130000+00:00","","https://cdn.discordapp.com/attachments/1443910584792776784/1445267131573993545/Screenshot_2025-10-03-09-04-38-17_1c337646f29875672b5a61192b9010f9.jpg?ex=69968e67&is=69953ce7&hm=4c0f939081cf88e18f512a07769e58c60bd253828f953c3048d24e675b7fb898&",""
"1064369916351889448","fellowmen","2025-12-02T04:18:23.3670000+00:00","lmao","",""
"1092629690788884511","percyvalll_","2025-12-02T04:18:46.7400000+00:00","apakah ini segmen untuk deranged post dan obrolan tidak umum?","",""
"1064369916351889448","fellowmen","2025-12-02T04:18:50.6650000+00:00","and too much yearning and jomok can cause you to be turned into SCP","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-02T04:24:52.9000000+00:00","Masukkin ke dalam SCP file archives","",""
"1064369916351889448","fellowmen","2025-12-02T04:25:44.1420000+00:00","mutant","",""
"428399814238273556","the.og.green","2025-12-02T04:26:53.5250000+00:00","","https://cdn.discordapp.com/attachments/1443910584792776784/1445269973365952512/kangkung_hedi_yunus.jpg?ex=6996910d&is=69953f8d&hm=6a7de418e17dc7e002336c244ad40fb436101200e7990a935179ac0e2510bbd6&",""
"891545423238537236","murzzbow","2025-12-02T04:29:22.2380000+00:00","","https://cdn.discordapp.com/attachments/1443910584792776784/1445270597302095943/lawakan.politik_1695038966.mp4?ex=699691a2&is=69954022&hm=a926ac05bf5b314d70bf13810b156074225e0842f1e3d64019b8361d0ed45d7d&","⭐ (6)"
"1064369916351889448","fellowmen","2025-12-02T04:30:02.3870000+00:00","kombinasi antara roblox+minecraft+stalcraft","",""
"412926738298044431","jaxxxxxxyyyy","2025-12-02T04:30:15.0000000+00:00","Babywo Subianto","",""
"1064369916351889448","fellowmen","2025-12-02T04:33:56.9470000+00:00","bunated like this","",""
"575141979873083393","sukadeltoro","2025-12-02T06:17:44.7190000+00:00","Mantap","",""
"425585007906783232","gksubrata","2025-12-02T09:10:45.5190000+00:00","**I YEARN**","https://cdn.discordapp.com/attachments/1443910584792776784/1445341410923647056/IMG_3108.png?ex=69962ad5&is=6994d955&hm=db8ad41bb85f4c31c35f4a0387185023ec542e31e318af33ba19a63dc6c1a75a&",""
"458504213203255324",".magurotuna","2025-12-02T09:27:37.7690000+00:00","konco mau husband?","",""
"575141979873083393","sukadeltoro","2025-12-02T11:07:17.0000000+00:00","Konco mau husband? (2)","",""
"436220883808419841","edennottheproject","2025-12-02T11:09:01.7140000+00:00","konco mau husband? (3)","",""
"425585007906783232","gksubrata","2025-12-02T12:25:12.9090000+00:00","Kontol","","💀 (1)"
"891545423238537236","murzzbow","2025-12-02T12:30:07.1230000+00:00","Koncol","",""
"436220883808419841","edennottheproject","2025-12-02T13:08:42.9960000+00:00","conkol","",""
"1327306698838245499","k1mcchii","2025-12-02T13:27:16.7350000+00:00","ikan apa?","",""
"620672544357220364","sad.potato.13","2025-12-02T14:39:34.9480000+00:00","Tongkol?","",""
"691626449743904810","lotso125","2025-12-02T15:13:20.0070000+00:00","hiii ada bulgogi","",""
"691626449743904810","lotso125","2025-12-02T15:13:21.6390000+00:00","takutnyeee","",""
"620672544357220364","sad.potato.13","2025-12-02T16:43:02.0730000+00:00","Owshet blm gantj nama","",""
"575141979873083393","sukadeltoro","2025-12-02T18:26:31.9410000+00:00","Ahemangap","",""
"1327306698838245499","k1mcchii","2025-12-03T01:15:28.1830000+00:00","ngentot","","😂 (1)"
"891545423238537236","murzzbow","2025-12-03T04:19:16.9710000+00:00","ya jadi begini...","https://cdn.discordapp.com/attachments/1443910584792776784/1445630446292701254/594055336_1373118607687956_2866080828577196818_n.png?ex=69968f44&is=69953dc4&hm=6ca8fdfcfa6633f969827f12ac21dde1a772f2a77d2ec3f90daf51b126e98ad4&","💀 (4)"
"691626449743904810","lotso125","2025-12-03T04:30:44.2240000+00:00",".............","",""
"691626449743904810","lotso125","2025-12-03T04:30:58.2870000+00:00","funfact ga cuma ikan badut yg bisa berubah alat reproduksi","",""
"891545423238537236","murzzbow","2025-12-03T04:39:22.3450000+00:00","","https://cdn.discordapp.com/attachments/1443910584792776784/1445635501984976906/588824833_122145963038932545_2464625520262891046_n.png?ex=699693fa&is=6995427a&hm=ab00ec8ad35e71b436934bec993f9ba80922d66a806936404cc9e19d96821bf3&",""
"458504213203255324",".magurotuna","2025-12-03T04:47:29.6780000+00:00","","https://cdn.discordapp.com/attachments/1443910584792776784/1445637546033025024/image0.gif?ex=6995ed21&is=69949ba1&hm=65e78d15311287d0f0f798518ca0b09cc14984f535a273f692c8d6f3e2b45bae&",""
"575141979873083393","sukadeltoro","2025-12-03T05:04:56.4590000+00:00","SUSUUUUUU ARGHHHHHHHHH","",""
"790860761291423754","beethozheng","2025-12-03T05:09:14.6730000+00:00","https://tenor.com/view/man-drinking-milk-ayran-kefir-milk-man-drinking-kefir-gif-939636713602561459","",""
"691626449743904810","lotso125","2025-12-03T05:15:49.5650000+00:00","susu siapa","",""
"891545423238537236","murzzbow","2025-12-03T05:15:58.5180000+00:00","nah ini kelakuan","",""
"891545423238537236","murzzbow","2025-12-03T05:16:05.7110000+00:00","tertangkap basah atmin ya","",""
"691626449743904810","lotso125","2025-12-03T05:16:07.9870000+00:00","LOH","",""
