AuthorID,Author,Date,Content,Attachments,Reactions
"1307667946260267020","manofthestars","2026-01-12T01:57:46.1680000+00:00","Feel free to yap about languages/linguistics here, whether it be etymology, grammar, syntax, lexicon, etc. Including historical or even socio-linguistics","","noted (2)"
"1307667946260267020","manofthestars","2026-01-12T01:58:41.3380000+00:00","I'll probably share etymologies of words I found interesting, tho I'm still an amateur at this","",""
"1307667946260267020","manofthestars","2026-01-12T01:59:54.6250000+00:00","","","😮 (1)"
"1307667946260267020","manofthestars","2026-01-12T02:00:31.2560000+00:00","","",""
"1307667946260267020","manofthestars","2026-01-12T02:00:51.6590000+00:00","","",""
"1307667946260267020","manofthestars","2026-01-12T02:02:58.0530000+00:00","@perantau98 @Juanster  thought you two might be interested :pray:","",""
"580702177006190595","ashiapmanman","2026-01-12T13:58:57.0860000+00:00","man i love linguistics","",""
"1307667946260267020","manofthestars","2026-01-12T23:35:43.2120000+00:00","Fun fact: anggar came from French _en garde_","https://cdn.discordapp.com/attachments/1460090348159107083/1460416987879575572/Screenshot_20260113_063444_OSS_Dict.jpg?ex=69964ccf&is=6994fb4f&hm=bdd924536a27f9f02c5b040f5de2d7ee8630f4be90174514082b6c5e6398ad89&",""
"1307667946260267020","manofthestars","2026-01-12T23:36:17.3990000+00:00","Kinda funny how the phrase you said before fencing just became our word for it","",""
"474936118786129940","perantau98","2026-01-13T11:16:01.9820000+00:00","Oh shoot, just saw this channel.","",""
"474936118786129940","perantau98","2026-01-13T11:16:22.5740000+00:00","Keren dari Grand ga sih?","",""
"1307667946260267020","manofthestars","2026-01-13T12:45:25.8560000+00:00","Nah, from English _current_","",""
"1307667946260267020","manofthestars","2026-01-13T12:47:03.5380000+00:00","Well, either borrowed from English current, or Dutch courant/krant (which then also become koran)","",""
"1307667946260267020","manofthestars","2026-01-13T12:49:26.1810000+00:00","honestly, the origin is pretty ambiguous jeez","https://cdn.discordapp.com/attachments/1460090348159107083/1460616733025894621/Screenshot_20260113_194826_Firefox.jpg?ex=69965e16&is=69950c96&hm=618a84c0efcda86996a070ba96cfd49ebc71b79e0e93d536f5d97c12309efb53&",""
