AuthorID,Author,Date,Content,Attachments,Reactions
"463376189147447296","aoin7891","2025-05-02T12:21:57.3310000+00:00","STEM degree is a master race compare to other degree. Let's discuss","https://cdn.discordapp.com/attachments/1367838523994149025/1367838524195213333/hoe18u8uj0a21.jpg?ex=699657a5&is=69950625&hm=df0317ff39af91cfebe66e468b103306240efe04f2c583a4c79cf3755d45a13a&",""
"463376189147447296","aoin7891","2025-05-02T12:25:02.9980000+00:00","As a fresh graduate from non-stem degree, i feel like every job post that match my degree doesn't have salary that i expected. Compare to STEM degree job post, they have the industry and scalable career ladder that can be measure by years of working. So, what do you guys thinks?","",""
"529549424301703196","its_yuru","2025-05-02T13:51:53.5740000+00:00","It is still kinda weird. STEM did have a lot of crucial position in society , yet it overshadow social studies which ironically the one degree that decide wether your STEM degree is actually have a price or not","",""
"731408010232070165","darkzet","2025-05-02T15:25:50.0050000+00:00","what's stem lol","",""
"731408010232070165","darkzet","2025-05-02T15:26:07.6490000+00:00","how can i know that im fit to taka fisip degree?","",""
"731408010232070165","darkzet","2025-05-02T15:26:21.7370000+00:00","genask guys 🙏","",""
"529549424301703196","its_yuru","2025-05-02T15:28:59.6860000+00:00","IPA","",""
"395810691006857219","ataman_erkin","2025-05-02T20:11:16.0860000+00:00","kalau aku pribadi sih ya, 

STEM itu memang bagus tapi end goal mu harus di luar. At the end kalau ngejar fully duit maka entrepreneurship is the goal. Jadi nya finance atau yg bersifat networking itu bagus","",""
"463376189147447296","aoin7891","2025-05-04T06:57:36.4430000+00:00","Perhaps it's just me, but STEM alumni that i encounter in my city universities, most of their undergraduate thesis doesn't really tried to find new things which make civilization could move to next level. Like Rare Earth Mineral or Semiconducter in Indonesia is rarely publish or known whether they exist or not 😦","",""
"395810691006857219","ataman_erkin","2025-05-04T14:36:01.8610000+00:00","ya, skripsi kan begitu. 

Itu bukan disertasi apalagi research paper punya PhD","",""
"191651271789379586","istirahato","2025-05-05T17:04:54.9070000+00:00","It's not PhD or scientists works so it's fine","",""
"191651271789379586","istirahato","2025-05-05T17:05:44.7280000+00:00","'cause the main objective of Bachelor thesis is *to implement*","",""
"736550209068335135",".ayab","2025-05-06T10:59:52.4940000+00:00","Hukum aha bro","",""
"665221331595427840","flavornoid","2025-05-06T12:02:15.8980000+00:00","chemistry major here! di kampusku (kampus ikip jatim) juga gitu kok. banyak yang skripsinya biasa aja dan yah, lulus, tapi yang skripsinya temuan baru juga ada (tapi ga banyak, itu pun kalo dekat dgn dosen di bawah payung penelitian dan rajin ngelab). infrastruktur, peralatan juga terbatas apalagi dana. when i say it's limited, IT IS LIMITED lol skillset anak undergraduate ya emang kureng krn gmn lagi emg kureng","",""
"665221331595427840","flavornoid","2025-05-06T12:03:22.2110000+00:00","kebanyakan yang skripsinya ✨keren✨ (dan passionate ngelab) emang ngelanjut master entah di LN atau DN atau kerja yg ngelab/riset","",""
"235101362956795904","mazeltof404","2025-05-07T03:13:25.6780000+00:00","Dah biasa handle complex calculations & math formula, so it wouldn’t be hard for STEM (esp. Engineering grads) to work in the financial sectors","",""
"235101362956795904","mazeltof404","2025-05-07T03:14:12.9430000+00:00","Or refined answernya, why career progression di finance lebih mantep dibanding other career","",""
"665221331595427840","flavornoid","2025-05-07T03:46:49.5820000+00:00","but if you were asked to give major recommendation to your cousin/niece/nephew... what answer would you give???","",""
"665221331595427840","flavornoid","2025-05-07T03:47:30.7840000+00:00","soalnya penjurusan di jenjang sma rn is way different than before pandemic era","",""
"463376189147447296","aoin7891","2025-05-09T10:03:33.2560000+00:00","I'll recommend them for stem majors, especially medical & engineering. Technology also, but seeing the career path is not exist in my area, I wouldn't recommend it yet. Social major that I will recommend are either law or economic. Coz world revolve around making money and knowing rule of playing it","",""
"862982841427820574","chewiezzz","2025-05-10T04:15:03.1630000+00:00","if I can turn back time, I would rather study econ or finance","",""
"862982841427820574","chewiezzz","2025-05-10T04:15:50.6930000+00:00","like what aoin said here, no matter what your interests is, in the end what makes the world goes round is money","",""
