AuthorID,Author,Date,Content,Attachments,Reactions
"983629435850854441","ukrainumedved","2025-06-08T06:44:12.1010000+00:00","DEBATE WHATEVER YOU WANT HERE","",""
"1205583169428922401","f4rtl0rd","2025-06-08T06:45:52.7880000+00:00","🍿 imma watch","",""
"1188825714871517267","nusantarageneral","2025-06-08T06:49:26.2060000+00:00","Imma start, (((👃🧃💰))) control everything...","",""
"1205583169428922401","f4rtl0rd","2025-06-08T07:05:02.2360000+00:00","What does that mean? Nose box money?","",""
"1188825714871517267","nusantarageneral","2025-06-08T07:05:56.7600000+00:00","Only the ones with elite ball knowledge, unemployed, and a true Instagram patriot knows what I meant with (((👃🧃💰)))","",""
"388980048151052290","darthvegan99","2025-06-08T07:11:34.5970000+00:00","no one's stupider than me, debate that","",""
"388980048151052290","darthvegan99","2025-06-08T07:11:54.8780000+00:00","the juice?","",""
"595261388579143712","owenzedd","2025-06-08T07:12:39.6070000+00:00","@Grok Nyan~ is a neo nazi","",""
"1205583169428922401","f4rtl0rd","2025-06-08T07:13:01.9570000+00:00","Dont self-deprecate","",""
"388980048151052290","darthvegan99","2025-06-08T07:13:15.1630000+00:00","imma self defecate then","",""
"1188825714871517267","nusantarageneral","2025-06-08T07:14:19.0060000+00:00","I'm not bro","",""
"595261388579143712","owenzedd","2025-06-08T07:14:39.8030000+00:00","You do hold neo nazi belief","",""
"1188825714871517267","nusantarageneral","2025-06-08T07:14:49.2780000+00:00","Hating on the juice doesnt make you a neo nazi","",""
"843005270200156160","kaviarormonroe","2025-06-08T07:16:10.9610000+00:00","Nationalist loser","",""
"1205583169428922401","f4rtl0rd","2025-06-08T07:16:18.2990000+00:00","Tendencies or belief?","",""
"595261388579143712","owenzedd","2025-06-08T07:16:40.8670000+00:00","Hate the juice = hate the Jews","",""
"1205583169428922401","f4rtl0rd","2025-06-08T07:16:55.9420000+00:00","Oalah juice are that","",""
"595261388579143712","owenzedd","2025-06-08T07:17:00.2930000+00:00","Get it @Chrysal's Son #KONCOL","",""
"388980048151052290","darthvegan99","2025-06-08T07:17:10.3850000+00:00","i dislike the semitism that drives its followers to think themselves as not only separate but above others

the way they treat ""Goys"" as sub human, and teaches them to exploit the outsiders","",""
"1205583169428922401","f4rtl0rd","2025-06-08T07:17:18.8070000+00:00","Yea thanks","",""
"388980048151052290","darthvegan99","2025-06-08T07:17:21.0800000+00:00","but not the Jew bloodline itself. they're just people","",""
"1188825714871517267","nusantarageneral","2025-06-08T07:17:36.1000000+00:00","I do not, Neo-Nazi c u cks are just H1tler wannabees who says they're ""Aryans""","",""
"388980048151052290","darthvegan99","2025-06-08T07:17:42.2750000+00:00","in fact my best friend that I game SW battlefront II & RP with is a pure blooded jew","",""
"1205583169428922401","f4rtl0rd","2025-06-08T07:18:06.4070000+00:00","Just fyi, Jewish  ≠ Zionist in technicality","",""
"388980048151052290","darthvegan99","2025-06-08T07:18:20.4040000+00:00","ah YES ZIONISM was the world i was looking for","",""
"1188825714871517267","nusantarageneral","2025-06-08T07:18:24.9350000+00:00","Yes, I meant by Zionist Juice","",""
"1205583169428922401","f4rtl0rd","2025-06-08T07:18:29.4220000+00:00","Lots of jews are anti-zionist","","✅ (2)"
"388980048151052290","darthvegan99","2025-06-08T07:18:35.2310000+00:00","the jews themselves are just people","",""
"1205583169428922401","f4rtl0rd","2025-06-08T07:18:43.4340000+00:00","Especially jews outside of Israel","",""
"388980048151052290","darthvegan99","2025-06-08T07:18:47.0250000+00:00","exactly","",""
"388980048151052290","darthvegan99","2025-06-08T07:19:09.1400000+00:00","even there's a lot of jews in israel that's very Anti zionism and war","","true (1)"
"1188825714871517267","nusantarageneral","2025-06-08T07:19:40.9780000+00:00","I only hate the Zionist Jews","",""
"1205583169428922401","f4rtl0rd","2025-06-08T07:19:41.7090000+00:00","True","",""
"1188825714871517267","nusantarageneral","2025-06-08T07:19:53.4370000+00:00","That doesnt make me a Neo-Nazi, am I right?","",""
"388980048151052290","darthvegan99","2025-06-08T07:20:08.9730000+00:00","it's like ww2 again guys, this time israel is the nazi controlled state, but that doesn't make germans = nazi

same as it doesn't make jews = zionist","",""
"388980048151052290","darthvegan99","2025-06-08T07:20:35.2190000+00:00","i would say its a buzz word. if people are willing to go so far to call you that, then you can safely assume that their opinion and words are negligible","",""
"949284994700959774","didygoy","2025-06-08T07:46:17.5120000+00:00","r/asmongold","",""
