AuthorID,Author,Date,Content,Attachments,Reactions
"605452468284817427","buzzer9229","2025-04-26T15:05:45.1310000+00:00","I think the death penalty should be reserved for people with the most heinous crimes at that is sexually fueled crimes. There is no redeemable reason one would commit this violent act.","",""
"891545423238537236","murzzbow","2025-04-26T15:06:21.2500000+00:00","hmmm","",""
"891545423238537236","murzzbow","2025-04-26T15:06:59.8960000+00:00","I'd like to write an argument based on socio-legal perspective and criminal law perspective related to the question being asked here","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-26T15:14:01.7650000+00:00","Hmmmm mind elaborate more on it Buzzer? I wanted to see more of your reasonings before making my points here","",""
"825755560661876766","_shinda_hito_00","2025-04-26T15:26:43.8020000+00:00","Agreed, traumatic and possibilities of permanent physical damage of the victims undeniably fair towards the penalty. But how about false allegations that comes?","",""
"766280136332410920","ekast237707","2025-04-26T15:28:21.2560000+00:00","I draw a line to children","",""
"766280136332410920","ekast237707","2025-04-26T15:28:52.8940000+00:00","And I am basically a coward","",""
"766280136332410920","ekast237707","2025-04-26T15:29:04.3800000+00:00","Soo I am fine","",""
"766280136332410920","ekast237707","2025-04-26T15:29:18.2860000+00:00","I guess, I hope","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-26T15:47:51.2570000+00:00","Since I believe it should be expanded more than just sexual offenders, but to other crimes or crime doers","",""
"867743747563454464","eskrim","2025-04-26T16:30:40.7010000+00:00","Isn't there will be the hukum kebiri for these people?","",""
"226662955142348800","tyastro","2025-04-26T16:32:52.9420000+00:00","agreed tbh i think most people agree","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:38:18.7150000+00:00","Kebiri kimia ada sih","",""
"867743747563454464","eskrim","2025-04-26T16:38:35.6990000+00:00","Iya makanya","",""
"867743747563454464","eskrim","2025-04-26T16:38:51.5400000+00:00","Kalau kucing bisa di kebiri kenpa manusia tidak?","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:39:32.7260000+00:00","Mungkin banyak orang yang bilang itu kurang kejam","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:39:39.2220000+00:00","Kebiri kimia kurang","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:40:13.5950000+00:00","Tuh korban pastinya tetap punya traumatik sepanjang masa sedangkan pelaku masih hidup..","",""
"867743747563454464","eskrim","2025-04-26T16:40:49.4200000+00:00","Kata gue sih kebiri dan diasingkan 😹","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:42:45.6490000+00:00","Diasingkan masih makan biaya","",""
"867743747563454464","eskrim","2025-04-26T16:42:53.8670000+00:00","Iya juga","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:43:00.0820000+00:00","Duit pajak buat transportasi pelaku sa?","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:43:03.1270000+00:00","Cuih","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:43:13.3140000+00:00","Death penalty bener","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:43:27.9230000+00:00","Tapi masalah tuduhan palsu yang  nanti jadi ribet","",""
"867743747563454464","eskrim","2025-04-26T16:43:35.7260000+00:00","But my question is kalau ada yang jadi kambing item gmn?","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:43:41.8420000+00:00","Nah itu","",""
"867743747563454464","eskrim","2025-04-26T16:43:42.9690000+00:00","Iya itu makanya","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:43:53.0740000+00:00","Tuduhan palsu disini mainnya lebih lebih","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:44:10.1090000+00:00","Lu diteriakin maling di stasiun meskipun lu bukan, mati lu","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:44:13.2620000+00:00","Asli","",""
"867743747563454464","eskrim","2025-04-26T16:44:37.4050000+00:00","Trs ditumbuk juga","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-26T16:46:32.1360000+00:00","True, the problem is that our laws can be pretty dirty in playing with these death penalties if they were legalized. Even the main perpetrators if happened to be a influential person, he could blamed the shift to someone else then pushed for death penalty through populist support since the court won't hold back like before it got legalized","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:46:39.7310000+00:00","Gini deh","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:47:02.1500000+00:00","Pembantaian anggota PKI tahun 65 juga banyak tuduhan palsu nya","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:47:05.9370000+00:00","Tanpa sidang lagi","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:47:41.1330000+00:00","@Jax Preach brother","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-26T16:48:28.4700000+00:00","Yeah, plus if the perpetrators are people that somehow owned or have someone in media, they could use media to shift public view","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-26T16:48:49.4440000+00:00","Reverse the method using viralism to escape from blame","",""
"412926738298044431","jaxxxxxxyyyy","2025-04-26T16:49:20.3440000+00:00","Basically playing with narrations in order to avoid further capture","",""
"825755560661876766","_shinda_hito_00","2025-04-26T16:49:31.5340000+00:00","Yeap","",""
