AuthorID,Author,Date,Content,Attachments,Reactions
"450524820812201994","m0xxyyy","2025-04-15T01:42:56.1450000+00:00","Permisi abang abang. My name is Fawwaz, I’m a Psychology Major at Universitas Ciputra Surabaya. I’m currently conducting a research study on donation behavior in livestreaming.

I’m looking for participants who have experience donating during livestreams to do Interviews with.

Any of you guys who has the experience and willing to do an interview? The interview itself wont be a professional one, so no need to worry. Please reach me out!","",""
"731408010232070165","darkzet","2025-04-15T01:45:31.8350000+00:00","i sent a gift once or twice on TikTok","",""
"781141435197161573","notanikiwastaken","2025-04-15T02:48:30.3380000+00:00","Pernah donate bits di twitch 2 kali, sama donate di YouTube a few dozen times lah ya","",""
"645277559935860736","petrachristalbert","2025-04-15T03:44:14.8090000+00:00","Anggap lah saya suhu dalam hal donasi livestream. Kadang nyawer vituber, kadang nyawer live programmer, kadang nyawer di stream mahasiswa yang pernah saya ajari sebagai dosen pengganti sementara, kadang juga nyawer temen kerja yang ngestream.

Tapi yang paling sering itu nyawer untuk minta informasi, kayak tukar tambah lah. Kadang saya minta info seputar projectnya, seputar kampusnya, atau seputar dev game.","",""
"731408010232070165","darkzet","2025-04-15T04:02:43.5560000+00:00","oh shi u back, when's the last time i see u","",""
"781141435197161573","notanikiwastaken","2025-04-15T06:49:52.4020000+00:00","Wibu","","__ (1)"
"781141435197161573","notanikiwastaken","2025-04-15T06:50:08.5400000+00:00","Yeah. It's been a while fosho","",""
"645277559935860736","petrachristalbert","2025-04-15T07:09:56.0400000+00:00","bro come back just to check up this forum","",""
"781141435197161573","notanikiwastaken","2025-04-15T07:10:27.8320000+00:00","Can't a bro help another bro with his research study","","🤣 (1)"
"450524820812201994","m0xxyyy","2025-04-15T07:40:11.8190000+00:00","can i do an interview with you about ur experiences?","",""
"450524820812201994","m0xxyyy","2025-04-15T07:40:48.8450000+00:00","can i do an interview with you?","","👍 (1)"
"450524820812201994","m0xxyyy","2025-04-15T07:42:40.5170000+00:00","we can even do a FGD with both of you guys if u want😁","",""
"645277559935860736","petrachristalbert","2025-04-15T09:00:28.4630000+00:00","sure","",""
"450524820812201994","m0xxyyy","2025-04-16T10:30:53.1230000+00:00","saya sudah dm ya bang!","","🔥 (1)"
"736550209068335135",".ayab","2025-04-17T06:05:37.6840000+00:00","We have the same gender","",""
"645277559935860736","petrachristalbert","2025-04-17T09:04:14.3420000+00:00","💀","",""
"450524820812201994","m0xxyyy","2025-04-28T19:51:05.9810000+00:00","I identify myself as an Attack Helicopter","",""
"645277559935860736","petrachristalbert","2025-04-30T15:22:06.4620000+00:00","what a coincidence... I am a Defense Helicopter","",""
"645277559935860736","petrachristalbert","2025-04-30T15:22:49.5730000+00:00","together we could invade Jawa !","",""
