AuthorID,Author,Date,Content,Attachments,Reactions
"436220883808419841","edennottheproject","2025-04-20T12:45:06.0110000+00:00","I'm posting all tarot readings here so members can refer to their readings easier.

If you want me to do your reading, PLEASE TAG ME and come with a question if you want to, otherwise it's general advice for the month/time period

Your options are:
- 3 cards - Past Self, Current Self, Advice for the Future
- 6 Cards - Your Obstacle, Your Inner Wisdom, Your Strengths, Mindset to Take, Actions to Take, Will I Succeed? 
- any other 3-5 card combination
- Any more than that is on special request and time and if I have the energy for it

I will only do your reading if you are willing to be in a voice channel - aka kocok kartu barengan like 2/3 other people. otherwise it will not hit the same
THIS IS NOT DIVINATION.
Yes, I am using ChatGPT to help me interpret because i cannot google all the meanings of the cards that quickly","","🧙‍♀️ (2),🔮 (3)"
"456226577798135808","Deleted User","2025-04-20T12:46:11.2310000+00:00","WOAH","",""
"736550209068335135",".ayab","2025-04-20T12:46:11.4340000+00:00","6?","",""
"679099137647575050","dustoflifespammer","2025-04-20T12:49:03.8000000+00:00","@eden is busy | do not ping! Will I ever find an ambition to pursue in life? 6 cards reading pls","","👍 (1)"
"1016181076877652089","outrageous_hare_23811","2025-04-20T12:49:30.2870000+00:00","How many generation will my empire last? @eden is busy | do not ping!","",""
"436220883808419841","edennottheproject","2025-04-20T12:50:14.1430000+00:00","Nope","",""
"1016181076877652089","outrageous_hare_23811","2025-04-20T12:50:44.1660000+00:00","Why ?","",""
"226662955142348800","tyastro","2025-04-20T12:51:05.8100000+00:00","@eden is busy | do not ping! can i do another one?","","👍 (1)"
"456226577798135808","Deleted User","2025-04-20T12:51:11.7050000+00:00","Don't take it as something to make fun of","",""
"456226577798135808","Deleted User","2025-04-20T12:51:25.5300000+00:00","You're just going to waste your time and make this boring for all of us","","💯 (1)"
"456226577798135808","Deleted User","2025-04-20T12:51:33.8500000+00:00","Go google it up :)","",""
"456226577798135808","Deleted User","2025-04-20T12:51:38.3110000+00:00","""what is tarot?""","",""
"456226577798135808","Deleted User","2025-04-20T12:51:43.5150000+00:00","""where can I get one?""","",""
"456226577798135808","Deleted User","2025-04-20T12:51:51.5370000+00:00","""oh wait Eden is opening one! Awesome!""","",""
"436220883808419841","edennottheproject","2025-04-20T12:52:16.2830000+00:00","@Tyastro @Rathalos @farron tomorrow before/after kartini stage good?","",""
"226662955142348800","tyastro","2025-04-20T12:52:38.5280000+00:00","ok","",""
"679099137647575050","dustoflifespammer","2025-04-20T12:52:54.3940000+00:00","Yez I should be good","",""
"226662955142348800","tyastro","2025-04-20T12:53:05.7380000+00:00","after might be better but at the same time idk if you are hosting","",""
"679099137647575050","dustoflifespammer","2025-04-20T12:53:16.6430000+00:00","After is good for me too","",""
"436220883808419841","edennottheproject","2025-04-20T12:53:19.8610000+00:00","Im not hosting","",""
"679099137647575050","dustoflifespammer","2025-04-20T12:53:21.6890000+00:00","cause I have work till 5 pm","",""
