AuthorID,Author,Date,Content,Attachments,Reactions
"436220883808419841","edennottheproject","2025-05-13T11:15:43.0370000+00:00","Enjoy","","🔥 (4)"
"436220883808419841","edennottheproject","2025-05-13T11:16:09.8290000+00:00","","https://cdn.discordapp.com/attachments/1371808121118261339/1371808230925139988/Screenshot_20250513_120948_Chrome.jpg?ex=69964839&is=6994f6b9&hm=00f23bd8af2c6899dc7c0cc6984ff2321252317d5f0b7c797ac0a1073ae24639&,https://cdn.discordapp.com/attachments/1371808121118261339/1371808231332118528/Screenshot_20250513_121003_Chrome.jpg?ex=69964839&is=6994f6b9&hm=8dc4d638de58ee8f6556df69ae8b494f515a20b104636ea40f2dc6c4dbc0bf5d&,https://cdn.discordapp.com/attachments/1371808121118261339/1371808231676182629/Screenshot_20250513_121009_Chrome.jpg?ex=69964839&is=6994f6b9&hm=3f10400f6533ca1ed0eb38ca9cbed673e9564be366846659fcbd8a231950fd76&,https://cdn.discordapp.com/attachments/1371808121118261339/1371808231973720114/Screenshot_20250513_121058_Chrome.jpg?ex=69964839&is=6994f6b9&hm=ac0d42469e02756d3ac7252ba3ce7ae89b16c88adf8b95d711348683395bcd60&,https://cdn.discordapp.com/attachments/1371808121118261339/1371808232275836928/Screenshot_20250513_121103_Chrome.jpg?ex=69964839&is=6994f6b9&hm=bd35ba1642e3e10683a4102ff38d8351b2c9483e9887cdcdd731fd3f349b12be&,https://cdn.discordapp.com/attachments/1371808121118261339/1371808232582152264/Screenshot_20250513_121108_Chrome.jpg?ex=69964839&is=6994f6b9&hm=0e0fd26e3ca52d8e288b7e3b26e9d5673a8567539ee8d4aa5fc25aef41d65812&,https://cdn.discordapp.com/attachments/1371808121118261339/1371808232867237928/Screenshot_20250513_121113_Chrome.jpg?ex=69964839&is=6994f6b9&hm=28b4a9b62acda0d2a4f65a04e841cfaabe04bba15a74df05b701d822e1ab21a5&,https://cdn.discordapp.com/attachments/1371808121118261339/1371808233223884820/20250513_121211.jpg?ex=69964839&is=6994f6b9&hm=f393da3425a4187bcbd0143f774772bfa0cf349845acb5432ea4b559d9b86cb5&",""
"447355732334084107","farron8675","2025-05-13T11:23:49.1120000+00:00","Thank you eden, will consume soon","",""
"929685111300059156","glassesofwater","2025-05-13T11:24:15.2220000+00:00","Read, this is honestly great mate.","",""
"929685111300059156","glassesofwater","2025-05-13T11:24:41.3520000+00:00","Personally, this is really sums up Indonesias architecture along with its political history too.","",""
"929685111300059156","glassesofwater","2025-05-13T11:25:04.8090000+00:00","However not nitpicking here but a bit more expansion into the future especially with Nusantara would be interesting.","",""
"436220883808419841","edennottheproject","2025-05-13T11:38:26.7990000+00:00","I ran out of word count","",""
"436220883808419841","edennottheproject","2025-05-13T11:38:56.4100000+00:00","Its a 3000 word essay but i did 6K so im doing that next academic year","",""
"766280136332410920","ekast237707","2025-05-13T13:12:02.3860000+00:00","I remembered rumah botol","",""
"766280136332410920","ekast237707","2025-05-13T13:12:21.0590000+00:00","Mesjid mesjid Agung","",""
"766280136332410920","ekast237707","2025-05-13T13:12:57.6230000+00:00","Sedih aku...","",""
"929685111300059156","glassesofwater","2025-05-14T01:50:35.6570000+00:00","That sounds great","",""
"929685111300059156","glassesofwater","2025-05-14T01:50:40.4310000+00:00","Would be keen to read into it","",""
