AuthorID,Author,Date,Content,Attachments,Reactions
"790860761291423754","beethozheng","2026-01-02T15:31:39.9250000+00:00","","https://cdn.discordapp.com/attachments/1456671293125562464/1456671293532278994/Screenshot_2026-01-02-22-26-13-858_com.discord.jpg?ex=6996841c&is=6995329c&hm=4a99a5667f9591b261140596b5bdbefee982d640311af97bb7d01bfdc0b0ceaf&","wpointing (2),smile (2)"
"892623309437542451","johnthesentientautomobile","2026-01-02T15:32:21.1070000+00:00","Hallelujah 🙏","",""
"892623309437542451","johnthesentientautomobile","2026-01-02T15:32:39.4450000+00:00","So anyway","https://cdn.discordapp.com/attachments/1456671293125562464/1456671541952516360/Screenshot_2026-01-02-23-29-55-083_com.facebook.katana.jpg?ex=69968457&is=699532d7&hm=38ee724f0d6c7672991018a9dddd68527302e4847fc76793df607f9afaf0bed5&",""
"790860761291423754","beethozheng","2026-01-02T15:32:58.8310000+00:00","I mean Facebook is either cheap shit or rare shit","",""
"892623309437542451","johnthesentientautomobile","2026-01-02T15:34:13.8300000+00:00","My go-to spot for random ahh guitar stuff","",""
"790860761291423754","beethozheng","2026-01-02T15:34:31.1030000+00:00","@perciV @ساطع الحصري @Frans","",""
"1092629690788884511","percyvalll_","2026-01-02T15:34:43.0070000+00:00","damn good forum","",""
"790860761291423754","beethozheng","2026-01-02T15:34:43.5330000+00:00","I mean look at the holy croan","https://cdn.discordapp.com/attachments/1456671293125562464/1456672063220744192/Screenshot_2026-01-02-22-32-35-363_com.facebook.katana.jpg?ex=699684d3&is=69953353&hm=108c4f29b6b4f60c0864e090fe62b336b6432171760e75f892f1a72a7ebfea0d&",""
"790860761291423754","beethozheng","2026-01-02T15:34:44.3630000+00:00","Crown","",""
"790860761291423754","beethozheng","2026-01-02T15:34:51.3310000+00:00","Crown","",""
"318004630749446145","fransdp","2026-01-02T15:35:06.1190000+00:00","the hustler thread","",""
"1231887706188021761","frnkli_90266","2026-01-02T15:35:11.6780000+00:00","Dayum","",""
"790860761291423754","beethozheng","2026-01-02T15:35:29.0720000+00:00","Can't afford a fortuner? Get a terrano","https://cdn.discordapp.com/attachments/1456671293125562464/1456672253864313143/Screenshot_2026-01-02-22-35-09-269_com.facebook.katana.jpg?ex=69968500&is=69953380&hm=43162734e4ecd88a23d53a6cc0f870647bc9598a13acc91f66e2466015916ec2&",""
"790860761291423754","beethozheng","2026-01-02T15:35:43.2080000+00:00","And we be gettin gurls cuz they don't understand, no offense","",""
"1092629690788884511","percyvalll_","2026-01-02T15:36:21.6510000+00:00","nah ts gotta be a steal bro","https://cdn.discordapp.com/attachments/1456671293125562464/1456672474489033069/Screenshot_20260102_223600_Facebook.jpg?ex=69968535&is=699533b5&hm=f59fcadaa10d045f287bddbacbdfde0de611231e8c3847e95c1267a349994cd5&",""
"318004630749446145","fransdp","2026-01-02T15:36:28.7680000+00:00","""it's the same thing""","",""
"1231887706188021761","frnkli_90266","2026-01-02T15:36:34.9330000+00:00","","https://cdn.discordapp.com/attachments/1456671293125562464/1456672530344706069/IMG-20260102-WA0002.jpg?ex=69968542&is=699533c2&hm=0e2db061989a7ce64745dd070570c248db3e0df59080f30cb70981896198aaf5&",""
"1231887706188021761","frnkli_90266","2026-01-02T15:36:39.9540000+00:00","Dah kek hp","",""
"790860761291423754","beethozheng","2026-01-02T15:36:53.9330000+00:00","WKWKWKW","",""
"1092629690788884511","percyvalll_","2026-01-02T15:37:43.8330000+00:00","targa at this price is unreal","https://cdn.discordapp.com/attachments/1456671293125562464/1456672819206295622/Screenshot_20260102_223723_Facebook.jpg?ex=69968587&is=69953407&hm=e3287cdef022fd4cb106e1b90ad54518bb93c3e4012ac70961a749fe0f7992e5&",""
"1231887706188021761","frnkli_90266","2026-01-02T15:37:56.4060000+00:00","Coba tawar","",""
"790860761291423754","beethozheng","2026-01-02T15:38:01.9060000+00:00","Indo rare ah car","https://cdn.discordapp.com/attachments/1456671293125562464/1456672894892380315/Screenshot_2026-01-02-22-37-42-938_com.facebook.katana.jpg?ex=69968599&is=69953419&hm=d512f3f245e5c0c39f7ef46951c59a8a1c741b40c7c2f4663f6e6ee375ea5b0b&",""
"790860761291423754","beethozheng","2026-01-02T15:38:09.0560000+00:00","Try Panamera 2012 last time I saw was 700 mill","",""
"1231887706188021761","frnkli_90266","2026-01-02T15:38:10.9710000+00:00","Nego 3,5","",""
"1231887706188021761","frnkli_90266","2026-01-02T15:39:04.5410000+00:00","Waktu itu ada yg jual pom bensin tpi keknya udh laku deh","",""
"790860761291423754","beethozheng","2026-01-02T15:39:16.8920000+00:00","12M","",""
"790860761291423754","beethozheng","2026-01-02T15:39:22.7310000+00:00","Cheap sih","",""
"892623309437542451","johnthesentientautomobile","2026-01-02T15:39:27.4120000+00:00","This is quintessential luxury","",""
"790860761291423754","beethozheng","2026-01-02T15:39:27.5300000+00:00","Billion***","",""
"892623309437542451","johnthesentientautomobile","2026-01-02T15:39:32.7830000+00:00","Feeling like the yakuza","",""
"790860761291423754","beethozheng","2026-01-02T15:39:35.2400000+00:00","Normally rastuan M","",""
"790860761291423754","beethozheng","2026-01-02T15:39:55.1040000+00:00","Dream car is the Century","",""
"1231887706188021761","frnkli_90266","2026-01-02T15:40:07.8220000+00:00","Keknya beda yg kita liat","",""
"892623309437542451","johnthesentientautomobile","2026-01-02T15:40:16.5460000+00:00","I prefer being a little humble and just go for an LS400","",""
"318004630749446145","fransdp","2026-01-02T15:40:59.3510000+00:00","coba di bagian ""telusuri"" tulis ""butuh uang"" wkwkw","",""
"790860761291423754","beethozheng","2026-01-02T15:41:10.6400000+00:00","I prefer this","https://cdn.discordapp.com/attachments/1456671293125562464/1456673686596878399/Screenshot_2026-01-02-22-40-53-365_com.facebook.katana.jpg?ex=69968656&is=699534d6&hm=275f66ca0e7053c133b88e0bd61cccb90f4d33335566bca1f2c1f4e1f78e7738&",""
"1231887706188021761","frnkli_90266","2026-01-02T15:41:20.8970000+00:00","kalo civic udh ga jalan tanpa surat normalnya brp?","",""
"892623309437542451","johnthesentientautomobile","2026-01-02T15:41:30.1260000+00:00","Don't you mean a Steed?","",""
"790860761291423754","beethozheng","2026-01-02T15:41:41.0580000+00:00","Tahun brp","",""
