AuthorID,Author,Date,Content,Attachments,Reactions
"412926738298044431","jaxxxxxxyyyy","2025-03-23T05:38:55.7990000+00:00","In order to make our laws much more readable, with our people can have less struggles in reading the constitutions, laws and sets of rules along with punishments. I believe it is important for us Indonesian lawmakers and policymakers to simplified the words and literacy that is written in our policies. To start with, we can reduce the requirements for UU to be at least 900 pages in itself. We can reduce that requirement to 100 pages by minimum. In this way, we can have a much more proper and simplified display for our people to read it easily than having to tortured themselves reading 900 pages of UU.

Moreover, there should be a creation for a ""special team"" formed by the government, consisted of government's representative, law experts and academicians, and civil representatives. The time limit for the simplifying shall be about 12 months or a year. By the time they failed to compiled it together by 12 months, it can be deemed to be unconstitutional or not officially recognized as a proper law. Punishments shall exist for those who tried to prevent it or failures on the team's part through administrative means.

For this, I formed my own RUU that could be seen and revised by anyone should it be interesting to find a solution for our laws to be properly communicated to our people, not only by socializing attempts, but through policies that will allow it to do so.

This is simply the first few baby steps that I believe can be agreeable by both sides: the government and its people. It will reduce more time to officially recognize a law, while allowing the people have easier time to read the laws that the government had officially enacted as a universal policy in the future.","https://cdn.discordapp.com/attachments/1353241584673619988/1353241584820289716/Rancangan_Undang-Undang_Republik_Indonesia_Tentang_Penyederhanaan_Ketentuan_Undang-Undang.pdf?ex=6995f92f&is=6994a7af&hm=abe4f0bffbebc60bda3743bbc3e556683e81f683c510c21d56fbe49535880015&","👍 (2)"
"412926738298044431","jaxxxxxxyyyy","2025-03-23T05:45:59.1100000+00:00","@Ustad anarchy bukan bang toyib @Tavvy Morningson","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T05:46:59.4160000+00:00","(I also invited @Buzzer beneran as the owner to see this reform to see whether a reform or discussion could take place. But at the end, this is only a voluntary act for the baby steps for the near future objective: a discussion about the proper communication and solutions for our laws to be readable by the average Indonesian. But if not, then that is fine since this is a chill server)","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T05:53:54.4760000+00:00","@Ayab The Pineapple @Senator Felix Hj Slamet (Aseli)","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T05:54:08.1930000+00:00","(gonna ping a few people first)","",""
"321253105398448129","tavvymorningson","2025-03-23T05:55:48.4480000+00:00","Very bery good forum post. “cendol gan!”","",""
"736550209068335135",".ayab","2025-03-23T06:01:27.6150000+00:00","Yo","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T06:01:43.6550000+00:00","hello","",""
"736550209068335135",".ayab","2025-03-23T06:04:35.3660000+00:00","The thing is trying to simplefy the wording could be detrimental","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T06:04:52.6880000+00:00","yes, this is also true","",""
"736550209068335135",".ayab","2025-03-23T06:05:09.5720000+00:00","There's a reason why we use elaborate words, we need to be specific with what we meant","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T06:06:21.2980000+00:00","ofc, but the main problem is that some laws tend to be prolonged in their words that our people struggled to read it","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T06:06:37.6230000+00:00","thus reducing the minimums of pages will help to communicate it better","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T06:07:00.6380000+00:00","it will be ironic to see people who voted for laws that they themselves have a hard time to read","",""
"736550209068335135",".ayab","2025-03-23T06:07:53.8760000+00:00","That's why most of the time they employ experts in the legal field on how those laws are made, and most  of DPR have teams for that","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T06:09:27.8600000+00:00","ofc, that is why I mentioned in the RUU that the government will still employ special team such as legal experts, government representative, academicians and civil representatives to simplified these laws with specifics while containing the core of it","",""
"736550209068335135",".ayab","2025-03-23T06:10:39.9700000+00:00","But what if the simple kfiedblaw would create more problems than benefits? Us simplefying them could lead to the wrong interpretation of the law","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T06:12:36.8630000+00:00","and this is where I wish to let the members of the forum to have discussion on the boundaries and technicalities that could happen if the laws were simplified in the RUU. This RUU is still nothing more but a baby form that shall become the first few steps for a solution, a collective one that can be discussed while it is not official","",""
"736550209068335135",".ayab","2025-03-23T06:13:24.5780000+00:00","The solution is for us to increase our literacy rate

Not babying the public","",""
"1268231520724713594","felix_white_law_12319","2025-03-23T06:13:39.6720000+00:00","Yo","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T06:13:45.4410000+00:00","hello","",""
"736550209068335135",".ayab","2025-03-23T06:14:01.3820000+00:00","As much as I want our law to be simplefied for the masses it's a tight rope that could be easily handled wrong","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-23T06:14:31.1970000+00:00","that is also a good solution. Yet with our general education condition, it will be much harder to do it rather than enacting the RUU. But I can understand the reasoning behind that solution.","",""
