AuthorID,Author,Date,Content,Attachments,Reactions
"248690128938074122","cusandara","2025-03-21T07:04:01.7420000+00:00","Let me introduce you to an ideology called futarchy that combines both the good of autocracy (order and stability) and democracy (human rights, freedom of speech) with market wisdom principle used in financial market to reduce the bad of both. Let’s have a healthy discussion and debate!","https://cdn.discordapp.com/attachments/1352538224819572736/1352538224987476048/images.png?ex=69960d21&is=6994bba1&hm=6c0939282cbed47a9651eaacc91bfad04c8871cca533e5bebb8f9c0536176da4&","__ (5)"
"248690128938074122","cusandara","2025-03-21T07:06:29.3360000+00:00","More info and rationale:
https://www.instagram.com/folkation.id","",""
"781141435197161573","notanikiwastaken","2025-03-21T07:47:21.1780000+00:00","Futa 🤤","",""
"1016181076877652089","outrageous_hare_23811","2025-03-21T07:48:25.4480000+00:00","I need a futa mommy ASAP","",""
"1124244720558809169","zahhh_9630","2025-03-21T07:54:49.8130000+00:00","Basically the same as democracy?","",""
"248690128938074122","cusandara","2025-03-21T07:55:43.1660000+00:00","yep, but with free market mechanism to ascertain the social truth so there's no pointless and baseless debate","",""
"248690128938074122","cusandara","2025-03-21T07:57:00.7750000+00:00","there's a reason why multinational companies has high stock price, because they give value to society via their products and services","",""
"1124244720558809169","zahhh_9630","2025-03-21T07:57:46.8130000+00:00","What if market owners or entrepreneurs instead take advantage of this to gain as much personal profit as possible?","",""
"248690128938074122","cusandara","2025-03-21T07:59:15.6880000+00:00","it's possible yes, but given enough ""betting power"", even ordinary people can unite and fight the malicious entrepreneurs, similar to what happens with GME stock in 2021 when covid hits","",""
"1124244720558809169","zahhh_9630","2025-03-21T07:59:26.4380000+00:00","Who knows, even a country's government can be corrupt?And considering the quality of human resources in Indonesia?","",""
"248690128938074122","cusandara","2025-03-21T08:00:52.6620000+00:00","futarchy tries to minimize the chance of corruption from happening by increasing the transparency of public policy decision making via a policy market","",""
"248690128938074122","cusandara","2025-03-21T08:01:32.0780000+00:00","and incentivize informed opinions via betting the belief, not voting it just like in democracy","",""
"1124244720558809169","zahhh_9630","2025-03-21T08:01:44.8770000+00:00","Yes, that's right, transparency is very much needed.","",""
"1124244720558809169","zahhh_9630","2025-03-21T08:05:05.3450000+00:00","So... is it by analyzing based on market movements?Without any kind of ""pemilu""?Then the professionals will decide the policy?","",""
"248690128938074122","cusandara","2025-03-21T08:07:38.0170000+00:00","yep that's right, the ""pros"" will eventuallly decide the policy that can support the increase of national welfare metric that has been voted via ""pemilu""","",""
"248690128938074122","cusandara","2025-03-21T08:08:13.0960000+00:00","so there's still ""pemilu"" to vote for the national welfare metric that will be prioritized","",""
"248690128938074122","cusandara","2025-03-21T08:10:09.2190000+00:00","but of course, every national welfare metric will still be tracked, but measured against the chosen national welfare metric in terms of increase/decrease","",""
"248690128938074122","cusandara","2025-03-21T08:11:37.0940000+00:00","political power will still rotate, just like in a democracy, because society will have different priority as time goes on","",""
"736550209068335135",".ayab","2025-03-21T08:20:46.2880000+00:00","Gambling turned into a government","","__ (1),🤣 (2)"
"248690128938074122","cusandara","2025-03-21T08:23:23.2290000+00:00","I prefer the word ""trading"" lol","",""
"736550209068335135",".ayab","2025-03-21T08:25:00.1040000+00:00","This what happened when you let crypto bro write a constitution I swear to God","","This (2)"
"248690128938074122","cusandara","2025-03-21T08:25:43.0430000+00:00","don't take my word for it, this is actually proposed by US economist Robin Hanson","",""
"248690128938074122","cusandara","2025-03-21T08:26:03.6630000+00:00","https://mason.gmu.edu/~rhanson/futarchy.html","",""
"248690128938074122","cusandara","2025-03-21T08:27:10.9370000+00:00","I am simply adopted the ideology, that's all","",""
"736550209068335135",".ayab","2025-03-21T08:27:39.9340000+00:00","Futarchy

Future hierarchy","",""
"736550209068335135",".ayab","2025-03-21T08:27:44.0230000+00:00","Bruh","",""
"736550209068335135",".ayab","2025-03-21T08:27:51.6930000+00:00","This is legit gambling","",""
"736550209068335135",".ayab","2025-03-21T08:29:21.1850000+00:00","Bruh","https://cdn.discordapp.com/attachments/1352538224819572736/1352559697043128340/Screenshot_20250321_152830_Chrome.jpg?ex=69962121&is=6994cfa1&hm=1f35ebeaa1dd600d959f9a83b97e9ac561c83e50b9096386a516d37a39d982c3&",""
"248690128938074122","cusandara","2025-03-21T08:30:30.9780000+00:00","yes, crypto bros were the first to implement this ideology in governing their orgs","",""
