AuthorID,Author,Date,Content,Attachments,Reactions
"790860761291423754","beethozheng","2025-12-12T11:43:08.2910000+00:00","Food Reccs or Recipes","",""
"790860761291423754","beethozheng","2025-12-12T11:43:51.2690000+00:00","Xiao Meng Niu on Mangga Besar is Lowkey a Goated Hotpot/Shaokao Place","",""
"983629435850854441","ukrainumedved","2025-12-12T12:00:58.8600000+00:00","Sushi","",""
"983629435850854441","ukrainumedved","2025-12-12T12:01:01.2390000+00:00","Pizza","",""
"983629435850854441","ukrainumedved","2025-12-12T12:01:04.4160000+00:00","Burger","",""
"983629435850854441","ukrainumedved","2025-12-12T12:01:09.6050000+00:00","ya","",""
"790860761291423754","beethozheng","2025-12-12T12:01:18.6890000+00:00","Where","",""
"983629435850854441","ukrainumedved","2025-12-12T12:01:36.4730000+00:00","oh nvm","",""
"983629435850854441","ukrainumedved","2025-12-12T12:01:38.9090000+00:00","Ichiban?","",""
"983629435850854441","ukrainumedved","2025-12-12T12:01:40.5440000+00:00","they good","",""
"790860761291423754","beethozheng","2025-12-12T12:03:26.6920000+00:00","Hb burgers and zzas","",""
"563984376585781268","rsnz09","2025-12-12T12:04:43.6060000+00:00","the Rock Burger - Jogja","","wpointing (1)"
"1231887706188021761","frnkli_90266","2025-12-12T12:07:23.3110000+00:00","Chongqing noodle di mabes (non halal)","",""
"1231887706188021761","frnkli_90266","2025-12-12T12:08:09.3400000+00:00","Ichiza Ramen di mabes juga (non halal)","",""
"790860761291423754","beethozheng","2025-12-12T12:10:43.6830000+00:00","Yoo this one goated, goto place when Im smh drunk there","",""
"1231887706188021761","frnkli_90266","2025-12-12T12:12:15.5740000+00:00","Lmao the beef noodle is addictive ngl","",""
"790860761291423754","beethozheng","2025-12-12T13:55:05.5930000+00:00","@RawonJello Sangat Benar","",""
"790860761291423754","beethozheng","2025-12-12T14:07:34.8030000+00:00","Bogor, Ciawi's Ayam Bakar Pak Karim is defo one of the best","",""
"575141979873083393","sukadeltoro","2025-12-12T17:30:06.1150000+00:00","Pical in front of Seskoal is good","",""
"575141979873083393","sukadeltoro","2025-12-12T17:30:47.0000000+00:00","Mata Karanjang is good","",""
"575141979873083393","sukadeltoro","2025-12-12T17:31:05.0590000+00:00","Wait lemme send my kist","",""
"575141979873083393","sukadeltoro","2025-12-12T17:31:06.6730000+00:00","List","",""
"575141979873083393","sukadeltoro","2025-12-12T17:32:25.9090000+00:00","Non-exhaustive Indonesian restaurants in Jakarta:

1. Mara Karanjang
2. Lapo Porsea
3. Kaum
4. Kunstkring
5. RM Medan Baru
6. Natrabu
7. RM Garuda
8. Seribu Rasa
9. Tesate
10. Surya
11. Beautika
12. Bopet
13. Babi Immanuel
14. RM Sepakat
15. Kembang Goela
16. Harum Manis
17. Lara Djonggrang 
18. Bungarampai
19. Semaja
20. Dua Nyonya
21. 2tak
22. Warung MJS
23. Daun Muda (i have a strong reservation about this, but you do you)
24. Pondok Laguna
25. Tansu (RECOMMENDED)
26. Boeba (i like their ikan asin dishes)
27. Aroem Manis (hmmm okay ish)
28. Plataran restaurants (okay for the vibe, that’s all)
29. Remboelan (i love their juice and udang gandum)
30. Nasi Uduk Zainal (MANTAAPPPPP)
31. TONDANO JAYA (MANTAPPPP)
32. Ayam Tangkap Benhil (MANTAAAPPP)
33. Marco (good for expats’ palate)
34. Lapo Senayan
35. Sate dan Tongseng Wong Jogja (depends your stomach)
36. Tongseng Tanah Abang III
37. SIANG MALAM RAWAMANGUN
38. Puja Bumi Kenduri
39. Lumpang Emas
40. Tesate","",""
"575141979873083393","sukadeltoro","2025-12-12T17:33:12.4000000+00:00","For warmindo, warkop, burjo, warteg, sate, penyet, lele, and madura menyusul","",""
"790860761291423754","beethozheng","2025-12-12T17:42:28.6710000+00:00","For dinner dates sekalian tor","",""
"575141979873083393","sukadeltoro","2025-12-12T17:47:04.7400000+00:00","1-4 good","",""
"575141979873083393","sukadeltoro","2025-12-12T17:47:19.6700000+00:00","Or burnt","",""
"575141979873083393","sukadeltoro","2025-12-12T17:47:26.7420000+00:00","Burnt good","",""
"790860761291423754","beethozheng","2025-12-12T17:47:37.7360000+00:00","Toasted","",""
"575141979873083393","sukadeltoro","2025-12-12T17:47:43.7940000+00:00","AB hmmm","",""
"575141979873083393","sukadeltoro","2025-12-12T18:07:44.8400000+00:00","@PurwoZheng Picca, Sulawesi, OD, The Nineteen, Sear by Cook's, ***TIDE AND TABLE***","",""
"790860761291423754","beethozheng","2025-12-12T18:11:14.0130000+00:00","Nineteen","",""
"254261633252196353","chrysal","2025-12-13T10:33:50.5310000+00:00","@PurwoZheng 
For nasi campur
1. Nasi campur Akwang
2. Nasi campur sedap wangi

For porridge:
1. bubur ayam mangga besar

For noodle:
1. please dm:pepeH:","","wpointing (1)"
"790860761291423754","beethozheng","2025-12-13T10:48:19.7190000+00:00","People forgot aliong is also goated nasi campur","",""
"790860761291423754","beethozheng","2025-12-13T10:48:23.0590000+00:00","Pademangan","",""
"575141979873083393","sukadeltoro","2025-12-13T23:35:51.3500000+00:00","Noodle for big porton: Mie Keriting Mas Pujo Benhil","",""
"575141979873083393","sukadeltoro","2025-12-24T09:08:16.1030000+00:00","Kuliner Solo

Mas Mardi (Kambing Goreng Mentega), Pak Samin (Gulai Goreng), Pak Bejo (Buntel), Bu Edi (Tengkleng), Mbak Lies (Selat Solo), Bu Kasno (Gudeg Ceker), Pecel Solo di jalan Dr. Soepomo, Serabi Notosuman di Mohammad Yamin, Nasi Soto Gading, Sambel Tumpang Bu Kis, Nasi Liwet Wongso Lemu, Sate Kere Yu Rebi, Cabuk Rambak Bu Sastro, Tahok Pak Citro, Sate Pak Kasdi","",""
"790860761291423754","beethozheng","2026-01-05T11:38:50.6190000+00:00","@RawonJello Sangat Benar saran daerah halim a good place for a dinner date","",""
"575141979873083393","sukadeltoro","2026-01-05T11:44:10.1070000+00:00","Uhhh ayam cabe ijo sih","",""
"790860761291423754","beethozheng","2026-01-05T11:45:45.9390000+00:00","She doesn't like chicken","",""
"790860761291423754","beethozheng","2026-01-05T11:45:49.6220000+00:00","Dia sukanya seafood","",""
"790860761291423754","beethozheng","2026-01-05T11:45:53.7040000+00:00",":__:","",""
"575141979873083393","sukadeltoro","2026-01-11T12:25:11.5400000+00:00","African Food Center","",""
"265355459454566402","shiawase6946","2026-01-11T14:31:15.5410000+00:00","List Rekomendasi Ayam Goreng di Jogja (buat yg bosen Gudeg):

Ayam Goreng Ny Suharti (Asli, Foto Ibu Suharti) - buat yg doyan Ayam Goreng Asin dan Oily

Ayam Goreng Suharti (Gambar Ayam, punya ex-suami) - Taste similar to original but Less Salty, and less Oily.

Ayam Goreng Mbah Cemplung - Enak, Gurih, Ukuran Besar, tapi Alot.

Ayam Goreng Bu Tini - Ayam Goreng Bacem - this one is champion.","",""
"563984376585781268","rsnz09","2026-01-12T01:56:09.9920000+00:00","bjir ayam goreng semua","",""
"265355459454566402","shiawase6946","2026-01-12T01:57:32.2810000+00:00","Daripada Olive mulu kan :smile:","",""
"563984376585781268","rsnz09","2026-01-12T01:57:45.7430000+00:00","kqkkwkwkwk","",""
"575141979873083393","sukadeltoro","2026-01-12T02:14:09.2780000+00:00","Medan Sehati Gading","",""
"575141979873083393","sukadeltoro","2026-01-12T02:14:14.9450000+00:00","Saung Immanuel","",""
"790860761291423754","beethozheng","2026-01-12T09:07:44.0320000+00:00","Suharti mahal pak","",""
"790860761291423754","beethozheng","2026-01-12T09:07:49.5960000+00:00","Saya makan berempat ilang 4 jt","",""
"790860761291423754","beethozheng","2026-01-12T09:07:55.3020000+00:00","Gatau sakin enaknya ato apa ye","",""
"265355459454566402","shiawase6946","2026-01-12T09:23:49.5190000+00:00","HAH??? Gila lu makan ayam satu mobil box apa???","",""
"790860761291423754","beethozheng","2026-01-12T09:24:06.7350000+00:00","We big bois","",""
"790860761291423754","beethozheng","2026-01-12T09:24:30.4560000+00:00","We literally stay in no time limit all you can eat places for 4 hrs for a meal to get full","",""
"265355459454566402","shiawase6946","2026-01-12T09:26:08.1840000+00:00","Seekor aja ga sampe 150 ribu itu 4 juta makan 20 ekor dong","",""
