AuthorID,Author,Date,Content,Attachments,Reactions
"763369578143154260","omnomswag","2025-05-22T13:21:15.0350000+00:00","A majority of ppl in this server either have a resoundingly distorted view of Karl Marx and marxism, or a complete false understanding of Marx and marxism altogether.

Refutation of ""champagne communist/socialist"" comment (an insult that implies a certain degree of hypocrisy against a self-proclaimed socialist, communist, anarchist, and marxist). the sole purpose of this insult is to cause a collective withdrawal of legitimacy away from the individual on the receiving end of it, even if their claim has absolutely no meaningful evidence in support of it.

There has been an alarming amount of ppl here who often conflate Karl Marx's theory on social classes (Proletarian & bourgeoisie) with Max Weber's three level economic class model (upper, middle, lower class). the Weberian stratification of the middle class is not synonymous to the bourgeoisie. on that note, proletarian and bourgeoisie are not terms about how much money ppl make, they are terms defining ones relationship to the means of production. in theory and practice so-called ""rich"" proletarians and ""poor"" bourgeois' exist. It is become clear that the bourgeois stratification of social classes has prevailed and even cloud that of Karl Marx's dialectical analysis, even when the former deeply lacks the profundity of the latter, clinging onto the notion that prestige and power are separate from that of wealth. the misconstrued explanation of all things reign supreme over the truest explanation.","","⚒️ (1),true (2),debating (1)"
"763369578143154260","omnomswag","2025-05-22T13:21:19.8380000+00:00","The ""irony"" of revolutionaries coming from a privileged background. there is a false, if not at the least troubling narrative that seeks to generalise marxist outlook on historical development as purely ""deterministic"" Karl Marx himself has never argued or showed overt support for this, as shown clearly in his writings. some examples would be Letter to notes on the fatherland and Marx's letter corresponding with Vera Zasulich. As Georgi Plekhanov argued for; ""Marxism doesn't deny the existence of so-called great men, and in fact we should expect that ppl with more material means should have more potential to effect change."" but he also argued that these ppl are produced from and rooted in the socioeconomic environments of their time, and did not divert the overall trend. So the view that Marx strictly argued for historical determinism, or a set universal scheme of development, is purely just a product of post-marx revisionism. as marx has never in his life showed support of this.","",""
"763369578143154260","omnomswag","2025-05-22T13:21:29.7510000+00:00","The claim that ""Marxism was only ostensibly supposed to be an economic doctrine"" is false. **Marxism is a left-wing method of socioeconomic analysis that employs a materialist interpretation of historical development**. marxism is both a science and a philosophy, it's philosophical purpose is to understand history and society and its scientific purpose is for analyzing class relations and social conflict that happen within those societies all-throughout history. the erroneous claim that ""marxism was and is only an economic doctrine"" is either a conscious or subconscious calling for an academic regression. because this entire narrative arose out of 19th century europe. a time when the philosophical underpinnings of marxism had not been fully realized (partly due to the lack materials available since most of Karl Marx's works had not been published until very later on) a claim such as this devalues what marxism actually is.","",""
"763369578143154260","omnomswag","2025-05-22T13:21:40.1580000+00:00","The bourgeoisie has won and the perpetuation of ""hard-working = honorable""

Working under the current capitalist mode of production has long been commodified. being overqualified for a job that you're doing and continuing to do under those circumstances that logically should put you at an advantage, is being perceived as a noble trait of the avg proletariat. There can be no valor from being a victim of exploitation. dont confuse this as a perpetuation of Labour Devaluation, but as a calling for ppl out there to hold up a critical magnifying glass on the continued exploitation of the Proletarian. if you really gaf at all abt the working class dont continue to show admiration for the toxic environment that the bourgeois class has bestowed and imposed upon uncountable millions across the globe.

""Labor is prior to, and independent of, capital. Capital is only the fruit of labor, and could never have existed if Labor had not first existed. Labor is superior to capital, and deserves much the higher consideration."" ~ Abraham Lincoln","",""
"265355459454566402","shiawase6946","2025-05-22T14:31:56.7500000+00:00","Not sure about somewhere else, but here I see problem why people kinda ""Meh"" on Marxism is because, rather than trying to implement it to dissect a phenomenon, debates revolves around which understanding (i.e. theory) of Marxism is true and not true.

My take is: I concur with Derrida that with the death of communism, we should have the spectre of Marx ""haunting"" us. 

Debate around Marxism should not revolve around which Marxism is true - i.e. debate on theory for the sake of theory. Marx is dead; do not dig his grave.

Marxism should live as a means to criticize phenomena; exposing what is happening around us. We should use Marxism as a mere ""tool"" to ask ""is it injustice?"", ""does it help people or benefit few?"", ""How does it works to help people or how does it benefit few instead?"" It should live on as ghost that ""haunts"" our communities.","",""
"766280136332410920","ekast237707","2025-05-22T15:56:04.8940000+00:00","Yes capital only pursue has lead to individual and lonely community","",""
"766280136332410920","ekast237707","2025-05-22T15:56:58.0260000+00:00","Like happened in japan, Korea with feminism, Amerika with  Billionare and bumkins","",""
"766280136332410920","ekast237707","2025-05-22T15:58:24.7150000+00:00","But Labor are only hard work in real produce like crops only or can be creative, secondary produk?","",""
"766280136332410920","ekast237707","2025-05-22T15:59:07.0190000+00:00","And fast fatigue society","",""
"766280136332410920","ekast237707","2025-05-22T15:59:56.2920000+00:00","Gotong royong, in good way maybe one of our answer","",""
