AuthorID,Author,Date,Content,Attachments,Reactions
"412926738298044431","jaxxxxxxyyyy","2025-03-28T14:05:15.8000000+00:00","There are multiple paths on starting your own political party here in Indonesia. And for those of you, including in this server who are interested or at least curious of how political party can be formed in Indonesia. Here's some guide for you:

Basic Guide:
1. Have at least 50 members of Indonesian citizens, aged at least 21 years old with notarial deed
2. Must have at least 30% of your members being women.
3. Notarial deed must contain the following: (AD) Anggaran Dasar, ART (Anggaran Rumah Tangga), along with the management of the political party at a central level.
4. Anggaran Dasar (AD) talks about the basic things of your party: Party's Name Vision & Mission, Principles, Characteristics, Image or Symbol, Objective & Function, Place of Residence (such as HQ or offices), Management, Decision Making System, Political Education,  and Financing.
5. Anggaran Rumah Tangga (ART) refers to the further rules and policies inside your own party. The membership' rights and duty, organizational structure, and other operational rules that are important to include outside of AD.
6. The management of the party must have what we call as ""Kepengurusan"" in politics (which refer to the structure of the organization). This include DPP (Dewan Pimpinan Pusat), DPW (Dewan Pimpinan Wilayah) (at least 60% of it), DPD (Dewan Pimpinan Daerah) (at least 50% of it), and DPC (Dewan Pimpinan Cabang) (at least 25% of it). You can also assigned youth organizations or other ormas under your wing.

Quick Note: You can also make political party out of Ormas (Organisasi Masyarakat). Parties such as Nasdem, PKS, PAN and PBB originated from ormas or at least an ormas figure.","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-28T14:23:30.8440000+00:00","Advanced Guide In Party's Structure & Management:

**DPP (Dewan Pimpinan Pusat):**
The main or central level of the party itself. Imagine a government but with its internal cabinet who make the major decision making. That is called DPP for a political party. They are the main guys who resided in the HQ or main offices of the party. DPP consisted of the following for its structure:
- Chairperson/President (Ketua Umum)
- Secretary-General (Sekjen)
- Treasurer (Bendara)
- Advisory Council (Dewan Pembina)
- Ethics & Disciplinary Council (Komite Etika & Disiplin)

**DPW (Dewan Pimpinan Wilayah):**
The ones that operated in provincial level. Usually have to cover at least 60% of the management. They ensure that the policy from the national level of the party can be implemented in provincial level. They can be described to be a bridge between DPP to reach DPD. Thus every DPD is under their duty to be oversee. DPW can be consisted of:
- Regional Chairperson
- Secretary
- Treasurer
- Legislative Coordination Team (Basically works with elected officials from the party in the provincial legislative body)
Note: DPW is also responsible for preparing strategies for governorship election.

**DPD (Dewan Pimpinan Daerah):**
The ones that operated in city/district level. They have to cover 50% of the management according to the party's requirement. Under the DPW, they have to implement the policy that had been established by provincial level. Their structure consisted of:
- Chairperson of DPD level
- Secretary
- Treasurer 
- Local Election Strategy Team (Prepares for the preparation and strategy for the election campaign of a candidate for mayorship)

**DPC (Dewan Pimpinan Cabang):**
The ones that operated and represent the party at a district level. Compared to other structures above, they are directly engaging with the grassroots community while responsible for local events and mobilizing voters. Consisted of:
- Chairperson of DPC
- Secretary
- Treasurer
- Field Coordinator","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-28T14:25:53.5450000+00:00","Note: there are lower levels of ""Kepengurusan"" in party. For example in PKB, they even included Dewan Pengurus Ranting (which manage the representation of the party at village level) and  Dewan Pengurus Anak Ranting (which manage the representation of the party at hamlet level a.k.a dusun atau pemukiman).","","👍 (1)"
"731408010232070165","darkzet","2025-03-28T14:29:55.9660000+00:00","you probably made this up /j","","🤣 (1)"
"412926738298044431","jaxxxxxxyyyy","2025-03-28T14:30:49.9540000+00:00","lmao, but in all seriousness, it took me quite a good research along with some practices to start pointing out the structures while looking at other real parties","","🙏 (1)"
"731408010232070165","darkzet","2025-03-28T14:35:12.4140000+00:00","which political parties do you think are still good and worth voting for?

I think about PKS, since they're are a muslim, idealistic and consistent party. (at least during Jokowi's 10 years in office)","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-28T14:38:36.5870000+00:00","PKS itself has been quite declining in my opinion when it comes to having better candidate figures. But it is true that the best political parties that is still good or worth voting for tend to be the smaller and new parties. Simply put, they are still new, haven't negotiated in dark deals nor holding official positions before for most of the time. Thus if the people are willing to bet themselves into something new, small parties such as Partai Garuda, Partai Nusantara, Partai Buruh, and other parties are worth voting for.","",""
"731408010232070165","darkzet","2025-03-28T14:42:02.9120000+00:00","partai yang baru lama kelamaan akan menjadi lama. 
lebih baik bebenah partai yang sudah ada, daripada membuat partai baru. 

sama seperti sepatu baru, kalau sepatu kotor, jangan beli yang baru, tapi di cuci. 

-Pandji Pragiwaksono","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-28T14:44:02.0930000+00:00","Well again, that is what we call as preference. If the old shoes are too old to be cleaned nor fix, it is time for the newer shoes to be wear. Thus it depends on what people wanted in the first place? You want a new change and new party? Choose the new party then","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-28T14:44:55.3950000+00:00","This is what we call democracy","",""
