AuthorID,Author,Date,Content,Attachments,Reactions
"463376189147447296","aoin7891","2025-11-04T11:57:32.1210000+00:00","Do any of you guys facing hardware compatibility with the rise of capitalism greed? With the death of windows 10 approaching, do any of you guys migrate to Linux? Or do you guys have dc server that discuss about Linux? Or shall this forum be the one?

Please let me know as i have analysis paralysis choosing a distro for my potato laptop","","👍 (1)"
"365917907861110796","floatingtales","2025-11-04T12:47:10.3070000+00:00","It's hard but I'm planning to move a lot of my work onto a Linux distro. Looking at Mint/Ubuntu as of now because it just works out of the box","",""
"365917907861110796","floatingtales","2025-11-04T12:47:32.6840000+00:00","I do have a raspberry pi that's running Linux tho","",""
"463376189147447296","aoin7891","2025-11-04T12:54:06.8580000+00:00","I searched here and there about spesific distro for content creation works as that's my main job. I also try to search lightweight linux distro for celeron computer and i3 gen 1 computer, and found Zorin OS Lite as recommendation from chat gpt","",""
"463376189147447296","aoin7891","2025-11-04T12:55:09.4320000+00:00","Nevertheless, building future proof hardware seems like out of reach if we stay in the flow of major brand in computer, therefore i was thinking to migrate to Linux as well","",""
"365917907861110796","floatingtales","2025-11-04T13:06:17.6760000+00:00","Ugh content creation is a beast and a half to do on subpar computers.","",""
"365917907861110796","floatingtales","2025-11-04T13:07:14.0320000+00:00","Y'know I'd actually say go to distros that are either officially supported or have a big community so that it's more foolproof","",""
"365917907861110796","floatingtales","2025-11-04T13:07:59.2500000+00:00","Ubuntu is clowned a lot for being ""heavier"" but tbh it's very trusted and has a big community","",""
"365917907861110796","floatingtales","2025-11-04T13:08:02.7180000+00:00","So does Mint","",""
"365917907861110796","floatingtales","2025-11-04T13:08:13.3470000+00:00","and Arch","",""
"463376189147447296","aoin7891","2025-11-04T13:54:44.2830000+00:00","Never tried installing this big 3. I once tried Nobara distro on my Celeron, it supposed to be children from Fedora. It ran slow on it, so here I am again , try to find something that works","",""
"463376189147447296","aoin7891","2025-11-04T13:54:57.8140000+00:00","Perhaps going to try dual boot","",""
"857530483508510750","kucingmicin","2025-11-04T14:30:38.5280000+00:00","once i have the free time and money i will defs look into moving operating systems","",""
"857530483508510750","kucingmicin","2025-11-04T14:30:55.0530000+00:00","i learnt ab i briefly in my bach but i honestly dont really remember much","",""
"857530483508510750","kucingmicin","2025-11-04T14:31:12.7310000+00:00","i realllyyy wanna make my own servers and supercomputer like pewdiepie","",""
"847083838105714699","monke_eat_banana","2025-11-04T15:13:29.3160000+00:00","Just use mint and enjoy your life. Don't fall into the arch/gentoo circle unless you're willing to spend an obscene amount of time tinkering with your machine","","👍 (1)"
"463376189147447296","aoin7891","2025-11-04T15:43:34.5780000+00:00","THIS. Even though Pewdiepie retired unofficially, his words toward YouTube still echoing in Public IMO. Do you guys also see how much the trends in tech nowadays are migrating your os to Linux distro or is it just me?","",""
"463376189147447296","aoin7891","2025-11-04T15:44:22.5650000+00:00","Yeahh, I can understand why. But looking at how people installing Linux seems like it's really easy to do","",""
"857530483508510750","kucingmicin","2025-11-04T15:47:17.5730000+00:00","ive always been in the anti mainstream tech side of the internet tbh but its defs becoming more and more common","",""
"847083838105714699","monke_eat_banana","2025-11-04T15:48:55.0150000+00:00","What makes you want to migrate to linux? Just catching the hype train or do you have other reasons?
What software do you typically use daily? Its gonna be difficult if you're used to photoshop, ms office, premiere pro, etc (apps which are only available in windows)","","👍 (1)"
"463376189147447296","aoin7891","2025-11-04T15:51:34.2870000+00:00","I already migrate to Linux with Nobara on my Celeron aio PC last year. Even tho it's still running, it was kinda laggy. So I turned off the PC and survived on a laptop that owned by my community.","",""
"463376189147447296","aoin7891","2025-11-04T15:52:43.4490000+00:00","But since I discovered there lightweight distro such as arch and other things, I've been considering reviving my old tech as I didn't have any money to buy a new laptop in the current market","",""
"463376189147447296","aoin7891","2025-11-04T15:53:47.4130000+00:00","For editing video, I mainly used Davinci Resolve and photo manipulation and vector I used Krita, which is available in Linux","",""
"463376189147447296","aoin7891","2025-11-04T15:54:53.6900000+00:00","Idk if this is also counted on riding the wave, but Agung code learning channel seems like one of ways as well","",""
"365917907861110796","floatingtales","2025-11-04T15:55:53.7330000+00:00","yeah if you want to code, linux is good, no wrangling WSL to do shit and be a resource hog","",""
"365917907861110796","floatingtales","2025-11-04T15:56:03.3730000+00:00","me, I currently wrangle WSL","",""
"365917907861110796","floatingtales","2025-11-04T15:56:12.4610000+00:00","but I can't leave windows because steam games","",""
"847083838105714699","monke_eat_banana","2025-11-04T15:56:51.6920000+00:00","Welp.. If you want to try arch here's a video that focuses more on the practical side of things https://www.youtube.com/watch?v=oeDbo-HRaZo

I don't really recommend arch tho. The learning curve is quite steep and I just want a machine that werks","","⭐ (3)"
"463376189147447296","aoin7891","2025-11-04T15:59:29.9630000+00:00","I feel guilty when I just knew open source thing at the age of 22. I mean, if my TIK teacher told me about this in junior high, perhaps I would've been geek tech long time ago","",""
"365917907861110796","floatingtales","2025-11-04T15:59:33.1130000+00:00","^ seconded.","",""
"365917907861110796","floatingtales","2025-11-04T15:59:42.1720000+00:00","Arch is not for the beginner","",""
"463376189147447296","aoin7891","2025-11-04T16:00:12.4620000+00:00","Also, there's no feeling of doing sins when you crack an app","",""
"365917907861110796","floatingtales","2025-11-04T16:00:37.3850000+00:00","nah, some companies I crack with no sin attached","",""
"365917907861110796","floatingtales","2025-11-04T16:01:08.7620000+00:00","they're very predatory. and to me, it's always ok to crack some companies' softwares","",""
"365917907861110796","floatingtales","2025-11-04T16:02:15.2760000+00:00","Like y'know Pewdie migrated to Arch because Adobe is being an ass and slapped him with an unsubscription fee. This kind of predatory business practices shouldn't be supported","",""
"463376189147447296","aoin7891","2025-11-04T16:03:24.9710000+00:00","Yeah, I think we all agree cracking adobe is morally correct","",""
"463376189147447296","aoin7891","2025-11-04T16:04:00.4990000+00:00","What do you guys use btw?","",""
"847083838105714699","monke_eat_banana","2025-11-04T16:06:38.4020000+00:00","I am a basic bitch","https://cdn.discordapp.com/attachments/1435236521459318976/1435299210357506108/image.png?ex=69968c4e&is=69953ace&hm=276634f7791b28f33ab09e3d8afb2459711c3189afd082c709cc689ac811f3fe&",""
"365917907861110796","floatingtales","2025-11-04T16:07:02.6510000+00:00","hey ubuntuuu","",""
"365917907861110796","floatingtales","2025-11-04T16:07:15.2750000+00:00","yeah me too, Ubuntu and Raspberry Pi OS","",""
"365917907861110796","floatingtales","2025-11-04T16:08:16.1570000+00:00","Raspberry PI OS because I have Raspberry Pi, lmao","",""
"463376189147447296","aoin7891","2025-11-04T16:13:14.1810000+00:00","I5 gen 6 is not bad","",""
"365917907861110796","floatingtales","2025-11-04T16:14:20.5210000+00:00","I mean, you do have an i3 gen 1 computer, and I don't believe the newer distros are suitable for it","",""
"365917907861110796","floatingtales","2025-11-04T16:14:53.5040000+00:00","so probably you're looking at a command line only linux distro, with minimal gui","",""
"365917907861110796","floatingtales","2025-11-04T16:15:03.3570000+00:00","but you work in content creation, so that's hard","",""
"463376189147447296","aoin7891","2025-11-04T16:16:45.4770000+00:00","Yeah...
Even after calculation, the best bet to do is buy Ryzen 5 gen 2 or I5 gen 6-7 to make things work rather than reviving this old hardware","",""
"365917907861110796","floatingtales","2025-11-04T16:18:45.3370000+00:00","can vouch that i5 gen 6-7 is more than decent enough for a lot of linux distros","",""
"463376189147447296","aoin7891","2025-11-04T16:20:37.9940000+00:00","Alrighty","",""
"463376189147447296","aoin7891","2025-11-04T16:21:39.9530000+00:00","I'm going to be on AMD side tho, if we're talking about PC building. Seems like it's more stable to do anything with Ryzen than Intel with mandatory Windows installation","",""
"365917907861110796","floatingtales","2025-11-04T16:24:46.6890000+00:00","oh coolio! You're doing a new build? I love making PCs","",""
"463376189147447296","aoin7891","2025-11-04T16:54:47.1320000+00:00","I feel like it will be a long way to see this pc come to alive. Only time could tell 🥹","",""
"365917907861110796","floatingtales","2025-11-04T16:58:11.0330000+00:00","first time building pc?","",""
"1064369916351889448","fellowmen","2025-11-05T05:56:43.0210000+00:00","be patience","",""
"1064369916351889448","fellowmen","2025-11-05T05:57:08.6730000+00:00","Linux Arch, with duckduckgo as search engine is the way to go off the grid","",""
"254261633252196353","chrysal","2025-11-05T07:28:38.5530000+00:00","My school used to distribute ubuntu cause they legit dont wanna pay microsoft","",""
"254261633252196353","chrysal","2025-11-05T07:29:48.6580000+00:00","They even forced us to learn GIMP (alternative for adobe) and use kingsoft office cause it’s free","","wpointing (2)"
"365917907861110796","floatingtales","2025-11-05T07:32:49.4620000+00:00","Kingsoft office is wild. Lmao. You got libre right there","","😭 (1)"
"1064369916351889448","fellowmen","2025-11-05T08:39:56.8930000+00:00","Libre ma man","",""
"265355459454566402","shiawase6946","2025-11-05T11:19:13.4430000+00:00","Seems like we would have better Google Suite with Gemini being one of the leading LLMs","",""
"254261633252196353","chrysal","2025-11-05T11:19:32.2790000+00:00","And shit, all they teach is useless for work","",""
"254261633252196353","chrysal","2025-11-05T11:19:37.7940000+00:00","This is very true","",""
"254261633252196353","chrysal","2025-11-05T11:19:48.1190000+00:00","I started to use google suite much more than office","",""
"265355459454566402","shiawase6946","2025-11-05T11:19:54.5300000+00:00","By the way you guys have WSL and even Windows Subsystem for Android (killed on March 2025)","",""
"254261633252196353","chrysal","2025-11-05T11:20:16.6080000+00:00","The ability to ‘importrange’ is just too OP","",""
"265355459454566402","shiawase6946","2025-11-05T11:20:17.8630000+00:00","Yep. As long as you trust google with your data let it be lah :smile:","",""
"254261633252196353","chrysal","2025-11-05T11:20:32.5020000+00:00","Well, we use the corporate one, all good:pepeH:","",""
"254261633252196353","chrysal","2025-11-05T11:20:55.3620000+00:00","They pay huge money to migrate fully to google workspace, including gemini pro and everything","",""
"265355459454566402","shiawase6946","2025-11-05T11:21:01.2960000+00:00","It is very good compared to excel lol","",""
"265355459454566402","shiawase6946","2025-11-05T11:21:12.5970000+00:00","Holyy this is amazing man","",""
"254261633252196353","chrysal","2025-11-05T11:21:22.2530000+00:00","I mean googlesheet yes, at least, for small dataset","",""
"254261633252196353","chrysal","2025-11-05T11:22:06.3020000+00:00","Yeah this is why i initially bought macbook, cause google workspace is so much better on ARM","",""
"265355459454566402","shiawase6946","2025-11-05T11:22:33.0800000+00:00","Whoa this is new.","",""
"254261633252196353","chrysal","2025-11-05T11:23:10.4940000+00:00","Yeah. It’s less bug compared to windows","",""
"254261633252196353","chrysal","2025-11-05T11:23:36.0360000+00:00","There’s no weird resource spike like on intel/amd","",""
"265355459454566402","shiawase6946","2025-11-05T11:24:54.1650000+00:00","I need to look into this :debating:","",""
"254261633252196353","chrysal","2025-11-05T11:26:22.3980000+00:00","But yeah, let me update you back when i build a new pc/buy a new windows laptop. The current comparison is not reliable as i used 2019 i7 laptop","",""
"265355459454566402","shiawase6946","2025-11-05T11:26:39.3260000+00:00","Okay man :pray:","",""
"365917907861110796","floatingtales","2025-11-05T11:28:15.4800000+00:00","Me I use wsl","","crythumbsup (1)"
"365917907861110796","floatingtales","2025-11-05T11:29:15.9640000+00:00","Wrangling WSL is shitty sometimes tho I hate em","",""
"265355459454566402","shiawase6946","2025-11-05T11:32:49.6610000+00:00","I use WSL because it has more flexibility and simplicity in command line compared to powershell. 

And it is kinda required in order to use Docker in Windows.","",""
"365917907861110796","floatingtales","2025-11-08T15:12:36.5280000+00:00","Oh defo WSL is good for this but y'know, sometimes I feel like bruh, just code in Linux and it saves a lot of time","",""
"365917907861110796","floatingtales","2025-11-08T15:13:19.4660000+00:00","WSL is really poor in memory management, they will use whatever that you have dedicated to it, eating RAM like nobody's business","",""
"265355459454566402","shiawase6946","2025-11-08T17:28:24.6250000+00:00","Yea it is. Guess Windows getting worse on RAM nowadays on generally","",""
"254261633252196353","chrysal","2025-11-12T15:55:40.2580000+00:00","Update: The macbook still feels slightly better to the newer windows laptop, but now it’s 16gb macbook vs 32gb ram windows","",""
"265355459454566402","shiawase6946","2025-11-12T16:24:48.9430000+00:00","Whoa that is interesting considering the RAM difference is twice bigger for windows . They are now very bloated","",""
"254261633252196353","chrysal","2025-11-12T16:27:17.8420000+00:00","Yeah. But upgrading macbook higher than 16gb ram doesnt make sense either","",""
"254261633252196353","chrysal","2025-11-12T16:27:26.3680000+00:00","Price wise it's quite similar","",""
"265355459454566402","shiawase6946","2025-11-13T02:31:36.3550000+00:00","Buy iMac deh :smile:","",""
"365917907861110796","floatingtales","2025-11-13T03:22:25.4940000+00:00","beli apple computers is also saying skill issue ga bisa pake linux :smile:","",""
"365917907861110796","floatingtales","2025-11-13T03:22:41.3590000+00:00","jk i need people to buy apple supaya stock value naik","",""
"365917907861110796","floatingtales","2025-11-13T03:24:04.0830000+00:00","https://tenor.com/view/stonks-meme-gif-16107418","",""
"265355459454566402","shiawase6946","2025-11-13T03:24:36.2300000+00:00","Sama2 Unix la :smile:","",""
