AuthorID,Author,Date,Content,Attachments,Reactions
"747304165696471081","_jonathan3","2025-12-15T10:26:38.3460000+00:00",":pray:  iZIN","",""
"747304165696471081","_jonathan3","2025-12-15T10:33:41.9810000+00:00","ive recently watch a brother and 7 siblings by yandy laurens, produced by produced by Manoj K. Samtani, Deepak G. Samtani, Lavesh Samtani, Suryana Paramita. the movie is very good compared some movies ive watched about something realistic. i will rate the movie about 8.8/10. its not a great movie but id call something very good on how they make Depth in their movie to tell a story for a family in this day and age. esp with economics thats not sufficient. yet the ending is unexpected esp for a movie. some movie will have some not logical like ending in which sometimes i question,  after watching this as out of curosity i do think its not a bad way of telling someone story out there how they're experiencing. other then that in terms of story writing and pacing its quite very good honestly. for compositing i like it very much so is in color grading terms, i might re watch to give another comments on this movie but thats it for now","",""
"747304165696471081","_jonathan3","2025-12-15T10:35:53.7680000+00:00","feel free on giving your guys opinion about this movie especially","",""
"747304165696471081","_jonathan3","2025-12-15T10:35:57.5100000+00:00",":wpointing:","",""
"458504213203255324",".magurotuna","2025-12-15T10:59:28.3890000+00:00","jon have you watched abadi nan jaya","",""
"747304165696471081","_jonathan3","2025-12-15T11:00:28.6970000+00:00","not yet","",""
"747304165696471081","_jonathan3","2025-12-15T11:00:31.4950000+00:00","is it good","",""
"747304165696471081","_jonathan3","2025-12-15T11:00:41.7670000+00:00","please do tell me about the movie","",""
"458504213203255324",".magurotuna","2025-12-15T11:03:20.9830000+00:00","menurutku sih bagus ya, i watched it and thought it was pretty good","",""
"747304165696471081","_jonathan3","2025-12-15T11:03:30.5350000+00:00","whats the synopsis","",""
"458504213203255324",".magurotuna","2025-12-15T11:03:58.8460000+00:00","kata netizen ga realistis karena mereka lama banget sadarnya kalo ada zombie tapi menurutku sih wajar ya, karena settingnya di desa pelosok gitu","",""
"458504213203255324",".magurotuna","2025-12-15T11:04:04.3700000+00:00","wajarlah kalau mereka lama sadarnya","",""
"458504213203255324",".magurotuna","2025-12-15T11:04:37.8910000+00:00","guy turns into zombie because of jamu yang belum bpom and infects a bunch of people","",""
"458504213203255324",".magurotuna","2025-12-15T11:04:56.1910000+00:00","tbh the ending was kind of sad but im not gonna spoil","",""
"747304165696471081","_jonathan3","2025-12-15T11:04:56.5950000+00:00","okay thats intresting","",""
"458504213203255324",".magurotuna","2025-12-15T11:05:10.9750000+00:00","di akhir juga kayak agak nggantung gitu wkwkkw","",""
"747304165696471081","_jonathan3","2025-12-15T11:05:25.6730000+00:00","i might watch it with my friend","",""
"458504213203255324",".magurotuna","2025-12-15T11:05:37.0920000+00:00","lots of blood and gore that i will say","",""
"747304165696471081","_jonathan3","2025-12-15T11:05:41.0660000+00:00","over all do you have personal rating 0/10 for the movie","",""
"458504213203255324",".magurotuna","2025-12-15T11:05:53.2510000+00:00","hmm 8.5/10 lah","",""
"458504213203255324",".magurotuna","2025-12-15T11:06:10.6080000+00:00","not the greatest movie ive seen but very solid for an indonesian produced movie","",""
"747304165696471081","_jonathan3","2025-12-15T11:06:30.6800000+00:00","skrng film2 indonesia is not bad as i think anymore","",""
"458504213203255324",".magurotuna","2025-12-15T11:06:31.0770000+00:00","my bf plans on applying to the postprod for the movie :wpointing:","","🔥 (1)"
"458504213203255324",".magurotuna","2025-12-15T11:06:40.8620000+00:00","bro have you SEEN shutter","",""
"458504213203255324",".magurotuna","2025-12-15T11:06:48.0940000+00:00","idk how that thing even lolos into the theaters","",""
"747304165696471081","_jonathan3","2025-12-15T11:06:52.8400000+00:00","tapi horror2 indonesia menurut ku erm yea","",""
"458504213203255324",".magurotuna","2025-12-15T11:06:56.7860000+00:00","i watched it without researching beforehand","",""
"458504213203255324",".magurotuna","2025-12-15T11:07:00.9740000+00:00","it was fucking terrible bro","",""
"458504213203255324",".magurotuna","2025-12-15T11:07:04.1790000+00:00","never watch shutter","",""
"747304165696471081","_jonathan3","2025-12-15T11:07:08.0910000+00:00","BAGUS GAA","",""
"458504213203255324",".magurotuna","2025-12-15T11:07:13.5910000+00:00","it lowered my standards by A LOT","",""
"747304165696471081","_jonathan3","2025-12-15T11:07:19.5260000+00:00","why though","",""
"747304165696471081","_jonathan3","2025-12-15T11:07:37.2260000+00:00","mind you aku bener2 nyari inspirasi jg dari film2","",""
"458504213203255324",".magurotuna","2025-12-15T11:07:51.5060000+00:00","alur ga jelas, plot ga jelas, adegan ga jelas, ga serem blas menurutku for a horror movie","","💀 (1)"
"458504213203255324",".magurotuna","2025-12-15T11:08:04.7350000+00:00","editing is mid, audio production is mid","",""
"747304165696471081","_jonathan3","2025-12-15T11:08:07.2720000+00:00","is it a indo movie?","",""
"458504213203255324",".magurotuna","2025-12-15T11:08:10.1180000+00:00","yup","",""
"747304165696471081","_jonathan3","2025-12-15T11:08:12.8610000+00:00","aduh","",""
"747304165696471081","_jonathan3","2025-12-15T11:08:15.2520000+00:00","ga kaget","",""
"458504213203255324",".magurotuna","2025-12-15T11:08:17.7970000+00:00","mind you its in theaters 😭","",""
"747304165696471081","_jonathan3","2025-12-15T11:08:19.2860000+00:00",":debating:","",""
"747304165696471081","_jonathan3","2025-12-15T11:08:24.0180000+00:00","what how?","",""
"458504213203255324",".magurotuna","2025-12-15T11:08:27.1920000+00:00","idk kobisa lolos sih","",""
"747304165696471081","_jonathan3","2025-12-15T11:08:35.3790000+00:00","shutter gitu namanya","",""
"458504213203255324",".magurotuna","2025-12-15T11:08:44.3440000+00:00","jadi itu kayak apa ya","",""
"458504213203255324",".magurotuna","2025-12-15T11:08:49.6990000+00:00","setauku itu ada film original nya","",""
"458504213203255324",".magurotuna","2025-12-15T11:08:52.5480000+00:00","dari mana gitu","",""
"458504213203255324",".magurotuna","2025-12-15T11:09:06.6000000+00:00","itu filmnya banyak di remake sama negara2 lain","",""
"747304165696471081","_jonathan3","2025-12-15T11:09:08.0440000+00:00","bro kamu denger film tentang pangku gitu ga","",""
"458504213203255324",".magurotuna","2025-12-15T11:09:15.3590000+00:00","the more well known version is the thai one","",""
"458504213203255324",".magurotuna","2025-12-15T11:09:19.3570000+00:00","i havent watched it though","",""
"747304165696471081","_jonathan3","2025-12-15T11:09:29.4630000+00:00","","https://cdn.discordapp.com/attachments/1450071456192004230/1450082332924055595/Z.png?ex=699646a9&is=6994f529&hm=17f4b69f736f72f04702ddaf0227c35a95c588fc89b2f9658e920c89498418b0&",""
"458504213203255324",".magurotuna","2025-12-15T11:09:29.8810000+00:00","not yet sih but ive heard of it","",""
"747304165696471081","_jonathan3","2025-12-15T11:09:40.9050000+00:00","ini poster filmnya","",""
"747304165696471081","_jonathan3","2025-12-15T11:09:49.3320000+00:00","dari poster filmnya menarik sama traillernya","",""
"747304165696471081","_jonathan3","2025-12-15T11:10:18.3280000+00:00","but aku belom bisa buaat banyak komentar buat sebelum nonton, tapi kata orang orang filmnya rada bagus tapi aneh jg","",""
