AuthorID,Author,Date,Content,Attachments,Reactions
"867743747563454464","eskrim","2025-04-26T15:16:50.9550000+00:00","WOI 1 JAM??? GILA 😭","",""
"867743747563454464","eskrim","2025-04-26T15:17:23.3720000+00:00","Y'all pls chat here","",""
"867743747563454464","eskrim","2025-04-26T15:17:31.2060000+00:00","1 jam dawg 😭😭","",""
"731408010232070165","darkzet","2025-04-26T15:20:47.0930000+00:00","we not gunna hit vro 💔","",""
"867743747563454464","eskrim","2025-04-26T15:21:16.1660000+00:00","😭🙏","",""
"825755560661876766","_shinda_hito_00","2025-04-26T15:23:16.5460000+00:00","Maaf ya, karena pertanyaan aneh gw","",""
"825755560661876766","_shinda_hito_00","2025-04-26T15:23:32.3060000+00:00","Iya... Gw salah... :pray:","",""
"825755560661876766","_shinda_hito_00","2025-04-26T15:23:44.3220000+00:00","Emang gak seharusnya nanya begitu","",""
"529549424301703196","its_yuru","2025-04-26T15:27:16.7710000+00:00","What the hell is happening","",""
"529549424301703196","its_yuru","2025-04-26T15:27:25.8440000+00:00","https://cdn.discordapp.com/attachments/1005684388081700915/1077107169129943120/image0-2-1.gif","",""
"766280136332410920","ekast237707","2025-04-26T15:27:30.0390000+00:00","Ada apa ya?","",""
"825755560661876766","_shinda_hito_00","2025-04-26T15:27:30.3790000+00:00","@Yuru-san check buzzers post on IG","",""
"825755560661876766","_shinda_hito_00","2025-04-26T15:27:55.9830000+00:00","Iya maaf... Iya... Bodoh juga ya tanya itu di server publik","",""
"825755560661876766","_shinda_hito_00","2025-04-26T15:27:58.0950000+00:00","Iya","",""
"825755560661876766","_shinda_hito_00","2025-04-26T15:28:04.8770000+00:00",":sad: :pray:","",""
"529549424301703196","its_yuru","2025-04-26T15:28:50.0150000+00:00","Whgich one","",""
"825755560661876766","_shinda_hito_00","2025-04-26T15:29:07.9010000+00:00","https://www.instagram.com/p/DI6femmJpzC/?igsh=cnUzMzV4NmptaTdq","",""
"529549424301703196","its_yuru","2025-04-26T15:29:13.0900000+00:00","https://tenor.com/view/reactor-rbwr-reactor-explodes-gif-8455581345930100726","",""
"529549424301703196","its_yuru","2025-04-26T15:30:37.7350000+00:00","GOONER NUKED THE CHAT..","",""
"529549424301703196","its_yuru","2025-04-26T15:30:50.9140000+00:00","just like Dytalov","",""
