AuthorID,Author,Date,Content,Attachments,Reactions
"879950595149156383","iaminsideboi","2025-03-22T04:18:55.4530000+00:00","Chat how would this work
Every province is headed by a raja, bupati, adipati or ketua adat, but DPRD still exist. Negara federasi meaning more autonomi daerah (would this solve secessionist problem?) On a national level maybe there would still be a prwsident?","",""
"1268231520724713594","felix_white_law_12319","2025-03-22T13:57:43.9110000+00:00","Yo","",""
"1268231520724713594","felix_white_law_12319","2025-03-22T13:57:50.1900000+00:00","Malaysia did this before","",""
"1268231520724713594","felix_white_law_12319","2025-03-22T13:58:07.5410000+00:00","9/13 Malay states were controlled by monarchs","",""
"1268231520724713594","felix_white_law_12319","2025-03-22T13:58:56.9780000+00:00","In my opinion Some region like  Yogyakarta, Surakarta and East Sumatera should be led by monarchs","",""
"1268231520724713594","felix_white_law_12319","2025-03-22T14:00:22.5130000+00:00","While the rest is led by original governors and elected for 6 years","",""
"416462707760431114","mahakardus","2025-03-25T07:47:32.0810000+00:00","there should be an attempt to bring back traditional institutions as a counter balance to the state honestly","","👍 (1)"
"416462707760431114","mahakardus","2025-03-25T07:47:39.8760000+00:00","and currently is the right time","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-25T07:50:01.8820000+00:00","I already make a forum about short essays about each nobility candidates for our King","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-25T07:50:10.9470000+00:00","From Pakubuwana, Mangkunegara, etc","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-25T07:50:26.4830000+00:00","Some people can check it if they want #deleted-channel","",""
"416462707760431114","mahakardus","2025-03-25T07:51:28.1060000+00:00","but it requires the fundamental recognition that indonesia is not a one nation, but made up of nations. if not, the existence of such institutions will be seen as redundant and they keep imposing the usual democratic institutions as the only legitimate for everyone","",""
"412926738298044431","jaxxxxxxyyyy","2025-03-25T07:54:38.8540000+00:00","True, that is important","","👍 (1)"
"235101362956795904","mazeltof404","2025-03-25T09:33:17.4350000+00:00","The way I see it, copas US and Malaysia. Then we come up with our own federalism","","👍 (1)"
"879950595149156383","iaminsideboi","2025-03-25T09:52:25.4820000+00:00","One of the main things that I thing this country sorely needs is an institution that protect adat rights","",""
"235101362956795904","mazeltof404","2025-03-25T09:53:31.7780000+00:00","Recognizing adat law under the current unitary republic system (to be a national or regional positive law) would be a pain in the ass","",""
"235101362956795904","mazeltof404","2025-03-25T09:53:50.8010000+00:00","Would fit well tho under federalism","",""
"879950595149156383","iaminsideboi","2025-03-25T09:54:34.3790000+00:00","Wait sorry not adat I mean indigenous people rights","",""
"1268231520724713594","felix_white_law_12319","2025-03-25T13:21:39.0900000+00:00","Good suggestion","",""
"1268231520724713594","felix_white_law_12319","2025-03-25T13:21:58.1450000+00:00","Probably we would create our own version of Article 153","",""
"416462707760431114","mahakardus","2025-03-26T10:05:37.8610000+00:00","do anybody here have ever look into the self-government system during the Dutch era? Should they be the appropiate model of decentralization and autonomy based on particular local governement?","",""
"1268231520724713594","felix_white_law_12319","2025-03-26T11:27:12.8280000+00:00","Self government while Dutch East Indies its not the same as average British dominions lmao","",""
"335501529064800265","gomakudon","2025-04-12T19:25:13.2720000+00:00","Holy Roman Empire (tropical version)","",""
