AuthorID,Author,Date,Content,Attachments,Reactions
"463376189147447296","aoin7891","2025-09-07T08:51:54.6860000+00:00","Maybe this is where I can't agree with him. How about u guys? Btw saya tim Tsugumi, Tomboy 4 life","https://cdn.discordapp.com/attachments/1414171311466352690/1414171312347287614/Screenshot_20250907-164846.jpg?ex=6996266a&is=6994d4ea&hm=b69b36a36a0f5153ebef873a16ec46969a1b67fce5c465df68990622668c96a8&","😭 (2)"
"691626449743904810","lotso125","2025-09-07T10:38:53.6470000+00:00","bro is wong kalahan fr","",""
"691626449743904810","lotso125","2025-09-07T10:39:25.2090000+00:00","thats probably why i can sympathize with him","",""
"463376189147447296","aoin7891","2025-09-07T13:36:16.0800000+00:00","Idk why my 14 yo save this meme","https://cdn.discordapp.com/attachments/1414171311466352690/1414242871892246558/FB_IMG_1467865091777.jpg?ex=69966910&is=69951790&hm=6a5f0d421fc11ae7944b443eafff5854e82c4f5250656c08b85dc2888bcafb84&","😂 (2)"
"691626449743904810","lotso125","2025-09-07T13:37:39.8540000+00:00","aw hell nah 💀","",""
"463376189147447296","aoin7891","2025-09-07T13:37:42.6800000+00:00","[Spoiler]
Yeah, to be fair, Onodera is the one true girl who made promises with Raku. But in the end, time spend together can win anything","",""
"691626449743904810","lotso125","2025-09-07T13:39:15.4300000+00:00","for me, every time the mc face this kind of trope, most of the time ill lean towards the childhood friend lmao","",""
"580702177006190595","ashiapmanman","2025-09-07T14:26:20.6590000+00:00","wajib distar ini","",""
"294615066534477824","everydayandy.","2025-09-07T16:33:27.8180000+00:00","Tim onodera react love


Tim Chitoge react kingkong","","❤️ (5),🐒 (1)"
"210253922953199616","robertdane","2025-09-08T01:31:04.9090000+00:00","Onodera memang best girl

chitoge itu kalau ga dibantu author ga bakal menang","",""
