AuthorID,Author,Date,Content,Attachments,Reactions
"412926738298044431","jaxxxxxxyyyy","2026-01-25T12:02:09.4280000+00:00","Gonna create this channel to focus on thesis starting from now on in order to prepare for third semester on making the thesis. Possibly writing it early can be a good idea.","","👍 (3)"
"575141979873083393","sukadeltoro","2026-01-25T12:13:53.2750000+00:00","Yaudah tinggal forward tadi","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-25T12:14:54.9360000+00:00","Iya, I will just put forward the list here","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-25T12:15:06.8480000+00:00","","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-25T12:15:19.0520000+00:00","","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-25T12:15:35.9910000+00:00","","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-25T12:30:35.8950000+00:00","Oya, almost forgot to ask this. 

@RawonJello Sangat Benar nonproliferation review pas saya cek, Beyond Nuclear Deterrence have like issue 1 to 6. Which ones are very crucial from these issues?","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-26T09:26:50.0470000+00:00","","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-26T09:29:27.0250000+00:00","","",""
"736550209068335135",".ayab","2026-01-29T15:46:54.4070000+00:00","Jax, what is ylur thesis about exactly?","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-29T15:47:38.4060000+00:00","Still exploring about Post INF environment","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-29T15:47:48.0140000+00:00","And possibilities about perudalan","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-29T15:47:50.4620000+00:00",":smile:","",""
"437151269212127240","waltz817","2026-01-29T17:07:58.7390000+00:00","Yo dude, are you also writing a thesis using deterrence theory?","",""
"575141979873083393","sukadeltoro","2026-01-29T17:08:22.0960000+00:00","Coba bahas Chinese threat perception and arms building post-INF lol","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-29T17:47:49.2480000+00:00","I do read them for references, yes","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-29T17:47:56.1960000+00:00","Ohhhh okok","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-29T17:48:21.4410000+00:00","Nanti saya coba bikin intelligence reportnya","",""
"857530483508510750","kucingmicin","2026-01-30T02:31:00.7930000+00:00","ru in masters or phd i forgor","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-30T02:31:54.6210000+00:00","Master","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-30T11:17:38.2350000+00:00","Changed the channel name: Jax Thesis Idea & Intelligence Report Practices","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-30T11:17:55.1750000+00:00","Gonna make this a practice for how to write intelligence report too","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-30T11:23:18.0910000+00:00","","https://cdn.discordapp.com/attachments/1464953489548644424/1466755649059815485/Screenshot_20260127_180048_PDF_Reader.jpg?ex=699649e5&is=6994f865&hm=79dda71ecd4cc7fb2ffb52083852df149ec20cb852346092c97426508ad4e13a&,https://cdn.discordapp.com/attachments/1464953489548644424/1466755649613467800/Screenshot_20260127_180228_PDF_Reader.jpg?ex=699649e5&is=6994f865&hm=421fe59fbedee14fd00f792439aaa6f8c1a71ceeb839d000d03398e482eafb7a&,https://cdn.discordapp.com/attachments/1464953489548644424/1466755650137882765/Screenshot_20260127_180648_PDF_Reader.jpg?ex=699649e5&is=6994f865&hm=b27b339cb4c00f39bbd1a781907d49859d77b31f875ce9cdd4a82d83df56b873&",""
"412926738298044431","jaxxxxxxyyyy","2026-01-30T11:23:34.8600000+00:00","Rules and guide to remember about being an intelligence officer","",""
"575141979873083393","sukadeltoro","2026-01-30T13:21:39.3100000+00:00","Primarily analyst, yes","",""
"575141979873083393","sukadeltoro","2026-01-30T13:22:11.9810000+00:00","Case/operations officer is rather quite different in some aspects","",""
"412926738298044431","jaxxxxxxyyyy","2026-01-30T13:31:15.8060000+00:00","I see I see, noted that","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-02T14:36:23.7360000+00:00","Otw belajar filosofi dalam seni memahami:__: :debating:","https://cdn.discordapp.com/attachments/1464953489548644424/1467891407804170310/Screenshot_20260202_194725_Drive.jpg?ex=69967727&is=699525a7&hm=fe69f538b04bb67a9f7ede43b447c2c37207d594d4946710664d880574f44338&",""
"575141979873083393","sukadeltoro","2026-02-02T23:16:43.4950000+00:00","Cara memahami tulisan wkwkwk","",""
"575141979873083393","sukadeltoro","2026-02-02T23:17:54.6270000+00:00","Selamat menikmati Transfakutalitas dari Heidegger","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-03T01:48:28.6110000+00:00","Oh boy, it seems the dosen wants us to start from zero to learn on the basics first","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-03T10:17:05.7990000+00:00","More readings about philosophies:debating: :debating: :debating: :debating:","https://cdn.discordapp.com/attachments/1464953489548644424/1468188540654321674/Screenshot_20260203_171555_WhatsApp.jpg?ex=69963a61&is=6994e8e1&hm=eca249ad268014872802f2a4744909a98bcb041e4707d45de0e2d084a35bba97&",""
"575141979873083393","sukadeltoro","2026-02-03T12:05:02.8210000+00:00","Eyyy Correlates of War","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-03T14:19:07.5480000+00:00","Wdyt about the book bro?","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-09T14:02:37.2800000+00:00","@Fellowmen","",""
"736550209068335135",".ayab","2026-02-09T14:02:49.0580000+00:00","Jax did you @ me?","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-09T14:03:32.8360000+00:00","yup","",""
"736550209068335135",".ayab","2026-02-09T14:03:56.8490000+00:00","Still need me or??","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-09T14:04:22.8120000+00:00","you can go ahead and see the report if you want:pray:","",""
"736550209068335135",".ayab","2026-02-09T14:09:00.6840000+00:00","Where?","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-09T14:10:56.3800000+00:00","you cannot see the docs?","",""
"736550209068335135",".ayab","2026-02-09T14:12:26.2060000+00:00","No","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-09T14:14:32.6290000+00:00","Hmmmm weird","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-09T14:14:36.1990000+00:00","I cannot post anything","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-09T14:14:46.0520000+00:00","I will just send you in dms","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-09T14:15:57.5280000+00:00","Oh yeah, I just saw how the pings got deleted too","",""
"1064369916351889448","fellowmen","2026-02-09T14:42:32.0500000+00:00","Thanks jax, i love to follow your thesis journey","",""
"265355459454566402","shiawase6946","2026-02-10T00:12:05.1890000+00:00","Whoa Hermeneutika Jerman","",""
"265355459454566402","shiawase6946","2026-02-10T00:13:23.3390000+00:00","Basic-nya ga sampe Semiology dan Saussure  kan :smile:","",""
"265355459454566402","shiawase6946","2026-02-10T00:24:21.9120000+00:00","Kalo iya, Intinya yang dibawa dari Saussure ke Modern Semiotics dan Hermeneutics itu pemisahan antara Langue vs Parole, Signified/Signifier; 

1) Language as a kind of ""superstructure""  (langue), vs
2) Language as it is used in ""speech""  - text, speech as in pidato, singing, etc  (parole). You can check Theory of Speech Act to explore in simpler way.","",""
"265355459454566402","shiawase6946","2026-02-10T00:30:00.2990000+00:00","Perkaranya itu Saussure sendiri bilang: Language is an arbitrary system of sign - Arbitrer, ga ada aturan baku. 

Contoh: Kenapa dalam Bahasa Indonesia kata untuk denominate hewan sapi itu pakai kata ""Sapi"" sedangkan English pakai kata ""Cow"" - Jawaban Saussure; ""Ya nda tau kog tanya saya - wong itu arbitrer""","","noted (1)"
"265355459454566402","shiawase6946","2026-02-10T00:44:46.7870000+00:00","Dengan kata lain: 

Apa yang mendasari kaya ""Sapi"" (Signifier) digunakan untuk menandakan hewan sapi (Siginifed), alih-alih ""Moo"" dan lainnya, diketok palu oleh Saussure sebagai arbitrer","",""
"265355459454566402","shiawase6946","2026-02-10T00:50:22.6460000+00:00","Kesimpulannya: 

Language is an arbitrary system of Signifier/Signified.

Lalu, yang diyakini oleh ke Hermeneutic dan Semiotika modern adalah bahwa pairing Signifier/Signified ini selalu hadir dalam segala bentuk Parole (text, pidato, news, videos, etc - segala sesuatu yang menggunakan bahasa)","","pray (1)"
"412926738298044431","jaxxxxxxyyyy","2026-02-10T08:15:56.7920000+00:00","Saussure masih belum dibawa sih, tapi Hermeneutic sudah diinfokan bakal ada","",""
"265355459454566402","shiawase6946","2026-02-10T09:22:19.4470000+00:00","Harusnya sih ga sampe bahas Saussure, cuman dasar pemikiran mereka rata2 ya pakai Signifier/Signified ini","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-10T09:24:42.2620000+00:00","Ahhhh noted noted Pak Shia","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-10T09:25:04.3280000+00:00","Kompleks juga ya sampai bahasa dibahas sebagai bahan filsafat","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-10T09:25:20.5790000+00:00","But makes sense ketika bahasa digunakan untuk menuangkan ide atau ekspresi manusia","",""
"265355459454566402","shiawase6946","2026-02-10T09:32:56.7820000+00:00","He eh. Agak cocoklogi sih, dan sering juga Hermeneutic school yg pake model gini dikritik 

Methodologynya secara garis besar mereka2 ini lebih ke menentukan apa Signifier lalu apa Signifed-nya. Dari situ muncul berbagai variasi","",""
"412926738298044431","jaxxxxxxyyyy","2026-02-10T09:35:57.8630000+00:00","https://tenor.com/view/cat-write-scribble-sketch-draw-gif-17181052902092737226","","crythumbsup (1)"
