AuthorID,Author,Date,Content,Attachments,Reactions
"1268231520724713594","felix_white_law_12319","2025-07-17T15:36:46.2100000+00:00","If KDM being Ridwan Kamil *From Bandung to Jakarta and run for Governor*. Isn't that means that ""The Sundanese has retake Jakarta after 500 years of Occupation?""","",""
"766280136332410920","ekast237707","2025-07-17T20:51:16.8210000+00:00","We are Forgotten Late Mr Rangga Sasana","",""
"766280136332410920","ekast237707","2025-07-17T20:51:50.4180000+00:00","Sunda Empire has done that","",""
"766280136332410920","ekast237707","2025-07-17T20:52:05.8280000+00:00","First","",""
"1268231520724713594","felix_white_law_12319","2025-07-18T03:47:24.0470000+00:00","And yet he fails","",""
"1268231520724713594","felix_white_law_12319","2025-07-18T03:47:51.4410000+00:00","He's just creating the scenario but failed to achieved it in a legal way","",""
"1268231520724713594","felix_white_law_12319","2025-07-18T03:48:12.5410000+00:00","Also","",""
"1268231520724713594","felix_white_law_12319","2025-07-18T03:48:27.6000000+00:00","Rangga Sasana is Brebes Javanese and Not Sundanese","",""
"766280136332410920","ekast237707","2025-07-18T04:34:13.8320000+00:00","He is Sekjen right","",""
"766280136332410920","ekast237707","2025-07-18T04:34:37.8670000+00:00","There is a group of leader above that","",""
"1268231520724713594","felix_white_law_12319","2025-07-18T14:23:13.7460000+00:00","Sekjen of what?","",""
"731408010232070165","darkzet","2025-07-18T14:38:40.6520000+00:00","id rather my man pramono thank you","",""
"1268231520724713594","felix_white_law_12319","2025-07-18T14:42:49.8530000+00:00","Fair enough","",""
"1268231520724713594","felix_white_law_12319","2025-07-18T14:43:04.9680000+00:00","Hopefully Pramono could bring a good legacy for Jakarta","",""
"1268231520724713594","felix_white_law_12319","2025-07-18T14:43:17.0890000+00:00","Like Anies, Ahok or Ali Sadikin just did","",""
"395810691006857219","ataman_erkin","2025-07-19T02:33:54.7200000+00:00","Jangan berharap yg kaya ginian.","",""
"395810691006857219","ataman_erkin","2025-07-19T02:34:04.0880000+00:00","Berbahaya buat nasional","",""
"1268231520724713594","felix_white_law_12319","2025-07-19T02:39:19.5660000+00:00","Hehe yeah","",""
"1268231520724713594","felix_white_law_12319","2025-07-19T02:39:27.0830000+00:00","He's worse than Prabowo","",""
"1079558513291964536","huhu_matcha","2025-07-19T12:38:56.5510000+00:00","KDM is exactly what Indonesia will turn out to be if we don’t invest in education","",""
"1079558513291964536","huhu_matcha","2025-07-19T12:39:25.8460000+00:00","I’m not convinced about Pramono","",""
"1079558513291964536","huhu_matcha","2025-07-19T12:39:32.0030000+00:00","Banjir aja ga bisa handle","",""
"1079558513291964536","huhu_matcha","2025-07-19T12:39:39.3940000+00:00","He’s not sat set enough","",""
"1079558513291964536","huhu_matcha","2025-07-19T12:40:04.1720000+00:00","And his running mate.. Si Doel.. that guy should’ve just been an actor. 0 value","",""
"1268231520724713594","felix_white_law_12319","2025-07-19T12:50:25.0890000+00:00","I see","",""
"1268231520724713594","felix_white_law_12319","2025-07-19T12:51:06.3870000+00:00","But under Pramono's leadership. Jakarta is no longer the 1st Country with harsh traffic 
-# Ya iyalah jir provinsi nya kecil","",""
"766280136332410920","ekast237707","2025-07-19T13:27:26.1940000+00:00","KDM is a Lifelong Student","",""
"766280136332410920","ekast237707","2025-07-19T13:28:37.8920000+00:00","He know about Philosophy, History, Religion","",""
"766280136332410920","ekast237707","2025-07-19T13:28:51.5100000+00:00","He is not stupid","",""
"766280136332410920","ekast237707","2025-07-19T13:29:14.9650000+00:00","I have seen Alin","",""
"766280136332410920","ekast237707","2025-07-19T13:29:53.0430000+00:00","Controled the Prosecutor in Indonesia justice court","",""
"766280136332410920","ekast237707","2025-07-19T13:30:10.7890000+00:00","Thats Stupid","",""
"766280136332410920","ekast237707","2025-07-19T13:31:11.9670000+00:00","I have seen Aburizal Bakrie and Nurdin Khalid bring Indonesia National team to. Istighosah and lose to Malaysia next time","",""
"766280136332410920","ekast237707","2025-07-19T13:31:48.7120000+00:00","Amien Rais, with Ratna Sarumpaet, and now letter of education","",""
"766280136332410920","ekast237707","2025-07-19T13:32:17.9950000+00:00","Affiliator, investasi bodong, penyembah Habib","",""
"766280136332410920","ekast237707","2025-07-19T13:32:29.6010000+00:00","Thats Stupidity","",""
"766280136332410920","ekast237707","2025-07-19T13:33:13.8740000+00:00","Mpok Nari","",""
"766280136332410920","ekast237707","2025-07-19T13:33:23.8370000+00:00","Ponari","",""
"395810691006857219","ataman_erkin","2025-07-19T17:59:49.4620000+00:00","Yeah he is not. 

But, if I am a next leader, probably I am a Napoleon","",""
