AuthorID,Author,Date,Content,Attachments,Reactions
"425585007906783232","gksubrata","2025-10-13T08:36:21.8410000+00:00","Yea so 8 of you at least voted yes for the daily prompts. As promised, I made the forum!

Also made a special tag for y’all. Dw you’ll see it soon! Anyways, I’ll try my best.","https://cdn.discordapp.com/attachments/1427213361992568973/1427213362189832283/IMG_2575.jpg?ex=699622c5&is=6994d145&hm=8c297178e02f7609fd9f76283b37d11100eeb1dfa700bf345728ed2ab5b4ba03&",""
"425585007906783232","gksubrata","2025-10-13T08:36:30.4110000+00:00","@Konco Daily BS","",""
"458504213203255324",".magurotuna","2025-10-13T08:36:58.9170000+00:00",":wpointing:","",""
"428399814238273556","the.og.green","2025-10-13T08:37:41.8010000+00:00","","",""
"425585007906783232","gksubrata","2025-10-13T08:44:15.8290000+00:00","# KONCO PROMPTS
(This is very early phase thing… bare with me)

**It’s __”Main Character Syndrome”__ time! What’s your main background music? (Both song and OST)**

@Konco Daily BS","",""
"458504213203255324",".magurotuna","2025-10-13T08:45:37.0750000+00:00","","https://cdn.discordapp.com/attachments/1427213361992568973/1427215690473144401/image.png?ex=699624f0&is=6994d370&hm=3ed5844d21034f18bd86fa310eb25697e251fcbe403ca9964e7d2a630a92872f&","🔥 (2)"
"458504213203255324",".magurotuna","2025-10-13T08:46:50.7740000+00:00","unironically i think the song is actually good 😞","",""
"458504213203255324",".magurotuna","2025-10-13T08:46:59.0010000+00:00","like its not bad","",""
"428399814238273556","the.og.green","2025-10-13T08:47:28.4620000+00:00","","https://cdn.discordapp.com/attachments/1427213361992568973/1427216157773004830/Raindrops_Keep_Fallin_On_My_Head.mp3?ex=69962560&is=6994d3e0&hm=a815b6f51deb3e837535b92d52d8cef29a40f6491f9daa5fa3cfb712d5e6c215&",""
"428399814238273556","the.og.green","2025-10-13T08:48:04.3220000+00:00","https://tenor.com/view/spider-man2-peter-parker-walking-out-slow-motion-slow-motion-walk-gif-23544881","","🔥 (1)"
"965046022046879774","gara.keeryu_jam","2025-10-13T09:00:08.6960000+00:00","I don't really consider myself a main character but if I had to choose one...

https://youtu.be/d5wKLqu0f4Y?si=FroKqPAnaYdV0Qmr","","🔥 (3)"
"241476172033032193","meat_l0f","2025-10-14T03:14:04.2090000+00:00","i know im late, but i this ost slaps

https://youtu.be/P3ue1JPFXEU?si=pJeNKYdtKZcKBvkx","",""
"241476172033032193","meat_l0f","2025-10-14T03:14:40.1050000+00:00","its chaddapon :emoji_64:","",""
"425585007906783232","gksubrata","2025-10-14T07:14:33.7220000+00:00","@Konco Daily BS if you can only have one signature clothing item, the one thing that defines who you are. What would it be?","",""
"458504213203255324",".magurotuna","2025-10-14T07:14:55.8140000+00:00","one we already have or?","",""
"458504213203255324",".magurotuna","2025-10-14T07:15:00.3910000+00:00","oh","",""
"458504213203255324",".magurotuna","2025-10-14T07:15:01.1540000+00:00","if","",""
"1006438392298479657","riipurr","2025-10-14T07:15:15.4270000+00:00","I’m currently into off-shoulders and sweaters","",""
"965046022046879774","gara.keeryu_jam","2025-10-14T07:15:17.3320000+00:00","I guess a jacket","",""
"1006438392298479657","riipurr","2025-10-14T07:15:20.5270000+00:00",":OMEGADANCE:","",""
"965046022046879774","gara.keeryu_jam","2025-10-14T07:15:32.1860000+00:00","Like non-hoodie jackets","",""
"458504213203255324",".magurotuna","2025-10-14T07:15:36.0450000+00:00","if its one that i already have definitely my fish tshirt","",""
"428399814238273556","the.og.green","2025-10-14T07:26:40.1550000+00:00","probably a green shirt that says ""malaupun kurus, tapi hatiku lurus""","",""
"458504213203255324",".magurotuna","2025-10-14T07:54:27.4440000+00:00","i needa get that for my bf","",""
"425585007906783232","gksubrata","2025-10-14T09:22:22.6510000+00:00","Coba kasi liat gambar clothing item nya @Konco Daily BS","",""
"1006438392298479657","riipurr","2025-10-14T09:22:59.0020000+00:00","I got these :nice: 
Do these count?","https://cdn.discordapp.com/attachments/1427213361992568973/1427587481615863929/aedd6d4f-6a96-4d21-9acc-984bd56ddd9e.jpg?ex=69962db2&is=6994dc32&hm=fa1cc25b6ee45e430ad5eef93b10a19de66413a7f471875cc6aaeb41870f2485&","🔥 (1)"
"1006438392298479657","riipurr","2025-10-14T09:23:01.7560000+00:00","(Liontin)","",""
"1006438392298479657","riipurr","2025-10-14T09:23:06.1140000+00:00","By IndoMajesticArtwork (IG/Etsy)","",""
"425585007906783232","gksubrata","2025-10-14T09:28:40.6870000+00:00","Defooooo","",""
"425585007906783232","gksubrata","2025-10-14T09:28:51.4620000+00:00","That’s so sick thoo","",""
"1006438392298479657","riipurr","2025-10-14T09:29:04.7760000+00:00","BELI","",""
"1006438392298479657","riipurr","2025-10-14T09:29:13.7920000+00:00","Support local craftsmen!!","",""
"458504213203255324",".magurotuna","2025-10-14T10:00:31.1140000+00:00","tuna starterpack 🐟","https://cdn.discordapp.com/attachments/1427213361992568973/1427596927528341514/IMG-20251014-WA0035.jpg?ex=6996367e&is=6994e4fe&hm=174d81eb07a06ce963b026c1b8ec1789602c87ac3c7f1f0040005ee274cb41f2&",""
"458504213203255324",".magurotuna","2025-10-14T10:00:42.9860000+00:00","i never go anywhere without my trusty fish claw clip :pray:","",""
"428399814238273556","the.og.green","2025-10-14T12:39:21.9990000+00:00","My parents bought this shirt 10+ years ago now. I'm still skinny. They are visionaries","https://cdn.discordapp.com/attachments/1427213361992568973/1427636903074861146/20251014_193805.jpg?ex=69965bb9&is=69950a39&hm=4d7f2fcc48ebd2f6f0c22913fbffdbdb58dec3595c806623f00bf58ce6023fc3&","⭐ (1)"
"965046022046879774","gara.keeryu_jam","2025-10-14T12:53:58.4840000+00:00","Basically this","https://cdn.discordapp.com/attachments/1427213361992568973/1427640579298431068/image.png?ex=69965f26&is=69950da6&hm=cccba44ff00a640f2d0a6d48eac418c3d0923930199f03429d45dbe744d9f7fd&",""
"191651271789379586","istirahato","2025-10-14T13:31:59.6900000+00:00","sweatshirts","",""
"1327306698838245499","k1mcchii","2025-10-14T17:46:37.9610000+00:00","","https://cdn.discordapp.com/attachments/1427213361992568973/1427714229535899789/IMG_0855.jpg?ex=6995fafd&is=6994a97d&hm=b937189f7339db4c5d0e4327217c08cdb5eae375fd609cecad8f22db0e9765ad&",""
"1327306698838245499","k1mcchii","2025-10-14T17:47:15.5660000+00:00","oversize tees fasho","",""
"458504213203255324",".magurotuna","2025-10-14T18:36:39.0290000+00:00","and its green","","😋 (1)"
"458504213203255324",".magurotuna","2025-10-14T18:36:43.2360000+00:00","they truly are visionaries","",""
"425585007906783232","gksubrata","2025-10-19T07:24:35.3840000+00:00","@Konco Daily BS @Kader important question.

# If the Maknae is the Leader. Then who’s the maknae?","",""
