AuthorID,Author,Date,Content,Attachments,Reactions
"436220883808419841","edennottheproject","2025-10-08T14:16:06.5860000+00:00","I want to eat better so i can shed weight!","","⭐ (6)"
"1327306698838245499","k1mcchii","2025-10-08T14:18:08.3700000+00:00","^","",""
"436220883808419841","edennottheproject","2025-10-08T14:18:10.3390000+00:00","Day 3, according to chatgpt

850 kcal
Protein 39g
Fat 40g
Carbs 114g","https://cdn.discordapp.com/attachments/1425486922482188298/1425487441116139620/chatgpt-1759924634794.jpg?ex=699672e2&is=69952162&hm=a5e4d3931ad2465b6d6be839e2f95530d3ce474127ee466c20e7a48cc7f9fd44&",""
"1327306698838245499","k1mcchii","2025-10-08T14:18:21.4930000+00:00","i want to eat better “but CHEAP”","",""
"891545423238537236","murzzbow","2025-10-08T14:18:29.0040000+00:00","nice","",""
"1327306698838245499","k1mcchii","2025-10-08T14:19:03.3980000+00:00","still curious about Dr Tirta’s statement regarding Instant Noodle is not dangerous","",""
"1327306698838245499","k1mcchii","2025-10-08T14:19:09.5320000+00:00","is it really all about it","",""
"185435194746994690","adi_onysus","2025-10-08T14:19:16.4480000+00:00","It's","",""
"185435194746994690","adi_onysus","2025-10-08T14:19:20.6730000+00:00","Nuanced","",""
"185435194746994690","adi_onysus","2025-10-08T14:19:45.2070000+00:00","If you eat Indomie everyday for every meal, you'll die in a few years from hypertension","",""
"436220883808419841","edennottheproject","2025-10-08T14:19:55.2140000+00:00","Day 2 for sake of documentation

750 kcal
Protein 32
Fat 32
Carbs 80","https://cdn.discordapp.com/attachments/1425486922482188298/1425487881136504912/20251007_083719.jpg?ex=6996734b&is=699521cb&hm=7c07499c2a01630df7b6e8349eb401b72e5606e6eac46a104a6e6a34303c86a5&",""
"436220883808419841","edennottheproject","2025-10-08T14:20:05.9350000+00:00","He says its not but its not nutritious","",""
"1327306698838245499","k1mcchii","2025-10-08T14:20:20.1980000+00:00","my wallet doesn’t allows me to get this for a daily meal 🥀","",""
"1327306698838245499","k1mcchii","2025-10-08T14:20:24.7900000+00:00","yeah that’s true","",""
"185435194746994690","adi_onysus","2025-10-08T14:20:32.0010000+00:00","But if you eat Indomie maybe once every two days, then it's not really an issue

The issue stems from how much salt is in a portion of Indomie","",""
"1327306698838245499","k1mcchii","2025-10-08T14:20:49.8700000+00:00","well the Natrium content in the seasonings are mad insane","",""
"185435194746994690","adi_onysus","2025-10-08T14:21:09.1960000+00:00","In the 50-70% range, yeah","",""
"185435194746994690","adi_onysus","2025-10-08T14:21:28.0420000+00:00","Now to make it as healthy as possible, you add other things in there as well","",""
"185435194746994690","adi_onysus","2025-10-08T14:21:37.4410000+00:00","Veggies, eggs, tofu, tempe, whatever","",""
"1327306698838245499","k1mcchii","2025-10-08T14:21:47.6780000+00:00","“as healthy as possible” yeah that’s the right word","",""
"620672544357220364","sad.potato.13","2025-10-08T14:22:06.4280000+00:00","Ikutan posting tp biarkan Lord Adi yg menghitung","https://cdn.discordapp.com/attachments/1425486922482188298/1425488431328395305/IMG_8416.jpg?ex=699673ce&is=6995224e&hm=4f5737aeedb6f37d979f73da7c3c9f5d9ad7dd41e86e575a61ec91bae3aeaae9&",""
"185435194746994690","adi_onysus","2025-10-08T14:22:25.3800000+00:00","Ugh","",""
"185435194746994690","adi_onysus","2025-10-08T14:22:28.4680000+00:00","Bentar","",""
"691626449743904810","lotso125","2025-10-08T14:22:41.6780000+00:00","damn ada pare","",""
"620672544357220364","sad.potato.13","2025-10-08T14:22:49.8750000+00:00","Canda, I dont even count my calories","",""
"436220883808419841","edennottheproject","2025-10-08T14:22:52.4180000+00:00","Aku hitung sama chatgpt loh wkwkw","","🤣 (1)"
"620672544357220364","sad.potato.13","2025-10-08T14:23:03.1280000+00:00","No need to count, I eat what I want to eat 🤣","",""
"185435194746994690","adi_onysus","2025-10-08T14:23:15.5940000+00:00","What are the veggies there","",""
"185435194746994690","adi_onysus","2025-10-08T14:23:37.2910000+00:00","Veggies don't really contribute to total energy, but I wanna know","",""
"620672544357220364","sad.potato.13","2025-10-08T14:23:50.5860000+00:00","2 cherry tomatoes, pare slices (cuma ditumis, minimum seasoning)","",""
"691626449743904810","lotso125","2025-10-08T14:23:57.9790000+00:00","pare sm tomat itu","",""
"620672544357220364","sad.potato.13","2025-10-08T14:24:11.7110000+00:00","Bawahnya it cm rice & quinoa mix","",""
"185435194746994690","adi_onysus","2025-10-08T14:25:04.1910000+00:00","Nasi putih? Merah? Coklat?","",""
"436220883808419841","edennottheproject","2025-10-08T14:25:26.5030000+00:00","Day 1 also for documentation

610 kcal
Protein 30
Fat 26
Carbs 56","https://cdn.discordapp.com/attachments/1425486922482188298/1425489270776270858/20251006_075323.jpg?ex=69967496&is=69952316&hm=c6283229a438661faed947e70581c8cbf78a18e52e301f89ccbfcd24993394b0&","😭 (1)"
"620672544357220364","sad.potato.13","2025-10-08T14:25:29.8870000+00:00","Kayaknya nasi putih, maaf kadang gua makan gk liat wkwk

Yg merah2 quinoa","",""
"620672544357220364","sad.potato.13","2025-10-08T14:25:39.7050000+00:00","Eden u eat so little?","",""
"847083838105714699","monke_eat_banana","2025-10-08T14:25:54.4530000+00:00","I need recommendations on snacks. Anything that's cheap & healthy? I don't need it to taste good. Just something I can eat any time of the day without any additional preparation. Currently, I snack on the cheapest white bread I could find in the supermarket (Rp 11k for 2 days of worth of bread)","",""
"436220883808419841","edennottheproject","2025-10-08T14:25:58.6550000+00:00","Mind you that kept me full for 9 hours","","😭 (1)"
"620672544357220364","sad.potato.13","2025-10-08T14:26:05.3610000+00:00","I eat 3-4x a day 😭","",""
"436220883808419841","edennottheproject","2025-10-08T14:26:08.3740000+00:00","Kacang anggur dan keju!","",""
"436220883808419841","edennottheproject","2025-10-08T14:26:32.7120000+00:00","Esp this jam 7 pagi sampai jam 4 sore","",""
"436220883808419841","edennottheproject","2025-10-08T14:27:01.7140000+00:00","Thats half my usual portion 😭 im on a diet so im watching my protein intake","","😭 (1)"
"891545423238537236","murzzbow","2025-10-08T14:27:06.6400000+00:00","aku ketika makan 2 kali sehari and call it intermittent fasting","",""
"436220883808419841","edennottheproject","2025-10-08T14:28:39.4700000+00:00","I wish i can say you can get all of this at a supermarket but i dunno 😭","",""
"185435194746994690","adi_onysus","2025-10-08T14:30:11.5660000+00:00","","https://cdn.discordapp.com/attachments/1425486922482188298/1425490466199310408/image.png?ex=699675b3&is=69952433&hm=347a01698f4640fb10790ac7298f8c4bd2cc6e8ab4e4f44da3591c96ae6e2eb5&","👀 (1)"
"185435194746994690","adi_onysus","2025-10-08T14:30:16.0130000+00:00","Estimasiku","",""
"620672544357220364","sad.potato.13","2025-10-08T14:30:47.1170000+00:00","Btw itu tuna WKWK","",""
"691626449743904810","lotso125","2025-10-08T14:30:52.4290000+00:00","u kaya ahli gizi gini mas","",""
"185435194746994690","adi_onysus","2025-10-08T14:30:53.9980000+00:00","Oh tuna","",""
"436220883808419841","edennottheproject","2025-10-08T14:30:55.8770000+00:00","WEH KERENNYA","",""
"620672544357220364","sad.potato.13","2025-10-08T14:30:58.3080000+00:00","Sedih bgt namanya “pare pahit mentah”","",""
"620672544357220364","sad.potato.13","2025-10-08T14:31:02.1580000+00:00",":__:","",""
"185435194746994690","adi_onysus","2025-10-08T14:31:03.7310000+00:00","Ya adanya itu","",""
"620672544357220364","sad.potato.13","2025-10-08T14:31:06.9240000+00:00","Kerem jg softwarenya","",""
"185435194746994690","adi_onysus","2025-10-08T14:31:07.5770000+00:00","Anggap aja mentah","",""
"691626449743904810","lotso125","2025-10-08T14:31:18.8980000+00:00","it is pare and pahit and mentah","","💀 (1)"
"185435194746994690","adi_onysus","2025-10-08T14:31:23.7000000+00:00","It's a hassle to set up and a hassle to learn","",""
"436220883808419841","edennottheproject","2025-10-08T14:31:31.3310000+00:00","Im glad to know i can get same amount of macros as a meat eater ❤️","",""
"185435194746994690","adi_onysus","2025-10-08T14:34:57.0900000+00:00","Revised","https://cdn.discordapp.com/attachments/1425486922482188298/1425491663865909342/image.png?ex=699676d1&is=69952551&hm=481024dd6435e82cbaabe5e679f5c2aee6c01d6309833613184ac1273b71d497&","👍 (1)"
"185435194746994690","adi_onysus","2025-10-08T14:35:15.0150000+00:00","Tuna is much lower in fat than chicken, so of course the calories would go down by a lot","",""
"620672544357220364","sad.potato.13","2025-10-08T14:35:51.5500000+00:00","Free analysis 🙏🏻 makasi banyak Lord Adi","",""
"226662955142348800","tyastro","2025-10-08T16:02:01.3010000+00:00","Orthodox puasa method Coba 2 hari puasa 1 makanan sehari minum sepuasnya boleh tetapi ngaboleh makan minyak, daging, susu, telor. Kalau versi lebih gampang itu boleh minyak tapi harus dari sayur/buah daging ngaboleh cuma boleh ikan/udang","",""
"436220883808419841","edennottheproject","2025-10-08T16:31:11.2590000+00:00","thats basically a vegetarian / pescetarian diet","",""
"226662955142348800","tyastro","2025-10-08T16:31:53.4820000+00:00","yes but we do it every friday and wednesday only 1 meal a day though","",""
"436220883808419841","edennottheproject","2025-10-08T16:32:34.8460000+00:00","oh yeah my flatmate does that too","",""
"436220883808419841","edennottheproject","2025-10-08T16:32:37.0620000+00:00","always failed","",""
"226662955142348800","tyastro","2025-10-08T16:45:20.2370000+00:00","Yeah i do too its hard idk how the monks do it with everday except saturday and sunday.","",""
