AuthorID,Author,Date,Content,Attachments,Reactions
"595261388579143712","owenzedd","2025-03-24T18:37:44.3360000+00:00","When it's quiet on #⊱・☕・chillchat","",""
"267957882635419649","notforheroes","2025-03-24T18:39:09.2630000+00:00","kalau yapping disini dapet exp ga?","","👍 (1)"
"595261388579143712","owenzedd","2025-03-24T18:39:23.8160000+00:00","Belum pernah nyoba","",""
"267957882635419649","notforheroes","2025-03-24T18:39:45.3950000+00:00","let's say dapet lah","",""
"595261388579143712","owenzedd","2025-03-24T18:39:52.7820000+00:00","Modus kumpul XP rupanya","",""
"267957882635419649","notforheroes","2025-03-24T18:40:16.2150000+00:00","ya apalagi, aku mau menjadi true form dari puncak tertinggi leaderboard","",""
"437808476106784770","Arcane#7800","2025-03-24T18:40:29.6530000+00:00","","",""
"267957882635419649","notforheroes","2025-03-24T18:40:39.0090000+00:00","see?","",""
"595261388579143712","owenzedd","2025-03-24T18:40:44.6660000+00:00","You're the sigma","",""
"267957882635419649","notforheroes","2025-03-24T18:40:51.9830000+00:00","i am","",""
"267957882635419649","notforheroes","2025-03-24T18:40:58.7790000+00:00","iam brainrot yappers","",""
"688330999725293758","noxsiduss","2025-03-24T18:41:02.5820000+00:00","","",""
"595261388579143712","owenzedd","2025-03-24T18:41:11.2040000+00:00",":kitty:","",""
"267957882635419649","notforheroes","2025-03-24T18:41:18.7940000+00:00","dia sedang itikaf","",""
"267957882635419649","notforheroes","2025-03-24T18:41:25.0710000+00:00","aku sedang yappikaf","",""
"688330999725293758","noxsiduss","2025-03-24T18:41:49.1840000+00:00","","https://cdn.discordapp.com/attachments/1353799966229008475/1353800993099481158/IMG_2382.jpg?ex=699607ed&is=6994b66d&hm=38ad2a595e3ff4786e6a7fc9c0d0d7a1f988a7600066612f406a328b19f715b6&",""
"688330999725293758","noxsiduss","2025-03-24T18:42:09.7720000+00:00","","",""
"267957882635419649","notforheroes","2025-03-24T18:43:18.6550000+00:00","kerenn","",""
"267957882635419649","notforheroes","2025-03-24T18:43:24.5670000+00:00","nitip dzikir nya dua bro","",""
"688330999725293758","noxsiduss","2025-03-24T18:43:55.3060000+00:00","","",""
"998521205101428776","liz2liz","2025-03-24T22:31:11.0630000+00:00","W nox","",""
"436220883808419841","edennottheproject","2025-03-24T22:36:47.6860000+00:00","Quiet*","","crythumbsup (1)"
"595261388579143712","owenzedd","2025-04-04T19:19:26.6070000+00:00","Who's active on 2 AM beside the folks on #deleted-channel","",""
"736550209068335135",".ayab","2025-04-04T19:43:36.5520000+00:00","I finally can chat here","",""
"595261388579143712","owenzedd","2025-04-04T19:44:36.1350000+00:00","Rare chance","",""
"736550209068335135",".ayab","2025-04-04T19:47:19.2070000+00:00","Yup yup","",""
"736550209068335135",".ayab","2025-04-04T19:47:41.0930000+00:00","I feel like an old man sitting with coffee while the kids already asleep","",""
"595261388579143712","owenzedd","2025-04-04T19:50:34.3360000+00:00","Who drink coffee at this hour","",""
"736550209068335135",".ayab","2025-04-04T20:02:18.7700000+00:00","I dunno my grandpa?","",""
