AuthorID,Author,Date,Content,Attachments,Reactions
"736550209068335135",".ayab","2026-02-05T13:16:09.4370000+00:00","Every Original  Meme Mabased Made Archived

Make sure its meme youve made not for This yap forum","https://cdn.discordapp.com/attachments/1468958378817490954/1468958378981200054/ZomboMeme_15052025171635.jpg?ex=69966459&is=699512d9&hm=4ae8f1bfcafb7e65a79fe789319d91a3b3e15ff74e0dd31c8e2d239bdfbdeae4&",""
"736550209068335135",".ayab","2026-02-05T13:16:30.2250000+00:00","@첼로 @Jax","",""
"736550209068335135",".ayab","2026-02-05T13:16:46.5560000+00:00","Send me all the memes youve made","",""
"715181776015720469","kikkou_t","2026-02-05T13:16:56.5580000+00:00","@perciV Mohon dump memenya","",""
"736550209068335135",".ayab","2026-02-05T13:17:24.3950000+00:00","@NoxSidus","",""
"736550209068335135",".ayab","2026-02-05T13:17:35.1570000+00:00","","https://cdn.discordapp.com/attachments/1468958378817490954/1468958738412208351/I_Gotta_Get_One_of_Those_07052025065515.jpg?ex=699664af&is=6995132f&hm=4f170d73b6b84115029f44791cca29968f9c00b3ac7570eb36a306351f7964a4&","😭 (1)"
"867421149126197300","chel705","2026-02-05T13:17:45.1440000+00:00","","https://cdn.discordapp.com/attachments/1468958378817490954/1468958780304916490/Death_Knocking_05012026200103.jpg?ex=699664b9&is=69951339&hm=999d5cb941f8438bc6e966f430289da12901963ef8eebe934509d4a6af66b897&,https://cdn.discordapp.com/attachments/1468958378817490954/1468958780728410212/Screenshot_20251231_231221_Canva.jpg?ex=699664b9&is=69951339&hm=768e02b384e868dd4212c5aed3a60efa80fef5657c6fc7604ecbb4c648a83356&,https://cdn.discordapp.com/attachments/1468958378817490954/1468958781076672602/ZomboMeme_28042025110453.jpg?ex=699664b9&is=69951339&hm=3ff9850aae6dbd11a4f996c556bbb6ea7268b44bd12e2ca0a9274e62be730830&","🫃 (1)"
"688330999725293758","noxsiduss","2026-02-05T13:17:52.6380000+00:00","what","",""
"688330999725293758","noxsiduss","2026-02-05T13:18:09.0920000+00:00","","https://cdn.discordapp.com/attachments/1468958378817490954/1468958880758370344/IMG_4514.webp?ex=699664d1&is=69951351&hm=da74d857f6987843286777c2f9a3c794501ca5745880e278902d4aab3bc12b27&",""
"736550209068335135",".ayab","2026-02-05T13:18:32.5510000+00:00","","https://cdn.discordapp.com/attachments/1468958378817490954/1468958979139964958/ZomboMeme_10062025195609.jpg?ex=699664e8&is=69951368&hm=a806365e3c99d7bf7cb1c6c58bb307c1a30d508bba53f8bdf6f33599f9fde641&",""
"736550209068335135",".ayab","2026-02-05T13:18:52.0340000+00:00","","https://cdn.discordapp.com/attachments/1468958378817490954/1468959060857716831/ZomboMeme_23072025143301.jpg?ex=699664fc&is=6995137c&hm=b8b123e1a07fca7156bd0d66be8ca2fdbc9076f06ff3f92c44f342750b4affe3&",""
